,gene_short_name,V515-06187-A1,17-00116-9_S2Aligned_cufflinks,17-00132-8_S16Aligned_cufflinks,TNT-297,TNT-192,TNT-44,TNT-278,17-00125-8_S13Aligned_cufflinks,TNT-225,TNT-111,17-00140-2_S2_cufflinks
0,ABCA8,1.07397,140.738,19.4248,17.0174,119.155,57.5774,6.09487,55.5194,19.7157,14.8562,4.1809
1,ADRA2A,0.196819,1.49006,3.61611,0.223559,0.801336,0.627014,0.0,4.31788,0.313514,1.03917,0.974128
2,AKAP12,3.75243,40.9208,5.52166,31.1722,35.9662,29.6051,4.77909,25.364,11.701,15.7074,1.05279
3,ALDH3B2,34.613,20.2994,6.77506,0.0910294,68.1928,0.0,1.87834,14.4216,0.0,575.453,25.7805
4,APOD,101.548,620.083,40.374,190.081,11869.7,551.695,86.3132,136.705,86.1188,10225.5,4.29317
5,ART3,19.2103,1.45964,0.0,22.3735,0.0,17.6012,0.0,0.0,44.2138,0.175385,9.72088
6,ASPN,31.1651,32.8564,33.8587,14.1299,142.614,37.2942,11.8417,44.1739,112.768,130.499,10.1457
7,AZGP1,64.9749,241.997,12.8789,130.727,771.028,63.9359,134.856,178.998,68.2212,1218.82,60.7934
8,BLVRB,6.57613,2.14395,10.2189,2.36929,5.36615,2.47625,0.0,5.03918,0.938568,7.4401,3.62414
9,C7,0.29143,53.7412,12.4255,12.4278,4.10235,15.2903,19.5287,19.783,7.47819,2.59044,0.0
10,CCL5,1.03708,0.0,0.0,2.51066,18.4049,6.20512,8.68593,2.22877,2.44293,1.97053,0.0
11,CD36,36.5005,138.951,32.1853,12.2558,134.586,161.29,36.6558,182.748,47.8398,94.8575,44.8475
12,CD52,5.15236,6.29418,20.3585,9.06244,123.244,76.5111,147.046,0.0,54.5642,24.4018,6.33001
13,CDC20,19.1111,0.614254,0.805591,42.1959,4.20426,6.29946,1.44794,0.0,16.8549,3.73782,9.59021
14,CHI3L1,52.4824,4.86842,4.97049,75.8848,0.0,19.8265,0.1863,5.63374,13.4776,7.57694,31.4808
15,COL2A1,124.822,1.07359,0.0,8.03179,0.0,0.369471,0.0171505,0.0,2.20486,0.0,0.0222491
16,COL5A1,145.37,23.4437,187.404,58.3068,49.6839,75.9328,27.0808,160.153,113.037,219.154,87.0433
17,COL5A2,202.313,53.7108,187.753,67.2474,216.858,135.933,52.0394,136.536,173.274,458.394,50.7685
18,CRAT,3.09639,5.82666,27.5127,5.6469,12.229,7.36069,0.810681,20.777,1.33989,70.4712,6.3588
19,CROT,17.2031,26.6722,9.84456,7.72068,70.1636,5.74807,24.512,4.49909,8.52486,61.6759,18.901
20,CXCL10,2.29941,5.26548,5.40403,13.1438,10.1642,56.0996,105.664,0.0,8.15851,3.96971,63.1842
21,CXCL11,0.642556,1.43686,0.0,3.98929,25.8333,1.58942,8.25464,0.0,0.637592,0.353852,18.5376
22,CXCL13,0.0413495,2.66206,3.34468,8.68471,10.7731,4.79564,50.2738,0.0,6.32163,23.2391,16.208
23,CYP4F8,0.0480191,17.0825,16.5797,0.375541,0.0,3.50692,3.90855,5.58269,0.169669,10.0194,0.467581
24,DBI,412.371,156.991,22.3556,174.365,542.624,108.177,90.4076,14.5811,130.439,701.686,52.3533
25,DEFB1,3.16262,2.59282,0.0,0.352438,3.86087,0.977303,0.0,0.0,0.0909353,0.0,7.87098
26,DHCR24,38.1374,33.11,1.5266,29.6213,49.4777,7.28549,7.5602,26.3007,9.11603,109.752,18.332
27,DUSP5,2.66143,16.321,8.86489,5.90178,10.3889,6.42948,1.86001,17.2635,4.35424,9.23302,7.34486
28,FABP7,2.25652,0.903434,0.569974,5.60352,13.1366,1.81101,0.475457,1.47972,54.5626,289.357,5.74169
29,FASN,124.609,21.7879,129.708,8.58678,26.719,6.20384,1.5303,188.596,1.28864,122.384,107.343
30,FGFR4,2.32432,0.706173,0.0,0.82198,1.14408,0.634329,0.381338,0.0,0.044059,8.91163,0.622948
31,FGL2,2.48121,7.72553,3.52666,3.83394,8.68063,7.86297,6.26563,5.21316,7.08488,2.79398,3.84026
32,FOXA1,1.38574,64.6535,6.5881,0.9985,55.0153,4.48069,70.669,70.9237,1.95141,201.456,0.725695
33,FOXC1,9.10755,10.4657,4.69982,61.5935,3.64372,20.1979,0.656008,12.1608,23.0437,3.58246,17.2027
34,GABRP,8.66089,132.79,12.2303,116.867,53.2833,162.789,17.6287,79.957,369.529,9.12478,275.553
35,GALNT7,12.4003,47.2601,14.666,16.3671,58.9319,8.8823,177.51,20.9316,29.7218,49.7457,14.8314
36,GBP1,41.394,222.501,191.461,144.925,185.853,181.968,53.7536,93.6234,106.125,45.8172,94.1626
37,GCHFR,0.422531,0.0822039,0.0,0.145981,0.948322,0.0,0.0,8.82467,0.166209,1.04278,0.55353
38,GPR87,0.951488,0.775497,0.0,1.51442,0.0,3.86145,0.0,0.0,5.90917,0.301862,4.25574
39,GZMB,1.4986,2.04875,8.95933,1.0732,2.56301,1.57691,8.82977,6.68157,1.69408,2.45732,5.9785
40,HGD,4.21735,3.62948,2.49273,7.77662,25.9325,2.59817,2.51632,0.0,3.43558,24.7993,1.28299
41,HTRA1,91.2943,112.858,105.08,50.6764,118.212,135.477,26.2691,84.7862,176.986,201.751,22.5779
42,IDO1,0.291424,3.61266,5.1959,2.3577,3.9493,11.717,3.05783,0.0,3.65246,1.66038,27.5373
43,IGFBP4,13.3498,37.0916,34.9053,2.95592,3.45961,6.03804,0.34994,60.3488,0.558173,3.91104,12.5501
44,IGHM,55.219,0.0,0.0,8.56503,67.8109,50.9729,94.4486,31.0737,6.72957,595.725,707.6
45,IGJ,20.0186,462.423,113.281,5.5107,845.132,252.016,361.046,110.391,36.8565,212.216,104.183
46,IGKC,182.346,3684.97,8891.08,22.8967,2130.1,928.331,1159.8,689.578,343.623,1492.04,2567.62
47,IL23A,0.0490073,0.0,0.0,0.39657,0.0,0.0,0.0,0.0,0.0341362,0.0,0.175638
48,IL33,0.883329,8.58171,17.0119,3.82804,13.1507,10.2893,1.50942,3.16025,1.94563,0.690708,4.0518
49,INPP4B,37.1722,44.9221,26.0415,22.1376,27.5809,35.38,31.4489,22.2753,14.5634,59.8419,10.305
50,ITM2A,5.13433,74.617,31.5453,74.1134,22.2147,43.8775,18.3801,8.81775,33.9687,9.24223,5.21597
51,JAM2,11.2143,38.1645,10.9357,8.94908,26.995,28.1835,14.3004,19.4021,14.1057,13.8203,2.42791
52,KCNK5,7.32046,0.880842,0.14339,0.779464,0.0,1.29317,0.0171516,1.11295,0.961422,0.153093,1.77677
53,KIAA1324,6.46799,38.8219,4.05597,31.6459,53.7366,12.3385,46.4182,28.0925,2.77433,125.869,1.1698
54,KMO,1.44589,3.63311,3.94718,5.40338,12.6476,3.68019,103.886,10.8902,7.30783,14.655,11.3322
55,KRT14,118.371,216.08,20.9046,119.134,19.1258,92.8815,0.0,151.061,125.86,6.89034,568.828
56,KRT16,91.0343,257.9,4.42811,22.9168,1.12426,149.575,0.0,34.7157,16.3566,1.90386,340.182
57,KRT17,105.347,579.032,40.8994,238.324,17.1917,173.196,0.0,587.053,84.9056,4.03414,101.24
58,KRT6A,54.2242,954.628,130.384,138.198,34.9008,57.7713,12.7373,103.81,39.4656,2.37252,1898.76
59,KRT6B,86.6584,358.395,27.5115,52.0512,3.91155,33.1355,0.0,47.9742,137.366,1.76653,818.47
60,KYNU,14.7879,6.18401,10.0373,11.5655,80.8272,9.04136,42.7789,3.69438,19.8934,172.138,52.8919
61,LBP,0.573258,0.0,0.0,0.152604,93.4457,0.73285,0.812294,0.0,0.0337865,32.7845,0.483336
62,LHFP,2.0952,5.35082,5.48734,1.35016,2.074,5.4203,0.438417,13.5338,0.92133,2.58615,0.958182
63,MFAP4,1.60954,25.4718,19.1872,1.71721,3.82549,8.7876,1.54269,19.9395,2.71187,10.3604,5.13046
64,MIA,21.0747,11.8188,0.0,16.0349,0.0,13.4092,0.0,4.53652,3.69805,0.0,10.8721
65,MID1,36.2366,23.0088,9.59732,65.2174,8.78539,18.9785,7.24832,11.1666,31.1013,15.5697,28.4416
66,MYBL1,4.60362,2.02718,1.53662,61.0025,12.0674,42.4586,5.53364,0.843991,11.1978,3.49325,24.7996
67,NEK2,17.1321,0.774146,0.682503,34.9499,1.18318,15.4104,6.9343,0.0,16.6841,4.20757,46.8643
68,NTN3,0.0235576,0.0,0.0,0.0,0.0,0.0,0.0,0.72148,0.0,0.0,0.167211
69,OGN,1.27872,78.5414,7.98102,11.4075,69.8515,26.9847,21.2801,24.712,18.6864,13.2351,1.7513
70,PI3,0.0,12.7654,0.0,0.636018,0.0,0.0,0.0,0.0,0.351765,0.0,13.2193
71,PLEKHB1,14.583,1.59507,0.0,8.1823,0.0,4.90876,0.284093,0.0,0.585629,0.639033,1.48628
72,PMAIP1,1.62393,0.32492,0.0,2.39667,0.0,1.00094,0.808025,15.6384,4.02694,0.334089,8.42044
73,PSMB9,0.0,0.0,0.0,13.9884,9.18446,8.41277,4.4101,0.0,6.16222,4.54106,0.0
74,PTGDS,1.49063,21.3059,18.3436,11.6725,5.05302,4.86847,1.81872,12.2808,1.73676,0.542022,16.1707
75,RARRES3,10.7933,19.6742,14.6898,19.2644,28.6045,29.4438,13.9324,24.4087,10.7116,30.5666,4.27915
76,RTP4,0.772275,0.674889,1.0854,1.57226,2.39055,0.707379,0.0868604,0.937705,1.93616,0.783504,13.7556
77,S100A1,196.638,2.97989,0.0,14.5831,0.0,16.0569,0.915583,11.2292,16.3815,0.248466,15.8769
78,S100A7,6.57916,13.0315,8.46634,0.262958,48.572,5.847,2.87785,0.0,0.36267,1.10461,301.482
79,S100A8,3.49996,7.83451,2.52279,3.72412,11.6298,5.58615,3.13544,17.6617,1.96069,5.80152,151.92
80,SCRG1,23.222,0.146746,0.0,15.7144,0.0,8.82788,4.08243,0.0,19.2951,1.19671,0.17457
81,SEMA3C,89.189,151.089,23.1293,11.818,76.662,55.7138,21.9546,33.3766,29.3055,36.4009,72.0489
82,SERHL2,5.02658,31.3695,10.0127,3.68198,195.241,0.268983,23.6951,44.4878,1.07147,546.021,8.46437
83,SFRP1,35.3095,16.9775,0.651243,40.8617,23.7525,12.8129,0.244185,9.57648,11.2392,2.22108,2.53916
