,gene_short_name,V515-06187-A1,TNT-48,TNT-45,17-00122-1_S1_cufflinks,TNT-20,17-00143-5_S2Aligned_cufflinks,TNT-83,TNT-27,17-00101-5_S19Aligned_cufflinks,TNT-289,TNT-98
0,ABCA8,1.07397,251.734,69.6238,15.2547,5.37171,0.809124,5.23671,1.91007,0.969992,7.5326,46.1161
1,ADRA2A,0.196819,1.73146,0.0861151,1.06565,0.689524,0.0726771,0.0484197,0.0,0.117883,0.0190859,0.44963
2,AKAP12,3.75243,12.1732,3.04989,3.36502,7.36849,0.951425,10.1537,4.47033,3.1793,16.4518,5.98117
3,ALDH3B2,34.613,10.1174,0.95725,19.7483,119.299,19.1452,11.9552,0.0,9.692,0.340181,8.66927
4,APOD,101.548,578.954,41.6221,39.0799,62.0416,10.9531,45.576,12.3754,100.422,86.5343,165.228
5,ART3,19.2103,31.8858,13.519,0.0,3.30585,0.422378,1.52685,277.391,2.1157,11.7816,0.235613
6,ASPN,31.1651,90.9032,28.9929,22.2786,256.864,3.69349,19.273,32.3565,23.3006,99.797,28.8722
7,AZGP1,64.9749,83.2889,34.8083,21.2686,356.516,85.8713,89.7751,141.167,21.4744,22.8969,5.12935
8,BLVRB,6.57613,2.19929,0.760424,2.08356,3.05144,3.81422,6.63001,1.6655,1.61289,1.22331,6.78249
9,C7,0.29143,34.6236,0.936934,16.0706,3.58075,0.0263386,1.0988,2.97795,0.0133464,2.7102,25.5063
10,CCL5,1.03708,21.9388,1.6864,0.0,2.0571,1.59721,8.35195,1.16553,1.71611,1.12449,25.8249
11,CD36,36.5005,251.091,35.4874,6.42672,45.423,30.0312,764.051,9.68515,9.85445,18.9896,44.3127
12,CD52,5.15236,52.2935,10.8174,12.6459,11.4556,2.29825,28.8448,3.93531,2.09752,1.74964,94.6313
13,CDC20,19.1111,2.9954,8.45575,28.4023,6.79373,48.5456,6.66027,11.3276,18.1155,40.1167,1.15338
14,CHI3L1,52.4824,7.45514,22.6098,3.28866,7.92085,0.326855,3.39355,21.1168,5.95113,14.14,4.21273
15,COL2A1,124.822,9.20578,42.1761,5.51192,0.442754,0.0149873,0.133147,110.558,1.56677,47.6574,0.0772557
16,COL5A1,145.37,75.0766,30.6618,105.517,220.455,70.9135,51.9884,27.9453,99.6617,387.034,42.4369
17,COL5A2,202.313,77.8726,58.7905,45.6436,493.817,19.6112,109.752,66.3652,144.19,272.664,46.0351
18,CRAT,3.09639,4.91709,1.07721,3.73345,3.80492,16.3546,9.24005,2.29762,1.68144,4.72182,25.9658
19,CROT,17.2031,12.5076,5.64661,34.0231,42.461,21.1097,16.4538,33.2998,13.1921,11.3478,8.24655
20,CXCL10,2.29941,14.2373,43.0563,12.7818,7.82904,5.9346,54.7547,17.1828,3.2994,5.73014,197.953
21,CXCL11,0.642556,0.0,13.4844,1.42336,3.55107,1.10673,29.7078,0.123562,0.923691,0.569746,53.6756
22,CXCL13,0.0413495,5.16943,1.80252,12.3406,35.8027,4.2982,20.3493,23.0044,0.491278,1.20819,12.9855
23,CYP4F8,0.0480191,2.12906,0.113976,0.0,14.2902,3.67657,9.35929,0.00678974,0.0,0.773279,21.6456
24,DBI,412.371,191.773,61.8241,19.3784,327.348,114.674,121.336,152.017,144.903,82.4001,74.6477
25,DEFB1,3.16262,0.0,0.17211,1.33079,10.0555,12.7599,0.0,0.0,7.16452,1.06093,24.0657
26,DHCR24,38.1374,10.783,6.56267,65.7614,97.5112,140.125,75.9645,3.88958,68.2719,17.0317,50.351
27,DUSP5,2.66143,4.10793,2.98412,3.47578,14.6225,5.98185,14.2512,0.0,1.50819,3.52254,4.34839
28,FABP7,2.25652,3.78089,19.2089,0.0,1157.06,0.0,0.405342,66.6622,8.46856,13.5345,0.713272
