,gene_short_name,V515-06187-A1,TNT-79,TNT-313,TNT-154,TNT-71,TNT-98,TNT-16,17-00252-2_S13Aligned_cufflinks,TNT-2,17-00118-2_S5Aligned_cufflinks,17-00131-5_S8Aligned_cufflinks
0,ABCA8,1.07397,1.87166,11.8392,0.0856442,12.9025,46.1161,16.1221,10.1006,11.3424,24.4092,3.02603
1,ADRA2A,0.196819,0.0,0.166689,0.0192695,0.126597,0.44963,1.7823,0.666199,0.725975,3.19406,0.425611
2,AKAP12,3.75243,1.64424,5.92393,2.75083,3.09258,5.98117,14.6167,3.59153,4.33016,14.0568,0.384289
3,ALDH3B2,34.613,41.6244,0.129083,2.17118,24.6302,8.66927,303.041,57.0737,59.8633,3.29726,15.5005
4,APOD,101.548,9.53523,68.6262,28.4883,769.014,165.228,3948.76,2264.75,61.0149,185.233,1.23954
5,ART3,19.2103,2.56881,5.75635,83.5134,47.9684,0.235613,0.0,2.61983,1.16911,0.0,0.635686
6,ASPN,31.1651,18.7191,30.4671,41.7317,21.4233,28.8722,169.588,17.5097,8.07027,16.7672,2.46604
7,AZGP1,64.9749,9.81098,86.0315,496.663,39.1429,5.12935,362.406,375.78,166.081,72.8132,5.05111
8,BLVRB,6.57613,1.21768,2.56904,4.76439,2.8226,6.78249,6.56034,9.26335,3.12197,1.83964,2.44601
9,C7,0.29143,0.483138,2.91216,0.0602834,0.806282,25.5063,16.1138,11.5843,2.34158,24.8705,0.593221
10,CCL5,1.03708,2.0161,6.95546,28.65,7.98503,25.8249,2.45249,0.0,69.8738,3.56215,5.70474
11,CD36,36.5005,15.2303,7.60346,27.1698,18.241,44.3127,33.7502,40.6657,39.5145,119.607,9.64332
12,CD52,5.15236,15.6613,146.87,2.16431,27.5781,94.6313,9.98149,19.3989,205.116,2.24641,3.68263
13,CDC20,19.1111,16.0607,4.35256,5.51993,7.51188,1.15338,4.69409,2.81438,7.6301,0.0,8.15222
14,CHI3L1,52.4824,9.11061,122.696,10.7803,304.561,4.21273,2.78629,2.7861,84.8944,12.7697,168.771
15,COL2A1,124.822,0.270489,0.485265,0.0873241,0.165655,0.0772557,0.0761304,0.157048,0.062383,0.0,0.0350637
16,COL5A1,145.37,15.6803,57.3617,42.7856,30.2796,42.4369,148.389,57.8154,43.5105,52.95,11.9765
17,COL5A2,202.313,28.0294,79.4514,47.9239,70.6025,46.0351,246.925,105.309,58.4864,24.6562,14.2269
18,CRAT,3.09639,3.88411,0.906711,2.39557,6.56194,25.9658,23.7683,30.4788,3.44216,10.0312,1.26799
19,CROT,17.2031,16.9931,9.1463,14.3596,5.04884,8.24655,70.0792,37.0803,10.2353,11.6213,5.52752
20,CXCL10,2.29941,88.0438,48.9679,33.6507,219.018,197.953,2.78132,17.8862,100.163,3.6803,58.1687
21,CXCL11,0.642556,5.25959,3.51615,4.87385,11.3213,53.6756,0.439709,3.95835,8.15934,0.0,8.21909
22,CXCL13,0.0413495,4.22829,64.2703,0.332221,29.1612,12.9855,0.740487,5.9954,48.4832,0.0,9.9852
23,CYP4F8,0.0480191,0.0,0.150132,0.0,0.0,21.6456,1.66215,0.20557,0.73018,0.0,0.0
24,DBI,412.371,202.238,139.847,147.326,162.036,74.6477,229.267,141.197,140.363,19.5872,19.1439
25,DEFB1,3.16262,0.128772,0.954595,0.0,34.9808,24.0657,7.23493,0.207869,21.423,0.0,2.9607
26,DHCR24,38.1374,30.7697,20.656,11.695,41.8574,50.351,160.55,108.111,56.9426,14.4419,7.69733
27,DUSP5,2.66143,1.16378,7.48927,2.10403,3.61122,4.34839,19.7283,1.75253,13.1152,11.1119,1.1767
28,FABP7,2.25652,3.73264,0.0867112,0.357028,0.740728,0.713272,4.11583,7.67591,0.0,0.428058,0.609712
29,FASN,124.609,15.2351,2.98044,52.6081,7.28892,9.73159,955.989,636.474,30.5933,23.8917,141.922
30,FGFR4,2.32432,0.435912,0.253247,0.327716,0.162787,0.0,13.4786,12.591,7.58388,1.08178,0.555021
31,FGL2,2.48121,2.55079,5.94021,4.60628,4.60607,15.2264,3.33994,5.83078,13.7442,3.54424,9.03785
32,FOXA1,1.38574,0.497145,1.1556,0.0,5.15771,40.2709,106.896,154.413,55.8235,90.0389,0.399233
33,FOXC1,9.10755,17.57,47.1304,26.0512,27.0297,12.4904,4.09098,3.43366,2.45497,15.4442,71.1802
34,GABRP,8.66089,888.057,236.085,827.906,664.103,391.156,2.34216,1.59203,0.944281,123.86,192.759
35,GALNT7,12.4003,18.839,16.6628,27.9426,30.12,26.8092,103.531,105.712,57.6309,17.0883,13.0624
36,GBP1,41.394,257.492,222.533,106.422,69.4365,319.245,76.4035,66.9108,297.692,50.1795,226.399
37,GCHFR,0.422531,0.13666,0.0,0.0,0.0,0.279883,1.26429,0.55625,0.886545,0.0,0.589551
38,GPR87,0.951488,0.265473,0.22917,7.91863,1.21789,1.56249,0.616439,0.048275,0.0,1.69062,1.20162
39,GZMB,1.4986,2.91701,3.70516,16.5766,4.58183,10.0195,0.716539,2.13779,29.9223,0.0,5.46104
40,HGD,4.21735,0.746105,0.120586,0.0,4.08314,15.2235,71.809,138.276,6.07336,0.460552,0.948775
