,gene_short_name,V515-06187-A1,TNT-272,TNT-81,TNT-282,17-00113-4_S11_cufflinks,TNT-269,TNT-16,TNT-53,TNT-322,TNT-265,17-00140-2_S2_cufflinks
0,ABCA8,1.07397,4.83654,1.02282,4.67702,15.3024,9.26357,16.1221,12.7482,2.96949,2.63255,4.1809
1,ADRA2A,0.196819,0.0985654,0.0734277,0.0181278,1.17333,0.0965076,1.7823,0.0994593,0.471202,0.860494,0.974128
2,AKAP12,3.75243,5.09248,3.73951,3.37991,3.48712,11.6325,14.6167,2.72579,10.0738,4.09434,1.05279
3,ALDH3B2,34.613,9.05696,3.98663,14.2492,0.0,1.61673,303.041,0.586071,2.39686,7.94478,25.7805
4,APOD,101.548,49.2309,14.2743,1.37445,364.672,17.7364,3948.76,108.636,43.1584,3.24389,4.29317
5,ART3,19.2103,2.09522,495.448,1.17116,34.7165,33.2699,0.0,384.85,30.7849,29.0535,9.72088
6,ASPN,31.1651,20.8546,10.681,10.9442,24.2658,31.201,169.588,30.5316,71.8074,6.48189,10.1457
7,AZGP1,64.9749,12.4713,482.125,58.3199,1.9705,58.5012,362.406,239.112,78.8806,109.885,60.7934
8,BLVRB,6.57613,2.17826,1.83979,2.42049,1.36413,0.896836,6.56034,2.26478,1.60934,2.82875,3.62414
9,C7,0.29143,4.18377,0.195679,0.311238,1.0167,6.17838,16.1138,2.08852,6.31146,16.1298,0.0
10,CCL5,1.03708,2.47439,8.62397,7.18878,18.6956,3.93235,2.45249,29.3619,1.69886,6.73407,0.0
11,CD36,36.5005,32.304,13.4593,31.9388,17.7305,33.2638,33.7502,35.2486,28.7743,69.7685,44.8475
12,CD52,5.15236,23.3953,16.5691,28.9883,10.3919,24.7288,9.98149,13.2733,13.838,370.823,6.33001
13,CDC20,19.1111,9.27132,22.4607,16.4631,13.2209,10.3008,4.69409,16.9774,6.0292,22.7002,9.59021
14,CHI3L1,52.4824,32.4326,147.222,10.2047,14.252,22.9312,2.78629,47.8151,35.8325,22.1167,31.4808
15,COL2A1,124.822,0.0828534,0.299693,0.205631,40.7805,3.86954,0.0761304,31.4125,53.7069,0.120885,0.0222491
16,COL5A1,145.37,51.0628,24.3791,8.00722,68.1556,91.8004,148.389,57.393,112.952,6.09765,87.0433
17,COL5A2,202.313,69.0274,58.7019,9.29631,101.402,109.732,246.925,62.0196,161.199,8.16721,50.7685
18,CRAT,3.09639,1.55397,2.05338,1.76532,2.69333,4.34124,23.7683,4.58664,4.34071,2.73679,6.3588
19,CROT,17.2031,7.78673,4.48754,17.5883,5.8188,6.66257,70.0792,3.75997,12.2274,5.86815,18.901
20,CXCL10,2.29941,24.672,121.374,44.8489,26.4345,41.6064,2.78132,1027.76,18.7623,56.437,63.1842
21,CXCL11,0.642556,3.95012,8.79376,6.8698,5.58739,5.55652,0.439709,117.484,4.62877,20.7628,18.5376
22,CXCL13,0.0413495,5.80509,9.30649,41.0339,7.41406,13.0681,0.740487,13.8145,3.45115,79.1886,16.208
23,CYP4F8,0.0480191,0.0274281,0.0,8.54897,0.0,0.585101,1.66215,0.446875,0.319508,0.134844,0.467581
24,DBI,412.371,138.503,212.48,94.6861,79.2129,128.767,229.267,341.228,322.902,206.401,52.3533
25,DEFB1,3.16262,15.2837,0.684066,39.0385,0.0,1.89863,7.23493,1.69422,0.0,5.6752,7.87098
