,gene_short_name,V515-06187-A1,TNT-111,TNT-231,TNT-210,TNT-252,TNT-240,17-00252-2_S13Aligned_cufflinks,TNT-57,TNT-26,TNT-325,17-00119-5_S5_cufflinks
0,ABCA8,1.07397,14.8562,3.88278,9.09564,8.54573,4.22404,10.1006,6.46901,4.23117,1.18126,4.38939
1,ADRA2A,0.196819,1.03917,1.04498,0.335962,0.303387,0.0,0.666199,0.408656,0.999606,0.271846,1.83867
2,AKAP12,3.75243,15.7074,8.51694,6.16654,3.34193,4.96255,3.59153,6.26016,16.1452,2.18196,12.7491
3,ALDH3B2,34.613,575.453,10.2769,8.86323,0.0,0.0,57.0737,0.100817,2.66442,34.041,2.70957
4,APOD,101.548,10225.5,279.533,9.57364,7.80339,0.97078,2264.75,51.8919,23.2556,61.197,24.8244
5,ART3,19.2103,0.175385,0.0,1.00164,0.337303,267.907,2.61983,29.1496,11.4363,0.0,0.22605
6,ASPN,31.1651,130.499,29.2722,7.55605,15.8789,11.6138,17.5097,78.5235,99.8197,42.7013,12.4372
7,AZGP1,64.9749,1218.82,316.875,22.0424,7.40158,1.17118,375.78,118.518,8.42855,1.1505,8.47719
8,BLVRB,6.57613,7.4401,2.59229,2.09601,0.871201,1.01991,9.26335,4.33147,1.88214,1.88931,2.12154
9,C7,0.29143,2.59044,3.38337,64.0085,24.0301,0.303186,11.5843,2.87842,1.55763,0.823103,415.24
10,CCL5,1.03708,1.97053,4.01815,4.16558,2.64418,56.2359,0.0,3.70974,0.328596,47.0465,0.0
11,CD36,36.5005,94.8575,21.4639,32.1363,13.2741,0.331216,40.6657,21.4543,27.8522,13.2001,39.1275
12,CD52,5.15236,24.4018,72.6561,785.451,437.321,225.587,19.3989,16.7951,2.72588,320.424,114.693
13,CDC20,19.1111,3.73782,24.5621,11.3893,7.2855,1.93134,2.81438,26.4927,14.2065,10.4861,2.32812
14,CHI3L1,52.4824,7.57694,0.0151373,6.51311,0.0682052,12.467,2.7861,15.99,20.8098,9.58912,1.54651
15,COL2A1,124.822,0.0,0.111929,0.364705,0.0,12.0136,0.157048,0.548056,105.473,0.0,0.0473942
16,COL5A1,145.37,219.154,87.8761,4.59031,2.78046,6.52259,57.8154,87.4963,269.701,32.1635,23.2912
17,COL5A2,202.313,458.394,82.9914,6.9018,6.94899,13.8008,105.309,121.088,409.89,39.9525,27.0054
18,CRAT,3.09639,70.4712,4.96534,1.08367,0.663326,4.80961,30.4788,8.62563,3.72703,9.22186,3.23364
19,CROT,17.2031,61.6759,10.7887,22.811,14.7668,0.0727257,37.0803,4.78488,5.29179,7.78834,10.7352
20,CXCL10,2.29941,3.96971,39.3975,18.9374,12.4893,630.34,17.8862,4.72286,4.17567,85.8427,17.0314
21,CXCL11,0.642556,0.353852,14.1107,5.38728,2.66393,44.9543,3.95835,0.976804,0.0,3.55874,11.8683
22,CXCL13,0.0413495,23.2391,52.2161,174.019,106.426,91.6347,5.9954,2.67622,1.4694,47.4504,30.9216
23,CYP4F8,0.0480191,10.0194,0.010545,0.0,0.0,0.0414823,0.20557,0.859841,0.0,0.0,0.0
24,DBI,412.371,701.686,105.985,66.3788,55.1479,118.743,141.197,123.693,99.8671,21.2225,67.8746
25,DEFB1,3.16262,0.0,6.56505,3.5428,0.0,0.0,0.207869,0.239474,0.0,50.9421,1.44756
26,DHCR24,38.1374,109.752,52.1513,10.8391,2.528,0.817277,108.111,26.688,15.2315,62.9418,4.19175
27,DUSP5,2.66143,9.23302,12.2249,3.76666,2.4734,19.3721,1.75253,2.64648,4.38127,4.8256,11.8552
28,FABP7,2.25652,289.357,0.166318,5.07499,0.0,0.665736,7.67591,33.7576,1.10902,0.0,0.571087
29,FASN,124.609,122.384,11.447,6.79925,1.5318,2.22264,636.474,20.7734,5.82045,10.8743,20.8026
30,FGFR4,2.32432,8.91163,0.0,0.630999,0.0,0.0,12.591,0.19916,0.560783,6.60236,1.18964
31,FGL2,2.48121,2.79398,11.6829,12.5431,12.8518,1.62754,5.83078,3.20866,1.51398,7.19821,13.6287
32,FOXA1,1.38574,201.456,107.32,0.49807,3.50368,0.212673,154.413,1.82645,0.363042,23.6446,8.50756
33,FOXC1,9.10755,3.58246,5.24262,17.6875,7.21536,75.5876,3.43366,53.8272,62.2426,13.7862,27.3498
34,GABRP,8.66089,9.12478,40.2214,194.545,1.02746,316.714,1.59203,573.122,138.871,271.083,22.5738
35,GALNT7,12.4003,49.7457,45.0253,34.6812,18.9048,14.0325,105.712,11.9499,19.6479,22.686,12.5529
36,GBP1,41.394,45.8172,82.1542,105.32,121.363,470.393,66.9108,99.511,54.4518,194.968,218.482
37,GCHFR,0.422531,1.04278,0.0,0.0,0.227852,0.0,0.55625,0.167516,0.1355,0.0,0.572959
38,GPR87,0.951488,0.301862,0.0,1.70914,0.766842,0.106292,0.048275,1.00728,0.826563,42.6912,0.173787
39,GZMB,1.4986,2.45732,4.58215,17.1947,8.41786,54.2343,2.13779,1.48368,0.119188,14.0912,4.79188
40,HGD,4.21735,24.7993,6.21582,1.94053,1.45083,0.0418277,138.276,13.2817,0.244245,0.0,0.634893
41,HTRA1,91.2943,201.751,30.4542,13.053,5.43078,6.53994,49.4055,72.1096,169.942,11.641,75.21
42,IDO1,0.291424,1.66038,86.3031,11.5801,15.7534,3.4327,3.06081,1.98322,0.879626,166.96,11.7061
43,IGFBP4,13.3498,3.91104,2.07548,0.756397,0.0,0.0745325,13.3171,4.93166,1.37054,4.30028,18.3406
44,IGHM,55.219,595.725,483.259,213.528,106.34,597.353,0.0,31.8551,3.04095,148.997,0.0
45,IGJ,20.0186,212.216,690.221,256.643,328.976,100.612,328.423,40.1732,21.932,45.9523,848.005
46,IGKC,182.346,1492.04,7960.46,1661.32,992.901,7653.8,6002.41,1984.64,127.93,1067.08,5155.81
47,IL23A,0.0490073,0.0,0.0,0.0733852,0.0,0.0,0.314108,0.0454602,0.083901,0.0,0.749035
48,IL33,0.883329,0.690708,10.9333,21.638,15.2296,0.268377,3.52174,0.692623,1.17252,0.101108,10.104
49,INPP4B,37.1722,59.8419,81.5535,29.0362,58.8828,8.53091,20.183,6.03674,13.2894,48.1165,42.2099
50,ITM2A,5.13433,9.24223,66.1656,39.1693,45.778,0.105632,17.6302,23.561,6.31847,3.70503,46.61
51,JAM2,11.2143,13.8203,1.47935,9.67866,8.81388,0.0881896,11.0531,6.3534,10.5988,12.4208,17.4894
52,KCNK5,7.32046,0.153093,0.587631,0.583528,0.0,0.107842,0.294427,1.77673,8.64592,1.05113,0.260677
53,KIAA1324,6.46799,125.869,8.24147,23.6154,5.25825,10.908,126.189,2.57743,31.4718,8.68953,29.6361
54,KMO,1.44589,14.655,10.9062,28.6846,21.5079,2.61844,34.7942,1.47099,0.646642,0.0,9.29535
55,KRT14,118.371,6.89034,2.55607,2.74332,0.0739849,0.409527,5.01213,1136.84,491.849,3.03677,8.22153
56,KRT16,91.0343,1.90386,1.04947,23.75,0.145122,0.552605,0.658549,139.312,147.095,3.34785,0.399931
57,KRT17,105.347,4.03414,55.7271,30.2448,1.70607,2.04527,8.48678,701.986,165.311,0.476007,2.72871
58,KRT6A,54.2242,2.37252,386.178,107.251,0.0,1.48816,4.24371,57.0774,1080.32,34.6454,5.65316
59,KRT6B,86.6584,1.76653,18.7064,120.655,0.0526903,1.18657,0.448112,140.572,476.639,124.629,0.318894
60,KYNU,14.7879,172.138,78.1365,31.8261,29.8573,25.463,44.1455,10.002,4.17852,10.7773,6.0292
61,LBP,0.573258,32.7845,6.15042,1.41346,1.23834,0.0,6.03514,0.338633,0.125061,0.0,0.0936314
62,LHFP,2.0952,2.58615,1.33739,1.50736,0.400838,0.0,1.97984,1.29417,3.19932,1.67851,4.24425
