,gene_short_name,V515-06187-A1,17-00122-1_S1_cufflinks,17-00127-8_S3Aligned_cufflinks,TNT-325,TNT-245,TNT-67,17-00110-9_S15Aligned_cufflinks,17-00105-7_S10_cufflinks,TNT-214,17-00258-5_S5Aligned_cufflinks,TNT-152
0,ABCA8,1.07397,15.2547,5.2732,1.18126,8.9799,38.3062,0.943892,15.2433,6.30619,6.53624,28.3027
1,ADRA2A,0.196819,1.06565,0.0,0.271846,0.139203,0.801187,0.184313,1.61281,0.53439,0.656837,0.562541
2,AKAP12,3.75243,3.36502,1.2662,2.18196,5.12106,27.6458,0.618114,20.4997,6.27307,3.78971,19.0715
3,ALDH3B2,34.613,19.7483,3.25937,34.041,4.80485,33.9557,21.1902,2.31326,5.43093,0.884181,134.872
4,APOD,101.548,39.0799,81.4037,61.197,6.02412,850.293,0.847162,82.3389,78.8272,70.1232,3238.15
5,ART3,19.2103,0.0,34.0727,0.0,5.12479,0.535039,1.70454,0.372426,92.4518,93.7437,0.0
6,ASPN,31.1651,22.2786,0.0,42.7013,12.6273,175.454,8.79653,41.4929,5.46924,3.796,89.7133
7,AZGP1,64.9749,21.2686,195.738,1.1505,0.815736,391.013,71.6802,5.05436,603.787,121.947,678.875
8,BLVRB,6.57613,2.08356,0.0,1.88931,2.28742,3.14037,3.21779,2.24939,2.09444,2.68466,9.51428
9,C7,0.29143,16.0706,0.0,0.823103,11.4507,52.2921,0.145938,18.676,19.8767,10.2181,41.1971
10,CCL5,1.03708,0.0,0.0,47.0465,4.07395,15.48,0.0,5.25453,9.4678,0.0,12.9609
11,CD36,36.5005,6.42672,0.0,13.2001,9.4337,175.374,4.6544,26.3072,20.8269,28.5228,35.2708
12,CD52,5.15236,12.6459,0.0,320.424,207.293,39.5948,4.91219,2.14786,80.1085,18.8695,82.2545
13,CDC20,19.1111,28.4023,19.4809,10.4861,4.63374,0.482607,36.4559,2.38084,33.0613,23.2123,4.50527
14,CHI3L1,52.4824,3.28866,3.86062,9.58912,1.14299,4.42293,0.82377,4.30004,1.5293,33.0192,0.786117
15,COL2A1,124.822,5.51192,9.34079,0.0,0.0,0.0,20.099,0.613052,0.0,1.45759,0.0
16,COL5A1,145.37,105.517,74.985,32.1635,19.2176,143.662,58.6796,145.623,23.8546,34.1131,108.138
