,gene_short_name,V515-06187-A1,17-00163-6_S7Aligned_cufflinks,TNT-220,TNT-219,TNT-123,TNT-4,TNT-53,17-00113-4_S11_cufflinks,TNT-274,TNT-288,TNT-113
0,ABCA8,1.07397,0.770148,29.3376,11.2782,4.65218,37.7185,12.7482,15.3024,1.87787,10.8786,6.802
1,ADRA2A,0.196819,0.0657186,1.45258,0.249391,0.11801,4.02106,0.0994593,1.17333,0.0,0.283499,1.08531
2,AKAP12,3.75243,1.2357,15.2167,10.7207,3.79732,17.7207,2.72579,3.48712,2.28224,16.0737,12.1145
3,ALDH3B2,34.613,2.97506,0.906112,6.22725,5.94829,42.5699,0.586071,0.0,4.41511,0.561817,4.95691
4,APOD,101.548,57.5143,121.15,53.501,24.5266,2583.61,108.636,364.672,1713.18,110.571,207.709
5,ART3,19.2103,80.791,53.4512,1.06999,4.06834,0.0,384.85,34.7165,9.25212,3.38112,4.94533
6,ASPN,31.1651,20.2771,24.9223,27.237,24.7914,315.638,30.5316,24.2658,14.8356,117.07,14.3444
7,AZGP1,64.9749,59.9678,129.656,100.254,99.2913,298.58,239.112,1.9705,9.61207,19.9515,17.8315
8,BLVRB,6.57613,8.24161,1.24432,4.64941,2.18791,7.36637,2.26478,1.36413,0.0,3.17771,3.42228
9,C7,0.29143,1.01661,368.54,122.073,0.429463,8.53666,2.08852,1.0167,0.905123,2.26989,1.1787
10,CCL5,1.03708,0.0,16.9124,18.7046,2.78857,13.303,29.3619,18.6956,1.50133,1.42702,31.8243
11,CD36,36.5005,19.9552,25.9295,16.0908,15.422,100.477,35.2486,17.7305,6.41063,21.039,31.2782
12,CD52,5.15236,4.53303,233.482,123.578,70.4409,48.9762,13.2733,10.3919,13.366,1.79485,157.061
13,CDC20,19.1111,33.2568,0.0,3.64656,22.9872,2.96756,16.9774,13.2209,3.08772,35.8456,50.0459
14,CHI3L1,52.4824,183.889,3.21441,0.043036,60.4696,5.7134,47.8151,14.252,6.41977,14.8201,12.6521
15,COL2A1,124.822,8.5081,0.333077,4.67146,1.02857,0.149369,31.4125,40.7805,0.114744,59.1868,0.0
16,COL5A1,145.37,40.8437,10.2585,47.8762,9.17789,225.483,57.393,68.1556,20.4873,299.167,13.4753
17,COL5A2,202.313,41.0361,17.6737,49.8738,26.7663,308.353,62.0196,101.402,25.2911,316.313,46.0854
18,CRAT,3.09639,9.7429,4.51501,3.71347,6.53709,14.7289,4.58664,2.69333,1.1721,6.10748,19.5146
19,CROT,17.2031,5.1833,16.9421,18.417,2.65129,47.6286,3.75997,5.8188,2.95221,10.527,14.5467
20,CXCL10,2.29941,24.1237,18.2258,25.0919,47.5692,39.4233,1027.76,26.4345,325.168,4.03918,290.819
21,CXCL11,0.642556,1.88411,1.35964,4.67742,7.40885,8.87846,117.484,5.58739,35.8203,1.12534,36.1052
22,CXCL13,0.0413495,1.72447,26.0305,13.2194,18.4192,46.0943,13.8145,7.41406,3.7417,3.11947,155.442
23,CYP4F8,0.0480191,0.0,0.0,0.0,0.24915,27.8697,0.446875,0.0,0.285248,0.703976,0.0
24,DBI,412.371,307.908,205.258,76.507,347.116,273.298,341.228,79.2129,228.334,91.1501,147.908
25,DEFB1,3.16262,0.14658,0.0,0.0,1.62327,1.95276,1.69422,0.0,0.0,0.348327,0.0
26,DHCR24,38.1374,62.1057,0.44259,68.512,17.5614,25.3035,20.8399,4.51013,13.0241,23.7835,9.0368
27,DUSP5,2.66143,0.552712,4.8123,6.56814,2.76943,9.61596,4.52794,2.29512,0.0136769,3.32927,6.14911
28,FABP7,2.25652,5.85038,2.41871,0.0,19.9956,1.97922,0.566084,7.17503,0.847085,20.3719,0.0481688
29,FASN,124.609,95.661,5.13523,53.3196,3.01758,69.4728,10.4043,36.0866,2.94285,18.5795,2.73138
30,FGFR4,2.32432,4.11049,0.0,0.0,0.907833,1.93565,0.230451,0.484282,1.53433,3.64999,0.0
31,FGL2,2.48121,1.78384,13.1522,6.80796,3.14344,18.1586,5.87532,3.70126,3.15432,2.4655,14.189
32,FOXA1,1.38574,0.108081,2.55031,91.4593,1.76614,44.0487,0.2382,1.02879,2.99895,0.323396,0.184148
33,FOXC1,9.10755,78.4953,14.558,0.735023,29.8336,6.6412,34.1132,44.431,122.176,73.7762,38.9412
34,GABRP,8.66089,542.833,204.752,0.0,39.4466,3.76132,837.778,461.206,0.0,16.815,427.715
35,GALNT7,12.4003,33.3183,18.5998,42.2046,3.91766,29.7102,12.0992,17.6967,56.3736,5.88805,32.677
36,GBP1,41.394,46.4511,79.1625,95.0405,239.401,117.684,169.811,75.7986,289.868,217.057,282.29
37,GCHFR,0.422531,0.465567,0.0,0.0,0.0,0.344589,0.0,0.0,0.0,0.0,0.0
38,GPR87,0.951488,0.133773,8.70819,0.96726,0.511436,0.0,0.657897,1.64538,0.0,0.800444,0.0
39,GZMB,1.4986,1.03451,29.3709,4.36542,1.45646,1.33328,5.61985,2.88027,17.3612,0.375847,37.6163
40,HGD,4.21735,24.1865,1.22995,5.92545,12.8727,6.88391,0.533701,1.52329,3.81734,1.92722,0.0
41,HTRA1,91.2943,14.6065,33.9299,58.4941,12.3716,291.691,18.0935,48.8061,10.6053,82.3084,22.529
42,IDO1,0.291424,1.14673,41.4352,11.2391,5.15896,1.58873,14.6102,3.82295,10.4194,2.89899,39.3203
43,IGFBP4,13.3498,4.64398,2.13012,2.90062,0.238274,7.64763,2.04998,12.6485,0.249551,5.49812,2.82959
44,IGHM,55.219,18.7739,59.7954,168.525,46.5165,43.9422,45.6794,0.0,5.69487,1.60124,268.148
45,IGJ,20.0186,13.3345,192.062,240.695,86.7227,218.31,140.383,33.6241,71.1838,4.11939,155.94
46,IGKC,182.346,961.871,872.279,8029.29,5601.96,980.865,503.449,606.637,137.195,30.4239,5559.58
47,IL23A,0.0490073,0.0545834,0.0685048,0.0,0.0,0.0,0.253118,0.619544,0.0,0.195698,0.0
48,IL33,0.883329,0.150471,11.5935,5.45782,2.03419,5.82513,0.556894,2.72849,0.489173,0.20175,1.15545
49,INPP4B,37.1722,6.14113,37.2771,47.1711,7.55487,26.069,7.19501,8.61467,1.88666,2.2043,46.5469
50,ITM2A,5.13433,2.36489,15.027,46.4792,15.3539,15.3956,12.1728,6.46899,3.16641,7.76191,24.0381
51,JAM2,11.2143,1.97447,23.5515,6.03214,2.93659,17.8065,4.91331,6.65171,2.83227,13.6999,3.97831
52,KCNK5,7.32046,3.80893,0.853324,0.0989018,0.608428,0.166799,0.602485,0.70677,1.75965,1.51053,0.340533
53,KIAA1324,6.46799,29.0089,71.7494,81.4101,3.08357,15.1323,10.5274,10.0233,90.2955,33.3498,22.8026
54,KMO,1.44589,3.89631,4.30213,4.78878,4.42598,7.90998,14.9961,13.7969,10.4531,2.1727,5.52365
55,KRT14,118.371,12.3077,4.63945,0.12216,5.37247,3.8259,0.707408,161.559,2.43413,43.4194,78.6777
56,KRT16,91.0343,331.452,17.8774,2.40834,77.8206,9.11002,18.87,25.2559,1.62035,19.4252,50.6836
57,KRT17,105.347,128.648,1.41744,0.0,21.0044,15.2766,16.6569,332.388,5.19917,62.891,29.8449
58,KRT6A,54.2242,7.01012,36.0657,0.0207626,38.9155,43.7876,17.2934,16.0704,0.0,15.5285,120.645
59,KRT6B,86.6584,36.4685,15.952,0.742875,7.53217,10.2424,35.8075,38.2187,0.254395,6.06978,54.9532
60,KYNU,14.7879,17.2676,19.1427,8.8547,7.17154,69.6869,16.0255,23.7754,0.778669,3.78312,10.4972
61,LBP,0.573258,0.215567,0.0,0.0,3.13134,183.902,2.55733,0.52182,0.0905424,0.935546,3.7789
62,LHFP,2.0952,0.448266,0.921824,1.40999,0.700106,2.3965,0.0936955,0.965126,0.0521159,1.93824,0.132844
63,MFAP4,1.60954,0.849838,16.8975,8.48944,0.711885,20.6016,1.21515,8.52027,0.786759,2.09456,0.0752608
64,MIA,21.0747,47.2477,21.5567,1.07783,3.80292,0.0,8.06811,5.36339,34.0697,26.9481,0.0
65,MID1,36.2366,28.5098,26.0472,3.86644,29.3874,24.7647,10.9874,19.5958,2.04568,51.7699,8.52765
66,MYBL1,4.60362,82.4844,12.8625,9.22631,111.205,3.44517,145.508,34.5411,3.60008,21.9376,30.3994
67,NEK2,17.1321,32.5305,1.59091,6.11541,33.2685,3.7872,78.344,35.7282,63.7908,23.2893,52.4039
68,NTN3,0.0235576,0.0,0.0,0.0,0.0,0.0,0.0499616,0.0,0.0,0.0,0.0
69,OGN,1.27872,1.08168,45.4451,9.62504,18.6286,82.4171,18.1887,9.56079,18.3085,146.24,13.3446
70,PI3,0.0,4.07075,0.274777,0.0,0.281125,2.09959,4.59305,14.1712,0.0,0.942434,5.16361
