,gene_short_name,V515-06187-A1,TNT-328,TNT-311,TNT-80,TNT-300,17-00258-5_S5Aligned_cufflinks,17-00163-6_S7Aligned_cufflinks,17-00280-7_S4Aligned_cufflinks,TNT-223,TNT-278,TNT-154
0,ABCA8,1.07397,9.23817,34.8692,22.0769,2.02342,6.53624,0.7701479999999999,1.9610400000000001,11.3176,6.094869999999999,0.0856442
1,ADRA2A,0.196819,0.0,0.0496502,0.013179399999999999,0.019426099999999998,0.656837,0.0657186,0.330945,0.0,0.0,0.0192695
2,AKAP12,3.7524300000000004,9.39584,15.4658,2.49283,1.30359,3.78971,1.2357,1.98968,2.91052,4.77909,2.75083
3,ALDH3B2,34.613,14.562000000000001,0.5624600000000001,58.4224,11.2568,0.884181,2.97506,75.8959,8.826939999999999,1.8783400000000001,2.17118
4,APOD,101.54799999999999,32.4682,582.871,819.493,4.160830000000001,70.1232,57.5143,25.2137,634.054,86.3132,28.4883
5,ART3,19.2103,13.5651,379.806,0.0,547.518,93.7437,80.791,0.025776499999999997,0.0,0.0,83.5134
6,ASPN,31.1651,15.9623,46.0267,14.3354,11.5862,3.7960000000000003,20.2771,12.2085,25.1588,11.8417,41.7317
7,AZGP1,64.9749,39.4368,580.643,29.0099,175.447,121.947,59.9678,140.03,189.675,134.856,496.663
8,BLVRB,6.57613,1.26662,0.5977600000000001,4.11966,0.0,2.68466,8.241610000000001,4.51035,2.24178,0.0,4.764390000000001
9,C7,0.29143,0.0,8.6817,0.597286,0.34566199999999997,10.2181,1.01661,1.8111099999999998,21.6657,19.5287,0.06028340000000001
10,CCL5,1.03708,1.60917,2.70085,17.3256,3.9392199999999997,0.0,0.0,0.0,2.0409900000000003,8.68593,28.65
11,CD36,36.5005,18.5983,25.2541,29.4388,11.0441,28.5228,19.9552,13.3628,2.84832,36.6558,27.1698
12,CD52,5.15236,0.0,21.335,157.474,21.7633,18.8695,4.53303,23.5318,36.0713,147.046,2.16431
13,CDC20,19.1111,10.2348,8.48748,10.062999999999999,26.3353,23.2123,33.2568,8.15715,1.58792,1.44794,5.5199300000000004
14,CHI3L1,52.4824,30.5357,0.922415,2.5819799999999997,65.2282,33.0192,183.889,3.3229800000000003,1.17865,0.1863,10.7803
15,COL2A1,124.822,147.203,0.0,0.0,0.035179699999999994,1.45759,8.5081,0.019504300000000002,0.0,0.0171505,0.08732410000000002
16,COL5A1,145.37,38.532,45.4507,21.4176,35.0878,34.1131,40.8437,44.028,43.7951,27.0808,42.7856
17,COL5A2,202.313,25.6229,72.8625,28.2956,51.2796,47.3189,41.0361,82.8314,33.5457,52.0394,47.9239
18,CRAT,3.09639,3.56428,0.434016,1.06871,1.56885,7.21592,9.7429,24.1691,26.14,0.810681,2.39557
19,CROT,17.2031,8.11488,4.08553,29.4058,8.746210000000001,10.1169,5.1833,15.8075,24.6569,24.511999999999997,14.3596
20,CXCL10,2.29941,8.52238,27.689,89.9105,153.815,16.6569,24.1237,50.6872,1.15513,105.664,33.6507
21,CXCL11,0.642556,0.0,5.85182,17.3448,16.6523,7.99702,1.88411,10.4707,2.02828,8.25464,4.87385
22,CXCL13,0.0413495,0.0,5.80727,22.875,23.0488,2.88489,1.7244700000000002,11.7207,0.10202699999999999,50.2738,0.332221
23,CYP4F8,0.048019099999999995,0.0,0.149097,8.743139999999999,0.119626,0.0,0.0,0.562419,12.2088,3.90855,0.0
24,DBI,412.371,61.6366,155.366,260.025,118.947,166.079,307.908,128.964,128.19,90.4076,147.326
25,DEFB1,3.16262,3.2168400000000004,5.24034,0.0,17.0221,1.93523,0.14658,1.20338,0.7604770000000001,0.0,0.0
26,DHCR24,38.1374,9.57038,2.58974,50.5079,98.1209,27.1696,62.1057,57.3044,62.6917,7.5602,11.695
27,DUSP5,2.6614299999999997,3.33009,1.8477,12.2729,4.9109,2.8326,0.552712,1.67691,13.9662,1.86001,2.10403
28,FABP7,2.25652,7.262560000000001,0.259635,0.0,0.577967,2.60242,5.85038,2.61417,0.776385,0.47545699999999996,0.357028
29,FASN,124.609,4.8363,3.6021400000000003,30.1502,30.4868,68.8053,95.661,284.185,15.5662,1.5303,52.6081
30,FGFR4,2.32432,0.0,0.0657728,13.3853,2.06335,0.316761,4.11049,7.213310000000001,5.66742,0.381338,0.327716
31,FGL2,2.48121,13.4369,6.20109,12.4533,5.92215,6.2340599999999995,1.78384,9.03129,4.23182,6.265630000000001,4.60628
