,gene_short_name,V515-06187-A1,17-00212-8_S3Aligned_cufflinks,17-00114-7_S13_cufflinks,TNT-141,TNT-58,17-00100-2_S17Aligned_cufflinks,TNT-224,TNT-41,TNT-277,17-00118-2_S5Aligned_cufflinks,17-00165-0_S10Aligned_cufflinks
0,ABCA8,1.07397,10.9008,4.78456,68.4435,0.0,2.66909,11.0932,13.0061,126.537,24.4092,16.9844
1,ADRA2A,0.196819,0.804,1.9036,1.30754,0.0,0.798061,0.5215270000000001,1.04865,0.268735,3.19406,0.861454
2,AKAP12,3.7524300000000004,6.45585,7.9425,7.146210000000001,6.38661,2.76503,12.9614,7.11901,21.3352,14.0568,6.211130000000001
3,ALDH3B2,34.613,54.5406,10.6038,2.52334,3.93287,8.7501,4.94473,1.4853,3.3049800000000005,3.2972599999999996,1.1644700000000001
4,APOD,101.54799999999999,1024.91,15.2827,265.92900000000003,100.74600000000001,62.3337,72.6231,56.6557,274.556,185.233,126.973
5,ART3,19.2103,0.0878982,8.701039999999999,0.0,0.0,1.8053599999999999,2.7877400000000003,59.7037,0.0,0.0,44.8952
6,ASPN,31.1651,191.273,206.11,101.719,46.5225,28.774,241.52200000000002,247.642,80.4627,16.7672,13.6802
7,AZGP1,64.9749,257.36400000000003,3.75124,113.574,3.7303599999999997,6.16124,3.9754199999999997,16.7207,12.0988,72.8132,200.774
8,BLVRB,6.57613,80.8059,7.713710000000001,1.96374,0.152304,1.9429400000000001,3.5285300000000004,12.3493,0.734987,1.8396400000000002,4.50545
9,C7,0.29143,4.5721099999999995,3.6981800000000002,3.17775,0.0578067,1.22548,1.91188,0.657578,322.762,24.8705,14.7516
10,CCL5,1.03708,5.79704,0.0,13.5378,0.08316989999999999,10.7786,3.2060000000000004,16.4867,13.4918,3.56215,12.1232
11,CD36,36.5005,59.1195,15.9088,83.8034,8.52927,9.62158,20.0619,79.5482,51.4948,119.60700000000001,83.1513
12,CD52,5.15236,31.8435,39.7689,19.6056,0.0,8.39226,21.1463,49.562,437.41,2.24641,40.0504
13,CDC20,19.1111,3.74191,7.443230000000001,0.047745800000000005,10.7521,16.0755,10.5139,9.8534,0.0293837,0.0,9.73773
14,CHI3L1,52.4824,3.5127800000000002,25.4046,0.177651,0.872301,6.07407,3.66954,62.4796,0.246048,12.7697,37.6528
15,COL2A1,124.822,0.029408999999999998,37.2636,0.0,2.1362,1.0013,0.014313,31.3989,0.0,0.0,1.3761700000000001
16,COL5A1,145.37,109.637,106.22399999999999,76.7943,9.41421,75.7083,156.747,194.514,39.8868,52.95,43.5904
17,COL5A2,202.313,225.09400000000002,160.553,68.5018,34.2399,115.303,292.85200000000003,290.284,67.0038,24.6562,65.8261
18,CRAT,3.09639,37.2093,8.310360000000001,17.8855,0.44309,1.6138700000000001,4.7487900000000005,10.8437,1.53874,10.0312,5.4019
19,CROT,17.2031,55.8078,6.30745,5.49525,13.287,12.8803,20.3725,4.9685,9.29257,11.6213,8.936739999999999
20,CXCL10,2.29941,10.818,12.5891,28.4844,0.0,33.681,35.6,100.35799999999999,23.6985,3.6803,19.6909
21,CXCL11,0.642556,2.1760200000000003,2.87613,17.67,0.0,13.7347,6.50349,17.9766,4.14639,0.0,7.802810000000001
22,CXCL13,0.0413495,16.0517,9.07559,0.0,0.583879,12.9616,3.2785800000000003,9.70889,117.78399999999999,0.0,17.615
23,CYP4F8,0.048019099999999995,93.9124,0.0,0.0,0.0,0.0,0.064249,0.33720500000000003,0.0,0.0,0.362664
24,DBI,412.371,180.87,148.145,89.2729,221.39700000000002,82.3534,71.4454,121.199,61.8252,19.5872,113.507
25,DEFB1,3.16262,0.8506879999999999,0.373373,0.0,0.0,2.1062,75.0567,1.04105,0.0,0.0,0.49630100000000005
26,DHCR24,38.1374,41.4729,14.1302,49.9297,8.594660000000001,60.8572,35.0216,16.0402,0.32005300000000003,14.4419,28.1741
27,DUSP5,2.6614299999999997,2.6576400000000002,2.26818,20.0687,0.667679,2.8738,13.804,6.1327300000000005,9.356530000000001,11.1119,3.21569
28,FABP7,2.25652,159.575,0.439255,0.0,5.85369,10.515999999999998,0.0,2.74168,0.0,0.428058,1.89392
29,FASN,124.609,309.301,21.2144,74.7024,12.6822,77.1645,2.27257,9.581660000000001,0.5104609999999999,23.8917,103.23200000000001
30,FGFR4,2.32432,7.30337,0.0,0.0,2.1019400000000004,1.22252,1.20116,2.54454,0.138728,1.08178,2.18025
