,gene_short_name,V515-06187-A1,TNT-2,TNT-325,17-00114-7_S13_cufflinks,17-00160-1_S2Aligned_cufflinks,17-00159-1_S1Aligned_cufflinks,TNT-6,17-00111-2_S4_cufflinks,TNT-139,TNT-1,TNT-204
0,ABCA8,1.07397,11.3424,1.18126,4.78456,0.719822,1.78272,9.6574,3.13612,4.21902,47.3435,22.5552
1,ADRA2A,0.196819,0.725975,0.271846,1.9036,0.203424,0.424612,1.35793,1.38168,0.358636,0.120636,0.51488
2,AKAP12,3.75243,4.33016,2.18196,7.9425,1.14141,1.92959,11.312,6.91818,4.57451,4.00906,5.24104
3,ALDH3B2,34.613,59.8633,34.041,10.6038,5.40626,6.39422,433.613,7.41563,4.68061,8.46557,10.6186
4,APOD,101.548,61.0149,61.197,15.2827,10.1478,18.7033,13601.3,53.9198,1392.61,6.4374,431.157
5,ART3,19.2103,1.16911,0.0,8.70104,5.25832,4.70398,0.0,0.0,83.5008,0.194101,0.0
6,ASPN,31.1651,8.07027,42.7013,206.11,21.9529,19.8562,106.78,172.134,37.7036,38.4711,25.8341
7,AZGP1,64.9749,166.081,1.1505,3.75124,45.7678,48.381,1632.76,35.5573,111.613,13.4994,91.8052
8,BLVRB,6.57613,3.12197,1.88931,7.71371,3.17095,2.25105,17.4411,5.90259,1.91394,23.8841,5.31772
9,C7,0.29143,2.34158,0.823103,3.69818,0.745285,1.47221,3.83002,2.30553,5.49728,0.277686,1.40697
10,CCL5,1.03708,69.8738,47.0465,0.0,0.0,6.76955,5.02728,20.6348,4.08448,5.85725,10.1049
11,CD36,36.5005,39.5145,13.2001,15.9088,5.95287,5.67052,52.468,34.8274,19.0127,12.6625,78.1711
12,CD52,5.15236,205.116,320.424,39.7689,12.1882,14.8266,20.3981,43.6633,12.3884,28.6878,132.064
13,CDC20,19.1111,7.6301,10.4861,7.44323,12.6869,11.108,6.40956,1.21622,39.6781,10.419,2.72803
14,CHI3L1,52.4824,84.8944,9.58912,25.4046,40.6979,50.8293,0.854684,13.5814,11.9292,5.10433,0.915721
15,COL2A1,124.822,0.062383,0.0,37.2636,0.0209768,0.0353123,0.407516,0.361854,14.4149,0.0,0.0145825
16,COL5A1,145.37,43.5105,32.1635,106.224,51.4022,52.709,210.775,238.76,75.3596,136.494,23.136
17,COL5A2,202.313,58.4864,39.9525,160.553,114.544,119.371,301.151,418.121,97.3976,181.264,44.7471
18,CRAT,3.09639,3.44216,9.22186,8.31036,20.0761,18.9193,270.69,7.61619,2.73225,8.60203,8.49002
19,CROT,17.2031,10.2353,7.78834,6.30745,6.76398,9.75512,71.4203,9.11234,11.9831,8.03371,12.996
20,CXCL10,2.29941,100.163,85.8427,12.5891,31.7238,25.0864,6.60035,26.4698,66.1195,18.7691,65.778
21,CXCL11,0.642556,8.15934,3.55874,2.87613,17.1679,19.2674,0.934983,9.11358,28.2921,4.29667,12.7703
22,CXCL13,0.0413495,48.4832,47.4504,9.07559,5.12899,8.60834,1.54946,10.9874,4.47169,16.4184,12.2053
23,CYP4F8,0.0480191,0.73018,0.0,0.0,0.0,0.0,30.0292,0.0,0.0,0.0,0.254896
24,DBI,412.371,140.363,21.2225,148.145,180.298,107.402,646.11,129.475,272.917,88.0907,305.276
25,DEFB1,3.16262,21.423,50.9421,0.373373,1.33472,3.38358,0.0,2.63568,0.762547,0.0,2.15744
26,DHCR24,38.1374,56.9426,62.9418,14.1302,40.4215,27.97,231.222,18.9708,18.4995,85.4416,9.13265
27,DUSP5,2.66143,13.1152,4.8256,2.26818,0.897643,2.60064,20.7856,4.24291,7.58368,4.9567,3.80245
28,FABP7,2.25652,0.0,0.0,0.439255,0.256128,3.41217,461.687,0.111069,4.85553,0.0,0.529954
29,FASN,124.609,30.5933,10.8743,21.2144,52.2629,88.7778,619.272,49.9008,26.8524,71.0935,27.5321
30,FGFR4,2.32432,7.58388,6.60236,0.0,0.592591,0.476452,23.8482,0.265341,0.487249,2.29939,7.75526
31,FGL2,2.48121,13.7442,7.19821,9.25424,7.74095,6.80476,2.74346,9.96545,4.23162,4.36658,7.28456
32,FOXA1,1.38574,55.8235,23.6446,0.345068,1.38504,1.33065,193.552,5.35827,8.97258,61.0078,121.108
33,FOXC1,9.10755,2.45497,13.7862,44.4172,48.0158,35.2897,3.31141,15.3442,70.1013,0.485797,5.18437
34,GABRP,8.66089,0.944281,271.083,24.0438,347.089,225.11,0.739897,0.995849,663.094,0.0561244,11.243
35,GALNT7,12.4003,57.6309,22.686,18.0233,24.7308,24.6473,166.072,22.0053,16.3709,42.6968,31.3368
36,GBP1,41.394,297.692,194.968,93.6811,183.034,275.592,72.8056,191.718,219.584,324.355,194.603
37,GCHFR,0.422531,0.886545,0.0,0.90489,0.0872098,0.160495,0.554533,1.08635,0.0,0.707112,0.235974
38,GPR87,0.951488,0.0,42.6912,0.0,0.0774054,0.104302,0.480814,0.635927,8.56737,7.8752,5.54019
39,GZMB,1.4986,29.9223,14.0912,1.6308,3.31634,4.56122,0.835723,11.3656,0.105476,15.83,5.68281
40,HGD,4.21735,6.07336,0.0,4.69812,0.248937,0.833944,22.4211,2.98406,0.34505,15.9397,7.77397
41,HTRA1,91.2943,34.4731,11.641,218.9,38.5339,47.9099,151.88,194.174,37.3821,36.8865,28.7803
42,IDO1,0.291424,30.9316,166.96,7.6962,9.38429,19.2801,3.83281,9.7812,44.8251,6.85727,29.6198
43,IGFBP4,13.3498,3.42292,4.30028,21.2358,3.68364,7.13662,6.3947,48.2344,8.66618,16.5499,1.63285
44,IGHM,55.219,1396.31,148.997,0.0,261.798,0.0,37.4842,511.359,55.1274,62.2751,241.665
45,IGJ,20.0186,761.952,45.9523,235.514,93.7332,77.3318,13.2475,628.329,65.2352,22.5761,968.825
46,IGKC,182.346,30004.8,1067.08,8047.69,3271.85,14095.2,532.116,11731.0,623.875,396.902,3663.16
47,IL23A,0.0490073,1.4892,0.0,0.144022,0.0419799,0.0,0.130425,0.273034,0.0,0.0712402,0.0
48,IL33,0.883329,1.94905,0.101108,2.26153,0.236836,0.859708,1.10622,2.74182,1.02143,0.878771,2.37094
49,INPP4B,37.1722,40.8309,48.1165,14.0964,7.95597,11.3144,45.7751,24.0991,14.4823,63.8126,15.7299
50,ITM2A,5.13433,68.16,3.70503,12.9495,8.61838,8.41499,25.4941,19.0709,5.5162,5.07621,35.1851
51,JAM2,11.2143,7.89353,12.4208,7.29828,3.97655,2.70201,8.80717,11.2274,1.85318,2.33896,6.60453
52,KCNK5,7.32046,0.187149,1.05113,3.01694,4.97692,3.4465,0.0,0.610668,1.02161,0.0888601,0.248838
53,KIAA1324,6.46799,55.1968,8.68953,21.7289,0.90376,0.791815,151.768,14.3826,17.5328,1.43479,35.5909
54,KMO,1.44589,15.1833,0.0,6.08016,3.05037,4.76638,82.0963,6.17594,2.22641,0.897208,17.6331
55,KRT14,118.371,0.0,3.03677,342.617,0.909254,10.2547,0.270551,414.953,495.375,1.22776,4.93714
56,KRT16,91.0343,0.579715,3.34785,148.238,36.6867,27.661,2.04024,256.994,65.3751,14.0226,0.516638
57,KRT17,105.347,21.4388,0.476007,14.9846,137.314,192.048,0.836907,173.845,220.483,25.952,5.96539
58,KRT6A,54.2242,5.09093,34.6454,10.3649,10.3745,30.5498,1.06124,502.238,172.754,1012.79,0.693673
59,KRT6B,86.6584,0.332824,124.629,15.9633,105.963,245.352,1.186,151.121,73.2841,30.132,2.06779
60,KYNU,14.7879,20.1823,10.7773,16.3914,6.34854,9.28449,243.128,12.9163,2.42706,371.408,36.3404
61,LBP,0.573258,0.37057,0.0,0.0,0.24971,0.196241,5.88067,0.0269704,0.856867,0.317489,9.97681
62,LHFP,2.0952,1.1423,1.67851,1.92797,0.461709,0.894104,4.06241,3.04112,0.753493,0.81526,0.393498
63,MFAP4,1.60954,4.55944,0.145341,13.999,1.02248,0.823587,7.16868,15.3516,1.29656,0.564544,1.26006
64,MIA,21.0747,0.450223,0.0,22.0073,0.580011,0.942924,0.0,26.3376,42.9602,0.406346,0.902935
65,MID1,36.2366,14.941,13.4752,15.6825,11.5278,10.7215,8.78944,8.14593,13.3447,34.466,7.77771
66,MYBL1,4.60362,4.27869,6.89166,14.8261,10.6239,10.0835,1.94773,1.82664,54.0697,1.11174,5.3623
67,NEK2,17.1321,7.57769,31.5251,2.65817,26.3562,16.537,5.08988,1.39409,89.38,8.00005,3.68013
