,gene_short_name,V515-06187-A1,17-00163-6_S7Aligned_cufflinks,TNT-192,TNT-167,TNT-197,TNT-27,TNT-14,TNT-41,TNT-252,TNT-281,17-00212-8_S3Aligned_cufflinks
0,ABCA8,1.07397,0.770148,119.155,2.02615,3.13417,1.91007,1.68679,13.0061,8.54573,39.0365,10.9008
1,ADRA2A,0.196819,0.0657186,0.801336,0.0,0.245942,0.0,0.104517,1.04865,0.303387,0.0,0.804
2,AKAP12,3.75243,1.2357,35.9662,7.73556,8.95121,4.47033,2.16044,7.11901,3.34193,10.6971,6.45585
3,ALDH3B2,34.613,2.97506,68.1928,172.847,1.98131,0.0,5.56607,1.4853,0.0,4.00447,54.5406
4,APOD,101.548,57.5143,11869.7,7071.89,62.4847,12.3754,10.9277,56.6557,7.80339,0.109307,1024.91
5,ART3,19.2103,80.791,0.0,0.0,4.63307,277.391,31.6725,59.7037,0.337303,34.497,0.0878982
6,ASPN,31.1651,20.2771,142.614,45.1213,53.4652,32.3565,9.50099,247.642,15.8789,7.35584,191.273
7,AZGP1,64.9749,59.9678,771.028,166.089,1.52872,141.167,31.8473,16.7207,7.40158,48.4283,257.364
8,BLVRB,6.57613,8.24161,5.36615,25.1259,1.616,1.6655,7.24225,12.3493,0.871201,0.0,80.8059
9,C7,0.29143,1.01661,4.10235,0.157557,0.729716,2.97795,0.419171,0.657578,24.0301,18.9547,4.57211
10,CCL5,1.03708,0.0,18.4049,1.86065,19.9773,1.16553,6.55539,16.4867,2.64418,6.88903,5.79704
11,CD36,36.5005,19.9552,134.586,25.8007,38.1309,9.68515,19.3488,79.5482,13.2741,17.1781,59.1195
12,CD52,5.15236,4.53303,123.244,26.8185,30.7753,3.93531,20.7734,49.562,437.321,13.2159,31.8435
13,CDC20,19.1111,33.2568,4.20426,4.66745,16.499,11.3276,23.4345,9.8534,7.2855,44.7677,3.74191
14,CHI3L1,52.4824,183.889,0.0,1.77787,25.4191,21.1168,14.9398,62.4796,0.0682052,10.2393,3.51278
15,COL2A1,124.822,8.5081,0.0,1.94589,0.0496131,110.558,0.862205,31.3989,0.0,6.14411,0.029409
16,COL5A1,145.37,40.8437,49.6839,147.642,33.6054,27.9453,30.3356,194.514,2.78046,57.647,109.637
17,COL5A2,202.313,41.0361,216.858,115.101,53.8271,66.3652,32.3981,290.284,6.94899,29.8201,225.094
18,CRAT,3.09639,9.7429,12.229,22.9121,3.01341,2.29762,12.9929,10.8437,0.663326,0.0595784,37.2093
19,CROT,17.2031,5.1833,70.1636,39.1676,2.8917,33.2998,3.99236,4.9685,14.7668,6.07646,55.8078
20,CXCL10,2.29941,24.1237,10.1642,8.31703,68.2187,17.1828,29.3048,100.358,12.4893,63.3418,10.818
21,CXCL11,0.642556,1.88411,25.8333,0.0,11.7024,0.123562,6.51251,17.9766,2.66393,0.856393,2.17602
22,CXCL13,0.0413495,1.72447,10.7731,1116.82,44.9298,23.0044,7.50828,9.70889,106.426,61.5422,16.0517
23,CYP4F8,0.0480191,0.0,0.0,12.9503,0.271496,0.00678974,0.0,0.337205,0.0,1.11157,93.9124
24,DBI,412.371,307.908,542.624,722.901,115.771,152.017,145.792,121.199,55.1479,104.124,180.87
25,DEFB1,3.16262,0.14658,3.86087,0.0,0.0,0.0,2.80244,1.04105,0.0,0.755909,0.850688
26,DHCR24,38.1374,62.1057,49.4777,193.393,3.72752,3.88958,86.3851,16.0402,2.528,11.9895,41.4729
