,gene_short_name,V515-06187-A1,TNT-54,TNT-283,TNT-289,TNT-3,TNT-227,17-00108-5_S18Aligned_cufflinks,TNT-92,17-00127-8_S3Aligned_cufflinks,17-00139-2_S9Aligned_cufflinks,17-00112-1_S7_cufflinks
0,ABCA8,1.07397,58.0877,5.2258,7.5326,10.6347,0.876496,1.88511,32.1067,5.2732,3.646,0.0
1,ADRA2A,0.196819,0.409427,0.0,0.0190859,0.0,0.949996,0.266755,0.187864,0.0,0.21834,0.403755
2,AKAP12,3.75243,14.9386,3.43169,16.4518,4.93901,4.58848,0.90279,5.51587,1.2662,2.68102,1.65867
3,ALDH3B2,34.613,9.50673,2.42432,0.340181,0.0,0.0,8.51023,8.09628,3.25937,27.7129,5.14396
4,APOD,101.548,745.2,134.119,86.5343,4.43815,13.7345,6.72613,227.124,81.4037,8.01472,1.08372
5,ART3,19.2103,3.22085,1.3833,11.7816,0.0,53.495,25.969,1.03436,34.0727,1.5872,24.2354
6,ASPN,31.1651,17.7205,148.766,99.797,66.6747,14.4329,8.63035,108.547,0.0,9.94837,10.7154
7,AZGP1,64.9749,84.4769,6.21353,22.8969,0.147179,9.19289,7.37762,23.496,195.738,1.50857,4.52898
8,BLVRB,6.57613,1.03403,3.29221,1.22331,4.02661,3.1071,1.19013,2.3271,0.0,1.37106,5.08205
9,C7,0.29143,70.8319,1.21194,2.7102,0.153097,4.99071,4.13771,5.15895,0.0,0.645289,0.246947
10,CCL5,1.03708,27.218,13.0437,1.12449,2.44289,26.5416,9.51219,5.3861,0.0,2.11983,5.41056
11,CD36,36.5005,53.4162,37.5269,18.9896,530.381,17.3573,6.66782,13.668,0.0,14.3767,4.14895
12,CD52,5.15236,206.158,9.26877,1.74964,73.6417,480.968,22.789,51.077,0.0,2.72221,9.67866
13,CDC20,19.1111,3.85495,9.88436,40.1167,14.1118,10.3227,11.8678,2.62069,19.4809,34.2285,28.2348
14,CHI3L1,52.4824,7.7664,1.13169,14.14,0.522526,7.42916,5.20908,93.8031,3.86062,127.334,38.8357
15,COL2A1,124.822,0.348718,1.11024,47.6574,9.40723,0.609106,1.39677,0.145719,9.34079,0.569296,6.85636
16,COL5A1,145.37,20.0147,30.5437,387.034,158.422,27.5166,27.9288,32.6411,74.985,28.6234,33.8627
17,COL5A2,202.313,24.5429,90.4159,272.664,712.612,44.3055,21.5128,57.8362,26.139,24.2914,43.6341
18,CRAT,3.09639,8.03522,1.09201,4.72182,6.43808,2.44925,4.16699,5.01356,0.737631,1.53182,6.98667
19,CROT,17.2031,7.78597,7.69125,11.3478,11.175,7.98903,1.35921,13.2484,21.1361,2.58029,2.18058
20,CXCL10,2.29941,37.7643,57.2712,5.73014,7.66528,195.173,15.9386,60.784,14.1618,20.0542,6.59414
21,CXCL11,0.642556,14.0366,9.65099,0.569746,0.457688,17.6549,3.99119,3.28281,0.0,6.05504,2.54401
22,CXCL13,0.0413495,33.4686,30.5927,1.20819,3.77996,31.79,7.95022,10.8363,0.0,0.924701,2.94027
23,CYP4F8,0.0480191,0.990511,0.368212,0.773279,0.0,0.276966,0.245576,0.0470314,0.0,0.0,0.0
24,DBI,412.371,101.01,168.356,82.4001,204.278,147.596,107.854,62.0434,94.0731,77.3433,126.042
25,DEFB1,3.16262,0.0,0.857639,1.06093,0.0,1.68765,0.328307,6.211,0.0,0.254765,0.655946
26,DHCR24,38.1374,8.20185,46.4939,17.0317,14.8069,3.44353,13.0362,18.6696,9.27006,41.1448,17.7634
27,DUSP5,2.66143,6.61308,2.63261,3.52254,3.81803,3.49885,3.84803,7.78564,2.0363,3.51334,2.17358
28,FABP7,2.25652,5.13367,0.521183,13.5345,0.0,0.19135,10.5533,15.3098,4.2431,0.100483,1.26749
29,FASN,124.609,14.5167,22.4823,7.68728,17.1223,0.597191,47.9147,3.44193,36.2518,96.6952,61.5871
30,FGFR4,2.32432,0.111696,0.42262,5.34385,0.748303,0.0,0.384906,0.543839,0.755862,0.655992,0.935502
31,FGL2,2.48121,14.4419,4.10317,3.17752,7.67522,9.16764,4.67698,13.8813,0.0598873,1.62525,3.14896
32,FOXA1,1.38574,14.8548,135.889,0.742095,0.458748,0.882457,0.291452,4.61343,5.49379,0.595121,0.139388
33,FOXC1,9.10755,10.7698,3.01998,60.9547,14.4609,35.2188,41.1188,15.6674,26.7646,26.9418,90.645
34,GABRP,8.66089,10.0879,1.82586,23.4685,0.106364,136.776,72.6743,1884.93,223.362,383.281,22.9519
35,GALNT7,12.4003,29.2673,80.39,4.23746,30.9222,19.0978,7.65921,28.7253,27.8541,25.8265,7.13278
36,GBP1,41.394,112.329,95.4322,208.943,25.9257,154.722,36.9994,144.004,162.607,102.725,60.3429
37,GCHFR,0.422531,0.0,0.0,0.223262,0.0,0.396591,0.32196,0.154028,0.857477,0.312517,0.129631
38,GPR87,0.951488,0.134264,1.11957,0.776639,0.823973,1.74954,0.289317,1.65936,3.83835,0.0,0.195888
39,GZMB,1.4986,22.9207,0.77617,0.211303,0.08602,47.2509,3.03103,12.6172,0.0,2.88385,6.01382
40,HGD,4.21735,9.23906,6.59139,1.87352,2.09291,0.211731,1.29588,2.84976,27.7859,0.178331,5.72912
41,HTRA1,91.2943,64.1031,30.5015,82.6346,135.755,23.2036,10.4438,40.4089,2.7259,12.2357,21.3345
42,IDO1,0.291424,22.9377,3.09202,0.400109,0.955533,9.18626,2.49456,3.55287,0.0,5.62665,1.5041
43,IGFBP4,13.3498,2.86017,0.49661,2.99541,1.3785,0.125222,11.6234,2.38984,8.38525,4.64699,6.50565
44,IGHM,55.219,126.71,5.19747,8.20091,2.26941,108.37,213.124,68.2459,117.986,0.0,0.0
45,IGJ,20.0186,802.568,27.8626,3.92075,3.71254,237.062,86.6554,224.462,38.8323,13.1953,250.085
46,IGKC,182.346,3790.35,801.068,59.211,14.9245,1861.88,11833.8,1125.71,1588.56,146.428,11629.5
47,IL23A,0.0490073,0.360752,0.0,0.0,0.0,0.0,0.187825,0.239774,0.0,0.0988448,0.0
48,IL33,0.883329,13.8928,0.553965,0.925937,0.206585,3.88299,1.09261,3.0914,0.0,0.441675,0.0231033
49,INPP4B,37.1722,70.1898,12.8883,1.94168,8.7244,29.7754,8.1298,22.7429,4.56173,2.05355,7.44908
50,ITM2A,5.13433,48.3458,9.52588,4.83082,17.8944,28.7881,6.95836,23.8877,0.0,6.84793,5.68974
51,JAM2,11.2143,25.4863,0.335613,13.9681,12.8064,12.2004,2.33619,7.05302,17.1649,1.87263,1.48826
52,KCNK5,7.32046,0.293658,0.207736,1.22033,0.0475578,0.215012,5.83935,0.133175,1.90994,1.85105,5.90846
53,KIAA1324,6.46799,125.743,38.4246,36.5255,0.28655,1.40756,12.8659,6.34263,40.0776,1.06691,45.812
54,KMO,1.44589,17.2072,6.84534,5.17553,4.33364,10.0663,5.28187,2.7613,9.27281,1.54732,5.09386
55,KRT14,118.371,10.1796,0.711948,32.4302,0.794509,5.50909,38.0093,15.2829,0.0,25.7243,148.933
56,KRT16,91.0343,0.225316,2.65956,18.1422,0.602876,21.6531,61.3773,74.7677,38.5884,102.082,106.581
57,KRT17,105.347,15.9813,8.14209,55.5191,1.86e-28,39.2046,31.6651,130.131,84.8248,178.695,1.45916
58,KRT6A,54.2242,3.20964,13.9138,15.9277,0.0,6.26618,12.3955,2.8535,13.9847,99.8324,2.22255
59,KRT6B,86.6584,3.38428,0.508348,4.00999,0.160932,2.79773,31.013,9.26859,0.401745,23.0478,6.2199
60,KYNU,14.7879,14.6996,4.35554,2.97186,17.6823,10.9807,7.18597,12.4711,1.47338,3.34676,2.99107
61,LBP,0.573258,0.0361976,0.041098,1.05612,0.410553,0.895875,0.264648,0.143624,0.0,1.8779,0.158261
62,LHFP,2.0952,1.97618,1.06431,0.903817,1.13794,0.436254,0.460656,0.553532,0.0,0.502878,1.05402
63,MFAP4,1.60954,15.402,0.188581,2.56142,2.50834,3.62078,1.97139,4.86294,0.0,0.451396,0.217392
64,MIA,21.0747,10.6721,1.9076,27.1029,0.376771,8.0551,52.6175,21.7525,19.563,0.941344,13.1502
65,MID1,36.2366,9.3377,134.299,51.5347,57.9088,9.67663,27.7178,22.1864,6.68681,7.90995,33.329
66,MYBL1,4.60362,17.2978,5.02566,20.0227,10.228,54.3826,48.0038,59.4487,2.20285,74.6586,24.2743
67,NEK2,17.1321,3.0213,32.5632,22.2645,11.9278,31.5505,22.4467,6.27886,43.548,41.9777,15.7279
68,NTN3,0.0235576,0.0,0.0,0.0385849,0.0,0.0,0.0921463,0.0,0.0,0.0,0.0624546
69,OGN,1.27872,47.7903,17.6911,137.401,42.6224,10.118,0.861578,38.5116,0.0,2.70269,2.06137
70,PI3,0.0,0.144572,0.836548,0.655293,0.0,0.0,1.40499,4.07739,0.0,1.99456,0.384616
71,PLEKHB1,14.583,3.18058,1.33354,0.181805,0.0,0.0,1.2345,1.19539,5.01263,0.203369,1.02114
72,PMAIP1,1.62393,3.87836,1.46853,6.14423,2.36542,12.6682,4.76914,0.914623,0.0,12.391,0.170902
