,gene_short_name,V515-06187-A1,17-00163-6_S7Aligned_cufflinks,TNT-24,TNT-326,TNT-3,17-00252-2_S13Aligned_cufflinks,TNT-94,TNT-44,TNT-209,TNT-282,17-00270-5_S14Aligned_cufflinks
0,ABCA8,1.07397,0.770148,4.7176,0.03846,10.6347,10.1006,2.84949,57.5774,5.75345,4.67702,2.10963
1,ADRA2A,0.196819,0.0657186,0.167515,0.917432,0.0,0.666199,0.0,0.627014,1.18075,0.0181278,0.785147
2,AKAP12,3.75243,1.2357,3.76727,7.45648,4.93901,3.59153,20.2867,29.6051,5.17876,3.37991,3.93642
3,ALDH3B2,34.613,2.97506,0.891775,4.99358,0.0,57.0737,22.8759,0.0,5.19828,14.2492,173.954
4,APOD,101.548,57.5143,95.7435,12.6566,4.43815,2264.75,147.095,551.695,12.3961,1.37445,1702.36
5,ART3,19.2103,80.791,20.4122,12.2091,0.0,2.61983,22.2765,17.6012,1.0586,1.17116,0.0
6,ASPN,31.1651,20.2771,29.0862,15.8107,66.6747,17.5097,57.3841,37.2942,14.174,10.9442,97.1702
7,AZGP1,64.9749,59.9678,54.919,30.6143,0.147179,375.78,70.096,63.9359,10.708,58.3199,433.668
8,BLVRB,6.57613,8.24161,5.63407,0.0,4.02661,9.26335,1.20029,2.47625,0.623746,2.42049,17.5144
9,C7,0.29143,1.01661,3.52878,6.06215,0.153097,11.5843,0.887843,15.2903,31.5904,0.311238,0.913499
10,CCL5,1.03708,0.0,34.721,15.9662,2.44289,0.0,4.13599,6.20512,9.20102,7.18878,0.0
11,CD36,36.5005,19.9552,13.4455,9.50935,530.381,40.6657,22.7489,161.29,18.8618,31.9388,5.78937
12,CD52,5.15236,4.53303,55.9095,164.909,73.6417,19.3989,0.0,76.5111,472.935,28.9883,25.8947
13,CDC20,19.1111,33.2568,27.8803,6.93203,14.1118,2.81438,6.50334,6.29946,7.58906,16.4631,2.98538
14,CHI3L1,52.4824,183.889,31.8305,1.96055,0.522526,2.7861,2.53769,19.8265,0.796208,10.2047,16.8958
15,COL2A1,124.822,8.5081,111.174,5.7244,9.40723,0.157048,6.00303,0.369471,0.0,0.205631,0.0
16,COL5A1,145.37,40.8437,80.0339,27.0058,158.422,57.8154,28.5161,75.9328,6.43656,8.00722,159.398
17,COL5A2,202.313,41.0361,150.156,23.1253,712.612,105.309,26.9307,135.933,6.42693,9.29631,332.476
18,CRAT,3.09639,9.7429,8.24192,0.143253,6.43808,30.4788,8.31426,7.36069,2.4713,1.76532,35.1876
19,CROT,17.2031,5.1833,3.43788,2.16177,11.175,37.0803,7.72488,5.74807,9.5381,17.5883,61.1756
20,CXCL10,2.29941,24.1237,216.143,56.2198,7.66528,17.8862,20.6893,56.0996,44.9135,44.8489,47.1377
21,CXCL11,0.642556,1.88411,61.4537,13.0665,0.457688,3.95835,4.12924,1.58942,11.491,6.8698,17.4057
22,CXCL13,0.0413495,1.72447,102.936,85.4836,3.77996,5.9954,0.0,4.79564,48.6593,41.0339,13.6215
23,CYP4F8,0.0480191,0.0,0.444958,0.0,0.0,0.20557,0.0,3.50692,0.0,8.54897,2.87166
