,gene_short_name,V515-06187-A1,17-00159-1_S1Aligned_cufflinks,TNT-157,TNT-133,TNT-50,TNT-94,TNT-270,TNT-79,17-00131-5_S8Aligned_cufflinks,TNT-121,TNT-183
0,ABCA8,1.07397,1.78272,16.5316,75.7969,6.27059,2.84949,7.25541,1.87166,3.02603,3.96188,3.81267
1,ADRA2A,0.196819,0.424612,0.0535747,0.598187,0.613286,0.0,0.416253,0.0,0.425611,0.0,0.0692467
2,AKAP12,3.75243,1.92959,5.01157,6.89523,15.7193,20.2867,6.02093,1.64424,0.384289,11.4793,8.8469
3,ALDH3B2,34.613,6.39422,44.3463,15.4526,19.4221,22.8759,97.5075,41.6244,15.5005,2.11688,38.4582
4,APOD,101.548,18.7033,388.876,152.924,34.8661,147.095,7752.41,9.53523,1.23954,39.2727,180.386
5,ART3,19.2103,4.70398,11.9946,16.1857,0.671865,22.2765,0.27854,2.56881,0.635686,10.848,0.0
6,ASPN,31.1651,19.8562,10.4886,99.3177,72.6274,57.3841,10.0964,18.7191,2.46604,56.5755,31.8742
7,AZGP1,64.9749,48.381,13.2232,81.6664,94.0011,70.096,693.581,9.81098,5.05111,13.4647,358.987
8,BLVRB,6.57613,2.25105,1.7414,3.96303,4.233,1.20029,2.58756,1.21768,2.44601,1.03409,6.52662
9,C7,0.29143,1.47221,12.9084,10.3059,5.63905,0.887843,8.16232,0.483138,0.593221,0.278673,4.16189
10,CCL5,1.03708,6.76955,14.6772,11.4843,2.46692,4.13599,1.34774,2.0161,5.70474,6.49841,5.85183
11,CD36,36.5005,5.67052,33.1401,123.501,17.4704,22.7489,26.5814,15.2303,9.64332,39.212,18.5522
12,CD52,5.15236,14.8266,93.599,56.1498,26.2153,0.0,16.3111,15.6613,3.68263,0.0,27.578
13,CDC20,19.1111,11.108,21.6145,9.27248,6.63309,6.50334,4.41093,16.0607,8.15222,15.5014,14.1964
14,CHI3L1,52.4824,50.8293,42.6231,0.874603,23.1543,2.53769,1.0985,9.11061,168.771,13.9052,7.02127
15,COL2A1,124.822,0.0353123,0.165699,0.0,0.7584,6.00303,0.101651,0.270489,0.0350637,20.653,0.157197
16,COL5A1,145.37,52.709,18.2057,68.0468,129.285,28.5161,51.6893,15.6803,11.9765,112.066,128.517
