,gene_short_name,V515-06187-A1,TNT-62,17-00280-7_S4Aligned_cufflinks,17-00152-9_S4Aligned_cufflinks,TNT-318,17-00165-0_S10Aligned_cufflinks,TNT-299,TNT-326,17-00271-8_S16Aligned_cufflinks,TNT-154,TNT-82
0,ABCA8,1.07397,6.79048,1.96104,0.0,1.60268,16.9844,8.87917,0.03846,43.1719,0.0856442,7.26466
1,ADRA2A,0.196819,0.338394,0.330945,0.0,0.37137,0.861454,0.321954,0.917432,3.57135,0.0192695,0.277216
2,AKAP12,3.75243,11.6889,1.98968,0.0,7.96738,6.21113,8.3169,7.45648,19.8129,2.75083,3.91678
3,ALDH3B2,34.613,0.220724,75.8959,159.809,1.01293,1.16447,2.22473,4.99358,111.376,2.17118,15.0004
4,APOD,101.548,305.796,25.2137,103.494,29.2845,126.973,26.3483,12.6566,1551.18,28.4883,15.1454
5,ART3,19.2103,30.5461,0.0257765,69.9625,123.448,44.8952,47.8547,12.2091,1.09477,83.5134,0.454395
6,ASPN,31.1651,53.1139,12.2085,0.0,98.3062,13.6802,14.6382,15.8107,74.2365,41.7317,23.1488
7,AZGP1,64.9749,169.289,140.03,8.79505,1.34766,200.774,144.884,30.6143,545.611,496.663,2.01508
8,BLVRB,6.57613,2.32839,4.51035,3.61882,2.31512,4.50545,1.49672,0.0,20.7679,4.76439,1.51625
9,C7,0.29143,0.517314,1.81111,15.638,0.160282,14.7516,4.52315,6.06215,53.4988,0.0602834,1.10798
10,CCL5,1.03708,6.88384,0.0,0.0,17.1213,12.1232,6.02102,15.9662,8.84458,28.65,1.19407
11,CD36,36.5005,14.0796,13.3628,0.0,44.9068,83.1513,80.6752,9.50935,333.499,27.1698,5.65798
12,CD52,5.15236,22.6616,23.5318,95.8765,94.2685,40.0504,14.2911,164.909,25.8897,2.16431,7.70204
13,CDC20,19.1111,14.1862,8.15715,0.0,13.9145,9.73773,4.88095,6.93203,2.31267,5.51993,20.8091
14,CHI3L1,52.4824,18.4108,3.32298,21.7065,68.8217,37.6528,21.8619,1.96055,15.912,10.7803,100.533
15,COL2A1,124.822,68.7017,0.0195043,0.0,3.97345,1.37617,8.71282,5.7244,2.00287,0.0873241,0.035867
16,COL5A1,145.37,60.9466,44.028,18.0897,137.63,43.5904,36.7694,27.0058,124.007,42.7856,54.0508
17,COL5A2,202.313,69.9364,82.8314,0.0,225.741,65.8261,49.6448,23.1253,327.722,47.9239,91.1359
18,CRAT,3.09639,2.38769,24.1691,0.0,4.9586,5.4019,4.59752,0.143253,17.4382,2.39557,4.67668
19,CROT,17.2031,6.43286,15.8075,85.5425,14.1979,8.93674,13.238,2.16177,30.4582,14.3596,21.2497
20,CXCL10,2.29941,48.9493,50.6872,0.0,130.123,19.6909,37.0993,56.2198,25.2463,33.6507,8.16181
21,CXCL11,0.642556,6.47729,10.4707,0.0,13.0947,7.80281,5.75257,13.0665,9.27016,4.87385,0.708749
22,CXCL13,0.0413495,19.8752,11.7207,0.0,28.7339,17.615,4.01488,85.4836,14.9373,0.332221,1.32724
23,CYP4F8,0.0480191,0.467952,0.562419,0.0,0.0,0.362664,2.01316,0.0,1.0552,0.0,0.0062017
24,DBI,412.371,120.785,128.964,0.0,116.994,113.507,210.795,65.8549,474.352,147.326,108.571
25,DEFB1,3.16262,0.0,1.20338,0.0,0.610028,0.496301,1.58477,0.0,3.06845,0.0,38.2433
26,DHCR24,38.1374,18.6129,57.3044,18.8087,11.4754,28.1741,7.01083,11.0616,118.108,11.695,63.6668
27,DUSP5,2.66143,3.29349,1.67691,0.0,3.1831,3.21569,4.16149,1.65224,8.58584,2.10403,0.992791
28,FABP7,2.25652,49.2833,2.61417,0.0,0.788269,1.89392,8.85291,13.8638,220.93,0.357028,9.31424
29,FASN,124.609,9.07795,284.185,133.656,9.75475,103.232,2.40165,7.60798,620.299,52.6081,28.679
30,FGFR4,2.32432,1.12382,7.21331,0.0,0.0277075,2.18025,2.10462,0.0,0.310467,0.327716,0.211097
31,FGL2,2.48121,6.69295,9.03129,0.0,7.74637,11.3333,4.40214,5.61145,17.2755,4.60628,4.99871
32,FOXA1,1.38574,5.66134,166.256,20.6189,0.753702,2.32873,1.74342,9.37556,86.8978,0.0,0.525582
33,FOXC1,9.10755,32.0002,1.51493,3.16898,32.566,49.3215,41.9665,19.3417,7.0417,26.0512,40.707
34,GABRP,8.66089,410.733,5.34289,52.1578,262.378,213.666,3.87573,493.65,19.9296,827.906,1075.05
35,GALNT7,12.4003,12.125,58.7644,12.9507,19.94,30.3282,14.0614,18.1204,28.8384,27.9426,21.5606
36,GBP1,41.394,540.702,101.148,0.0,656.55,174.017,101.957,518.463,153.619,106.422,45.6671
37,GCHFR,0.422531,0.0847417,0.738543,0.0,0.2555,0.132039,0.0,0.0,0.39272,0.0,0.0
38,GPR87,0.951488,1.63898,0.14515,0.0,0.376912,0.0951555,3.18233,0.820931,2.26563,7.91863,0.755197
39,GZMB,1.4986,6.41301,3.98824,0.0,8.29775,23.5314,1.18102,4.26578,4.72534,16.5766,0.117183
40,HGD,4.21735,3.7083,83.8595,0.0,2.33301,1.43833,5.35348,0.946356,23.7782,0.0,1.94968
41,HTRA1,91.2943,37.4484,47.9654,0.0,120.001,52.5467,29.4327,7.84756,221.531,15.4234,63.3716
42,IDO1,0.291424,33.6168,4.65914,0.0,31.5634,16.5229,5.30639,17.2985,9.55688,0.0,1.13221
43,IGFBP4,13.3498,0.729982,6.40402,0.0,3.62924,20.4877,0.510139,1.0725,57.7482,0.0520306,2.68022
44,IGHM,55.219,1047.04,125.662,36.7639,50.3045,0.0,3.53685,250.338,336.897,104.776,3.46944
45,IGJ,20.0186,377.016,139.326,0.0,30.7047,254.797,33.8066,141.021,446.489,46.9569,17.1841
46,IGKC,182.346,9856.55,1796.2,613.677,1016.39,9760.16,90.5595,5790.14,2529.53,1253.87,21.7669
47,IL23A,0.0490073,0.264702,0.158848,0.0,0.153345,0.15506,0.444703,0.0,0.0,0.0,0.0
48,IL33,0.883329,0.178782,0.668787,0.0,0.296424,5.68884,0.618799,1.2426,7.25951,0.0,0.64512
49,INPP4B,37.1722,13.0048,28.0165,40.7486,18.8154,32.4208,7.82662,14.8552,30.2415,27.0667,11.6467
50,ITM2A,5.13433,10.9137,17.5325,17.7311,26.9578,23.9956,10.8233,2.49321,67.9227,0.0,6.76956
51,JAM2,11.2143,5.82519,25.3646,0.0,9.58214,11.0835,7.39559,4.36864,20.8529,0.476561,4.3044
52,KCNK5,7.32046,1.83848,0.341336,0.0,0.68934,3.18271,0.959165,0.357348,0.399446,0.0198674,1.02101
53,KIAA1324,6.46799,10.6981,106.109,30.4415,3.49331,26.1019,17.3401,11.1553,28.2916,3.67492,43.3188
54,KMO,1.44589,4.93658,17.2094,0.0,4.86058,3.64952,11.9762,8.45972,11.096,0.0,2.22004
55,KRT14,118.371,234.524,20.0869,34.0491,5.38805,120.57,25.6825,1.92268,111.476,22.4748,4.04266
56,KRT16,91.0343,51.2569,0.975338,0.0,77.0578,40.376,56.8354,0.0,6.56254,48.4438,47.1869
57,KRT17,105.347,248.891,40.3273,0.0,62.6391,147.688,26.0235,5.15554,169.488,146.226,92.724
58,KRT6A,54.2242,39.3992,2.17874,34.9635,98.0292,13.0532,44.845,4.61346,26.0383,83.6546,80.6555
59,KRT6B,86.6584,14.9447,5.99876,0.0,85.4541,102.079,37.9913,25.9574,11.7636,216.348,47.1176
60,KYNU,14.7879,6.55581,40.2252,0.0,6.83481,11.1346,5.05969,8.77872,91.1552,9.76652,5.72783
61,LBP,0.573258,0.185482,0.0778297,0.0,0.759896,0.460236,15.463,0.0,30.34,10.0094,1.98815
62,LHFP,2.0952,0.220629,1.07837,0.0,0.526876,1.95693,0.406424,0.0422214,6.7217,0.145005,0.487527
63,MFAP4,1.60954,1.26828,2.88714,0.0,1.666,6.50503,1.01978,0.0,41.3266,5.3912,2.20211
