,gene_short_name,V515-06187-A1,TNT-104,TNT-76,17-00152-9_S4Aligned_cufflinks,TNT-45,TNT-259,17-00143-5_S2Aligned_cufflinks,TNT-313,TNT-157,TNT-278,TNT-18
0,ABCA8,1.07397,45.0011,1.71208,0.0,69.6238,7.3788,0.809124,11.8392,16.5316,6.09487,10.5629
1,ADRA2A,0.196819,0.0269278,0.216004,0.0,0.0861151,0.0622414,0.0726771,0.166689,0.0535747,0.0,0.337047
2,AKAP12,3.75243,14.8787,4.07696,0.0,3.04989,10.4078,0.951425,5.92393,5.01157,4.77909,10.1055
3,ALDH3B2,34.613,134.5,1.20211,159.809,0.95725,2.39888,19.1452,0.129083,44.3463,1.87834,1.59088
4,APOD,101.548,16699.3,226.991,103.494,41.6221,16.1725,10.9531,68.6262,388.876,86.3132,126.366
5,ART3,19.2103,0.0,61.9652,69.9625,13.519,2.83927,0.422378,5.75635,11.9946,0.0,3.08163
6,ASPN,31.1651,93.4608,61.5295,0.0,28.9929,59.7246,3.69349,30.4671,10.4886,11.8417,127.877
7,AZGP1,64.9749,438.903,279.97,8.79505,34.8083,0.0,85.8713,86.0315,13.2232,134.856,0.397821
8,BLVRB,6.57613,5.2299,2.58846,3.61882,0.760424,1.77913,3.81422,2.56904,1.7414,0.0,0.272242
9,C7,0.29143,28.9865,0.703238,15.638,0.936934,1.07913,0.0263386,2.91216,12.9084,19.5287,11.973
10,CCL5,1.03708,10.9451,10.1325,0.0,1.6864,24.4902,1.59721,6.95546,14.6772,8.68593,84.2759
11,CD36,36.5005,126.937,9.87183,0.0,35.4874,36.2403,30.0312,7.60346,33.1401,36.6558,68.0838
12,CD52,5.15236,29.5778,16.4339,95.8765,10.8174,178.9,2.29825,146.87,93.599,147.046,238.279
13,CDC20,19.1111,0.0650128,20.9927,0.0,8.45575,10.0606,48.5456,4.35256,21.6145,1.44794,11.1176
14,CHI3L1,52.4824,1.02785,11.3194,21.7065,22.6098,17.9288,0.326855,122.696,42.6231,0.1863,18.0344
15,COL2A1,124.822,0.222123,8.18038,0.0,42.1761,0.0,0.0149873,0.485265,0.165699,0.0171505,0.0
16,COL5A1,145.37,47.013,128.055,18.0897,30.6618,40.4405,70.9135,57.3617,18.2057,27.0808,103.642
17,COL5A2,202.313,87.7715,199.463,0.0,58.7905,44.154,19.6112,79.4514,26.7943,52.0394,167.425
18,CRAT,3.09639,22.0853,7.59948,0.0,1.07721,4.1209,16.3546,0.906711,1.38838,0.810681,4.53159
19,CROT,17.2031,53.6453,11.5114,85.5425,5.64661,13.6541,21.1097,9.1463,8.91636,24.512,3.88368
20,CXCL10,2.29941,10.2874,59.3069,0.0,43.0563,384.484,5.9346,48.9679,91.8598,105.664,196.435
21,CXCL11,0.642556,3.13731,14.2748,0.0,13.4844,110.538,1.10673,3.51615,8.91782,8.25464,15.9079
22,CXCL13,0.0413495,1.02818,23.8366,0.0,1.80252,627.493,4.2982,64.2703,46.1831,50.2738,26.3849
23,CYP4F8,0.0480191,1.23534,0.0,0.0,0.113976,0.184965,3.67657,0.150132,0.0,3.90855,0.0623461
24,DBI,412.371,300.908,80.9435,0.0,61.8241,102.259,114.674,139.847,134.685,90.4076,120.508
25,DEFB1,3.16262,0.0,0.967678,0.0,0.17211,1.4857,12.7599,0.954595,0.135413,0.0,0.0
26,DHCR24,38.1374,43.5835,38.0718,18.8087,6.56267,27.5106,140.125,20.656,74.3837,7.5602,13.6373
27,DUSP5,2.66143,1.31806,3.34565,0.0,2.98412,0.760338,5.98185,7.48927,6.9571,1.86001,3.30187
28,FABP7,2.25652,1.60248,0.09458,0.0,19.2089,9.44809,0.0,0.0867112,0.0547732,0.475457,14.5807
29,FASN,124.609,68.8874,28.3466,133.656,7.90951,1.18795,264.185,2.98044,41.2107,1.5303,13.9948
30,FGFR4,2.32432,9.37874,3.80263,0.0,0.676813,0.335385,37.3663,0.253247,4.54072,0.381338,0.0
31,FGL2,2.48121,9.87236,6.17449,0.0,2.29528,6.70472,0.907804,5.94021,10.3349,6.26563,9.61383
32,FOXA1,1.38574,106.805,3.33958,20.6189,4.18446,0.319283,143.36,1.1556,1.01931,70.669,0.0
33,FOXC1,9.10755,1.76016,12.8646,3.16898,82.3449,3.57756,3.12932,47.1304,28.4132,0.656008,7.67033
34,GABRP,8.66089,7.01519,1458.83,52.1578,429.953,740.411,22.4545,236.085,503.14,17.6287,218.567
35,GALNT7,12.4003,359.37,15.4459,12.9507,34.2443,9.15928,59.9791,16.6628,12.2184,177.51,10.3138
36,GBP1,41.394,36.3345,210.724,0.0,124.809,218.737,23.1936,222.533,527.597,53.7536,228.894
37,GCHFR,0.422531,0.200914,0.0,0.0,0.342741,0.0,0.606169,0.0,0.0,0.0,0.0
38,GPR87,0.951488,0.679588,2.75671,0.0,3.55765,7.69994,0.0,0.22917,0.402631,0.0,0.886211
39,GZMB,1.4986,4.66964,6.6532,0.0,3.96746,32.7245,2.22425,3.70516,6.50588,8.82977,12.0025
40,HGD,4.21735,0.0,0.21181,0.0,0.926136,5.68914,12.1696,0.120586,2.29015,2.51632,0.255356
41,HTRA1,91.2943,55.0878,69.2555,0.0,23.6414,40.9797,10.2802,49.7,21.359,26.2691,77.4917
42,IDO1,0.291424,6.65627,18.8168,0.0,4.55117,56.6019,2.11836,7.03383,12.8347,3.05783,23.029
43,IGFBP4,13.3498,1.3245,3.32934,0.0,0.610431,0.438883,2.56719,1.0656,2.9835,0.34994,3.41105
44,IGHM,55.219,62.7591,245.813,36.7639,60.1804,136.843,19.4641,804.47,350.832,94.4486,607.324
45,IGJ,20.0186,363.991,103.539,0.0,113.147,120.395,4.32342,696.573,302.263,361.046,234.809
46,IGKC,182.346,1291.64,3662.27,613.677,5655.79,1516.83,62.7069,16377.5,5900.1,1159.8,1594.26
47,IL23A,0.0490073,0.0,0.232573,0.0,0.226546,0.0,0.0,0.246941,0.0,0.0,0.0
48,IL33,0.883329,9.4019,0.642472,0.0,0.455691,0.602038,0.40103,0.673393,2.45861,1.50942,6.74491
49,INPP4B,37.1722,22.5329,26.9969,40.7486,10.6943,13.6166,21.6831,7.73018,17.0085,31.4489,19.7162
50,ITM2A,5.13433,22.7929,7.44424,17.7311,7.11034,18.4724,2.56933,27.5243,15.7734,18.3801,45.3222
51,JAM2,11.2143,17.7037,5.43176,0.0,6.61829,2.31682,0.444035,5.56231,12.3479,14.3004,11.1208
52,KCNK5,7.32046,0.138828,1.52393,0.0,2.44618,0.449249,0.149882,1.89058,0.690415,0.0171516,0.0901098
53,KIAA1324,6.46799,94.4477,0.643353,30.4415,47.721,1.34983,89.5923,26.8004,11.462,46.4182,8.63215
54,KMO,1.44589,84.6825,4.02581,0.0,5.06744,8.82002,33.754,3.63663,3.60543,103.886,13.1194
55,KRT14,118.371,7.57929,96.6137,34.0491,3.86085,0.595829,0.980966,2.3244,48.6854,0.0,94.5936
