,gene_short_name,V515-06187-A1,TNT-283,17-00131-5_S8Aligned_cufflinks,TNT-104,17-00157-0_S11Aligned_cufflinks,TNT-49,TNT-58,TNT-133,TNT-18,TNT-289,17-00140-2_S2_cufflinks
0,ABCA8,1.07397,5.2258,3.02603,45.0011,14.9899,46.919,0.0,75.7969,10.5629,7.5326,4.1809
1,ADRA2A,0.196819,0.0,0.425611,0.0269278,0.928628,0.128019,0.0,0.598187,0.337047,0.0190859,0.974128
2,AKAP12,3.75243,3.43169,0.384289,14.8787,11.8446,3.20903,6.38661,6.89523,10.1055,16.4518,1.05279
3,ALDH3B2,34.613,2.42432,15.5005,134.5,2.39375,9.3486,3.93287,15.4526,1.59088,0.340181,25.7805
4,APOD,101.548,134.119,1.23954,16699.3,50.4508,473.105,100.746,152.924,126.366,86.5343,4.29317
5,ART3,19.2103,1.3833,0.635686,0.0,0.291602,31.5205,0.0,16.1857,3.08163,11.7816,9.72088
6,ASPN,31.1651,148.766,2.46604,93.4608,27.6337,46.012,46.5225,99.3177,127.877,99.797,10.1457
7,AZGP1,64.9749,6.21353,5.05111,438.903,3.87216,53.7874,3.73036,81.6664,0.397821,22.8969,60.7934
8,BLVRB,6.57613,3.29221,2.44601,5.2299,4.43249,0.257732,0.152304,3.96303,0.272242,1.22331,3.62414
9,C7,0.29143,1.21194,0.593221,28.9865,5.99394,3.14767,0.0578067,10.3059,11.973,2.7102,0.0
10,CCL5,1.03708,13.0437,5.70474,10.9451,0.0,50.3871,0.0831699,11.4843,84.2759,1.12449,0.0
11,CD36,36.5005,37.5269,9.64332,126.937,149.636,71.9816,8.52927,123.501,68.0838,18.9896,44.8475
12,CD52,5.15236,9.26877,3.68263,29.5778,2.70915,92.3369,0.0,56.1498,238.279,1.74964,6.33001
13,CDC20,19.1111,9.88436,8.15222,0.0650128,14.3517,4.09511,10.7521,9.27248,11.1176,40.1167,9.59021
14,CHI3L1,52.4824,1.13169,168.771,1.02785,45.5875,14.0802,0.872301,0.874603,18.0344,14.14,31.4808
15,COL2A1,124.822,1.11024,0.0350637,0.222123,114.783,26.9015,2.1362,0.0,0.0,47.6574,0.0222491
16,COL5A1,145.37,30.5437,11.9765,47.013,174.977,37.8918,9.41421,68.0468,103.642,387.034,87.0433
17,COL5A2,202.313,90.4159,14.2269,87.7715,163.721,53.004,34.2399,83.052,167.425,272.664,50.7685
18,CRAT,3.09639,1.09201,1.26799,22.0853,4.3305,1.28012,0.44309,2.03308,4.53159,4.72182,6.3588
19,CROT,17.2031,7.69125,5.52752,53.6453,4.56994,0.621716,13.287,6.0225,3.88368,11.3478,18.901
20,CXCL10,2.29941,57.2712,58.1687,10.2874,2.0649,73.1395,0.0,6.53556,196.435,5.73014,63.1842
21,CXCL11,0.642556,9.65099,8.21909,3.13731,0.506209,12.7646,0.0,0.0,15.9079,0.569746,18.5376
22,CXCL13,0.0413495,30.5927,9.9852,1.02818,4.07947,61.183,0.583879,4.97297,26.3849,1.20819,16.208
23,CYP4F8,0.0480191,0.368212,0.0,1.23534,0.0,0.0,0.0,0.0,0.0623461,0.773279,0.467581
24,DBI,412.371,168.356,19.1439,300.908,133.718,51.5853,221.397,172.401,120.508,82.4001,52.3533
25,DEFB1,3.16262,0.857639,2.9607,0.0,1.31565,0.0,0.0,0.416956,0.0,1.06093,7.87098
26,DHCR24,38.1374,46.4939,7.69733,43.5835,36.7396,31.3659,8.59466,64.1324,13.6373,17.0317,18.332
27,DUSP5,2.66143,2.63261,1.1767,1.31806,7.80812,5.47868,0.667679,0.0,3.30187,3.52254,7.34486
28,FABP7,2.25652,0.521183,0.609712,1.60248,19.8938,0.829984,5.85369,0.0,14.5807,13.5345,5.74169
29,FASN,124.609,22.4823,141.922,68.8874,77.9457,37.1964,12.6822,36.0783,13.9948,7.68728,107.343
30,FGFR4,2.32432,0.42262,0.555021,9.37874,0.919346,0.0,2.10194,0.416916,0.0,5.34385,0.622948
31,FGL2,2.48121,4.10317,9.03785,9.87236,4.94528,7.10369,5.94705,10.1991,9.61383,3.17752,3.84026
32,FOXA1,1.38574,135.889,0.399233,106.805,2.59678,23.1953,0.0,101.267,0.0,0.742095,0.725695
33,FOXC1,9.10755,3.01998,71.1802,1.76016,22.169,14.3622,5.94384,0.0,7.67033,60.9547,17.2027
34,GABRP,8.66089,1.82586,192.759,7.01519,12.7787,498.221,153.087,0.0,218.567,23.4685,275.553
35,GALNT7,12.4003,80.39,13.0624,359.37,16.9598,21.4797,5.65318,89.2718,10.3138,4.23746,14.8314
36,GBP1,41.394,95.4322,226.399,36.3345,33.4805,257.266,47.5023,79.0541,228.894,208.943,94.1626
37,GCHFR,0.422531,0.0,0.589551,0.200914,0.333965,0.118621,0.108339,0.887887,0.0,0.223262,0.55353
38,GPR87,0.951488,1.11957,1.20162,0.679588,0.58282,0.0,3.10629,0.0,0.886211,0.776639,4.25574
39,GZMB,1.4986,0.77617,5.46104,4.66964,4.43361,7.11879,5.09338,0.114792,12.0025,0.211303,5.9785
40,HGD,4.21735,6.59139,0.948775,0.0,5.07111,0.0,0.15142,0.0,0.255356,1.87352,1.28299
41,HTRA1,91.2943,30.5015,5.30595,55.0878,120.1,33.8866,10.4044,57.5539,77.4917,82.6346,22.5779
42,IDO1,0.291424,3.09202,17.0065,6.65627,0.71657,0.588023,0.0,0.0,23.029,0.400109,27.5373
43,IGFBP4,13.3498,0.49661,2.89407,1.3245,25.3081,3.39401,0.824005,10.6492,3.41105,2.99541,12.5501
44,IGHM,55.219,5.19747,145.031,62.7591,37.0321,353.006,1.92816,144.781,607.324,8.20091,707.6
45,IGJ,20.0186,27.8626,34.6306,363.991,39.9957,545.047,1.072,651.057,234.809,3.92075,104.183
