,gene_short_name,V515-06187-A1,TNT-214,TNT-6,TNT-45,17-00116-9_S2Aligned_cufflinks,17-00124-3_S12Aligned_cufflinks,TNT-300,17-00280-7_S4Aligned_cufflinks,TNT-117,TNT-259,TNT-94
0,ABCA8,1.07397,6.30619,9.6574,69.6238,140.738,19.1922,2.02342,1.96104,14.5549,7.3788,2.84949
1,ADRA2A,0.196819,0.53439,1.35793,0.0861151,1.49006,0.730596,0.0194261,0.330945,1.06228,0.0622414,0.0
2,AKAP12,3.75243,6.27307,11.312,3.04989,40.9208,8.16971,1.30359,1.98968,1.69174,10.4078,20.2867
3,ALDH3B2,34.613,5.43093,433.613,0.95725,20.2994,0.523783,11.2568,75.8959,20.3454,2.39888,22.8759
4,APOD,101.548,78.8272,13601.3,41.6221,620.083,26.8377,4.16083,25.2137,63.9205,16.1725,147.095
5,ART3,19.2103,92.4518,0.0,13.519,1.45964,28.6469,547.518,0.0257765,17.0419,2.83927,22.2765
6,ASPN,31.1651,5.46924,106.78,28.9929,32.8564,11.0376,11.5862,12.2085,23.7047,59.7246,57.3841
7,AZGP1,64.9749,603.787,1632.76,34.8083,241.997,51.8361,175.447,140.03,11.4011,0.0,70.096
8,BLVRB,6.57613,2.09444,17.4411,0.760424,2.14395,1.62151,0.0,4.51035,1.52703,1.77913,1.20029
9,C7,0.29143,19.8767,3.83002,0.936934,53.7412,17.412,0.345662,1.81111,0.964774,1.07913,0.887843
10,CCL5,1.03708,9.4678,5.02728,1.6864,0.0,4.40667,3.93922,0.0,24.8368,24.4902,4.13599
11,CD36,36.5005,20.8269,52.468,35.4874,138.951,19.8167,11.0441,13.3628,19.3201,36.2403,22.7489
12,CD52,5.15236,80.1085,20.3981,10.8174,6.29418,23.7771,21.7633,23.5318,108.542,178.9,0.0
13,CDC20,19.1111,33.0613,6.40956,8.45575,0.614254,7.08699,26.3353,8.15715,11.3241,10.0606,6.50334
14,CHI3L1,52.4824,1.5293,0.854684,22.6098,4.86842,4.73689,65.2282,3.32298,49.0583,17.9288,2.53769
15,COL2A1,124.822,0.0,0.407516,42.1761,1.07359,0.0,0.0351797,0.0195043,0.0492249,0.0,6.00303
16,COL5A1,145.37,23.8546,210.775,30.6618,23.4437,58.7164,35.0878,44.028,36.8377,40.4405,28.5161
17,COL5A2,202.313,19.3943,301.151,58.7905,53.7108,38.1792,51.2796,82.8314,37.1575,44.154,26.9307
18,CRAT,3.09639,0.567394,270.69,1.07721,5.82666,14.2827,1.56885,24.1691,2.27399,4.1209,8.31426
19,CROT,17.2031,12.2198,71.4203,5.64661,26.6722,12.7956,8.74621,15.8075,7.60702,13.6541,7.72488
20,CXCL10,2.29941,45.9677,6.60035,43.0563,5.26548,7.52891,153.815,50.6872,122.946,384.484,20.6893
21,CXCL11,0.642556,17.161,0.934983,13.4844,1.43686,1.41623,16.6523,10.4707,9.78471,110.538,4.12924
22,CXCL13,0.0413495,24.9894,1.54946,1.80252,2.66206,0.0,23.0488,11.7207,37.6351,627.493,0.0
23,CYP4F8,0.0480191,0.0,30.0292,0.113976,17.0825,0.0,0.119626,0.562419,0.355451,0.184965,0.0
24,DBI,412.371,624.36,646.11,61.8241,156.991,21.4471,118.947,128.964,76.2147,102.259,186.812
25,DEFB1,3.16262,0.0,0.0,0.17211,2.59282,0.0,17.0221,1.20338,1.98514,1.4857,0.0
26,DHCR24,38.1374,7.07305,231.222,6.56267,33.11,3.58161,98.1209,57.3044,32.4208,27.5106,5.51588
27,DUSP5,2.66143,0.619154,20.7856,2.98412,16.321,6.59482,4.9109,1.67691,8.2184,0.760338,11.9441
28,FABP7,2.25652,2.13492,461.687,19.2089,0.903434,0.0,0.577967,2.61417,0.985374,9.44809,234.221
29,FASN,124.609,1.35786,619.272,7.90951,21.7879,77.9135,30.4868,284.185,9.33763,1.18795,12.7001
30,FGFR4,2.32432,0.290372,23.8482,0.676813,0.706173,0.0,2.06335,7.21331,0.0,0.335385,0.0
31,FGL2,2.48121,7.35359,2.74346,2.29528,7.72553,9.62687,5.92215,9.03129,10.2123,6.70472,4.01329
32,FOXA1,1.38574,5.57404,193.552,4.18446,64.6535,0.181899,3.24807,166.256,0.275353,0.319283,52.9129
33,FOXC1,9.10755,48.272,3.31141,82.3449,10.4657,1.64669,25.3759,1.51493,43.8821,3.57756,8.84632
34,GABRP,8.66089,124.557,0.739897,429.953,132.79,269.497,1312.73,5.34289,1315.98,740.411,392.793
35,GALNT7,12.4003,8.64044,166.072,34.2443,47.2601,5.79069,28.9779,58.7644,12.4562,9.15928,59.2443
36,GBP1,41.394,174.836,72.8056,124.809,222.501,90.1077,381.344,101.148,140.223,218.737,17.1528
37,GCHFR,0.422531,0.096755,0.554533,0.342741,0.0822039,0.0,0.0,0.738543,0.348706,0.0,0.0
38,GPR87,0.951488,1.90972,0.480814,3.55765,0.775497,0.0,1.8344,0.14515,1.68203,7.69994,3.501
39,GZMB,1.4986,3.38941,0.835723,3.96746,2.04875,1.12176,2.33611,3.98824,24.1368,32.7245,0.0
40,HGD,4.21735,0.0,22.4211,0.926136,3.62948,7.50475,2.68364,83.8595,0.958811,5.68914,0.0
41,HTRA1,91.2943,15.8426,151.88,23.6414,112.858,49.397,15.2161,47.9654,17.8627,40.9797,4.24438
42,IDO1,0.291424,40.6568,3.83281,4.55117,3.61266,29.3957,58.7348,4.65914,24.9349,56.6019,0.0
43,IGFBP4,13.3498,0.927897,6.3947,0.610431,37.0916,45.4229,0.976242,6.40402,1.75791,0.438883,1.46345
44,IGHM,55.219,111.369,37.4842,60.1804,0.0,152.941,81.722,125.662,803.919,136.843,5.60384
45,IGJ,20.0186,159.628,13.2475,113.147,462.423,159.86,477.129,139.326,225.572,120.395,0.571862
46,IGKC,182.346,2153.64,532.116,5655.79,3684.97,2589.9,3901.31,1796.2,5939.7,1516.83,84.4972
47,IL23A,0.0490073,0.0,0.130425,0.226546,0.0,0.0,0.0811747,0.158848,0.872439,0.0,0.0
48,IL33,0.883329,2.23115,1.10622,0.455691,8.58171,20.4372,0.469805,0.668787,1.801,0.602038,0.0
