,gene_short_name,V515-06187-A1,TNT-252,17-00104-2_S7Aligned_cufflinks,TNT-231,TNT-27,17-00105-7_S10_cufflinks,TNT-50,TNT-304,TNT-67,17-00131-5_S8Aligned_cufflinks,TNT-182
0,ABCA8,1.07397,8.54573,7.99826,3.88278,1.91007,15.2433,6.27059,3.65161,38.3062,3.02603,5.73898
1,ADRA2A,0.196819,0.303387,0.145057,1.04498,0.0,1.61281,0.613286,0.0,0.801187,0.425611,0.0891861
2,AKAP12,3.75243,3.34193,0.644769,8.51694,4.47033,20.4997,15.7193,1.82451,27.6458,0.384289,13.2235
3,ALDH3B2,34.613,0.0,28.0666,10.2769,0.0,2.31326,19.4221,1.69334,33.9557,15.5005,0.223333
4,APOD,101.548,7.80339,6.77016,279.533,12.3754,82.3389,34.8661,171.879,850.293,1.23954,108.309
5,ART3,19.2103,0.337303,6.09762,0.0,277.391,0.372426,0.671865,181.128,0.535039,0.635686,39.255
6,ASPN,31.1651,15.8789,3.64492,29.2722,32.3565,41.4929,72.6274,54.125,175.454,2.46604,102.374
7,AZGP1,64.9749,7.40158,56.5053,316.875,141.167,5.05436,94.0011,300.948,391.013,5.05111,87.2981
8,BLVRB,6.57613,0.871201,1.03463,2.59229,1.6655,2.24939,4.233,4.18302,3.14037,2.44601,1.31899
9,C7,0.29143,24.0301,0.923272,3.38337,2.97795,18.676,5.63905,1.88416,52.2921,0.593221,4.2449
10,CCL5,1.03708,2.64418,0.26264,4.01815,1.16553,5.25453,2.46692,9.38296,15.48,5.70474,9.13623
11,CD36,36.5005,13.2741,96.9286,21.4639,9.68515,26.3072,17.4704,40.2595,175.374,9.64332,31.6866
12,CD52,5.15236,437.321,0.315542,72.6561,3.93531,2.14786,26.2153,85.9483,39.5948,3.68263,63.4951
13,CDC20,19.1111,7.2855,15.73,24.5621,11.3276,2.38084,6.63309,16.8101,0.482607,8.15222,8.12888
14,CHI3L1,52.4824,0.0682052,3.18682,0.0151373,21.1168,4.30004,23.1543,5.51471,4.42293,168.771,54.8576
15,COL2A1,124.822,0.0,0.0598273,0.111929,110.558,0.613052,0.7584,219.151,0.0,0.0350637,7.76564
16,COL5A1,145.37,2.78046,12.4204,87.8761,27.9453,145.623,129.285,19.8955,143.662,11.9765,91.7031
17,COL5A2,202.313,6.94899,14.4705,82.9914,66.3652,236.741,232.429,47.714,330.43,14.2269,167.344
18,CRAT,3.09639,0.663326,12.0212,4.96534,2.29762,10.8298,9.18802,1.28039,8.76498,1.26799,4.19317
19,CROT,17.2031,14.7668,20.2671,10.7887,33.2998,13.6305,5.88813,4.93747,12.809,5.52752,4.71211
20,CXCL10,2.29941,12.4893,0.414279,39.3975,17.1828,3.53507,15.6837,191.918,8.31688,58.1687,167.102
21,CXCL11,0.642556,2.66393,0.0733103,14.1107,0.123562,1.68925,1.43911,27.7435,1.34316,8.21909,20.1739
22,CXCL13,0.0413495,106.426,0.20138,52.2161,23.0044,1.16042,5.55664,38.1041,2.82177,9.9852,8.86429
23,CYP4F8,0.0480191,0.0,0.0,0.010545,0.00678974,0.0,0.310565,0.0,0.0558274,0.0,0.0
24,DBI,412.371,55.1479,51.5305,105.985,152.017,24.5286,139.829,151.897,146.652,19.1439,255.496
25,DEFB1,3.16262,0.0,6.74654,6.56505,0.0,0.0,10.9841,3.25182,0.583211,2.9607,0.832102
26,DHCR24,38.1374,2.528,67.6527,52.1513,3.88958,10.2971,61.7799,9.19186,58.5741,7.69733,57.4009
27,DUSP5,2.66143,2.4734,2.25617,12.2249,0.0,7.98056,4.47715,0.5457,10.2672,1.1767,8.58565
28,FABP7,2.25652,0.0,16.3438,0.166318,66.6622,0.132922,0.0,18.7847,0.504147,0.609712,0.320356
29,FASN,124.609,1.5318,49.9543,11.447,1.39044,33.3583,57.4616,2.77579,33.9861,141.922,2.86796
30,FGFR4,2.32432,0.0,0.516594,0.0,1.45713,6.27721,1.32382,0.0,2.07236,0.555021,0.0
31,FGL2,2.48121,12.8518,0.393938,11.6829,11.4318,1.65977,5.51389,4.1749,8.22928,9.03785,9.52411
32,FOXA1,1.38574,3.50368,7.66108,107.32,0.606611,2.09953,1.90232,2.88396,41.2711,0.399233,8.27237
33,FOXC1,9.10755,7.21536,21.056,5.24262,24.7188,8.20116,39.9886,23.4572,9.42451,71.1802,15.3841
34,GABRP,8.66089,1.02746,26.6801,40.2214,709.436,25.1786,23.6083,963.374,101.907,192.759,1005.45
35,GALNT7,12.4003,18.9048,26.588,45.0253,17.0417,11.0325,11.5386,22.0505,43.7686,13.0624,12.5692
36,GBP1,41.394,121.363,12.1963,82.1542,69.6213,291.445,71.5431,130.413,116.33,226.399,698.158
37,GCHFR,0.422531,0.227852,0.190252,0.0,0.0,0.0,0.20549,0.0,0.176906,0.589551,0.0
38,GPR87,0.951488,0.766842,21.0117,0.0,5.22374,0.160558,4.06842,11.4268,0.16933,1.20162,0.516754
39,GZMB,1.4986,8.41786,0.0,4.58215,0.0,1.21038,2.96307,2.90341,1.42534,5.46104,14.4144
40,HGD,4.21735,1.45083,2.79309,6.21582,1.32979,10.301,2.01073,0.424599,22.0706,0.948775,1.69461
41,HTRA1,91.2943,5.43078,6.07297,30.4542,21.1824,146.353,121.513,30.6134,211.365,5.30595,102.285
42,IDO1,0.291424,15.7534,0.0,86.3031,2.01125,1.67701,8.63063,6.73041,1.93921,17.0065,10.5988
43,IGFBP4,13.3498,0.0,9.80542,2.07548,0.227153,52.3011,3.08424,0.532935,4.49856,2.89407,0.994875
44,IGHM,55.219,106.34,0.0,483.259,44.0223,0.0,119.376,58.2375,336.393,145.031,156.569
45,IGJ,20.0186,328.976,4.29243,690.221,68.2601,234.137,101.14,358.417,2010.26,34.6306,296.668
46,IGKC,182.346,992.901,66.0953,7960.46,396.311,3004.06,1160.89,2858.74,9916.74,2381.84,2932.66
