,gene_short_name,V515-06187-A1,TNT-239,17-00143-5_S2Aligned_cufflinks,TNT-183,TNT-194,TNT-197,17-00140-2_S2_cufflinks,TNT-6,17-00118-2_S5Aligned_cufflinks,17-00149-2_S3_cufflinks,TNT-92
0,ABCA8,1.07397,6.36936,0.809124,3.81267,13.5865,3.13417,4.1809,9.6574,24.4092,32.3573,32.1067
1,ADRA2A,0.196819,0.621933,0.0726771,0.0692467,0.308895,0.245942,0.974128,1.35793,3.19406,1.055,0.187864
2,AKAP12,3.75243,7.24354,0.951425,8.8469,10.3491,8.95121,1.05279,11.312,14.0568,14.0612,5.51587
3,ALDH3B2,34.613,6.83249,19.1452,38.4582,2.39483,1.98131,25.7805,433.613,3.29726,3.87839,8.09628
4,APOD,101.548,13.232,10.9531,180.386,20.1919,62.4847,4.29317,13601.3,185.233,446.564,227.124
5,ART3,19.2103,0.155376,0.422378,0.0,91.6903,4.63307,9.72088,0.0,0.0,12.8534,1.03436
6,ASPN,31.1651,7.22931,3.69349,31.8742,138.753,53.4652,10.1457,106.78,16.7672,14.5927,108.547
7,AZGP1,64.9749,20.3111,85.8713,358.987,56.8318,1.52872,60.7934,1632.76,72.8132,40.5716,23.496
8,BLVRB,6.57613,1.91144,3.81422,6.52662,2.52836,1.616,3.62414,17.4411,1.83964,9.78599,2.3271
9,C7,0.29143,63.4141,0.0263386,4.16189,2.26536,0.729716,0.0,3.83002,24.8705,91.1891,5.15895
10,CCL5,1.03708,6.15495,1.59721,5.85183,4.14474,19.9773,0.0,5.02728,3.56215,37.03,5.3861
11,CD36,36.5005,25.2455,30.0312,18.5522,52.8562,38.1309,44.8475,52.468,119.607,166.339,13.668
12,CD52,5.15236,884.803,2.29825,27.578,30.274,30.7753,6.33001,20.3981,2.24641,25.8994,51.077
13,CDC20,19.1111,8.33313,48.5456,14.1964,12.6889,16.499,9.59021,6.40956,0.0,5.02223,2.62069
14,CHI3L1,52.4824,5.80837,0.326855,7.02127,14.9525,25.4191,31.4808,0.854684,12.7697,18.9358,93.8031
15,COL2A1,124.822,0.441904,0.0149873,0.157197,11.6999,0.0496131,0.0222491,0.407516,0.0,0.127527,0.145719
16,COL5A1,145.37,4.27042,70.9135,128.517,142.663,33.6054,87.0433,210.775,52.95,27.3903,32.6411
17,COL5A2,202.313,7.06516,19.6112,149.547,192.696,53.8271,50.7685,301.151,24.6562,92.603,57.8362
18,CRAT,3.09639,1.24437,16.3546,7.31713,6.37593,3.01341,6.3588,270.69,10.0312,24.4152,5.01356
19,CROT,17.2031,13.1914,21.1097,25.6105,6.02665,2.8917,18.901,71.4203,11.6213,2.63143,13.2484
20,CXCL10,2.29941,30.7011,5.9346,40.563,67.1186,68.2187,63.1842,6.60035,3.6803,49.8271,60.784
21,CXCL11,0.642556,4.089,1.10673,9.91978,6.41966,11.7024,18.5376,0.934983,0.0,13.9609,3.28281
22,CXCL13,0.0413495,181.287,4.2982,8.31043,13.1159,44.9298,16.208,1.54946,0.0,13.0693,10.8363
23,CYP4F8,0.0480191,0.0,3.67657,0.134864,0.602536,0.271496,0.467581,30.0292,0.0,0.0,0.0470314
24,DBI,412.371,81.9375,114.674,253.444,534.099,115.771,52.3533,646.11,19.5872,98.0767,62.0434
25,DEFB1,3.16262,5.28242,12.7599,5.7662,0.0,0.0,7.87098,0.0,0.0,1.72424,6.211
26,DHCR24,38.1374,9.51047,140.125,409.418,14.7549,3.72752,18.332,231.222,14.4419,13.2626,18.6696
27,DUSP5,2.66143,2.56,5.98185,10.1188,4.69127,6.03294,7.34486,20.7856,11.1119,5.49924,7.78564
28,FABP7,2.25652,4.89626,0.0,4.46561,15.2167,1.85446,5.74169,461.687,0.428058,1.94644,15.3098
29,FASN,124.609,4.16085,264.185,208.173,8.69055,2.32471,107.343,619.272,23.8917,63.1845,3.44193
30,FGFR4,2.32432,0.310047,37.3663,1.83149,2.74081,0.975753,0.622948,23.8482,1.08178,0.991191,0.543839
31,FGL2,2.48121,12.4948,0.907804,2.36989,6.57174,5.81374,3.84026,2.74346,3.54424,22.3538,13.8813
32,FOXA1,1.38574,0.0622759,143.36,131.475,0.0,1.1978,0.725695,193.552,90.0389,8.11944,4.61343
33,FOXC1,9.10755,21.1296,3.12932,1.07673,33.5466,32.2897,17.2027,3.31141,15.4442,8.85273,15.6674
34,GABRP,8.66089,204.747,22.4545,4.11811,156.577,4.73335,275.553,0.739897,123.86,9.4546,1884.93
35,GALNT7,12.4003,36.8265,59.9791,37.4187,7.91952,24.4677,14.8314,166.072,17.0883,43.6994,28.7253
36,GBP1,41.394,123.158,23.1936,292.732,326.483,92.947,94.1626,72.8056,50.1795,113.411,144.004
37,GCHFR,0.422531,0.276966,0.606169,0.376676,0.0,0.0,0.55353,0.554533,0.0,0.289156,0.154028
