,gene_short_name,V515-06187-A1,17-00131-5_S8Aligned_cufflinks,TNT-85,17-00157-0_S11Aligned_cufflinks,TNT-322,17-00113-4_S11_cufflinks,TNT-177,TNT-2,TNT-234,TNT-283,17-00258-5_S5Aligned_cufflinks
0,ABCA8,1.07397,3.02603,13.9148,14.9899,2.96949,15.3024,9.29659,11.3424,4.49278,5.2258,6.53624
1,ADRA2A,0.196819,0.425611,0.126968,0.928628,0.471202,1.17333,0.268389,0.725975,0.631742,0.0,0.656837
2,AKAP12,3.75243,0.384289,9.65515,11.8446,10.0738,3.48712,2.95332,4.33016,13.1758,3.43169,3.78971
3,ALDH3B2,34.613,15.5005,3.09142,2.39375,2.39686,0.0,8.06703,59.8633,1.06207,2.42432,0.884181
4,APOD,101.548,1.23954,880.669,50.4508,43.1584,364.672,139.493,61.0149,158.972,134.119,70.1232
5,ART3,19.2103,0.635686,23.9716,0.291602,30.7849,34.7165,4.00471,1.16911,45.8656,1.3833,93.7437
6,ASPN,31.1651,2.46604,34.7116,27.6337,71.8074,24.2658,37.577,8.07027,10.3409,148.766,3.796
7,AZGP1,64.9749,5.05111,35.7304,3.87216,78.8806,1.9705,95.197,166.081,199.492,6.21353,121.947
8,BLVRB,6.57613,2.44601,1.67536,4.43249,1.60934,1.36413,3.74146,3.12197,5.22607,3.29221,2.68466
9,C7,0.29143,0.593221,2.5042,5.99394,6.31146,1.0167,0.643378,2.34158,8.1721,1.21194,10.2181
10,CCL5,1.03708,5.70474,8.38996,0.0,1.69886,18.6956,7.50898,69.8738,20.0857,13.0437,0.0
11,CD36,36.5005,9.64332,17.1364,149.636,28.7743,17.7305,57.821,39.5145,6.57482,37.5269,28.5228
12,CD52,5.15236,3.68263,20.4057,2.70915,13.838,10.3919,35.5903,205.116,203.874,9.26877,18.8695
13,CDC20,19.1111,8.15222,9.41933,14.3517,6.0292,13.2209,29.8034,7.6301,15.2527,9.88436,23.2123
14,CHI3L1,52.4824,168.771,13.6008,45.5875,35.8325,14.252,11.0398,84.8944,6.94574,1.13169,33.0192
15,COL2A1,124.822,0.0350637,98.027,114.783,53.7069,40.7805,246.991,0.062383,14.9827,1.11024,1.45759
16,COL5A1,145.37,11.9765,45.6382,174.977,112.952,68.1556,179.114,43.5105,85.517,30.5437,34.1131
17,COL5A2,202.313,14.2269,129.77,163.721,161.199,101.402,152.074,58.4864,97.4348,90.4159,47.3189
18,CRAT,3.09639,1.26799,2.57163,4.3305,4.34071,2.69333,0.280142,3.44216,3.60935,1.09201,7.21592
19,CROT,17.2031,5.52752,12.7296,4.56994,12.2274,5.8188,10.992,10.2353,12.6402,7.69125,10.1169
20,CXCL10,2.29941,58.1687,11.7658,2.0649,18.7623,26.4345,36.2774,100.163,33.8412,57.2712,16.6569
21,CXCL11,0.642556,8.21909,2.73816,0.506209,4.62877,5.58739,1.84482,8.15934,17.1314,9.65099,7.99702
22,CXCL13,0.0413495,9.9852,4.71574,4.07947,3.45115,7.41406,0.0,48.4832,25.2858,30.5927,2.88489
23,CYP4F8,0.0480191,0.0,0.0,0.0,0.319508,0.0,2.76604,0.73018,1.63133,0.368212,0.0
24,DBI,412.371,19.1439,133.489,133.718,322.902,79.2129,138.371,140.363,124.317,168.356,166.079
25,DEFB1,3.16262,2.9607,0.38141,1.31565,0.0,0.0,0.0,21.423,0.591504,0.857639,1.93523
26,DHCR24,38.1374,7.69733,4.28671,36.7396,13.3313,4.51013,18.1352,56.9426,24.5526,46.4939,27.1696
27,DUSP5,2.66143,1.1767,2.37387,7.80812,3.62308,2.29512,9.42159,13.1152,3.12875,2.63261,2.8326
28,FABP7,2.25652,0.609712,6.33376,19.8938,9.84249,7.17503,9.03826,0.0,0.0,0.521183,2.60242
29,FASN,124.609,141.922,4.85397,77.9457,4.11901,36.0866,22.3397,30.5933,35.273,22.4823,68.8053
30,FGFR4,2.32432,0.555021,0.210286,0.919346,1.26775,0.484282,4.81442,7.58388,0.773005,0.42262,0.316761
31,FGL2,2.48121,9.03785,2.7094,4.94528,4.80815,3.70126,3.7914,13.7442,6.32909,4.10317,6.23406
32,FOXA1,1.38574,0.399233,0.0,2.59678,3.72445,1.02879,7.3197,55.8235,5.27579,135.889,5.23722
33,FOXC1,9.10755,71.1802,79.8081,22.169,53.1081,44.431,108.721,2.45497,14.6341,3.01998,38.8687
34,GABRP,8.66089,192.759,1053.74,12.7787,9.75716,461.206,602.953,0.944281,1028.27,1.82586,475.426
35,GALNT7,12.4003,13.0624,38.9402,16.9598,8.96135,17.6967,5.39991,57.6309,18.4391,80.39,23.3908
36,GBP1,41.394,226.399,94.8531,33.4805,72.4958,75.7986,153.465,297.692,225.238,95.4322,98.347
37,GCHFR,0.422531,0.589551,0.0,0.333965,0.0,0.0,0.0,0.886545,0.275705,0.0,0.326596
38,GPR87,0.951488,1.20162,0.274371,0.58282,0.811492,1.64538,8.35425,0.0,2.69066,1.11957,0.0741723
39,GZMB,1.4986,5.46104,0.156752,4.43361,2.85827,2.88027,1.7166,29.9223,11.2726,0.77617,9.66196
40,HGD,4.21735,0.948775,0.344177,5.07111,0.723087,1.52329,0.0,6.07336,1.42092,6.59139,9.84492
41,HTRA1,91.2943,5.30595,26.8807,120.1,89.2861,48.8061,78.6975,34.4731,33.9002,30.5015,30.3202
42,IDO1,0.291424,17.0065,1.25972,0.71657,2.73532,3.82295,10.2732,30.9316,12.2501,3.09202,8.022
43,IGFBP4,13.3498,2.89407,1.20676,25.3081,1.50953,12.6485,9.74421,3.42292,6.813,0.49661,18.7336
44,IGHM,55.219,145.031,15.7823,37.0321,22.8218,0.0,14.0452,1396.31,185.139,5.19747,0.0
45,IGJ,20.0186,34.6306,28.9327,39.9957,90.7233,33.6241,44.6267,761.952,72.7743,27.8626,229.526
46,IGKC,182.346,2381.84,544.65,412.756,4574.11,606.637,102.776,30004.8,2509.63,801.068,3962.3
47,IL23A,0.0490073,0.157318,0.0,0.0591049,0.175262,0.619544,0.0,1.4892,0.0,0.0,0.362634
48,IL33,0.883329,1.05634,2.95705,3.79564,1.37403,2.72849,0.0,1.94905,2.84467,0.553965,4.04765
49,INPP4B,37.1722,6.39065,12.045,15.8445,11.0585,8.61467,1.63841,40.8309,34.7775,12.8883,20.8078
50,ITM2A,5.13433,12.5426,13.6575,12.4601,8.41023,6.46899,0.0,68.16,15.4977,9.52588,20.5502
51,JAM2,11.2143,1.4881,16.8022,11.2515,14.3878,6.65171,0.0,7.89353,2.30841,0.335613,6.89795
52,KCNK5,7.32046,3.68354,1.42137,3.94905,1.85514,0.70677,9.51881,0.187149,1.12907,0.207736,2.79978
53,KIAA1324,6.46799,2.73313,26.8834,4.44704,44.5245,10.0233,52.1132,55.1968,1.58518,38.4246,8.89978
54,KMO,1.44589,9.83803,2.61179,3.95502,7.92906,13.7969,1.26288,15.1833,4.34515,6.84534,4.74365
55,KRT14,118.371,4.12401,10.4352,246.15,26.5788,161.559,321.084,0.0,73.9875,0.711948,49.9799
56,KRT16,91.0343,0.898924,18.7238,473.333,89.57,25.2559,110.288,0.579715,71.7901,2.65956,123.37
57,KRT17,105.347,55.7211,90.4727,1234.96,75.4316,332.388,538.017,21.4388,266.007,8.14209,98.3899
58,KRT6A,54.2242,81.4641,17.4194,316.262,9.45253,16.0704,53.19,5.09093,76.4429,13.9138,74.7498
59,KRT6B,86.6584,22.3315,15.7364,231.8,11.8312,38.2187,256.016,0.332824,479.9,0.508348,53.5423
60,KYNU,14.7879,7.79387,4.71817,21.981,5.0327,23.7754,14.4053,20.1823,8.79221,4.35554,9.58681
61,LBP,0.573258,23.1821,1.18249,2.21989,0.742749,0.52182,4.68855,0.37057,0.257459,0.041098,0.358738
62,LHFP,2.0952,0.825841,1.88011,1.74013,0.848601,0.965126,0.100909,1.1423,0.714479,1.06431,2.79094
63,MFAP4,1.60954,4.31629,1.10077,7.00268,0.916599,8.52027,2.17422,4.55944,3.14142,0.188581,10.5279
64,MIA,21.0747,1.95772,20.3728,91.9118,37.434,5.36339,138.006,0.450223,5.76936,1.9076,14.3733
65,MID1,36.2366,43.2326,16.0742,38.3648,25.2335,19.5958,14.6245,14.941,26.9271,134.299,12.8176
66,MYBL1,4.60362,1.97273,48.2984,14.6385,49.1399,34.5411,10.596,4.27869,22.7219,5.02566,40.252
67,NEK2,17.1321,10.8881,45.9645,9.50352,19.8866,35.7282,77.8594,7.57769,28.8537,32.5632,14.2971
68,NTN3,0.0235576,0.0259023,0.0,0.0290064,0.0,0.0,0.0,0.0,0.0,0.0,0.0294898
69,OGN,1.27872,0.273895,19.6786,8.20645,23.0471,9.56079,16.3848,6.09545,10.9256,17.6911,4.57913
70,PI3,0.0,18.6768,12.9848,1.08444,0.17783,14.1712,0.0,0.0,0.809754,0.836548,0.0
71,PLEKHB1,14.583,2.03643,1.19545,5.81267,0.544358,1.27312,3.74115,1.03345,1.41643,1.33354,13.993
72,PMAIP1,1.62393,2.45003,0.0,1.60111,5.09102,13.1758,0.0,0.335407,0.687533,1.46853,2.15123
73,PSMB9,0.0,0.0,1.28821,9.59711,4.20788,0.0,5.71113,30.6622,26.4592,33.3966,0.0
74,PTGDS,1.49063,0.348463,1.50469,8.94655,0.515843,4.56134,2.28153,33.7755,7.37632,0.60063,7.08018
75,RARRES3,10.7933,51.4591,5.74631,5.33786,4.93264,5.6112,0.518451,58.6398,10.8688,64.8345,23.5313
76,RTP4,0.772275,3.67307,0.0949046,0.359175,3.03186,3.38501,0.0,2.85869,3.08606,2.64071,3.08024
77,S100A1,196.638,4.78204,12.5233,43.4994,36.3341,4.30015,36.82,0.0,3.24423,2.17375,179.938
78,S100A7,6.57916,1.1964,1.3312,1.15754,0.0,0.277898,0.0,0.0,0.493553,0.0,0.361024
79,S100A8,3.49996,1.6705,2.91237,2.80385,0.869452,5.84994,0.0,8.04674,1.23113,1.97965,2.18289
80,SCRG1,23.222,0.0,44.7074,5.63649,24.5745,0.0855807,6.31794,1.34104,0.0346114,0.0995131,5.63925
81,SEMA3C,89.189,24.4515,41.3754,113.926,24.3407,31.7723,38.0269,20.5534,23.6758,4.05474,11.4289
82,SERHL2,5.02658,3.3933,0.700095,3.74914,6.08545,1.81287,11.314,0.260188,3.82011,18.7518,14.0748
83,SFRP1,35.3095,5.26698,7.5595,15.0663,26.554,1.93791,4.2594,0.346055,15.3514,0.0,20.2949
84,SIDT1,0.909009,6.67357,0.900163,1.31951,1.77926,1.03892,0.0,29.3222,6.04401,23.4269,6.00681
85,SOX10,3.84721,0.0,0.780131,6.69312,2.17461,1.62839,1.8337,0.0,3.83049,0.0,10.7546
86,SPDEF,0.141878,0.0544585,0.268385,0.0915142,0.516921,0.0,0.0,4.22867,0.0,7.9692,0.68243
87,SPRR1B,0.0944781,0.0,0.0,0.357226,0.0,0.0,0.0,0.0,0.523364,0.0,0.0
88,SPTLC2,28.7351,20.6005,27.1889,40.6082,35.8602,37.4772,17.4346,51.4217,49.8823,46.537,36.547
89,SRPX,12.4869,0.210772,2.96741,11.5373,3.19103,4.32891,8.21848,2.93003,3.09636,2.36183,3.4638
90,TCF7L1,11.751,38.0919,10.6981,9.27533,12.017,12.1978,12.356,2.31134,29.2323,0.731486,9.43708
91,TFAP2B,1.18026,0.0,0.306106,0.435733,5.67484,0.300197,0.0,1.66301,0.651673,0.851188,0.438146
92,THBS4,8.67223,0.588586,13.8041,12.4065,39.4894,2.00873,22.2968,9.77135,5.82503,4.76762,5.44268
93,TNFAIP8,5.97248,18.0039,22.5981,8.94067,14.2634,12.079,10.7572,42.9762,48.2796,12.5094,14.6041
94,TNFSF10,24.8142,282.779,15.7083,11.2988,11.1771,20.4693,37.211,17.5029,21.3954,30.3826,16.7985
