,gene_short_name,V515-06187-A1,TNT-299,TNT-322,TNT-152,17-00114-7_S13_cufflinks,TNT-105,TNT-16,17-00100-2_S17Aligned_cufflinks,TNT-104,TNT-311,TNT-50
0,ABCA8,1.07397,8.87917,2.96949,28.3027,4.78456,31.9528,16.1221,2.66909,45.0011,34.8692,6.27059
1,ADRA2A,0.196819,0.321954,0.471202,0.562541,1.9036,0.0701431,1.7823,0.798061,0.0269278,0.0496502,0.613286
2,AKAP12,3.75243,8.3169,10.0738,19.0715,7.9425,9.49149,14.6167,2.76503,14.8787,15.4658,15.7193
3,ALDH3B2,34.613,2.22473,2.39686,134.872,10.6038,0.0,303.041,8.7501,134.5,0.56246,19.4221
4,APOD,101.548,26.3483,43.1584,3238.15,15.2827,114.32,3948.76,62.3337,16699.3,582.871,34.8661
5,ART3,19.2103,47.8547,30.7849,0.0,8.70104,17.1801,0.0,1.80536,0.0,379.806,0.671865
6,ASPN,31.1651,14.6382,71.8074,89.7133,206.11,168.207,169.588,28.774,93.4608,46.0267,72.6274
7,AZGP1,64.9749,144.884,78.8806,678.875,3.75124,9.073,362.406,6.16124,438.903,580.643,94.0011
8,BLVRB,6.57613,1.49672,1.60934,9.51428,7.71371,0.431008,6.56034,1.94294,5.2299,0.59776,4.233
9,C7,0.29143,4.52315,6.31146,41.1971,3.69818,5.95524,16.1138,1.22548,28.9865,8.6817,5.63905
10,CCL5,1.03708,6.02102,1.69886,12.9609,0.0,6.45283,2.45249,10.7786,10.9451,2.70085,2.46692
11,CD36,36.5005,80.6752,28.7743,35.2708,15.9088,49.5897,33.7502,9.62158,126.937,25.2541,17.4704
12,CD52,5.15236,14.2911,13.838,82.2545,39.7689,19.3671,9.98149,8.39226,29.5778,21.335,26.2153
13,CDC20,19.1111,4.88095,6.0292,4.50527,7.44323,3.94257,4.69409,16.0755,0.0650128,8.48748,6.63309
14,CHI3L1,52.4824,21.8619,35.8325,0.786117,25.4046,5.77056,2.78629,6.07407,1.02785,0.922415,23.1543
15,COL2A1,124.822,8.71282,53.7069,0.0,37.2636,4.95583,0.0761304,1.0013,0.222123,0.0,0.7584
16,COL5A1,145.37,36.7694,112.952,108.138,106.224,51.5344,148.389,75.7083,47.013,45.4507,129.285
17,COL5A2,202.313,49.6448,161.199,322.448,160.553,93.8971,246.925,115.303,87.7715,72.8625,232.429
