,gene_short_name,V515-06187-A1,17-00139-2_S9Aligned_cufflinks,17-00111-2_S4_cufflinks,17-00104-2_S7Aligned_cufflinks,TNT-225,17-00258-5_S5Aligned_cufflinks,TNT-227,TNT-204,17-00113-4_S11_cufflinks,TNT-27,17-00122-1_S1_cufflinks
0,ABCA8,1.07397,3.646,3.13612,7.99826,19.7157,6.53624,0.876496,22.5552,15.3024,1.91007,15.2547
1,ADRA2A,0.196819,0.21834,1.38168,0.145057,0.313514,0.656837,0.949996,0.51488,1.17333,0.0,1.06565
2,AKAP12,3.75243,2.68102,6.91818,0.644769,11.701,3.78971,4.58848,5.24104,3.48712,4.47033,3.36502
3,ALDH3B2,34.613,27.7129,7.41563,28.0666,0.0,0.884181,0.0,10.6186,0.0,0.0,19.7483
4,APOD,101.548,8.01472,53.9198,6.77016,86.1188,70.1232,13.7345,431.157,364.672,12.3754,39.0799
5,ART3,19.2103,1.5872,0.0,6.09762,44.2138,93.7437,53.495,0.0,34.7165,277.391,0.0
6,ASPN,31.1651,9.94837,172.134,3.64492,112.768,3.796,14.4329,25.8341,24.2658,32.3565,22.2786
7,AZGP1,64.9749,1.50857,35.5573,56.5053,68.2212,121.947,9.19289,91.8052,1.9705,141.167,21.2686
8,BLVRB,6.57613,1.37106,5.90259,1.03463,0.938568,2.68466,3.1071,5.31772,1.36413,1.6655,2.08356
9,C7,0.29143,0.645289,2.30553,0.923272,7.47819,10.2181,4.99071,1.40697,1.0167,2.97795,16.0706
10,CCL5,1.03708,2.11983,20.6348,0.26264,2.44293,0.0,26.5416,10.1049,18.6956,1.16553,0.0
11,CD36,36.5005,14.3767,34.8274,96.9286,47.8398,28.5228,17.3573,78.1711,17.7305,9.68515,6.42672
12,CD52,5.15236,2.72221,43.6633,0.315542,54.5642,18.8695,480.968,132.064,10.3919,3.93531,12.6459
13,CDC20,19.1111,34.2285,1.21622,15.73,16.8549,23.2123,10.3227,2.72803,13.2209,11.3276,28.4023
14,CHI3L1,52.4824,127.334,13.5814,3.18682,13.4776,33.0192,7.42916,0.915721,14.252,21.1168,3.28866
15,COL2A1,124.822,0.569296,0.361854,0.0598273,2.20486,1.45759,0.609106,0.0145825,40.7805,110.558,5.51192
16,COL5A1,145.37,28.6234,238.76,12.4204,113.037,34.1131,27.5166,23.136,68.1556,27.9453,105.517
17,COL5A2,202.313,24.2914,418.121,14.4705,173.274,47.3189,44.3055,44.7471,101.402,66.3652,45.6436
