,gene_short_name,V515-06187-A1,TNT-132,TNT-325,TNT-177,17-00141-7_S14Aligned_cufflinks,TNT-41,TNT-85,17-00105-7_S10_cufflinks,17-00124-3_S12Aligned_cufflinks,TNT-54,TNT-187
0,ABCA8,1.07397,13.1009,1.18126,9.29659,10.5345,13.0061,13.9148,15.2433,19.1922,58.0877,12.5347
1,ADRA2A,0.196819,0.0,0.271846,0.268389,1.99187,1.04865,0.126968,1.61281,0.730596,0.409427,0.0689046
2,AKAP12,3.75243,10.4829,2.18196,2.95332,12.7907,7.11901,9.65515,20.4997,8.16971,14.9386,10.9667
3,ALDH3B2,34.613,14.3204,34.041,8.06703,3.54849,1.4853,3.09142,2.31326,0.523783,9.50673,7.42946
4,APOD,101.548,905.295,61.197,139.493,24.0673,56.6557,880.669,82.3389,26.8377,745.2,32.7622
5,ART3,19.2103,0.0,0.0,4.00471,0.899191,59.7037,23.9716,0.372426,28.6469,3.22085,3.3322
6,ASPN,31.1651,168.678,42.7013,37.577,73.3324,247.642,34.7116,41.4929,11.0376,17.7205,55.6868
7,AZGP1,64.9749,66.7659,1.1505,95.197,44.7696,16.7207,35.7304,5.05436,51.8361,84.4769,85.9447
8,BLVRB,6.57613,5.60583,1.88931,3.74146,3.11342,12.3493,1.67536,2.24939,1.62151,1.03403,2.38092
9,C7,0.29143,39.2885,0.823103,0.643378,5.79552,0.657578,2.5042,18.676,17.412,70.8319,4.16421
10,CCL5,1.03708,37.3394,47.0465,7.50898,2.20958,16.4867,8.38996,5.25453,4.40667,27.218,2.99886
11,CD36,36.5005,220.64,13.2001,57.821,8.51482,79.5482,17.1364,26.3072,19.8167,53.4162,36.7609
12,CD52,5.15236,145.508,320.424,35.5903,3.28078,49.562,20.4057,2.14786,23.7771,206.158,9.19472
13,CDC20,19.1111,1.11341,10.4861,29.8034,3.57694,9.8534,9.41933,2.38084,7.08699,3.85495,15.332
14,CHI3L1,52.4824,0.735538,9.58912,11.0398,49.6044,62.4796,13.6008,4.30004,4.73689,7.7664,9.608
15,COL2A1,124.822,0.0,0.0,246.991,6.22864,31.3989,98.027,0.613052,0.0,0.348718,0.771233
16,COL5A1,145.37,86.3879,32.1635,179.114,179.457,194.514,45.6382,145.623,58.7164,20.0147,147.105
17,COL5A2,202.313,115.257,39.9525,152.074,139.583,290.284,129.77,236.741,38.1792,24.5429,314.266
18,CRAT,3.09639,49.512,9.22186,0.280142,13.306,10.8437,2.57163,10.8298,14.2827,8.03522,6.443
19,CROT,17.2031,76.9528,7.78834,10.992,11.8014,4.9685,12.7296,13.6305,12.7956,7.78597,5.30959
20,CXCL10,2.29941,60.3684,85.8427,36.2774,1.77745,100.358,11.7658,3.53507,7.52891,37.7643,79.7082
21,CXCL11,0.642556,0.809112,3.55874,1.84482,0.511637,17.9766,2.73816,1.68925,1.41623,14.0366,15.2041
22,CXCL13,0.0413495,55.4755,47.4504,0.0,0.10165,9.70889,4.71574,1.16042,0.0,33.4686,8.6131
23,CYP4F8,0.0480191,6.69571,0.0,2.76604,0.0,0.337205,0.0,0.0,0.0,0.990511,0.301548
24,DBI,412.371,281.14,21.2225,138.371,41.5496,121.199,133.489,24.5286,21.4471,101.01,147.524
25,DEFB1,3.16262,5.28935,50.9421,0.0,0.928965,1.04105,0.38141,0.0,0.0,0.0,0.744099
26,DHCR24,38.1374,36.6759,62.9418,18.1352,8.79103,16.0402,4.28671,10.2971,3.58161,8.20185,19.7136
27,DUSP5,2.66143,10.068,4.8256,9.42159,9.1031,6.13273,2.37387,7.98056,6.59482,6.61308,6.91371
28,FABP7,2.25652,0.260094,0.0,9.03826,0.729541,2.74168,6.33376,0.132922,0.0,5.13367,0.230612
29,FASN,124.609,209.081,10.8743,22.3397,110.826,9.58166,4.85397,33.3583,77.9135,14.5167,41.1579
30,FGFR4,2.32432,12.2067,6.60236,4.81442,1.23672,2.54454,0.210286,6.27721,0.0,0.111696,3.14713
31,FGL2,2.48121,8.49231,7.19821,3.7914,2.91686,5.03298,2.7094,1.65977,9.62687,14.4419,4.42777
32,FOXA1,1.38574,88.9966,23.6446,7.3197,22.9237,0.137919,0.0,2.09953,0.181899,14.8548,1.14651
33,FOXC1,9.10755,2.14003,13.7862,108.721,18.3546,29.7138,79.8081,8.20116,1.64669,10.7698,34.9737
34,GABRP,8.66089,21.6841,271.083,602.953,145.533,693.341,1053.74,25.1786,269.497,10.0879,331.8
35,GALNT7,12.4003,29.4882,22.686,5.39991,17.1514,14.8009,38.9402,11.0325,5.79069,29.2673,13.8611
36,GBP1,41.394,119.359,194.968,153.465,92.1187,198.987,94.8531,291.445,90.1077,112.329,517.396
37,GCHFR,0.422531,0.271182,0.0,0.0,0.0,1.48478,0.0,0.0,0.0,0.0,0.0
38,GPR87,0.951488,7.79938,42.6912,8.35425,0.0,1.23257,0.274371,0.160558,0.0,0.134264,0.828652
39,GZMB,1.4986,31.8713,14.0912,1.7166,0.557907,2.83215,0.156752,1.21038,1.12176,22.9207,0.52895
40,HGD,4.21735,10.573,0.0,0.0,3.67167,2.83641,0.344177,10.301,7.50475,9.23906,5.11633
41,HTRA1,91.2943,81.7669,11.641,78.6975,106.556,105.02,26.8807,146.353,49.397,64.1031,98.4168
42,IDO1,0.291424,25.0906,166.96,10.2732,0.683896,11.853,1.25972,1.67701,29.3957,22.9377,26.4344
43,IGFBP4,13.3498,7.65827,4.30028,9.74421,37.1521,6.11079,1.20676,52.3011,45.4229,2.86017,4.45422
44,IGHM,55.219,172.449,148.997,14.0452,0.0,119.191,15.7823,0.0,152.941,126.71,10.0265
45,IGJ,20.0186,370.1,45.9523,44.6267,196.381,43.2346,28.9327,234.137,159.86,802.568,42.1971
46,IGKC,182.346,1759.1,1067.08,102.776,2241.32,735.399,544.65,3004.06,2589.9,3790.35,272.14
47,IL23A,0.0490073,0.0,0.0,0.0,0.239204,0.0998765,0.0,0.0,0.0,0.360752,0.283266
48,IL33,0.883329,7.50391,0.101108,0.0,1.8586,1.35198,2.95705,2.46716,20.4372,13.8928,2.94859
49,INPP4B,37.1722,53.3265,48.1165,1.63841,25.1375,9.88193,12.045,30.0611,31.2191,70.1898,18.0585
50,ITM2A,5.13433,144.044,3.70503,0.0,6.32241,5.75863,13.6575,19.0463,37.63,48.3458,2.13291
51,JAM2,11.2143,10.4549,12.4208,0.0,10.662,6.84661,16.8022,18.7018,11.1531,25.4863,9.50237
52,KCNK5,7.32046,0.0,1.05113,9.51881,1.93303,1.98658,1.42137,2.18497,1.67404,0.293658,1.17238
53,KIAA1324,6.46799,26.2765,8.68953,52.1132,4.31167,15.395,26.8834,1.93052,11.4137,125.743,1.36378
54,KMO,1.44589,42.1064,0.0,1.26288,3.59431,2.21973,2.61179,0.752159,8.75989,17.2072,5.08304
55,KRT14,118.371,18.8049,3.03677,321.084,36.7775,514.252,10.4352,75.4352,11.6942,10.1796,76.6467
56,KRT16,91.0343,2.54488,3.34785,110.288,53.5803,95.7477,18.7238,52.2307,48.806,0.225316,128.518
57,KRT17,105.347,15.6965,0.476007,538.017,207.128,410.975,90.4727,336.693,91.1917,15.9813,511.112
58,KRT6A,54.2242,0.0533936,34.6454,53.19,95.3601,262.42,17.4194,27.6181,334.97,3.20964,199.184
59,KRT6B,86.6584,0.838378,124.629,256.016,46.9562,98.6809,15.7364,8.2555,105.533,3.38428,54.3315
60,KYNU,14.7879,145.011,10.7773,14.4053,4.16904,5.3043,4.71817,3.08382,2.09661,14.6996,4.54714
61,LBP,0.573258,5.49965,0.0,4.68855,0.0597122,1.2441,1.18249,0.0,0.496314,0.0361976,0.915096
62,LHFP,2.0952,3.70533,1.67851,0.100909,3.25874,1.33469,1.88011,7.95848,1.68337,1.97618,1.69233
63,MFAP4,1.60954,19.215,0.145341,2.17422,13.5576,6.62759,1.10077,23.1121,4.52207,15.402,3.81614
64,MIA,21.0747,0.0,0.0,138.006,9.90153,43.488,20.3728,1.86336,2.9892,10.6721,4.09474
65,MID1,36.2366,22.0039,13.4752,14.6245,32.269,22.2624,16.0742,11.2098,20.1044,9.3377,18.203
66,MYBL1,4.60362,9.64146,6.89166,10.596,16.2934,19.1092,48.2984,2.16644,29.0565,17.2978,79.2321
67,NEK2,17.1321,3.18495,31.5251,77.8594,11.1588,16.5811,45.9645,3.87849,9.19087,3.0213,41.3487
68,NTN3,0.0235576,0.0,0.0,0.0,0.294553,0.098189,0.0,0.0638543,0.0,0.0,0.0
69,OGN,1.27872,80.9535,31.1962,16.3848,18.2678,17.5867,19.6786,25.744,1.29925,47.7903,11.9882
70,PI3,0.0,0.0,151.462,0.0,0.242034,0.405905,12.9848,1.07606,0.0,0.144572,0.0
71,PLEKHB1,14.583,0.0,0.0,3.74115,9.12156,3.45089,1.19545,0.847489,2.66644,3.18058,0.0945248
72,PMAIP1,1.62393,0.0,5.23496,0.0,0.240557,3.41365,0.0,0.531778,0.0,3.87836,4.31058
73,PSMB9,0.0,16.4014,24.3438,5.71113,0.0,19.2126,1.28821,0.0,47.0763,21.6541,18.9768
74,PTGDS,1.49063,6.72747,0.0,2.28153,6.30433,1.31059,1.50469,11.2347,14.7771,13.7563,0.30579
75,RARRES3,10.7933,37.6985,51.3022,0.518451,8.45957,9.08909,5.74631,14.9961,45.9482,34.8722,20.9138
76,RTP4,0.772275,3.84331,0.0,0.0,0.76704,6.97178,0.0949046,1.25012,4.2497,0.464337,2.76144
77,S100A1,196.638,0.0,0.0,36.82,76.9885,15.2162,12.5233,0.517951,50.3418,3.76498,15.1005
78,S100A7,6.57916,37.4403,150.357,0.0,1.72329,0.0,1.3312,0.777217,31.581,0.0,4.15211
79,S100A8,3.49996,74.959,72.5769,0.0,0.295455,2.234,2.91237,0.306788,0.0,0.878715,3.62201
80,SCRG1,23.222,0.0,0.0,6.31794,0.362433,5.2875,44.7074,0.0,0.0,1.55734,1.37776
81,SEMA3C,89.189,24.1565,17.0593,38.0269,75.3746,23.3876,41.3754,36.7929,20.1514,21.6573,38.5855
82,SERHL2,5.02658,9.62371,0.0,11.314,5.89006,3.43356,0.700095,2.4453,0.0,1.83304,0.464766
83,SFRP1,35.3095,3.43042,4.72912,4.2594,6.9682,38.3568,7.5595,3.78211,7.28486,14.4536,16.0133
84,SIDT1,0.909009,21.0521,43.0664,0.0,5.71251,1.50153,0.900163,2.94982,30.0365,21.7554,2.00952
85,SOX10,3.84721,0.0750195,0.0,1.8337,5.33047,1.10783,0.780131,1.75675,4.99757,1.61582,0.0943175
86,SPDEF,0.141878,4.62556,0.983012,0.0,1.26166,0.0,0.268385,0.0,1.174,0.788334,0.0
87,SPRR1B,0.0944781,0.0,0.512416,0.0,0.0,0.0,0.0,0.0,23.7501,0.0,0.0
88,SPTLC2,28.7351,15.6968,8.20777,17.4346,37.3209,40.6695,27.1889,15.1177,48.7606,78.933,43.004
89,SRPX,12.4869,7.88364,0.476734,8.21848,4.75576,9.47686,2.96741,10.6326,8.0311,12.1905,10.878
90,TCF7L1,11.751,2.52194,5.27969,12.356,12.9167,44.3834,10.6981,13.3002,4.91668,5.8485,19.9522
91,TFAP2B,1.18026,18.4351,1.15901,0.0,2.29971,0.412276,0.306106,1.07282,0.0,13.5869,1.45806
92,THBS4,8.67223,13.3943,2.09302,22.2968,0.902938,16.1641,13.8041,4.27227,37.7683,94.121,22.4667
93,TNFAIP8,5.97248,58.0308,45.8522,10.7572,10.2742,13.7256,22.5981,6.5877,26.3933,40.9456,15.8983
94,TNFSF10,24.8142,32.1512,57.3512,37.211,8.05405,115.984,15.7083,8.1043,13.0099,35.323,21.6716
95,TRIM68,7.67148,2.88826,0.415434,5.86097,5.42481,4.9053,2.11095,2.83981,2.84572,1.61214,3.24729
96,TSC22D3,7.24202,25.4171,8.92594,8.69121,12.8591,15.5388,2.68451,25.9435,5.4525,38.0792,8.56875
97,UBD,0.0,15.0962,74.485,26.4524,0.0,9.98192,5.77332,0.0,10.425,33.4749,42.741
