,gene_short_name,V515-06187-A1,TNT-167,TNT-138,17-00143-5_S2Aligned_cufflinks,17-00100-2_S17Aligned_cufflinks,TNT-321,TNT-277,TNT-217,TNT-26,TNT-166,TNT-204
0,ABCA8,1.07397,2.02615,12.6791,0.809124,2.66909,1.1144,126.537,13.4229,4.23117,8.04194,22.5552
1,ADRA2A,0.196819,0.0,1.91297,0.0726771,0.798061,0.0,0.268735,1.51081,0.999606,0.172444,0.51488
2,AKAP12,3.75243,7.73556,7.20418,0.951425,2.76503,4.92338,21.3352,11.1246,16.1452,11.4176,5.24104
3,ALDH3B2,34.613,172.847,12.4995,19.1452,8.7501,0.0,3.30498,0.0,2.66442,11.936,10.6186
4,APOD,101.548,7071.89,27.4739,10.9531,62.3337,23.309,274.556,29.5742,23.2556,59.2515,431.157
5,ART3,19.2103,0.0,0.473306,0.422378,1.80536,13.6808,0.0,9.09987,11.4363,20.1966,0.0
6,ASPN,31.1651,45.1213,46.9364,3.69349,28.774,16.2505,80.4627,13.1715,99.8197,58.4273,25.8341
7,AZGP1,64.9749,166.089,30.0339,85.8713,6.16124,0.95899,12.0988,0.26194,8.42855,279.162,91.8052
8,BLVRB,6.57613,25.1259,9.23049,3.81422,1.94294,0.204078,0.734987,0.657851,1.88214,3.27208,5.31772
9,C7,0.29143,0.157557,0.29318,0.0263386,1.22548,0.683814,322.762,94.6797,1.55763,1.81001,1.40697
10,CCL5,1.03708,1.86065,5.65268,1.59721,10.7786,11.291,13.4918,21.6272,0.328596,2.824,10.1049
11,CD36,36.5005,25.8007,30.2316,30.0312,9.62158,20.8781,51.4948,26.1072,27.8522,87.4212,78.1711
12,CD52,5.15236,26.8185,35.721,2.29825,8.39226,130.963,437.41,592.516,2.72588,16.3847,132.064
13,CDC20,19.1111,4.66745,7.31879,48.5456,16.0755,21.4337,0.0293837,11.5408,14.2065,15.1124,2.72803
14,CHI3L1,52.4824,1.77787,4.73091,0.326855,6.07407,1.82655,0.246048,1.37138,20.8098,33.8687,0.915721
15,COL2A1,124.822,1.94589,28.685,0.0149873,1.0013,0.701661,0.0,1.01694,105.473,26.8688,0.0145825
16,COL5A1,145.37,147.642,104.083,70.9135,75.7083,9.65089,39.8868,14.6414,269.701,226.456,23.136
17,COL5A2,202.313,115.101,180.779,19.6112,115.303,16.1351,67.0038,14.9289,409.89,340.562,44.7471
18,CRAT,3.09639,22.9121,21.3933,16.3546,1.61387,1.25434,1.53874,2.88125,3.72703,7.41778,8.49002
19,CROT,17.2031,39.1676,25.7858,21.1097,12.8803,5.05084,9.29257,7.56644,5.29179,5.9184,12.996
20,CXCL10,2.29941,8.31703,27.7287,5.9346,33.681,166.337,23.6985,41.7207,4.17567,11.8491,65.778
21,CXCL11,0.642556,0.0,11.7097,1.10673,13.7347,8.00378,4.14639,15.1105,0.0,4.78148,12.7703
22,CXCL13,0.0413495,1116.82,47.9078,4.2982,12.9616,31.7095,117.784,157.641,1.4694,2.45979,12.2053
23,CYP4F8,0.0480191,12.9503,0.0,3.67657,0.0,0.459008,0.0,0.0,0.0,0.0,0.254896
24,DBI,412.371,722.901,140.302,114.674,82.3534,37.7055,61.8252,54.1796,99.8671,270.719,305.276
25,DEFB1,3.16262,0.0,0.0,12.7599,2.1062,0.0,0.0,0.0,0.0,0.57757,2.15744
26,DHCR24,38.1374,193.393,10.8436,140.125,60.8572,2.13481,0.320053,1.94539,15.2315,90.6298,9.13265
27,DUSP5,2.66143,5.81495,12.0054,5.98185,2.8738,0.626178,9.35653,6.53692,4.38127,7.79961,3.80245
28,FABP7,2.25652,4.80272,3.49154,0.0,10.516,0.594718,0.0,1.16187,1.10902,4.6843,0.529954
29,FASN,124.609,2436.27,84.7906,264.185,77.1645,2.64205,0.510461,8.13079,5.82045,46.1734,27.5321
30,FGFR4,2.32432,10.5636,0.23882,37.3663,1.22252,1.14407,0.138728,3.89774,0.560783,0.964925,7.75526
31,FGL2,2.48121,3.72151,8.12581,0.907804,8.12208,7.86768,13.9472,24.3703,1.51398,5.57745,7.28456
32,FOXA1,1.38574,343.304,0.90897,143.36,0.469399,1.41443,16.9152,0.0,0.363042,2.54634,121.108
33,FOXC1,9.10755,0.867287,22.5072,3.12932,88.3177,1.81013,0.385336,5.21185,62.2426,26.0138,5.18437
34,GABRP,8.66089,0.0719074,866.449,22.4545,227.371,36.8389,0.15685,12.3893,138.871,599.52,11.243
35,GALNT7,12.4003,21.0465,6.7878,59.9791,18.5846,20.0622,9.3507,27.3677,19.6479,11.9974,31.3368
36,GBP1,41.394,54.6539,235.575,23.1936,194.719,96.45,127.903,212.554,54.4518,528.756,194.603
37,GCHFR,0.422531,0.0,0.115251,0.606169,0.19724,0.0,0.0,0.383667,0.1355,0.134001,0.235974
38,GPR87,0.951488,0.0,0.255178,0.0,0.98858,0.0,0.583424,1.77664,0.826563,0.296476,5.54019
39,GZMB,1.4986,0.0,1.47182,2.22425,8.62832,1.34449,6.83507,16.9195,0.119188,0.587438,5.68281
40,HGD,4.21735,59.5357,1.58196,12.1696,0.449058,0.0,0.278291,0.0,0.244245,8.57844,7.77397
41,HTRA1,91.2943,34.9726,69.6612,10.2802,55.8889,8.17597,92.2482,10.9488,169.942,135.492,28.7803
42,IDO1,0.291424,4.55458,5.92848,2.11836,48.9137,10.8723,33.9794,21.7554,0.879626,6.50028,29.6198
43,IGFBP4,13.3498,7.20852,3.77543,2.56719,18.1202,0.201905,0.298384,0.823572,1.37054,8.68595,1.63285
44,IGHM,55.219,10.0345,2048.59,19.4641,0.0,12.2838,60.5221,902.723,3.04095,34.2624,241.665
45,IGJ,20.0186,113.28,667.293,4.32342,238.876,73.5181,585.126,400.73,21.932,14.8734,968.825
46,IGKC,182.346,481.564,12117.4,62.7069,6672.11,261.971,2331.36,4419.39,127.93,116.018,3663.16
47,IL23A,0.0490073,0.0,0.0,0.0,0.209331,0.0,0.0,0.0,0.083901,0.351562,0.0
48,IL33,0.883329,0.0,0.0,0.40103,0.665625,0.654726,22.9963,7.43529,1.17252,0.900668,2.37094
49,INPP4B,37.1722,46.8411,16.7371,21.6831,10.2353,6.40754,60.0802,64.1763,13.2894,18.4035,15.7299
50,ITM2A,5.13433,25.8363,42.6476,2.56933,8.71832,8.80774,14.5216,54.1887,6.31847,7.83349,35.1851
51,JAM2,11.2143,1.4835,0.342646,0.444035,8.92198,21.0118,10.6435,6.64111,10.5988,3.25852,6.60453
52,KCNK5,7.32046,0.153623,1.87699,0.149882,0.700376,0.207024,0.0,0.535433,8.64592,7.58505,0.248838
53,KIAA1324,6.46799,10.2064,10.5216,89.5923,8.7735,3.41216,19.0453,8.98162,31.4718,63.5315,35.5909
54,KMO,1.44589,14.1394,21.1807,33.754,6.65857,5.43145,17.3116,11.5546,0.646642,2.38074,17.6331
55,KRT14,118.371,0.150555,12.127,0.980966,1582.72,0.558435,0.0,0.375188,491.849,47.2158,4.93714
56,KRT16,91.0343,0.526784,186.521,9.40847,577.869,0.667732,0.509725,0.0,147.095,133.144,0.516638
57,KRT17,105.347,7.34839,58.2138,60.619,905.348,0.230032,0.0,4.22886,165.311,245.901,5.96539
58,KRT6A,54.2242,41.3597,86.6856,2.72352,1570.27,0.310825,3.69555,4.91217,1080.32,76.9669,0.693673
59,KRT6B,86.6584,0.0895952,18.7345,1.03456,239.098,0.199049,0.0634756,0.0,476.639,116.964,2.06779
60,KYNU,14.7879,68.2565,8.65265,71.5981,26.6823,4.23887,57.3483,16.5639,4.17852,3.64302,36.3404
61,LBP,0.573258,9.54014,0.0563157,0.830781,0.867213,0.292255,0.0,1.05449,0.125061,0.718695,9.97681
62,LHFP,2.0952,2.91939,0.295337,0.411592,1.0104,0.108138,2.84979,5.05722,3.19932,3.70826,0.393498
63,MFAP4,1.60954,0.285096,2.89731,0.410963,1.15642,0.0,10.7208,8.69345,6.91442,7.15011,1.26006
64,MIA,21.0747,0.0,9.04942,0.0,2.57247,2.7576,0.0,0.0,40.5309,53.5438,0.902935
65,MID1,36.2366,0.998935,40.5075,24.8579,19.8566,7.13102,9.22419,8.06621,18.2572,39.7655,7.77771
66,MYBL1,4.60362,18.9003,41.9956,1.8149,7.93711,16.0403,8.94398,17.1522,5.37248,21.8306,5.3623
67,NEK2,17.1321,34.502,25.5223,27.4882,13.3532,22.3191,2.3382,5.67865,6.49804,6.9051,3.68013
68,NTN3,0.0235576,0.0,0.0,0.0585428,0.0,0.0576667,0.0,0.0,0.0,0.0,0.0
69,OGN,1.27872,10.6749,9.72322,0.0757681,1.71931,21.7832,21.9407,18.8553,41.2163,8.7343,18.2162
70,PI3,0.0,0.0,0.0,0.0,35.6836,1.18232,0.0,0.0,3.94404,1.22656,0.0
71,PLEKHB1,14.583,2.0671,8.74156,0.903185,0.354532,0.24112,0.175991,1.13715,1.02927,3.85211,0.0
72,PMAIP1,1.62393,0.0,0.75427,0.161,5.2159,5.21404,6.5842,0.0,5.10806,0.803867,5.34089
73,PSMB9,0.0,4.53273,16.2295,0.0,0.0,10.169,10.9249,36.9087,3.97282,12.0206,13.0232
74,PTGDS,1.49063,0.0,0.0,0.64403,1.79285,0.17016,24.8969,30.906,0.735852,1.78555,5.47321
75,RARRES3,10.7933,13.385,32.1944,49.0465,33.1648,9.3398,17.8497,14.4303,3.30263,9.4068,41.4027
76,RTP4,0.772275,0.0,3.70618,0.152572,1.65069,0.975912,0.0,9.09239,0.268113,1.53828,2.81104
77,S100A1,196.638,10.9158,10.0642,0.934611,9.94192,0.0,0.0,1.46503,4.30791,35.0289,0.0
78,S100A7,6.57916,0.0,0.0,2.94811,171.572,0.0,0.0,0.0,4.43188,1.92766,3.49901
79,S100A8,3.49996,40.9234,3.70699,9.1996,37.7124,0.865534,0.0,1.84107,4.205,0.512749,8.7204
