,gene_short_name,V515-06187-A1,17-00139-2_S9Aligned_cufflinks,TNT-325,TNT-121,17-00123-8_S16Aligned_cufflinks,17-00258-5_S5Aligned_cufflinks,TNT-14,TNT-133,17-00114-7_S13_cufflinks,TNT-219,17-00112-1_S7_cufflinks
0,ABCA8,1.07397,3.646,1.18126,3.96188,6.17733,6.53624,1.68679,75.7969,4.78456,11.2782,0.0
1,ADRA2A,0.196819,0.21834,0.271846,0.0,0.984298,0.656837,0.104517,0.598187,1.9036,0.249391,0.403755
2,AKAP12,3.75243,2.68102,2.18196,11.4793,6.51828,3.78971,2.16044,6.89523,7.9425,10.7207,1.65867
3,ALDH3B2,34.613,27.7129,34.041,2.11688,8.4669,0.884181,5.56607,15.4526,10.6038,6.22725,5.14396
4,APOD,101.548,8.01472,61.197,39.2727,38.787,70.1232,10.9277,152.924,15.2827,53.501,1.08372
5,ART3,19.2103,1.5872,0.0,10.848,1.05535,93.7437,31.6725,16.1857,8.70104,1.06999,24.2354
6,ASPN,31.1651,9.94837,42.7013,56.5755,60.2143,3.796,9.50099,99.3177,206.11,27.237,10.7154
7,AZGP1,64.9749,1.50857,1.1505,13.4647,11.2503,121.947,31.8473,81.6664,3.75124,100.254,4.52898
8,BLVRB,6.57613,1.37106,1.88931,1.03409,2.48037,2.68466,7.24225,3.96303,7.71371,4.64941,5.08205
9,C7,0.29143,0.645289,0.823103,0.278673,11.3646,10.2181,0.419171,10.3059,3.69818,122.073,0.246947
10,CCL5,1.03708,2.11983,47.0465,6.49841,10.7819,0.0,6.55539,11.4843,0.0,18.7046,5.41056
11,CD36,36.5005,14.3767,13.2001,39.212,14.5033,28.5228,19.3488,123.501,15.9088,16.0908,4.14895
12,CD52,5.15236,2.72221,320.424,0.0,18.0695,18.8695,20.7734,56.1498,39.7689,123.578,9.67866
13,CDC20,19.1111,34.2285,10.4861,15.5014,27.82,23.2123,23.4345,9.27248,7.44323,3.64656,28.2348
14,CHI3L1,52.4824,127.334,9.58912,13.9052,3.6709,33.0192,14.9398,0.874603,25.4046,0.043036,38.8357
15,COL2A1,124.822,0.569296,0.0,20.653,0.522,1.45759,0.862205,0.0,37.2636,4.67146,6.85636
16,COL5A1,145.37,28.6234,32.1635,112.066,137.917,34.1131,30.3356,68.0468,106.224,47.8762,33.8627
17,COL5A2,202.313,24.2914,39.9525,133.695,174.571,47.3189,32.3981,83.052,160.553,49.8738,43.6341
18,CRAT,3.09639,1.53182,9.22186,5.60908,4.87752,7.21592,12.9929,2.03308,8.31036,3.71347,6.98667
19,CROT,17.2031,2.58029,7.78834,9.7,18.6583,10.1169,3.99236,6.0225,6.30745,18.417,2.18058
20,CXCL10,2.29941,20.0542,85.8427,25.2886,30.3093,16.6569,29.3048,6.53556,12.5891,25.0919,6.59414
21,CXCL11,0.642556,6.05504,3.55874,0.0,15.3951,7.99702,6.51251,0.0,2.87613,4.67742,2.54401
22,CXCL13,0.0413495,0.924701,47.4504,0.0,14.291,2.88489,7.50828,4.97297,9.07559,13.2194,2.94027
23,CYP4F8,0.0480191,0.0,0.0,0.464837,0.0991234,0.0,0.0,0.0,0.0,0.0,0.0
24,DBI,412.371,77.3433,21.2225,121.927,64.7748,166.079,145.792,172.401,148.145,76.507,126.042
25,DEFB1,3.16262,0.254765,50.9421,0.0,0.544689,1.93523,2.80244,0.416956,0.373373,0.0,0.655946
26,DHCR24,38.1374,41.1448,62.9418,7.18474,53.6317,27.1696,86.3851,64.1324,14.1302,68.512,17.7634
27,DUSP5,2.66143,3.51334,4.8256,0.0,8.27994,2.8326,6.16071,0.0,2.26818,6.56814,2.17358
28,FABP7,2.25652,0.100483,0.0,6.4989,0.668057,2.60242,1.2532,0.0,0.439255,0.0,1.26749
29,FASN,124.609,96.6952,10.8743,4.28607,147.439,68.8053,69.7638,36.0783,21.2144,53.3196,61.5871
30,FGFR4,2.32432,0.655992,6.60236,0.156723,7.51737,0.316761,0.547024,0.416916,0.0,0.0,0.935502
31,FGL2,2.48121,1.62525,7.19821,4.59367,8.57437,6.23406,3.21642,10.1991,9.25424,6.80796,3.14896
32,FOXA1,1.38574,0.595121,23.6446,0.0,4.29772,5.23722,0.205656,101.267,0.345068,91.4593,0.139388
33,FOXC1,9.10755,26.9418,13.7862,31.2379,131.829,38.8687,32.1182,0.0,44.4172,0.735023,90.645
34,GABRP,8.66089,383.281,271.083,14.2934,277.334,475.426,841.158,0.0,24.0438,0.0,22.9519
35,GALNT7,12.4003,25.8265,22.686,5.89062,26.1286,23.3908,7.97859,89.2718,18.0233,42.2046,7.13278
36,GBP1,41.394,102.725,194.968,175.529,185.822,98.347,144.463,79.0541,93.6811,95.0405,60.3429
37,GCHFR,0.422531,0.312517,0.0,0.0,0.795989,0.326596,0.0,0.887887,0.90489,0.0,0.129631
38,GPR87,0.951488,0.0,42.6912,2.2259,0.403662,0.0741723,0.958196,0.0,0.0,0.96726,0.195888
39,GZMB,1.4986,2.88385,14.0912,0.0918933,8.73698,9.66196,2.58473,0.114792,1.6308,4.36542,6.01382
40,HGD,4.21735,0.178331,0.0,2.93827,0.826148,9.84492,0.59584,0.0,4.69812,5.92545,5.72912
41,HTRA1,91.2943,12.2357,11.641,51.2061,151.223,30.3202,16.6235,57.5539,218.9,58.4941,21.3345
42,IDO1,0.291424,5.62665,166.96,1.02489,13.8538,8.022,5.88304,0.0,7.6962,11.2391,1.5041
43,IGFBP4,13.3498,4.64699,4.30028,13.2206,18.2695,18.7336,2.86242,10.6492,21.2358,2.90062,6.50565
44,IGHM,55.219,0.0,148.997,5.04659,0.0,0.0,144.626,144.781,0.0,168.525,0.0
45,IGJ,20.0186,13.1953,45.9523,0.109246,136.656,229.526,39.4167,651.057,235.514,240.695,250.085
