,gene_short_name,V515-06187-A1,TNT-141,TNT-204,TNT-177,TNT-225,17-00110-9_S15Aligned_cufflinks,17-00156-7_S13Aligned_cufflinks,17-00122-1_S1_cufflinks,17-00125-8_S13Aligned_cufflinks,TNT-79,TNT-123
0,ABCA8,1.07397,68.4435,22.5552,9.29659,19.7157,0.943892,0.0,15.2547,55.5194,1.87166,4.65218
1,ADRA2A,0.196819,1.30754,0.51488,0.268389,0.313514,0.184313,0.0,1.06565,4.31788,0.0,0.11801
2,AKAP12,3.75243,7.14621,5.24104,2.95332,11.701,0.618114,1.81444,3.36502,25.364,1.64424,3.79732
3,ALDH3B2,34.613,2.52334,10.6186,8.06703,0.0,21.1902,0.0,19.7483,14.4216,41.6244,5.94829
4,APOD,101.548,265.929,431.157,139.493,86.1188,0.847162,147.881,39.0799,136.705,9.53523,24.5266
5,ART3,19.2103,0.0,0.0,4.00471,44.2138,1.70454,0.0,0.0,0.0,2.56881,4.06834
6,ASPN,31.1651,101.719,25.8341,37.577,112.768,8.79653,0.943362,22.2786,44.1739,18.7191,24.7914
7,AZGP1,64.9749,113.574,91.8052,95.197,68.2212,71.6802,99.7284,21.2686,178.998,9.81098,99.2913
8,BLVRB,6.57613,1.96374,5.31772,3.74146,0.938568,3.21779,0.0,2.08356,5.03918,1.21768,2.18791
9,C7,0.29143,3.17775,1.40697,0.643378,7.47819,0.145938,0.0,16.0706,19.783,0.483138,0.429463
10,CCL5,1.03708,13.5378,10.1049,7.50898,2.44293,0.0,0.0,0.0,2.22877,2.0161,2.78857
11,CD36,36.5005,83.8034,78.1711,57.821,47.8398,4.6544,0.0,6.42672,182.748,15.2303,15.422
12,CD52,5.15236,19.6056,132.064,35.5903,54.5642,4.91219,0.0,12.6459,0.0,15.6613,70.4409
13,CDC20,19.1111,0.0477458,2.72803,29.8034,16.8549,36.4559,0.0,28.4023,0.0,16.0607,22.9872
14,CHI3L1,52.4824,0.177651,0.915721,11.0398,13.4776,0.82377,0.0,3.28866,5.63374,9.11061,60.4696
