,gene_short_name,V515-06187-A1,TNT-73,TNT-92,TNT-289,17-00132-8_S16Aligned_cufflinks,TNT-277,TNT-296,TNT-288,TNT-265,TNT-225,TNT-326
0,ABCA8,1.07397,7.78546,32.1067,7.5326,19.4248,126.537,12.0717,10.8786,2.63255,19.7157,0.03846
1,ADRA2A,0.196819,0.224004,0.187864,0.0190859,3.61611,0.268735,0.51861,0.283499,0.860494,0.313514,0.917432
2,AKAP12,3.75243,6.59172,5.51587,16.4518,5.52166,21.3352,3.8555,16.0737,4.09434,11.701,7.45648
3,ALDH3B2,34.613,8.95057,8.09628,0.340181,6.77506,3.30498,2.50943,0.561817,7.94478,0.0,4.99358
4,APOD,101.548,2468.97,227.124,86.5343,40.374,274.556,16.3223,110.571,3.24389,86.1188,12.6566
5,ART3,19.2103,37.2875,1.03436,11.7816,0.0,0.0,4.89082,3.38112,29.0535,44.2138,12.2091
6,ASPN,31.1651,20.8746,108.547,99.797,33.8587,80.4627,13.9013,117.07,6.48189,112.768,15.8107
7,AZGP1,64.9749,4.87138,23.496,22.8969,12.8789,12.0988,0.852334,19.9515,109.885,68.2212,30.6143
8,BLVRB,6.57613,0.227389,2.3271,1.22331,10.2189,0.734987,0.378983,3.17771,2.82875,0.938568,0.0
9,C7,0.29143,3.75633,5.15895,2.7102,12.4255,322.762,12.4669,2.26989,16.1298,7.47819,6.06215
10,CCL5,1.03708,5.16692,5.3861,1.12449,0.0,13.4918,2.0144,1.42702,6.73407,2.44293,15.9662
11,CD36,36.5005,29.3908,13.668,18.9896,32.1853,51.4948,18.1203,21.039,69.7685,47.8398,9.50935
12,CD52,5.15236,22.8146,51.077,1.74964,20.3585,437.41,23.3851,1.79485,370.823,54.5642,164.909
13,CDC20,19.1111,6.30304,2.62069,40.1167,0.805591,0.0293837,21.6756,35.8456,22.7002,16.8549,6.93203
14,CHI3L1,52.4824,17.4637,93.8031,14.14,4.97049,0.246048,10.3386,14.8201,22.1167,13.4776,1.96055
15,COL2A1,124.822,0.257811,0.145719,47.6574,0.0,0.0,0.276578,59.1868,0.120885,2.20486,5.7244
16,COL5A1,145.37,28.7026,32.6411,387.034,187.404,39.8868,16.8683,299.167,6.09765,113.037,27.0058
17,COL5A2,202.313,55.1583,57.8362,272.664,187.753,67.0038,13.0316,316.313,8.16721,173.274,23.1253
18,CRAT,3.09639,7.99856,5.01356,4.72182,27.5127,1.53874,1.49166,6.10748,2.73679,1.33989,0.143253
19,CROT,17.2031,8.95417,13.2484,11.3478,9.84456,9.29257,21.9133,10.527,5.86815,8.52486,2.16177
20,CXCL10,2.29941,79.1191,60.784,5.73014,5.40403,23.6985,12.8441,4.03918,56.437,8.15851,56.2198
21,CXCL11,0.642556,17.9889,3.28281,0.569746,0.0,4.14639,2.58412,1.12534,20.7628,0.637592,13.0665
22,CXCL13,0.0413495,25.8386,10.8363,1.20819,3.34468,117.784,12.7154,3.11947,79.1886,6.32163,85.4836
23,CYP4F8,0.0480191,0.116758,0.0470314,0.773279,16.5797,0.0,0.800571,0.703976,0.134844,0.169669,0.0
24,DBI,412.371,191.018,62.0434,82.4001,22.3556,61.8252,92.3906,91.1501,206.401,130.439,65.8549
25,DEFB1,3.16262,82.746,6.211,1.06093,0.0,0.0,0.186356,0.348327,5.6752,0.0909353,0.0
26,DHCR24,38.1374,24.2594,18.6696,17.0317,1.5266,0.320053,7.1537,23.7835,38.6224,9.11603,11.0616
27,DUSP5,2.66143,2.62585,7.78564,3.52254,8.86489,9.35653,7.56295,3.32927,3.72196,4.35424,1.65224
28,FABP7,2.25652,0.245451,15.3098,13.5345,0.569974,0.0,41.4076,20.3719,0.0,54.5626,13.8638
29,FASN,124.609,2.2914,3.44193,7.68728,129.708,0.510461,8.63939,18.5795,22.6256,1.28864,7.60798
30,FGFR4,2.32432,0.103253,0.543839,5.34385,0.0,0.138728,0.749579,3.64999,0.794633,0.044059,0.0
31,FGL2,2.48121,5.20114,13.8813,3.17752,3.52666,13.9472,3.56203,2.4655,6.59034,7.08488,5.61145
32,FOXA1,1.38574,0.840333,4.61343,0.742095,6.5881,16.9152,30.7378,0.323396,3.09199,1.95141,9.37556
33,FOXC1,9.10755,39.4518,15.6674,60.9547,4.69982,0.385336,15.1327,73.7762,34.8431,23.0437,19.3417
34,GABRP,8.66089,788.549,1884.93,23.4685,12.2303,0.15685,85.2671,16.815,447.857,369.529,493.65
35,GALNT7,12.4003,32.0451,28.7253,4.23746,14.666,9.3507,17.9387,5.88805,11.2769,29.7218,18.1204
36,GBP1,41.394,162.272,144.004,208.943,191.461,127.903,50.2438,217.057,268.497,106.125,518.463
37,GCHFR,0.422531,0.0,0.154028,0.223262,0.0,0.0,0.0,0.0,0.19162,0.166209,0.0
38,GPR87,0.951488,5.26291,1.65936,0.776639,0.0,0.583424,3.55664,0.800444,0.251076,5.90917,0.820931
39,GZMB,1.4986,3.86003,12.6172,0.211303,8.95933,6.83507,8.28493,0.375847,7.25821,1.69408,4.26578
40,HGD,4.21735,0.0,2.84976,1.87352,2.49273,0.278291,6.16313,1.92722,0.775345,3.43558,0.946356
41,HTRA1,91.2943,18.7356,40.4089,82.6346,105.08,92.2482,15.8886,82.3084,9.89311,176.986,7.84756
42,IDO1,0.291424,9.27438,3.55287,0.400109,5.1959,33.9794,32.1341,2.89899,21.2085,3.65246,17.2985
43,IGFBP4,13.3498,1.43517,2.38984,2.99541,34.9053,0.298384,0.627519,5.49812,0.701976,0.558173,1.0725
44,IGHM,55.219,92.9612,68.2459,8.20091,0.0,60.5221,34.2648,1.60124,305.596,6.72957,250.338
