,gene_short_name,V515-06187-A1,17-00108-5_S18Aligned_cufflinks,TNT-202,TNT-157,TNT-322,TNT-62,TNT-100,TNT-166,TNT-2,TNT-183,TNT-270
0,ABCA8,1.07397,1.88511,0.419579,16.5316,2.96949,6.79048,10.2128,8.04194,11.3424,3.81267,7.25541
1,ADRA2A,0.196819,0.266755,0.104238,0.0535747,0.471202,0.338394,0.218344,0.172444,0.725975,0.0692467,0.416253
2,AKAP12,3.75243,0.90279,2.88543,5.01157,10.0738,11.6889,6.21779,11.4176,4.33016,8.8469,6.02093
3,ALDH3B2,34.613,8.51023,9.39125,44.3463,2.39686,0.220724,3.95048,11.936,59.8633,38.4582,97.5075
4,APOD,101.548,6.72613,11.7008,388.876,43.1584,305.796,169.251,59.2515,61.0149,180.386,7752.41
5,ART3,19.2103,25.969,33.6664,11.9946,30.7849,30.5461,165.481,20.1966,1.16911,0.0,0.27854
6,ASPN,31.1651,8.63035,19.8095,10.4886,71.8074,53.1139,26.1134,58.4273,8.07027,31.8742,10.0964
7,AZGP1,64.9749,7.37762,174.741,13.2232,78.8806,169.289,6.8005,279.162,166.081,358.987,693.581
8,BLVRB,6.57613,1.19013,0.838176,1.7414,1.60934,2.32839,1.16798,3.27208,3.12197,6.52662,2.58756
9,C7,0.29143,4.13771,0.491271,12.9084,6.31146,0.517314,3.11435,1.81001,2.34158,4.16189,8.16232
10,CCL5,1.03708,9.51219,2.81882,14.6772,1.69886,6.88384,19.74,2.824,69.8738,5.85183,1.34774
11,CD36,36.5005,6.66782,18.456,33.1401,28.7743,14.0796,37.6889,87.4212,39.5145,18.5522,26.5814
12,CD52,5.15236,22.789,22.4442,93.599,13.838,22.6616,134.336,16.3847,205.116,27.578,16.3111
13,CDC20,19.1111,11.8678,43.366,21.6145,6.0292,14.1862,8.90459,15.1124,7.6301,14.1964,4.41093
14,CHI3L1,52.4824,5.20908,23.2638,42.6231,35.8325,18.4108,24.0775,33.8687,84.8944,7.02127,1.0985
15,COL2A1,124.822,1.39677,0.0214933,0.165699,53.7069,68.7017,0.112568,26.8688,0.062383,0.157197,0.101651
16,COL5A1,145.37,27.9288,31.7171,18.2057,112.952,60.9466,29.7421,226.456,43.5105,128.517,51.6893
17,COL5A2,202.313,21.5128,55.4751,26.7943,161.199,69.9364,89.4079,340.562,58.4864,149.547,47.359
18,CRAT,3.09639,4.16699,0.301212,1.38838,4.34071,2.38769,2.41362,7.41778,3.44216,7.31713,11.3929
19,CROT,17.2031,1.35921,4.69295,8.91636,12.2274,6.43286,6.30357,5.9184,10.2353,25.6105,103.521
20,CXCL10,2.29941,15.9386,80.0122,91.8598,18.7623,48.9493,240.759,11.8491,100.163,40.563,2.65309
21,CXCL11,0.642556,3.99119,5.16683,8.91782,4.62877,6.47729,44.6731,4.78148,8.15934,9.91978,1.01607
22,CXCL13,0.0413495,7.95022,16.756,46.1831,3.45115,19.8752,63.115,2.45979,48.4832,8.31043,36.615
23,CYP4F8,0.0480191,0.245576,1.23981,0.0,0.319508,0.467952,0.0,0.0,0.73018,0.134864,3.49045
24,DBI,412.371,107.854,81.6514,134.685,322.902,120.785,96.7272,270.719,140.363,253.444,770.524
