,gene_short_name,V515-06187-A1,17-00160-1_S2Aligned_cufflinks,17-00097-1_S9_cufflinks,TNT-231,TNT-208,TNT-154,17-00141-7_S14Aligned_cufflinks,TNT-45,TNT-209,TNT-240,TNT-115
0,ABCA8,1.07397,0.719822,2.1075,3.88278,16.3134,0.0856442,10.5345,69.6238,5.75345,4.22404,1.17188
1,ADRA2A,0.196819,0.203424,0.130515,1.04498,0.492345,0.0192695,1.99187,0.0861151,1.18075,0.0,0.172526
2,AKAP12,3.75243,1.14141,1.87044,8.51694,22.9325,2.75083,12.7907,3.04989,5.17876,4.96255,2.92812
3,ALDH3B2,34.613,5.40626,8.43554,10.2769,7.12214,2.17118,3.54849,0.95725,5.19828,0.0,7.47531
4,APOD,101.548,10.1478,0.669381,279.533,55.8797,28.4883,24.0673,41.6221,12.3961,0.97078,39.9082
5,ART3,19.2103,5.25832,4.50196,0.0,0.39968,83.5134,0.899191,13.519,1.0586,267.907,121.997
6,ASPN,31.1651,21.9529,10.6442,29.2722,21.4995,41.7317,73.3324,28.9929,14.174,11.6138,9.31432
7,AZGP1,64.9749,45.7678,33.7457,316.875,170.612,496.663,44.7696,34.8083,10.708,1.17118,239.319
8,BLVRB,6.57613,3.17095,3.99175,2.59229,2.03717,4.76439,3.11342,0.760424,0.623746,1.01991,3.141
9,C7,0.29143,0.745285,2.02056,3.38337,35.7726,0.0602834,5.79552,0.936934,31.5904,0.303186,1.27179
10,CCL5,1.03708,0.0,0.0,4.01815,3.74656,28.65,2.20958,1.6864,9.20102,56.2359,11.9906
11,CD36,36.5005,5.95287,29.5541,21.4639,21.7614,27.1698,8.51482,35.4874,18.8618,0.331216,12.2627
12,CD52,5.15236,12.1882,10.8883,72.6561,78.3063,2.16431,3.28078,10.8174,472.935,225.587,76.2585
13,CDC20,19.1111,12.6869,35.847,24.5621,5.1962,5.51993,3.57694,8.45575,7.58906,1.93134,14.9562
14,CHI3L1,52.4824,40.6979,14.2367,0.0151373,22.6745,10.7803,49.6044,22.6098,0.796208,12.467,32.3937
15,COL2A1,124.822,0.0209768,0.21441,0.111929,0.281686,0.0873241,6.22864,42.1761,0.0,12.0136,0.0
16,COL5A1,145.37,51.4022,99.7165,87.8761,161.51,42.7856,179.457,30.6618,6.43656,6.52259,23.0038
17,COL5A2,202.313,114.544,49.6067,82.9914,119.762,47.9239,139.583,58.7905,6.42693,13.8008,62.6035
18,CRAT,3.09639,20.0761,8.16269,4.96534,5.62084,2.39557,13.306,1.07721,2.4713,4.80961,2.79293
19,CROT,17.2031,6.76398,4.92995,10.7887,21.1445,14.3596,11.8014,5.64661,9.5381,0.0727257,9.14946
20,CXCL10,2.29941,31.7238,14.6049,39.3975,21.9312,33.6507,1.77745,43.0563,44.9135,630.34,324.884
