,gene_short_name,V515-06187-A1,TNT-223,TNT-325,TNT-238,TNT-267,17-00109-8_S14Aligned_cufflinks,TNT-85,TNT-209,TNT-195,17-00118-2_S5Aligned_cufflinks,17-00165-0_S10Aligned_cufflinks
0,ABCA8,1.07397,11.3176,1.18126,3.0725,14.0161,94.4592,13.9148,5.75345,30.7235,24.4092,16.9844
1,ADRA2A,0.196819,0.0,0.271846,1.4667,0.0,1.63707,0.126968,1.18075,0.22465,3.19406,0.861454
2,AKAP12,3.75243,2.91052,2.18196,3.91094,34.7771,66.8964,9.65515,5.17876,21.7435,14.0568,6.21113
3,ALDH3B2,34.613,8.82694,34.041,3.84186,0.0,1.05881,3.09142,5.19828,1.14113,3.29726,1.16447
4,APOD,101.548,634.054,61.197,8.408,0.187089,86.1078,880.669,12.3961,604.388,185.233,126.973
5,ART3,19.2103,0.0,0.0,3.04012,26.3716,0.0,23.9716,1.0586,9.55098,0.0,44.8952
6,ASPN,31.1651,25.1588,42.7013,7.42943,36.7956,162.196,34.7116,14.174,55.6316,16.7672,13.6802
7,AZGP1,64.9749,189.675,1.1505,15.3658,5.04708,24.7804,35.7304,10.708,268.497,72.8132,200.774
8,BLVRB,6.57613,2.24178,1.88931,0.465605,0.0,8.9017,1.67536,0.623746,4.4294,1.83964,4.50545
9,C7,0.29143,21.6657,0.823103,22.8424,0.880913,5.02005,2.5042,31.5904,32.9843,24.8705,14.7516
10,CCL5,1.03708,2.04099,47.0465,17.8954,31.6815,22.5121,8.38996,9.20102,35.4418,3.56215,12.1232
11,CD36,36.5005,2.84832,13.2001,17.0593,11.7456,142.117,17.1364,18.8618,82.4024,119.607,83.1513
12,CD52,5.15236,36.0713,320.424,394.821,198.714,25.0099,20.4057,472.935,161.817,2.24641,40.0504
13,CDC20,19.1111,1.58792,10.4861,3.99635,4.05045,0.0,9.41933,7.58906,6.47849,0.0,9.73773
14,CHI3L1,52.4824,1.17865,9.58912,0.843568,0.374262,0.551848,13.6008,0.796208,23.4869,12.7697,37.6528
15,COL2A1,124.822,0.0,0.0,0.0,0.0,0.0370783,98.027,0.0,2.00073,0.0,1.37617
16,COL5A1,145.37,43.7951,32.1635,5.36673,17.0328,246.791,45.6382,6.43656,144.053,52.95,43.5904
17,COL5A2,202.313,33.5457,39.9525,8.55259,1.08796,326.53,129.77,6.42693,131.694,24.6562,65.8261
18,CRAT,3.09639,26.14,9.22186,5.162,5.19579,11.3141,2.57163,2.4713,8.42276,10.0312,5.4019
19,CROT,17.2031,24.6569,7.78834,8.11357,6.68751,48.7835,12.7296,9.5381,21.0095,11.6213,8.93674
20,CXCL10,2.29941,1.15513,85.8427,53.2897,14.0868,1.17114,11.7658,44.9135,96.1112,3.6803,19.6909
21,CXCL11,0.642556,2.02828,3.55874,9.54068,0.0,5.74158,2.73816,11.491,15.4312,0.0,7.80281
22,CXCL13,0.0413495,0.102027,47.4504,66.4045,39.7643,0.0,4.71574,48.6593,37.6107,0.0,17.615
23,CYP4F8,0.0480191,12.2088,0.0,0.0,0.0418865,8.00879,0.0,0.0,0.439154,0.0,0.362664
24,DBI,412.371,128.19,21.2225,37.3285,8.62491,42.2468,133.489,62.2924,141.929,19.5872,113.507
25,DEFB1,3.16262,0.760477,50.9421,6.17349,0.341007,0.0,0.38141,7.68559,2.00535,0.0,0.496301
26,DHCR24,38.1374,62.6917,62.9418,14.4175,0.146062,2.16125,4.28671,12.4287,15.8205,14.4419,28.1741
27,DUSP5,2.66143,13.9662,4.8256,7.09274,0.359641,21.4802,2.37387,13.6718,4.06994,11.1119,3.21569
28,FABP7,2.25652,0.776385,0.0,0.459537,8.49745,2.38455,6.33376,0.385028,3.66641,0.428058,1.89392
29,FASN,124.609,15.5662,10.8743,2.56326,3.40307,7.55502,4.85397,2.64918,3.79399,23.8917,103.232
30,FGFR4,2.32432,5.66742,6.60236,2.2803,1.03641,0.0,0.210286,0.229108,1.3025,1.08178,2.18025
31,FGL2,2.48121,4.23182,7.19821,17.1009,8.86134,7.85378,2.7094,18.6347,13.2934,3.54424,11.3333
32,FOXA1,1.38574,79.9745,23.6446,1.53088,4.93459,12.0454,0.0,0.921874,11.4149,90.0389,2.32873
33,FOXC1,9.10755,0.369856,13.7862,8.49762,4.4918,4.88963,79.8081,6.7351,27.8721,15.4442,49.3215
34,GABRP,8.66089,0.0315845,271.083,481.995,3.02588,47.4048,1053.74,463.373,255.806,123.86,213.666
35,GALNT7,12.4003,515.103,22.686,14.2293,17.9817,7.85692,38.9402,15.0174,18.406,17.0883,30.3282
36,GBP1,41.394,33.577,194.968,170.473,16.5986,226.628,94.8531,181.239,180.147,50.1795,174.017
37,GCHFR,0.422531,0.0,0.0,0.444785,0.0,0.0,0.0,0.152916,0.0,0.0,0.132039
38,GPR87,0.951488,2.6789,42.6912,2.2105,0.0,0.0,0.274371,0.611755,0.499684,1.69062,0.0951555
39,GZMB,1.4986,0.0,14.0912,12.1068,0.709413,8.07085,0.156752,12.1013,14.8104,0.0,23.5314
40,HGD,4.21735,98.4728,0.0,2.00744,0.0,0.0,0.344177,0.0,0.884692,0.460552,1.43833
41,HTRA1,91.2943,36.1322,11.641,6.35896,3.74508,154.797,26.8807,4.80522,145.913,47.1622,52.5467
42,IDO1,0.291424,0.0,166.96,34.2077,4.07781,0.0,1.25972,40.1029,28.6191,0.0,16.5229
43,IGFBP4,13.3498,0.0345322,4.30028,0.341642,0.0,20.7561,1.20676,0.523827,7.54149,70.1925,20.4877
44,IGHM,55.219,22.3816,148.997,199.737,61.7722,0.0,15.7823,143.454,1091.9,86.3239,0.0
45,IGJ,20.0186,49.1445,45.9523,234.559,78.6381,275.119,28.9327,278.422,373.709,279.787,254.797
46,IGKC,182.346,291.998,1067.08,1223.26,338.281,1201.25,544.65,1074.44,10105.0,1148.8,9760.16
47,IL23A,0.0490073,0.241058,0.0,0.734684,0.0,2.68049,0.0,0.0,0.0,0.0,0.15506
48,IL33,0.883329,0.690947,0.101108,13.7201,0.0,2.62703,2.95705,11.9004,7.68482,13.1878,5.68884
49,INPP4B,37.1722,33.6431,48.1165,43.5411,16.9244,23.4842,12.045,56.2819,45.4741,50.4525,32.4208
50,ITM2A,5.13433,1.07971,3.70503,50.0355,13.6795,21.3658,13.6575,31.2676,29.3389,22.506,23.9956
51,JAM2,11.2143,4.30702,12.4208,6.92667,11.8907,29.9117,16.8022,8.83228,18.4024,36.0985,11.0835
52,KCNK5,7.32046,0.00994656,1.05113,1.74261,0.587326,0.0,1.42137,0.888863,0.0257332,1.64673,3.18271
53,KIAA1324,6.46799,101.822,8.68953,8.14788,7.65217,0.461752,26.8834,7.93069,8.69715,18.2397,26.1019
54,KMO,1.44589,124.265,0.0,20.1133,13.9442,2.81473,2.61179,15.3557,17.7686,3.68648,3.64952
55,KRT14,118.371,0.0,3.03677,4.36773,0.628469,32.5228,10.4352,2.35315,11.6825,394.19,120.57
