gene_short_name,Sample1,TNT-289,TNT-58,17-00121-8_S12_cufflinks,17-00114-7_S13_cufflinks,TNT-195,TNT-44,TNT-293,TNT-85,TNT-33,TNT-318
ABCA8,2.27,7.5326,0.0,43.7288,4.78456,30.7235,57.5774,8.951360000000003,13.9148,42.1504,1.60268
ADRA2A,0.29,0.0190859,0.0,1.4831299999999998,1.9036,0.22465,0.6270140000000001,0.0,0.126968,0.7035100000000001,0.37137
AKAP12,3.71,16.4518,6.38661,26.8543,7.9425,21.7435,29.6051,2.2178400000000003,9.65515,6.5784,7.96738
ALDH3B2,31.87,0.340181,3.93287,14.3473,10.6038,1.14113,0.0,16.92,3.0914200000000003,19.4297,1.01293
APOD,17.36,86.5343,100.746,574.763,15.2827,604.388,551.695,9.12083,880.669,462.319,29.2845
ART3,3.62,11.7816,0.0,0.115521,8.701039999999999,9.55098,17.6012,0.088062,23.9716,29.9479,123.448
ASPN,35.37,99.797,46.5225,30.3876,206.11,55.6316,37.2942,10.0876,34.7116,23.2841,98.3062
AZGP1,9.31,22.8969,3.73036,177.34599999999998,3.75124,268.497,63.9359,42.7428,35.7304,146.048,1.34766
BLVRB,6.78,1.22331,0.152304,5.3048199999999985,7.713710000000002,4.4294,2.47625,3.33307,1.67536,3.32387,2.3151200000000003
C7,1.61,2.7102,0.0578067,23.1979,3.69818,32.9843,15.2903,6.76911,2.5042,16.7384,0.16028199999999998
CCL5,12.22,1.12449,0.08316989999999999,0.0,0.0,35.4418,6.20512,3.0321700000000003,8.38996,55.5323,17.1213
CD36,90.32,18.9896,8.52927,104.969,15.9088,82.4024,161.29,929.357,17.1364,32.6821,44.9068
CD52,33.12,1.74964,0.0,9.90376,39.7689,161.817,76.5111,12.8056,20.4057,360.047,94.2685
CDC20,14.19,40.1167,10.7521,0.207432,7.443230000000002,6.47849,6.29946,9.34047,9.41933,5.45902,13.9145
CHI3L1,14.94,14.14,0.872301,9.01373,25.4046,23.4869,19.8265,7.55722,13.6008,5.50906,68.8217
COL2A1,0.85,47.6574,2.1362,1.51601,37.2636,2.00073,0.369471,0.109884,98.027,0.0,3.97345
COL5A1,99.14,387.034,9.41421,34.9603,106.224,144.053,75.9328,32.5814,45.6382,32.1906,137.63
COL5A2,173.53,272.664,34.2399,40.3863,160.553,131.694,135.933,33.3523,129.77,45.924,225.741
CRAT,6.88,4.72182,0.44309,4.42961,8.310360000000001,8.42276,7.360689999999999,2.81116,2.57163,3.40098,4.9586
CROT,10.81,11.3478,13.287,20.8255,6.30745,21.0095,5.7480699999999985,6.16501,12.7296,8.39303,14.1979
CXCL10,21.04,5.7301400000000005,0.0,6.51344,12.5891,96.1112,56.0996,140.839,11.7658,101.548,130.123
CXCL11,4.72,0.569746,0.0,5.30341,2.87613,15.4312,1.58942,34.2832,2.73816,19.4311,13.0947
CXCL13,6.59,1.20819,0.583879,0.26274000000000003,9.07559,37.6107,4.7956400000000015,11.5668,4.71574,85.5384,28.7339
CYP4F8,0.0,0.773279,0.0,0.71787,0.0,0.439154,3.50692,73.73899999999998,0.0,0.00161719,0.0
DBI,221.77,82.4001,221.397,94.8186,148.145,141.929,108.177,89.8314,133.489,238.327,116.994
