gene_short_name,V515-06187-A1,17-00243-6_S9Aligned_cufflinks,17-00140-2_S2_cufflinks,TNT-192,TNT-297,TNT-259,17-00132-8_S16Aligned_cufflinks,17-00258-5_S5Aligned_cufflinks,TNT-111,TNT-278,TNT-310
ABCA8,1.07397,39.5772,4.1809,119.155,17.0174,7.3788,19.4248,6.53624,14.8562,6.094869999999999,1.50603
ADRA2A,0.196819,2.18221,0.9741280000000001,0.8013359999999999,0.223559,0.062241399999999995,3.61611,0.656837,1.0391700000000001,0.0,0.0916352
AKAP12,3.7524300000000004,18.6305,1.05279,35.9662,31.1722,10.4078,5.52166,3.78971,15.7074,4.77909,5.4899
ALDH3B2,34.613,6.116709999999999,25.7805,68.1928,0.0910294,2.39888,6.775060000000001,0.884181,575.453,1.8783400000000001,18.7299
APOD,101.54799999999999,222.14700000000002,4.29317,11869.7,190.081,16.1725,40.374,70.1232,10225.5,86.3132,9.0727
ART3,19.2103,0.6155229999999999,9.720880000000001,0.0,22.3735,2.83927,0.0,93.7437,0.17538499999999999,0.0,0.270129
ASPN,31.1651,114.85700000000001,10.1457,142.614,14.1299,59.7246,33.8587,3.7960000000000003,130.499,11.8417,70.5823
AZGP1,64.9749,63.7556,60.7934,771.028,130.727,0.0,12.8789,121.947,1218.82,134.856,4.2314300000000005
BLVRB,6.57613,4.7669999999999995,3.62414,5.36615,2.3692900000000003,1.7791299999999999,10.2189,2.68466,7.4401,0.0,1.0593700000000001
C7,0.29143,24.3373,0.0,4.10235,12.4278,1.07913,12.4255,10.2181,2.59044,19.5287,2.8178799999999997
CCL5,1.03708,11.5664,0.0,18.4049,2.5106599999999997,24.4902,0.0,0.0,1.97053,8.68593,16.908
CD36,36.5005,228.418,44.8475,134.586,12.2558,36.2403,32.1853,28.5228,94.8575,36.6558,12.1829
CD52,5.15236,53.8862,6.33001,123.244,9.062439999999999,178.9,20.3585,18.8695,24.4018,147.046,40.1669
CDC20,19.1111,0.705943,9.59021,4.20426,42.1959,10.0606,0.805591,23.2123,3.7378199999999997,1.44794,24.5544
CHI3L1,52.4824,20.1565,31.4808,0.0,75.8848,17.9288,4.97049,33.0192,7.57694,0.1863,23.7297
COL2A1,124.822,0.413376,0.022249099999999997,0.0,8.031789999999999,0.0,0.0,1.45759,0.0,0.0171505,0.467588
