gene_short_name,V515-06187-A1,TNT-115,TNT-154,TNT-289,17-00111-2_S4_cufflinks,TNT-79,TNT-48,17-00118-2_S5Aligned_cufflinks,TNT-3,17-00160-1_S2Aligned_cufflinks,TNT-20
ABCA8,1.07397,1.17188,0.0856442,7.5326,3.13612,1.8716599999999999,251.734,24.4092,10.6347,0.7198220000000001,5.37171
ADRA2A,0.196819,0.172526,0.0192695,0.0190859,1.38168,0.0,1.7314599999999998,3.19406,0.0,0.203424,0.689524
AKAP12,3.7524300000000004,2.9281200000000003,2.75083,16.4518,6.91818,1.6442400000000001,12.1732,14.0568,4.93901,1.14141,7.3684899999999995
ALDH3B2,34.613,7.47531,2.17118,0.340181,7.41563,41.6244,10.1174,3.2972599999999996,0.0,5.40626,119.29899999999999
APOD,101.54799999999999,39.9082,28.4883,86.5343,53.9198,9.53523,578.9540000000001,185.233,4.43815,10.1478,62.0416
ART3,19.2103,121.99700000000001,83.5134,11.7816,0.0,2.56881,31.8858,0.0,0.0,5.258319999999999,3.30585
ASPN,31.1651,9.31432,41.7317,99.79700000000001,172.13400000000001,18.7191,90.9032,16.7672,66.6747,21.9529,256.86400000000003
AZGP1,64.9749,239.31900000000002,496.663,22.8969,35.5573,9.81098,83.2889,72.8132,0.147179,45.7678,356.51599999999996
BLVRB,6.57613,3.141,4.764390000000001,1.2233100000000001,5.90259,1.2176799999999999,2.19929,1.8396400000000002,4.02661,3.17095,3.05144
C7,0.29143,1.27179,0.06028340000000001,2.7102,2.30553,0.483138,34.6236,24.8705,0.153097,0.7452850000000001,3.58075
CCL5,1.03708,11.9906,28.65,1.12449,20.6348,2.0161,21.9388,3.56215,2.4428900000000002,0.0,2.0571
CD36,36.5005,12.2627,27.1698,18.9896,34.8274,15.2303,251.09099999999998,119.60700000000001,530.381,5.95287,45.423
CD52,5.15236,76.2585,2.16431,1.74964,43.6633,15.6613,52.2935,2.24641,73.6417,12.1882,11.4556
CDC20,19.1111,14.9562,5.5199300000000004,40.1167,1.21622,16.0607,2.9954,0.0,14.1118,12.6869,6.79373
CHI3L1,52.4824,32.3937,10.7803,14.14,13.5814,9.110610000000001,7.455139999999999,12.7697,0.522526,40.6979,7.92085
