gene_short_name,V515-06187-A1,17-00243-6_S9Aligned_cufflinks,17-00258-5_S5Aligned_cufflinks,17-00269-8_S12Aligned_cufflinks,TNT-2,TNT-71,17-00110-9_S15Aligned_cufflinks,17-00099-0_S15_cufflinks,TNT-158,TNT-157,TNT-296
ABCA8,1.07397,39.5772,6.53624,10.5754,11.3424,12.9025,0.943892,2.37642,8.55308,16.5316,12.0717
ADRA2A,0.196819,2.18221,0.656837,0.23155900000000001,0.725975,0.12659700000000002,0.184313,1.0959999999999999,0.0,0.053574699999999996,0.51861
AKAP12,3.7524300000000004,18.6305,3.78971,3.77041,4.33016,3.09258,0.618114,3.23311,1.99925,5.01157,3.8555
ALDH3B2,34.613,6.116709999999999,0.884181,3.69538,59.8633,24.6302,21.1902,15.2987,0.0,44.3463,2.50943
APOD,101.54799999999999,222.14700000000002,70.1232,55.1521,61.0149,769.0139999999999,0.8471620000000001,3.69936,46.1631,388.876,16.3223
ART3,19.2103,0.6155229999999999,93.7437,42.777,1.16911,47.9684,1.7045400000000002,1.1729100000000001,7.3933800000000005,11.9946,4.89082
ASPN,31.1651,114.85700000000001,3.7960000000000003,28.712,8.070269999999999,21.4233,8.79653,2.13178,132.45600000000002,10.4886,13.9013
AZGP1,64.9749,63.7556,121.947,109.38799999999999,166.081,39.1429,71.6802,223.53,26.0583,13.2232,0.852334
BLVRB,6.57613,4.7669999999999995,2.68466,3.27189,3.12197,2.8226,3.21779,8.86817,8.05673,1.7414,0.378983
C7,0.29143,24.3373,10.2181,9.23125,2.34158,0.8062819999999999,0.145938,51.6333,5.04266,12.9084,12.4669
CCL5,1.03708,11.5664,0.0,16.1353,69.8738,7.98503,0.0,9.70031,14.6772,14.6772,2.0144
CD36,36.5005,228.418,28.5228,88.0077,39.5145,18.241,4.6544,54.5393,24.866,33.1401,18.1203
CD52,5.15236,53.8862,18.8695,16.4224,205.11599999999999,27.5781,4.91219,125.986,56.19,93.59899999999999,23.3851
CDC20,19.1111,0.705943,23.2123,24.4458,7.6301,7.511880000000001,36.4559,33.8445,21.2697,21.6145,21.6756
CHI3L1,52.4824,20.1565,33.0192,49.4362,84.8944,304.561,0.8237700000000001,17.7339,37.3911,42.6231,10.3386
COL2A1,124.822,0.413376,1.45759,0.383356,0.062383,0.165655,20.099,0.06181469999999999,69.285,0.165699,0.27657800000000005
COL5A1,145.37,204.403,34.1131,46.8246,43.5105,30.2796,58.6796,26.4936,62.7231,18.2057,16.8683
COL5A2,202.313,352.65,47.3189,95.8911,58.4864,70.6025,36.052,15.8177,103.473,26.7943,13.0316
CRAT,3.09639,9.947460000000001,7.21592,5.729019999999999,3.44216,6.561939999999999,7.7762199999999995,64.8689,2.67745,1.38838,1.49166
CROT,17.2031,15.6503,10.1169,5.47545,10.2353,5.04884,4.61565,4.6178300000000005,8.122910000000001,8.916360000000001,21.9133
CXCL10,2.29941,15.3334,16.6569,109.851,100.163,219.018,4.36531,11.4388,63.0364,91.8598,12.8441
CXCL11,0.642556,8.71699,7.99702,38.6206,8.15934,11.3213,0.758763,2.75201,9.6686,8.917819999999999,2.58412
CXCL13,0.0413495,5.5519099999999995,2.88489,10.1775,48.4832,29.1612,0.6656380000000001,28.2446,7.40388,46.1831,12.7154
CYP4F8,0.048019099999999995,4.40353,0.0,0.0,0.73018,0.0,0.0,1.3096,0.19008599999999998,0.0,0.800571
DBI,412.371,68.6185,166.079,139.231,140.363,162.036,126.947,354.092,694.721,134.685,92.3906
DEFB1,3.16262,0.460946,1.93523,1.1212799999999998,21.423000000000002,34.9808,0.0,3.46354,0.0,0.135413,0.186356
DHCR24,38.1374,27.6291,27.1696,35.2547,56.9426,41.8574,56.8192,70.036,17.0556,74.3837,7.1537
DUSP5,2.6614299999999997,12.0934,2.8326,2.6019,13.1152,3.61122,1.6976,7.49855,3.3713900000000003,6.9571,7.56295
FABP7,2.25652,1.58738,2.60242,711.5219999999999,0.0,0.7407279999999999,0.0770102,0.0870091,0.591094,0.054773199999999994,41.4076
FASN,124.609,68.9283,68.8053,37.527,30.5933,7.28892,174.738,50.4576,15.7474,41.2107,8.639389999999999
FGFR4,2.32432,0.41132799999999997,0.316761,0.468103,7.583880000000001,0.162787,3.48613,0.908697,0.248822,4.540719999999999,0.749579
FGL2,2.48121,8.60775,6.2340599999999995,7.09258,13.7442,4.60607,1.53472,5.3003,3.65538,10.3349,3.5620300000000005
FOXA1,1.38574,36.4209,5.23722,5.58076,55.8235,5.15771,94.6264,1.55697,0.319701,1.01931,30.7378
FOXC1,9.10755,10.9936,38.8687,15.7271,2.45497,27.0297,158.749,26.2312,24.0372,28.4132,15.1327
GABRP,8.66089,12.1721,475.426,110.37299999999999,0.9442809999999999,664.1030000000001,4.8082199999999995,7.995539999999999,174.048,503.14,85.2671
GALNT7,12.4003,25.96,23.3908,33.2821,57.6309,30.12,60.2869,22.436999999999998,11.58,12.2184,17.9387
GBP1,41.394,243.862,98.34700000000001,132.468,297.692,69.4365,51.5421,69.2423,230.77599999999998,527.597,50.2438
GCHFR,0.42253100000000005,0.737737,0.326596,0.294779,0.886545,0.0,0.7533340000000001,0.963942,0.0,0.0,0.0
GPR87,0.9514879999999999,0.46162299999999995,0.07417230000000001,0.632517,0.0,1.21789,0.0,0.738929,2.7559099999999996,0.402631,3.5566400000000002
GZMB,1.4986,5.20754,9.66196,3.9503199999999996,29.9223,4.58183,2.38321,3.8167699999999996,10.3752,6.50588,8.284930000000001
HGD,4.21735,3.72477,9.84492,0.353446,6.07336,4.08314,3.19875,1.41826,0.951151,2.29015,6.163130000000001
HTRA1,91.2943,381.336,30.3202,40.5043,34.4731,21.8461,9.9117,17.2681,46.2655,21.359,15.8886
IDO1,0.29142399999999996,3.1867799999999997,8.022,30.934,30.9316,4.2683,3.8729,3.9772800000000004,4.99432,12.8347,32.1341
IGFBP4,13.3498,42.5683,18.7336,8.82504,3.4229199999999995,2.86954,21.2055,4.1304,1.16772,2.9835,0.6275189999999999
IGHM,55.218999999999994,0.0,0.0,0.0,1396.31,232.99900000000002,70.363,0.0,21.4105,350.832,34.2648
IGJ,20.0186,501.588,229.52599999999998,113.14200000000001,761.952,506.164,33.6758,285.552,77.067,302.263,37.8897
IGKC,182.34599999999998,8367.3,3962.3,1150.07,30004.8,2492.68,1866.18,13083.9,5458.16,5900.1,1035.63
IL23A,0.049007300000000004,0.17344400000000001,0.362634,6.55169,1.4892,0.520363,0.15148,0.299525,0.0,0.0,4.28803
IL33,0.8833290000000001,5.03543,4.04765,2.2137700000000002,1.94905,3.52311,0.338005,2.63393,2.00852,2.4586099999999997,1.301
INPP4B,37.1722,31.7449,20.8078,6.02461,40.8309,8.29696,11.4627,10.0338,19.4816,17.0085,4.70777
ITM2A,5.13433,51.0475,20.5502,9.43338,68.16,17.6113,2.72788,12.7708,7.52579,15.7734,7.457319999999999
JAM2,11.2143,29.0208,6.89795,5.72804,7.89353,6.04114,2.65935,2.30041,5.915369999999999,12.3479,5.70155
KCNK5,7.320460000000001,0.144255,2.7997799999999997,0.511742,0.187149,0.887702,4.80851,0.46282,1.91029,0.690415,0.29501700000000003
KIAA1324,6.46799,20.3606,8.89978,5.38614,55.1968,5.69649,177.715,3.25853,3.68074,11.462,6.120430000000001
KMO,1.44589,4.74343,4.74365,4.13572,15.1833,7.643680000000001,1.4564700000000002,15.1432,4.77716,3.60543,10.6676
KRT14,118.37100000000001,242.393,49.9799,166.331,0.0,6.66913,2.6992700000000003,11.9138,36.2754,48.6854,0.113856
KRT16,91.0343,22.3233,123.37,73.708,0.579715,17.0193,12.7079,114.52,7.42116,29.9302,1.6940099999999998
KRT17,105.34700000000001,355.93,98.3899,231.475,21.4388,51.9748,23.1023,198.33,136.091,93.4954,0.0
KRT6A,54.2242,172.062,74.7498,150.395,5.09093,27.6608,22.5461,94.1318,12.5419,114.32799999999999,23.9963
KRT6B,86.6584,39.5844,53.5423,137.776,0.33282399999999995,9.681510000000001,63.107,156.107,5.4740400000000005,58.34,0.169457
KYNU,14.7879,20.7412,9.58681,142.601,20.1823,87.4812,3.31682,8.68389,4.4076900000000006,10.0651,9.53512
LBP,0.573258,6.9576199999999995,0.358738,2.92004,0.37056999999999995,0.103459,0.0,1.6406,0.0,10.5957,1.49229
LHFP,2.0952,3.41442,2.79094,1.19223,1.1423,0.813163,0.905259,1.3793,1.16419,0.326932,0.252562
MFAP4,1.60954,29.2715,10.5279,5.30635,4.55944,5.00249,1.0410700000000002,4.0017,0.0,5.34585,0.49813999999999997
MIA,21.0747,3.57539,14.3733,9.32885,0.45022299999999993,14.7819,139.753,0.289898,4.20826,1.63317,0.0
MID1,36.2366,19.4964,12.8176,28.897,14.940999999999999,11.2812,2.1082400000000003,4.405469999999999,24.2952,9.65455,20.5392
MYBL1,4.603619999999999,2.26514,40.251999999999995,8.092939999999999,4.27869,191.485,3.8023800000000003,11.605,82.296,114.391,10.5008
NEK2,17.1321,0.583537,14.2971,20.5924,7.57769,51.1749,11.0728,26.0897,63.4262,25.8249,35.7655
NTN3,0.023557599999999998,0.028244799999999997,0.029489799999999997,0.0,0.0,0.0,0.0371457,0.042039599999999996,0.0,0.0,0.0
OGN,1.27872,45.42100000000001,4.57913,7.567989999999999,6.09545,12.4251,0.20845500000000003,0.687581,27.0655,24.9941,29.086
PI3,0.0,0.47588500000000006,0.0,20.4042,0.0,5.31341,0.30924,9.48978,4.7016,17.863,0.0
PLEKHB1,14.583,1.3299,13.993,4.024380000000001,1.03345,6.5829,3.4420300000000004,1.5546,9.21203,0.0,2.8242599999999998
PMAIP1,1.6239299999999999,0.588906,2.15123,12.7009,0.335407,12.9616,0.10243,2.37763,0.0,1.51596,1.76168
PSMB9,0.0,0.0,0.0,20.1497,30.6622,5.38454,0.0,0.0,8.527289999999999,9.368260000000001,26.9052
PTGDS,1.49063,30.8632,7.08018,2.2471799999999997,33.7755,1.4413,1.69612,9.95073,0.41365100000000005,7.619330000000001,0.210943
RARRES3,10.7933,35.4719,23.5313,24.9939,58.6398,12.5633,4.64353,10.4301,12.6827,22.5854,7.02486
RTP4,0.772275,1.58515,3.0802400000000003,2.2332,2.85869,4.32465,0.048426300000000005,0.575191,1.4921200000000001,4.38526,3.4568199999999996
S100A1,196.638,3.7795699999999997,179.938,4.69899,0.0,0.8991629999999999,17.525,0.167765,24.8818,0.0,0.0
S100A7,6.579160000000001,8.425880000000001,0.36102399999999996,0.41959399999999997,0.0,330.407,0.0,159.537,0.0,7.967980000000001,0.20705
S100A8,3.4999599999999997,10.0399,2.18289,10.9431,8.04674,34.2738,1.75952,102.79299999999999,0.47805200000000003,1.9424599999999999,6.7621199999999995
SCRG1,23.221999999999998,0.0701932,5.63925,0.20717199999999997,1.34104,0.787397,0.0,0.180404,10.0471,0.697447,2.43223
SEMA3C,89.189,61.3215,11.4289,30.6454,20.5534,32.5338,13.6146,15.1164,60.6751,20.029,4.72316
SERHL2,5.02658,19.9281,14.0748,1.56572,0.26018800000000003,2.12248,3.3723199999999998,11.3393,0.80852,2.29392,0.7395149999999999
SFRP1,35.3095,6.72849,20.2949,2.3822,0.346055,5.5372900000000005,11.7983,0.25972399999999995,22.7723,5.6944300000000005,11.6134
SIDT1,0.9090090000000001,9.63895,6.00681,1.9539900000000001,29.3222,2.0698,26.2512,14.5501,0.340445,5.13203,1.30631
SOX10,3.84721,1.24586,10.7546,0.878964,0.0,0.10395599999999999,13.8201,0.0,3.99361,0.515416,0.0
SPDEF,0.141878,2.54524,0.68243,0.10571300000000002,4.22867,0.214666,10.8008,0.731248,0.803342,0.35286799999999996,0.0
SPRR1B,0.09447810000000001,0.10835,0.0,0.0,0.0,4.1324,0.0,6.107130000000001,12.3582,0.0,0.0
SPTLC2,28.7351,28.4852,36.547,24.273000000000003,51.4217,41.79600000000001,18.5445,46.0317,48.0065,23.1361,17.2495
SRPX,12.4869,14.706,3.4638,4.76311,2.93003,1.4254,0.814167,0.586912,3.1099900000000003,3.4083,0.08347339999999999
TCF7L1,11.751,10.1506,9.43708,13.2797,2.31134,9.74195,26.4978,6.95985,23.0176,19.2652,11.2977
TFAP2B,1.18026,6.80933,0.438146,21.965999999999998,1.6630099999999999,4.96422,19.6334,1.62638,0.6508619999999999,0.0,0.187122
THBS4,8.67223,12.7354,5.44268,6.7119,9.77135,5.57063,2.78039,3.0411799999999998,4.14394,10.2009,7.621689999999999
