gene_short_name,V515-06187-A1,TNT-71,TNT-321,TNT-223,TNT-6,TNT-299,TNT-282,17-00149-2_S3_cufflinks,17-00097-1_S9_cufflinks,17-00157-0_S11Aligned_cufflinks,17-00269-8_S12Aligned_cufflinks
ABCA8,1.07397,12.9025,1.1144,11.3176,9.6574,8.87917,4.67702,32.3573,2.1075,14.9899,10.5754
ADRA2A,0.196819,0.12659700000000002,0.0,0.0,1.3579299999999999,0.321954,0.0181278,1.055,0.13051500000000002,0.9286280000000001,0.23155900000000001
AKAP12,3.7524300000000004,3.09258,4.92338,2.91052,11.312000000000001,8.3169,3.3799099999999997,14.0612,1.87044,11.8446,3.77041
ALDH3B2,34.613,24.6302,0.0,8.826939999999999,433.61300000000006,2.22473,14.2492,3.87839,8.43554,2.39375,3.69538
APOD,101.54799999999999,769.0139999999999,23.309,634.054,13601.3,26.3483,1.37445,446.564,0.669381,50.4508,55.1521
ART3,19.2103,47.9684,13.6808,0.0,0.0,47.8547,1.17116,12.8534,4.5019599999999995,0.291602,42.777
ASPN,31.1651,21.4233,16.2505,25.1588,106.78,14.6382,10.9442,14.5927,10.6442,27.6337,28.712
AZGP1,64.9749,39.1429,0.95899,189.675,1632.76,144.884,58.3199,40.5716,33.7457,3.87216,109.38799999999999
BLVRB,6.57613,2.8226,0.204078,2.24178,17.4411,1.49672,2.42049,9.78599,3.99175,4.4324900000000005,3.27189
C7,0.29143,0.8062819999999999,0.683814,21.6657,3.8300199999999998,4.52315,0.311238,91.1891,2.0205599999999997,5.99394,9.23125
CCL5,1.03708,7.98503,11.290999999999999,2.0409900000000003,5.02728,6.02102,7.18878,37.03,0.0,0.0,16.1353
CD36,36.5005,18.241,20.8781,2.84832,52.468,80.6752,31.9388,166.33900000000003,29.5541,149.636,88.0077
CD52,5.15236,27.5781,130.963,36.0713,20.3981,14.2911,28.9883,25.8994,10.8883,2.70915,16.4224
CDC20,19.1111,7.511880000000001,21.4337,1.58792,6.40956,4.88095,16.4631,5.02223,35.847,14.3517,24.4458
CHI3L1,52.4824,304.561,1.82655,1.17865,0.854684,21.8619,10.2047,18.9358,14.2367,45.5875,49.4362
COL2A1,124.822,0.165655,0.701661,0.0,0.407516,8.712819999999999,0.205631,0.127527,0.21441,114.78299999999999,0.383356
COL5A1,145.37,30.2796,9.650889999999999,43.7951,210.775,36.7694,8.00722,27.3903,99.7165,174.977,46.8246
COL5A2,202.313,70.6025,16.1351,33.5457,301.151,49.6448,9.29631,92.603,49.6067,163.721,95.8911
