gene_short_name,V515-06187-A1,TNT-76,TNT-14,TNT-220,TNT-115,TNT-117,TNT-210,17-00122-1_S1_cufflinks,TNT-157,TNT-234,17-00112-1_S7_cufflinks
ABCA8,1.07397,1.7120799999999998,1.6867900000000002,29.3376,1.17188,14.5549,9.09564,15.2547,16.5316,4.492780000000001,0.0
ADRA2A,0.196819,0.216004,0.10451700000000001,1.45258,0.172526,1.06228,0.335962,1.06565,0.053574699999999996,0.631742,0.40375500000000003
AKAP12,3.7524300000000004,4.07696,2.1604400000000004,15.2167,2.9281200000000003,1.6917400000000002,6.16654,3.36502,5.01157,13.1758,1.65867
ALDH3B2,34.613,1.20211,5.56607,0.906112,7.47531,20.3454,8.86323,19.7483,44.3463,1.06207,5.14396
APOD,101.54799999999999,226.99099999999999,10.9277,121.15,39.9082,63.9205,9.57364,39.0799,388.876,158.972,1.08372
ART3,19.2103,61.9652,31.6725,53.4512,121.99700000000001,17.0419,1.0016399999999999,0.0,11.9946,45.8656,24.2354
ASPN,31.1651,61.5295,9.50099,24.9223,9.31432,23.7047,7.55605,22.2786,10.4886,10.3409,10.7154
AZGP1,64.9749,279.97,31.8473,129.656,239.31900000000002,11.4011,22.0424,21.2686,13.2232,199.49200000000002,4.528980000000001
BLVRB,6.57613,2.58846,7.24225,1.24432,3.141,1.5270299999999999,2.0960099999999997,2.08356,1.7414,5.22607,5.08205
C7,0.29143,0.703238,0.419171,368.54,1.27179,0.964774,64.0085,16.0706,12.9084,8.1721,0.24694699999999997
CCL5,1.03708,10.1325,6.555389999999999,16.9124,11.9906,24.8368,4.16558,0.0,14.6772,20.0857,5.41056
CD36,36.5005,9.871830000000001,19.3488,25.9295,12.2627,19.3201,32.1363,6.4267199999999995,33.1401,6.57482,4.14895
CD52,5.15236,16.4339,20.7734,233.482,76.2585,108.542,785.451,12.6459,93.59899999999999,203.87400000000002,9.67866
CDC20,19.1111,20.9927,23.4345,0.0,14.9562,11.3241,11.3893,28.4023,21.6145,15.2527,28.2348
