gene_short_name,V515-06187-A1,TNT-224,TNT-13,17-00152-9_S4Aligned_cufflinks,TNT-296,TNT-271,TNT-204,TNT-197,17-00097-1_S9_cufflinks,TNT-35,TNT-141
ABCA8,1.07397,11.0932,26.684,0.0,12.0717,19.3019,22.5552,3.13417,2.1075,16.6291,68.4435
ADRA2A,0.196819,0.5215270000000001,0.0,0.0,0.51861,0.10425,0.51488,0.245942,0.13051500000000002,0.9818889999999999,1.30754
AKAP12,3.7524300000000004,12.9614,11.3162,0.0,3.8555,9.75869,5.24104,8.951210000000001,1.87044,12.7669,7.146210000000001
ALDH3B2,34.613,4.94473,8.65127,159.809,2.50943,0.048503899999999996,10.6186,1.98131,8.43554,73.376,2.52334
APOD,101.54799999999999,72.6231,194.972,103.494,16.3223,18.8019,431.157,62.4847,0.669381,4574.95,265.92900000000003
ART3,19.2103,2.7877400000000003,1.79984,69.9625,4.89082,8.40444,0.0,4.63307,4.5019599999999995,0.887626,0.0
ASPN,31.1651,241.52200000000002,31.9125,0.0,13.9013,13.9833,25.8341,53.4652,10.6442,16.949,101.719
AZGP1,64.9749,3.9754199999999997,36.6707,8.79505,0.852334,22.8252,91.8052,1.52872,33.7457,367.6,113.574
BLVRB,6.57613,3.5285300000000004,0.0,3.61882,0.378983,2.31812,5.31772,1.6159999999999999,3.99175,4.5501,1.96374
C7,0.29143,1.91188,0.275013,15.638,12.4669,16.2719,1.40697,0.729716,2.0205599999999997,24.8307,3.17775
CCL5,1.03708,3.2060000000000004,4.13896,0.0,2.0144,5.6622,10.1049,19.9773,0.0,20.5653,13.5378
CD36,36.5005,20.0619,57.7532,0.0,18.1203,17.8922,78.1711,38.1309,29.5541,17.7795,83.8034
CD52,5.15236,21.1463,17.8491,95.8765,23.3851,56.5306,132.064,30.7753,10.8883,127.084,19.6056
CDC20,19.1111,10.5139,6.74247,0.0,21.6756,15.4698,2.72803,16.499000000000002,35.847,6.233619999999999,0.047745800000000005
CHI3L1,52.4824,3.66954,7.768730000000001,21.7065,10.3386,2.46457,0.9157209999999999,25.4191,14.2367,8.07722,0.177651
COL2A1,124.822,0.014313,1.8373700000000002,0.0,0.27657800000000005,2.82534,0.014582499999999998,0.0496131,0.21441,0.182251,0.0
COL5A1,145.37,156.747,150.34,18.0897,16.8683,17.2159,23.136,33.6054,99.7165,63.0796,76.7943
COL5A2,202.313,292.85200000000003,118.141,0.0,13.0316,18.8124,44.7471,53.8271,49.6067,92.2053,68.5018
CRAT,3.09639,4.7487900000000005,24.9574,0.0,1.49166,3.4731,8.49002,3.01341,8.16269,21.7538,17.8855
CROT,17.2031,20.3725,10.412,85.5425,21.9133,12.1045,12.995999999999999,2.8917,4.92995,11.1741,5.49525
CXCL10,2.29941,35.6,7.04369,0.0,12.8441,37.9725,65.778,68.2187,14.6049,75.8828,28.4844
CXCL11,0.642556,6.50349,0.0,0.0,2.58412,13.7021,12.7703,11.7024,2.5685700000000002,14.3433,17.67
CXCL13,0.0413495,3.2785800000000003,37.576,0.0,12.7154,40.998000000000005,12.2053,44.9298,3.01473,54.2101,0.0
CYP4F8,0.048019099999999995,0.064249,0.0,0.0,0.800571,3.5366800000000005,0.254896,0.271496,0.234377,21.2027,0.0
DBI,412.371,71.4454,154.939,0.0,92.3906,128.253,305.276,115.771,170.882,176.50900000000001,89.2729
DEFB1,3.16262,75.0567,1.60599,0.0,0.186356,3.92841,2.1574400000000002,0.0,0.0,0.42481199999999997,0.0
DHCR24,38.1374,35.0216,0.731201,18.8087,7.1537,7.864560000000001,9.13265,3.7275199999999997,44.06100000000001,166.30900000000003,49.9297
DUSP5,2.6614299999999997,13.804,0.046718300000000004,0.0,7.56295,3.62355,3.80245,6.03294,3.6152800000000003,12.0404,20.0687
FABP7,2.25652,0.0,23.0699,0.0,41.4076,5.5578199999999995,0.529954,1.8544599999999998,0.060764,18.504,0.0
FASN,124.609,2.27257,2.66772,133.656,8.639389999999999,6.34887,27.5321,2.32471,57.3003,149.665,74.7024
FGFR4,2.32432,1.20116,0.198193,0.0,0.749579,2.49633,7.755260000000001,0.9757530000000001,2.04738,7.897930000000001,0.0
FGL2,2.48121,5.29089,2.3628299999999998,0.0,3.5620300000000005,6.751810000000001,7.284560000000001,5.81374,2.54605,12.85,5.29114
FOXA1,1.38574,35.7877,0.0,20.6189,30.7378,4.95611,121.10799999999999,1.1978,0.09799169999999999,67.0924,208.476
FOXC1,9.10755,9.267430000000001,35.8813,3.16898,15.1327,67.9424,5.1843699999999995,32.2897,65.4708,3.63065,0.0
GABRP,8.66089,0.360717,383.94699999999995,52.1578,85.2671,86.5647,11.243,4.73335,7.864789999999999,16.394000000000002,29.198
GALNT7,12.4003,97.6033,7.36137,12.9507,17.9387,16.9407,31.3368,24.4677,7.85755,35.5447,26.2825
GBP1,41.394,95.76700000000001,115.376,0.0,50.2438,131.35,194.60299999999998,92.947,84.0119,150.278,80.0908
GCHFR,0.42253100000000005,0.12175799999999999,0.0,0.0,0.0,0.113979,0.235974,0.0,0.42294,0.266475,0.0
GPR87,0.9514879999999999,5.18365,8.19588,0.0,3.5566400000000002,3.4406199999999996,5.54019,1.3995,0.0,0.895159,1.5469700000000002
GZMB,1.4986,3.7382199999999997,4.32756,0.0,8.284930000000001,7.384860000000001,5.68281,26.022,1.86027,24.6299,0.8169270000000001
HGD,4.21735,6.23131,0.0,0.0,6.163130000000001,29.4843,7.773969999999999,0.0,0.17512,65.5599,28.3891
HTRA1,91.2943,140.532,16.2643,0.0,15.8886,12.6539,28.7803,13.698,44.1674,92.7031,57.1879
IDO1,0.29142399999999996,23.0307,3.5529300000000004,0.0,32.1341,23.1689,29.6198,6.2683800000000005,4.31044,32.8161,0.0
IGFBP4,13.3498,1.9677200000000001,2.78036,0.0,0.6275189999999999,0.158976,1.63285,0.243162,7.9226399999999995,4.31,2.98923
IGHM,55.218999999999994,13.8008,57.5582,36.7639,34.2648,56.023,241.665,9.50982,0.0,1198.52,32.3916
IGJ,20.0186,39.1471,192.972,0.0,37.8897,155.781,968.825,136.438,23.1658,1876.16,151.69299999999998
IGKC,182.34599999999998,711.2360000000001,298.13599999999997,613.677,1035.63,924.153,3663.16,3670.73,5865.29,9549.54,368.829
IL23A,0.049007300000000004,0.06553610000000001,0.0,0.0,4.28803,0.0,0.0,1.7591900000000003,0.0,1.05001,0.0
IL33,0.8833290000000001,0.255235,1.92829,0.0,1.301,3.25231,2.37094,0.097186,0.470318,5.4115400000000005,2.97647
INPP4B,37.1722,29.1727,6.210430000000001,40.7486,4.70777,7.737239999999999,15.7299,6.59133,25.3966,51.7312,49.4555
ITM2A,5.13433,7.06133,44.1535,17.7311,7.457319999999999,8.80392,35.1851,0.294242,5.86859,65.8933,0.0
JAM2,11.2143,12.0033,18.4318,0.0,5.70155,5.62351,6.6045300000000005,5.83636,2.99247,10.3561,2.19326
KCNK5,7.320460000000001,0.0814902,0.0,0.0,0.29501700000000003,0.537532,0.248838,0.09922689999999999,2.19827,0.263253,0.0817072
KIAA1324,6.46799,42.5417,24.4954,30.4415,6.120430000000001,41.736000000000004,35.5909,5.9885,0.46954799999999997,43.7592,24.0352
KMO,1.44589,6.46681,5.24219,0.0,10.6676,9.41635,17.6331,10.0687,5.2506,32.8196,13.9778
KRT14,118.37100000000001,2.2672,123.369,34.0491,0.113856,2.72891,4.93714,6.19749,62.9592,41.4358,19.0054
KRT16,91.0343,74.8609,32.6146,0.0,1.6940099999999998,46.2,0.516638,38.6102,26.2046,4.00903,0.0
KRT17,105.34700000000001,93.2654,44.3352,0.0,0.0,14.5706,5.96539,99.1239,9.91211,68.6014,3.52294
KRT6A,54.2242,408.949,112.715,34.9635,23.9963,119.98200000000001,0.693673,21.6429,5.23452,27.403000000000002,20.8774
KRT6B,86.6584,24.2595,13.9964,0.0,0.169457,7.46643,2.06779,41.4921,3.50011,9.36462,0.022899700000000002
KYNU,14.7879,20.3852,22.9316,0.0,9.53512,11.4863,36.3404,13.5188,5.392,55.9354,11.4561
LBP,0.573258,3.627,0.0,0.0,1.49229,1.15844,9.97681,0.19584100000000002,0.652367,83.8717,0.40336900000000003
LHFP,2.0952,1.07754,0.0,0.0,0.252562,0.9863430000000001,0.393498,0.523456,0.932149,2.93139,0.261223
MFAP4,1.60954,1.8773799999999998,8.21735,0.0,0.49813999999999997,0.8054600000000001,1.26006,0.0912683,0.288673,12.7635,16.8245
MIA,21.0747,0.9400120000000001,1.6186399999999999,0.0,0.0,3.92295,0.902935,9.51566,0.845535,0.979784,0.0
MID1,36.2366,19.0041,4.532030000000001,0.0,20.5392,12.7798,7.777710000000001,18.348,13.0013,15.4661,5.32941
MYBL1,4.603619999999999,3.09212,97.8265,0.0,10.5008,22.5291,5.3623,35.5855,88.7484,5.6302900000000005,1.07033
NEK2,17.1321,11.4109,13.8283,0.0,35.7655,25.2859,3.68013,41.9641,23.2843,8.08047,12.3271
NTN3,0.023557599999999998,0.0,0.0,1.92163,0.0,0.0300728,0.0,0.0,0.175515,0.0,0.0
OGN,1.27872,45.6164,13.7195,0.0,29.086,16.0821,18.2162,20.8286,0.632217,18.1458,26.7541
PI3,0.0,1.89675,0.0,86.9353,0.0,0.380187,0.0,70.1415,2.08188,5.2829999999999995,0.0
