gene_short_name,V515-06187-A1,TNT-227,17-00121-8_S12_cufflinks,TNT-182,17-00110-9_S15Aligned_cufflinks,TNT-54,TNT-281,TNT-218,TNT-275,TNT-201,17-00132-8_S16Aligned_cufflinks
ABCA8,1.07397,0.8764959999999999,43.7288,5.738980000000001,0.943892,58.0877,39.0365,0.23111700000000002,4.6609,6.476459999999999,19.4248
ADRA2A,0.196819,0.949996,1.4831299999999998,0.0891861,0.184313,0.409427,0.0,1.2081600000000001,0.629714,0.195692,3.61611
AKAP12,3.7524300000000004,4.588480000000001,26.8543,13.2235,0.618114,14.9386,10.6971,2.32421,4.96091,12.689,5.52166
ALDH3B2,34.613,0.0,14.3473,0.223333,21.1902,9.506730000000001,4.0044699999999995,16.6609,4.76105,8.55663,6.775060000000001
APOD,101.54799999999999,13.7345,574.763,108.309,0.8471620000000001,745.2,0.10930699999999999,3.9072,27.9631,127.635,40.374
ART3,19.2103,53.495,0.115521,39.255,1.7045400000000002,3.22085,34.497,42.4891,30.6309,64.8882,0.0
ASPN,31.1651,14.4329,30.3876,102.374,8.79653,17.7205,7.35584,8.27807,30.936,46.2732,33.8587
AZGP1,64.9749,9.19289,177.34599999999998,87.2981,71.6802,84.4769,48.4283,17.1262,0.675944,651.6469999999999,12.8789
BLVRB,6.57613,3.1071,5.304819999999999,1.3189899999999999,3.21779,1.03403,0.0,1.33646,0.581462,2.21732,10.2189
C7,0.29143,4.99071,23.1979,4.2449,0.145938,70.8319,18.9547,14.321,4.90062,4.18576,12.4255
CCL5,1.03708,26.5416,0.0,9.13623,0.0,27.218000000000004,6.88903,2.72617,15.9024,3.4542599999999997,0.0
CD36,36.5005,17.3573,104.969,31.6866,4.6544,53.4162,17.1781,5.77646,28.1601,37.1595,32.1853
CD52,5.15236,480.968,9.90376,63.4951,4.91219,206.158,13.2159,124.915,41.958,17.2804,20.3585
CDC20,19.1111,10.3227,0.207432,8.12888,36.4559,3.85495,44.7677,6.84373,12.0694,15.1737,0.805591
CHI3L1,52.4824,7.42916,9.01373,54.8576,0.8237700000000001,7.7664,10.2393,50.4066,67.2472,27.7612,4.97049
COL2A1,124.822,0.609106,1.51601,7.765639999999999,20.099,0.348718,6.1441099999999995,0.31563800000000003,0.23309499999999997,0.10346400000000001,0.0
COL5A1,145.37,27.5166,34.9603,91.7031,58.6796,20.0147,57.647,11.295,48.0836,60.1661,187.40400000000002
COL5A2,202.313,44.3055,40.3863,167.34400000000002,36.052,24.5429,29.8201,6.21086,82.2014,118.01899999999999,187.753
CRAT,3.09639,2.44925,4.42961,4.193169999999999,7.7762199999999995,8.035219999999999,0.0595784,0.5931930000000001,2.18717,6.1247300000000005,27.5127
CROT,17.2031,7.9890300000000005,20.8255,4.71211,4.61565,7.78597,6.07646,12.5985,6.23139,3.2792,9.844560000000001
CXCL10,2.29941,195.173,6.51344,167.102,4.36531,37.7643,63.3418,39.2311,69.4529,34.8583,5.4040300000000006
CXCL11,0.642556,17.6549,5.3034099999999995,20.1739,0.758763,14.0366,0.8563930000000001,3.00026,15.7259,7.684660000000001,0.0
CXCL13,0.0413495,31.79,0.26274000000000003,8.864289999999999,0.6656380000000001,33.4686,61.5422,63.1377,95.0912,6.53752,3.3446800000000003
CYP4F8,0.048019099999999995,0.276966,0.71787,0.0,0.0,0.990511,1.1115700000000002,2.6428700000000003,0.043461400000000004,0.0988321,16.5797
DBI,412.371,147.596,94.8186,255.49599999999998,126.947,101.01,104.124,52.9657,83.2867,624.9159999999999,22.3556
DEFB1,3.16262,1.68765,1.3957899999999999,0.832102,0.0,0.0,0.755909,0.263783,0.0,2.52093,0.0
DHCR24,38.1374,3.4435300000000004,39.1465,57.4009,56.8192,8.20185,11.9895,24.8616,3.7026199999999996,19.4007,1.5266
DUSP5,2.6614299999999997,3.49885,11.8711,8.58565,1.6976,6.61308,1.57865,2.54009,3.8547300000000004,3.4079599999999997,8.864889999999999
FABP7,2.25652,0.19135,2.92749,0.320356,0.0770102,5.1336699999999995,59.3406,0.101355,2.26773,0.46985200000000005,0.569974
FASN,124.609,0.597191,36.53,2.86796,174.738,14.5167,21.6485,3.9148099999999997,2.4485200000000003,22.2212,129.708
FGFR4,2.32432,0.0,0.8715860000000001,0.0,3.48613,0.111696,10.5211,1.14783,0.464383,0.47448199999999996,0.0
FGL2,2.48121,9.167639999999999,12.79,9.52411,1.53472,14.4419,6.78257,6.97558,6.60571,2.43645,3.5266599999999997
FOXA1,1.38574,0.8824569999999999,58.3932,8.27237,94.6264,14.8548,1.55029,0.06618439999999999,2.06513,3.7643400000000002,6.5881
FOXC1,9.10755,35.2188,19.229,15.3841,158.749,10.7698,8.70012,33.0458,35.8189,38.1223,4.69982
GABRP,8.66089,136.776,89.7943,1005.45,4.8082199999999995,10.0879,175.713,1786.59,2.98012,223.33,12.2303
GALNT7,12.4003,19.0978,23.2172,12.5692,60.2869,29.2673,8.255519999999999,15.9673,25.0354,8.396339999999999,14.665999999999999
GBP1,41.394,154.722,148.097,698.158,51.5421,112.329,535.638,121.512,129.284,125.751,191.46099999999998
GCHFR,0.42253100000000005,0.39659099999999997,0.19197,0.0,0.7533340000000001,0.0,0.0,0.0,0.0,0.23903600000000003,0.0
GPR87,0.9514879999999999,1.74954,1.04821,0.516754,0.0,0.13426400000000002,0.519255,1.34816,1.75632,8.07324,0.0
GZMB,1.4986,47.2509,0.501315,14.4144,2.38321,22.9207,6.77791,6.5088,23.4412,2.32191,8.95933
HGD,4.21735,0.211731,6.06733,1.69461,3.19875,9.23906,8.127139999999999,0.947161,0.400065,9.236989999999999,2.49273
HTRA1,91.2943,23.2036,107.586,102.285,9.9117,64.1031,9.95982,6.942660000000001,40.4474,69.6793,105.08
IDO1,0.29142399999999996,9.18626,1.6029,10.5988,3.8729,22.9377,24.7108,7.720560000000001,21.4754,6.721989999999999,5.1959
IGFBP4,13.3498,0.125222,40.6251,0.994875,21.2055,2.86017,0.5106609999999999,0.257484,0.682398,3.59441,34.9053
IGHM,55.218999999999994,108.37,0.0,156.569,70.363,126.71,213.67,115.053,10.3864,111.221,0.0
IGJ,20.0186,237.062,1857.11,296.668,33.6758,802.568,378.825,103.21799999999999,52.2957,71.1984,113.281
IGKC,182.34599999999998,1861.88,5230.68,2932.66,1866.18,3790.35,2270.71,1657.02,3001.92,2074.26,8891.08
IL23A,0.049007300000000004,0.0,0.0,0.0,0.15148,0.360752,0.147824,0.9967530000000001,0.993935,0.0,0.0
IL33,0.8833290000000001,3.88299,15.1477,4.035819999999999,0.338005,13.8928,1.07443,3.07428,1.72384,2.09151,17.0119
INPP4B,37.1722,29.7754,42.4202,10.1651,11.4627,70.1898,3.00811,6.77033,6.37368,7.499910000000001,26.0415
ITM2A,5.13433,28.7881,109.881,35.8787,2.72788,48.3458,68.0098,21.6812,4.27775,9.830110000000001,31.5453
JAM2,11.2143,12.2004,43.4717,6.3976,2.65935,25.4863,5.9953,1.74953,15.0548,5.2201699999999995,10.9357
KCNK5,7.320460000000001,0.21501199999999998,0.897058,1.76055,4.80851,0.293658,1.91526,0.897033,0.49949099999999996,1.1265100000000001,0.14339000000000002
KIAA1324,6.46799,1.4075600000000001,51.9074,25.3218,177.715,125.743,4.29164,23.9853,4.49825,17.717,4.055969999999999
KMO,1.44589,10.0663,0.307289,1.57964,1.4564700000000002,17.2072,24.4904,13.1631,5.56545,5.45015,3.9471800000000004
KRT14,118.37100000000001,5.5090900000000005,616.609,192.158,2.6992700000000003,10.1796,276.062,3.41339,0.48074300000000003,150.591,20.9046
KRT16,91.0343,21.6531,44.915,91.2358,12.7079,0.225316,349.52099999999996,24.6943,14.767999999999999,70.8838,4.42811
KRT17,105.34700000000001,39.2046,1050.05,365.74,23.1023,15.9813,219.024,84.8878,45.0247,169.791,40.8994
KRT6A,54.2242,6.26618,159.842,53.3406,22.5461,3.2096400000000003,622.6469999999999,136.69799999999998,19.9684,13.4392,130.384
KRT6B,86.6584,2.79773,109.40100000000001,46.4606,63.107,3.3842800000000004,180.32,47.0151,32.3569,14.2342,27.5115
KYNU,14.7879,10.9807,10.171,12.2051,3.31682,14.6996,2.55798,9.0285,25.2469,2.62625,10.0373
LBP,0.573258,0.895875,0.029158999999999997,12.4536,0.0,0.036197599999999996,0.29639099999999996,0.642543,0.923182,0.99451,0.0
LHFP,2.0952,0.436254,5.71544,1.32484,0.905259,1.9761799999999998,0.0228533,0.639737,0.457348,0.828257,5.4873400000000006
MFAP4,1.60954,3.6207800000000003,25.4246,2.04239,1.0410700000000002,15.402000000000001,0.11254700000000001,2.82112,1.06111,5.27245,19.1872
MIA,21.0747,8.0551,20.5634,6.42661,139.753,10.6721,10.8148,26.1396,1.96921,9.45003,0.0
MID1,36.2366,9.676630000000001,19.6636,24.2511,2.1082400000000003,9.3377,14.8445,13.0964,33.4136,69.4015,9.59732
MYBL1,4.603619999999999,54.3826,2.9388799999999997,19.1182,3.8023800000000003,17.2978,4.13731,7.97081,27.5883,42.8867,1.53662
NEK2,17.1321,31.5505,0.954536,12.3498,11.0728,3.0213,30.6035,5.3237,35.4596,21.1913,0.682503
NTN3,0.023557599999999998,0.0,0.115061,0.0,0.0371457,0.0,0.0,0.0487584,0.0,0.0,0.0
OGN,1.27872,10.118,59.6459,8.4231,0.20845500000000003,47.7903,36.5507,10.2367,16.5318,8.84056,7.98102
PI3,0.0,0.0,4.09301,5.8118,0.30924,0.144572,15.133,25.1613,32.9457,0.0,0.0
PLEKHB1,14.583,0.0,1.9737900000000002,0.536067,3.4420300000000004,3.18058,0.380533,2.25284,1.08019,4.582730000000001,0.0
PMAIP1,1.6239299999999999,12.6682,0.931723,0.49776400000000004,0.10243,3.87836,10.6012,1.89773,18.0211,5.0563199999999995,0.0
PSMB9,0.0,6.208019999999999,0.0,10.517000000000001,0.0,21.6541,40.9199,22.0108,8.420060000000001,5.581869999999999,0.0
PTGDS,1.49063,6.41824,21.2047,1.53705,1.69612,13.7563,1.7738599999999998,3.1605,0.9673149999999999,0.552674,18.3436
RARRES3,10.7933,15.6305,41.5227,40.3436,4.64353,34.8722,40.4701,48.2855,17.9254,16.6005,14.6898
RTP4,0.772275,2.6019400000000004,0.45024200000000003,1.94452,0.048426300000000005,0.464337,4.15161,4.38933,1.2294100000000001,2.4659999999999997,1.0854
S100A1,196.638,11.0714,7.334110000000001,7.35982,17.525,3.7649800000000004,0.109232,2.1712599999999997,1.16736,58.3911,0.0
S100A7,6.579160000000001,0.0,0.154637,4.83983,0.0,0.0,58.7633,6.70688,90.0918,0.0,8.466339999999999
S100A8,3.4999599999999997,3.22332,4.58775,3.06508,1.75952,0.8787149999999999,14.3193,5.3621300000000005,122.693,0.64226,2.52279
