gene_short_name,V515-06187-A1,17-00104-2_S7Aligned_cufflinks,17-00107-9_S10Aligned_cufflinks,TNT-117,TNT-219,TNT-297,17-00149-2_S3_cufflinks,TNT-202,17-00139-2_S9Aligned_cufflinks,TNT-282,TNT-69
ABCA8,1.07397,7.99826,54.7654,14.5549,11.2782,17.0174,32.3573,0.419579,3.6460000000000004,4.67702,6.334280000000001
ADRA2A,0.196819,0.145057,2.2659,1.06228,0.24939099999999997,0.223559,1.055,0.10423800000000001,0.21834,0.0181278,0.150311
AKAP12,3.7524300000000004,0.6447689999999999,17.232,1.6917400000000002,10.7207,31.1722,14.0612,2.88543,2.68102,3.3799099999999997,8.43398
ALDH3B2,34.613,28.0666,1.86159,20.3454,6.22725,0.0910294,3.87839,9.39125,27.7129,14.2492,2.33555
APOD,101.54799999999999,6.770160000000001,39.7176,63.9205,53.501000000000005,190.081,446.564,11.7008,8.01472,1.37445,334.26099999999997
ART3,19.2103,6.09762,0.0,17.0419,1.06999,22.3735,12.8534,33.6664,1.5872,1.17116,11.878
ASPN,31.1651,3.6449199999999995,238.97400000000002,23.7047,27.237,14.1299,14.5927,19.8095,9.948369999999999,10.9442,32.2778
AZGP1,64.9749,56.5053,22.0611,11.4011,100.25399999999999,130.727,40.5716,174.74099999999999,1.50857,58.3199,41.8629
BLVRB,6.57613,1.03463,3.8647,1.5270299999999999,4.64941,2.3692900000000003,9.78599,0.838176,1.37106,2.42049,0.226859
C7,0.29143,0.923272,2.4199599999999997,0.964774,122.073,12.4278,91.1891,0.491271,0.645289,0.311238,2.44299
CCL5,1.03708,0.26264,0.0,24.8368,18.7046,2.5106599999999997,37.03,2.81882,2.11983,7.18878,2.95312
CD36,36.5005,96.9286,34.8926,19.3201,16.0908,12.2558,166.33900000000003,18.456,14.3767,31.9388,24.2
CD52,5.15236,0.315542,30.9282,108.542,123.57799999999999,9.062439999999999,25.8994,22.4442,2.72221,28.9883,15.9388
CDC20,19.1111,15.73,5.44464,11.3241,3.64656,42.1959,5.02223,43.36600000000001,34.2285,16.4631,31.1055
CHI3L1,52.4824,3.18682,9.49815,49.0583,0.043036000000000005,75.8848,18.9358,23.2638,127.334,10.2047,13.2155
COL2A1,124.822,0.0598273,0.12629100000000001,0.0492249,4.67146,8.031789999999999,0.127527,0.0214933,0.569296,0.205631,143.94299999999998
COL5A1,145.37,12.4204,413.834,36.8377,47.8762,58.3068,27.3903,31.7171,28.6234,8.00722,40.5398
COL5A2,202.313,14.4705,461.219,37.1575,49.8738,67.2474,92.603,55.4751,24.2914,9.29631,54.6831
CRAT,3.09639,12.0212,25.2676,2.27399,3.7134699999999996,5.6469,24.4152,0.301212,1.5318200000000002,1.76532,5.31904
CROT,17.2031,20.2671,6.63046,7.6070199999999994,18.417,7.720680000000001,2.63143,4.69295,2.58029,17.5883,4.64999
CXCL10,2.29941,0.414279,2.41063,122.946,25.0919,13.1438,49.8271,80.0122,20.0542,44.8489,83.8667
CXCL11,0.642556,0.07331030000000001,0.0,9.78471,4.67742,3.98929,13.9609,5.16683,6.05504,6.8698,1.3225
CXCL13,0.0413495,0.20138,10.4913,37.6351,13.2194,8.68471,13.0693,16.756,0.924701,41.0339,5.602609999999999
CYP4F8,0.048019099999999995,0.0,0.0,0.355451,0.0,0.37554099999999996,0.0,1.23981,0.0,8.548969999999999,0.54584
DBI,412.371,51.5305,99.9534,76.2147,76.507,174.365,98.0767,81.6514,77.3433,94.6861,110.56
DEFB1,3.16262,6.7465399999999995,0.0,1.9851400000000001,0.0,0.35243800000000003,1.7242400000000002,3.2412400000000003,0.254765,39.0385,0.0
DHCR24,38.1374,67.6527,10.5088,32.4208,68.512,29.6213,13.2626,22.1326,41.1448,103.38,10.5851
DUSP5,2.6614299999999997,2.25617,14.5782,8.2184,6.56814,5.9017800000000005,5.49924,6.07051,3.5133400000000004,1.47901,1.8848200000000002
FABP7,2.25652,16.3438,0.0,0.985374,0.0,5.60352,1.9464400000000002,90.0951,0.100483,254.77900000000002,31.3579
FASN,124.609,49.9543,45.8677,9.33763,53.3196,8.586780000000001,63.1845,6.0106,96.6952,13.0917,5.368180000000001
FGFR4,2.32432,0.516594,1.6992900000000002,0.0,0.0,0.8219799999999999,0.9911909999999999,0.572056,0.655992,0.356516,3.41509
FGL2,2.48121,0.393938,12.1398,10.2123,6.8079600000000005,3.83394,22.3538,3.41656,1.62525,10.6796,2.2448200000000003
FOXA1,1.38574,7.66108,22.1995,0.275353,91.4593,0.9985,8.119439999999999,0.420079,0.595121,6.46327,0.252733
FOXC1,9.10755,21.055999999999997,9.456539999999999,43.8821,0.735023,61.5935,8.852730000000001,61.0001,26.9418,17.1276,33.4287
