gene_short_name,V515-06187-A1,TNT-16,TNT-57,TNT-187,TNT-326,TNT-49,17-00097-1_S9_cufflinks,TNT-325,17-00280-7_S4Aligned_cufflinks,17-00101-5_S19Aligned_cufflinks,17-00160-1_S2Aligned_cufflinks
ABCA8,1.07397,16.1221,6.46901,12.5347,0.03846,46.919,2.1075,1.18126,1.9610400000000001,0.969992,0.7198220000000001
ADRA2A,0.196819,1.7823,0.408656,0.06890460000000001,0.917432,0.128019,0.13051500000000002,0.271846,0.330945,0.11788299999999999,0.203424
AKAP12,3.7524300000000004,14.6167,6.26016,10.9667,7.45648,3.20903,1.87044,2.1819599999999997,1.98968,3.1793,1.14141
ALDH3B2,34.613,303.041,0.10081699999999999,7.429460000000001,4.993580000000001,9.3486,8.43554,34.041,75.8959,9.692,5.40626
APOD,101.54799999999999,3948.76,51.8919,32.7622,12.6566,473.105,0.669381,61.196999999999996,25.2137,100.42200000000001,10.1478
ART3,19.2103,0.0,29.1496,3.3322,12.2091,31.5205,4.5019599999999995,0.0,0.025776499999999997,2.1157,5.258319999999999
ASPN,31.1651,169.588,78.5235,55.6868,15.8107,46.012,10.6442,42.7013,12.2085,23.3006,21.9529
AZGP1,64.9749,362.406,118.51799999999999,85.9447,30.6143,53.7874,33.7457,1.1505,140.03,21.4744,45.7678
BLVRB,6.57613,6.560339999999999,4.3314699999999995,2.38092,0.0,0.257732,3.99175,1.8893099999999998,4.51035,1.61289,3.17095
C7,0.29143,16.1138,2.87842,4.16421,6.06215,3.14767,2.0205599999999997,0.823103,1.8111099999999998,0.0133464,0.7452850000000001
CCL5,1.03708,2.45249,3.70974,2.9988599999999996,15.9662,50.3871,0.0,47.0465,0.0,1.7161099999999998,0.0
CD36,36.5005,33.7502,21.4543,36.7609,9.50935,71.9816,29.5541,13.2001,13.3628,9.85445,5.95287
CD52,5.15236,9.981489999999999,16.7951,9.19472,164.90900000000002,92.3369,10.8883,320.42400000000004,23.5318,2.0975200000000003,12.1882
CDC20,19.1111,4.69409,26.4927,15.332,6.93203,4.09511,35.847,10.4861,8.15715,18.1155,12.6869
CHI3L1,52.4824,2.78629,15.99,9.607999999999999,1.96055,14.0802,14.2367,9.58912,3.3229800000000003,5.95113,40.6979
COL2A1,124.822,0.0761304,0.548056,0.771233,5.7244,26.9015,0.21441,0.0,0.019504300000000002,1.56677,0.0209768
COL5A1,145.37,148.389,87.4963,147.105,27.0058,37.8918,99.7165,32.1635,44.028,99.6617,51.4022
COL5A2,202.313,246.925,121.088,314.26599999999996,23.1253,53.004,49.6067,39.9525,82.8314,144.19,114.544
CRAT,3.09639,23.7683,8.625630000000001,6.443,0.143253,1.2801200000000001,8.16269,9.221860000000001,24.1691,1.68144,20.0761
CROT,17.2031,70.0792,4.78488,5.30959,2.16177,0.6217159999999999,4.92995,7.78834,15.8075,13.1921,6.76398
CXCL10,2.29941,2.78132,4.72286,79.7082,56.2198,73.1395,14.6049,85.8427,50.6872,3.2994,31.7238
CXCL11,0.642556,0.439709,0.9768040000000001,15.2041,13.0665,12.7646,2.5685700000000002,3.5587400000000002,10.4707,0.923691,17.1679
CXCL13,0.0413495,0.740487,2.6762200000000003,8.6131,85.4836,61.183,3.01473,47.4504,11.7207,0.491278,5.12899
CYP4F8,0.048019099999999995,1.66215,0.859841,0.301548,0.0,0.0,0.234377,0.0,0.562419,0.0,0.0
DBI,412.371,229.267,123.693,147.524,65.8549,51.5853,170.882,21.2225,128.964,144.903,180.298
DEFB1,3.16262,7.23493,0.23947399999999996,0.744099,0.0,0.0,0.0,50.9421,1.20338,7.1645199999999996,1.3347200000000001
DHCR24,38.1374,160.55,26.688000000000002,19.7136,11.0616,31.3659,44.06100000000001,62.9418,57.3044,68.2719,40.4215
DUSP5,2.6614299999999997,19.7283,2.64648,6.913710000000001,1.6522400000000002,5.478680000000001,3.6152800000000003,4.8256,1.67691,1.50819,0.8976430000000001
FABP7,2.25652,4.11583,33.7576,0.23061199999999998,13.8638,0.829984,0.060764,0.0,2.61417,8.46856,0.256128
FASN,124.609,955.9889999999999,20.7734,41.1579,7.60798,37.1964,57.3003,10.8743,284.185,52.0136,52.2629
FGFR4,2.32432,13.4786,0.19916,3.1471299999999998,0.0,0.0,2.04738,6.602360000000001,7.213310000000001,1.10201,0.592591
FGL2,2.48121,3.3399400000000004,3.20866,4.42777,5.61145,7.103689999999999,2.54605,7.19821,9.03129,1.70668,7.74095
FOXA1,1.38574,106.896,1.82645,1.1465100000000001,9.37556,23.1953,0.09799169999999999,23.6446,166.25599999999997,0.169467,1.38504
FOXC1,9.10755,4.09098,53.8272,34.9737,19.3417,14.3622,65.4708,13.7862,1.5149299999999999,116.096,48.0158
GABRP,8.66089,2.34216,573.122,331.8,493.65,498.221,7.864789999999999,271.08299999999997,5.342890000000001,400.965,347.089
GALNT7,12.4003,103.531,11.9499,13.8611,18.1204,21.4797,7.85755,22.686,58.7644,22.6302,24.7308
GBP1,41.394,76.4035,99.51100000000001,517.396,518.4630000000001,257.26599999999996,84.0119,194.968,101.148,38.8152,183.03400000000002
GCHFR,0.42253100000000005,1.26429,0.167516,0.0,0.0,0.118621,0.42294,0.0,0.7385430000000001,0.259813,0.0872098
GPR87,0.9514879999999999,0.6164390000000001,1.00728,0.828652,0.820931,0.0,0.0,42.6912,0.14515,0.842406,0.0774054
GZMB,1.4986,0.716539,1.4836799999999999,0.52895,4.26578,7.11879,1.86027,14.0912,3.9882400000000002,2.0079700000000003,3.3163400000000003
HGD,4.21735,71.809,13.2817,5.1163300000000005,0.946356,0.0,0.17512,0.0,83.8595,0.573859,0.248937
HTRA1,91.2943,194.898,72.1096,98.4168,7.8475600000000005,33.8866,44.1674,11.640999999999998,47.9654,101.75399999999999,38.5339
IDO1,0.29142399999999996,1.57799,1.98322,26.4344,17.2985,0.588023,4.31044,166.96,4.65914,1.78266,9.38429
IGFBP4,13.3498,5.33575,4.93166,4.454219999999999,1.0725,3.3940099999999997,7.9226399999999995,4.30028,6.40402,10.0909,3.68364
IGHM,55.218999999999994,9.79983,31.8551,10.0265,250.338,353.006,0.0,148.997,125.662,0.0,261.798
IGJ,20.0186,25.0265,40.1732,42.1971,141.02100000000002,545.047,23.1658,45.9523,139.326,23.2122,93.7332
IGKC,182.34599999999998,214.34,1984.64,272.14,5790.14,3743.13,5865.29,1067.08,1796.2,420.755,3271.85
IL23A,0.049007300000000004,0.0,0.0454602,0.28326599999999996,0.0,0.890747,0.0,0.0,0.158848,0.0,0.0419799
IL33,0.8833290000000001,3.71591,0.692623,2.9485900000000003,1.2426,0.0,0.470318,0.101108,0.668787,0.0,0.23683600000000002
INPP4B,37.1722,24.1274,6.03674,18.0585,14.8552,34.4208,25.3966,48.1165,28.0165,3.8836699999999995,7.95597
ITM2A,5.13433,19.3476,23.561,2.13291,2.49321,11.7709,5.86859,3.7050300000000003,17.5325,0.9300889999999999,8.61838
JAM2,11.2143,11.9239,6.3534,9.502369999999999,4.36864,7.401839999999999,2.99247,12.4208,25.3646,5.13911,3.97655
KCNK5,7.320460000000001,0.14138599999999998,1.77673,1.17238,0.357348,0.0,2.19827,1.05113,0.34133600000000003,1.67155,4.97692
KIAA1324,6.46799,96.8405,2.57743,1.36378,11.1553,21.4507,0.46954799999999997,8.68953,106.109,13.6502,0.90376
KMO,1.44589,43.0574,1.47099,5.0830400000000004,8.459719999999999,12.1647,5.2506,0.0,17.2094,3.1722799999999998,3.05037
