gene_short_name,V515-06187-A1,TNT-313,TNT-299,TNT-141,TNT-274,TNT-14,TNT-111,TNT-44,TNT-121,TNT-311,TNT-259
ABCA8,1.07397,11.8392,8.87917,68.4435,1.8778700000000002,1.6867900000000002,14.8562,57.5774,3.9618800000000003,34.8692,7.3788
ADRA2A,0.196819,0.166689,0.321954,1.30754,0.0,0.10451700000000001,1.0391700000000001,0.6270140000000001,0.0,0.0496502,0.062241399999999995
AKAP12,3.7524300000000004,5.92393,8.3169,7.146210000000001,2.2822400000000003,2.1604400000000004,15.7074,29.6051,11.4793,15.4658,10.4078
ALDH3B2,34.613,0.129083,2.22473,2.52334,4.415109999999999,5.56607,575.453,0.0,2.11688,0.5624600000000001,2.39888
APOD,101.54799999999999,68.6262,26.3483,265.92900000000003,1713.18,10.9277,10225.5,551.695,39.2727,582.871,16.1725
ART3,19.2103,5.75635,47.8547,0.0,9.25212,31.6725,0.17538499999999999,17.6012,10.847999999999999,379.806,2.83927
ASPN,31.1651,30.4671,14.6382,101.719,14.8356,9.50099,130.499,37.2942,56.5755,46.0267,59.7246
AZGP1,64.9749,86.0315,144.884,113.574,9.61207,31.8473,1218.82,63.9359,13.4647,580.643,0.0
BLVRB,6.57613,2.56904,1.49672,1.96374,0.0,7.24225,7.4401,2.47625,1.03409,0.5977600000000001,1.7791299999999999
C7,0.29143,2.9121599999999996,4.52315,3.17775,0.905123,0.419171,2.59044,15.2903,0.278673,8.6817,1.07913
CCL5,1.03708,6.95546,6.02102,13.5378,1.5013299999999998,6.555389999999999,1.97053,6.20512,6.49841,2.70085,24.4902
CD36,36.5005,7.603460000000001,80.6752,83.8034,6.41063,19.3488,94.8575,161.29,39.211999999999996,25.2541,36.2403
CD52,5.15236,146.87,14.2911,19.6056,13.366,20.7734,24.4018,76.5111,0.0,21.335,178.9
CDC20,19.1111,4.3525599999999995,4.88095,0.047745800000000005,3.08772,23.4345,3.7378199999999997,6.29946,15.5014,8.48748,10.0606
CHI3L1,52.4824,122.696,21.8619,0.177651,6.41977,14.9398,7.57694,19.8265,13.9052,0.922415,17.9288
COL2A1,124.822,0.48526499999999995,8.712819999999999,0.0,0.114744,0.8622049999999999,0.0,0.369471,20.653000000000002,0.0,0.0
COL5A1,145.37,57.3617,36.7694,76.7943,20.4873,30.3356,219.15400000000002,75.9328,112.066,45.4507,40.4405
COL5A2,202.313,79.4514,49.6448,68.5018,25.2911,32.3981,458.394,135.933,133.695,72.8625,44.153999999999996
CRAT,3.09639,0.906711,4.597519999999999,17.8855,1.1721,12.9929,70.4712,7.360689999999999,5.6090800000000005,0.434016,4.1209
CROT,17.2031,9.1463,13.238,5.49525,2.95221,3.9923599999999997,61.6759,5.748069999999999,9.7,4.08553,13.6541
CXCL10,2.29941,48.9679,37.0993,28.4844,325.168,29.3048,3.96971,56.0996,25.2886,27.689,384.48400000000004
CXCL11,0.642556,3.51615,5.7525699999999995,17.67,35.8203,6.51251,0.353852,1.58942,0.0,5.85182,110.538
CXCL13,0.0413495,64.2703,4.014880000000001,0.0,3.7417,7.50828,23.2391,4.795640000000001,0.0,5.80727,627.493
