gene_short_name,V515-06187-A1,17-00122-1_S1_cufflinks,TNT-328,17-00116-9_S2Aligned_cufflinks,TNT-313,TNT-231,TNT-13,TNT-30,TNT-48,17-00212-8_S3Aligned_cufflinks,TNT-79
ABCA8,1.07397,15.2547,9.23817,140.738,11.8392,3.8827800000000003,26.684,3.5160400000000003,251.734,10.9008,1.8716599999999999
ADRA2A,0.196819,1.06565,0.0,1.49006,0.166689,1.04498,0.0,0.202828,1.7314599999999998,0.804,0.0
AKAP12,3.7524300000000004,3.36502,9.39584,40.9208,5.92393,8.51694,11.3162,9.44357,12.1732,6.45585,1.6442400000000001
ALDH3B2,34.613,19.7483,14.562000000000001,20.2994,0.129083,10.2769,8.65127,10.5998,10.1174,54.5406,41.6244
APOD,101.54799999999999,39.0799,32.4682,620.0830000000001,68.6262,279.533,194.972,78.6344,578.9540000000001,1024.91,9.53523
ART3,19.2103,0.0,13.5651,1.45964,5.75635,0.0,1.79984,2.3747,31.8858,0.0878982,2.56881
ASPN,31.1651,22.2786,15.9623,32.8564,30.4671,29.2722,31.9125,73.809,90.9032,191.273,18.7191
AZGP1,64.9749,21.2686,39.4368,241.997,86.0315,316.875,36.6707,43.5564,83.2889,257.36400000000003,9.81098
BLVRB,6.57613,2.08356,1.26662,2.14395,2.56904,2.59229,0.0,4.9334,2.19929,80.8059,1.2176799999999999
C7,0.29143,16.0706,0.0,53.7412,2.9121599999999996,3.3833699999999998,0.275013,0.511494,34.6236,4.5721099999999995,0.483138
CCL5,1.03708,0.0,1.60917,0.0,6.95546,4.01815,4.13896,4.70011,21.9388,5.79704,2.0161
CD36,36.5005,6.4267199999999995,18.5983,138.951,7.603460000000001,21.4639,57.7532,15.5684,251.09099999999998,59.1195,15.2303
CD52,5.15236,12.6459,0.0,6.29418,146.87,72.6561,17.8491,11.0281,52.2935,31.8435,15.6613
CDC20,19.1111,28.4023,10.2348,0.614254,4.3525599999999995,24.5621,6.74247,5.88238,2.9954,3.74191,16.0607
CHI3L1,52.4824,3.2886599999999997,30.5357,4.8684199999999995,122.696,0.0151373,7.768730000000001,52.7601,7.455139999999999,3.5127800000000002,9.110610000000001
COL2A1,124.822,5.51192,147.203,1.07359,0.48526499999999995,0.111929,1.8373700000000002,0.0929615,9.20578,0.029408999999999998,0.270489
COL5A1,145.37,105.51700000000001,38.532,23.4437,57.3617,87.8761,150.34,179.37900000000002,75.0766,109.637,15.6803
COL5A2,202.313,45.6436,25.6229,53.7108,79.4514,82.9914,118.141,246.265,77.8726,225.09400000000002,28.0294
CRAT,3.09639,3.73345,3.56428,5.8266599999999995,0.906711,4.96534,24.9574,4.45403,4.91709,37.2093,3.8841099999999997
CROT,17.2031,34.0231,8.11488,26.6722,9.1463,10.7887,10.412,9.49973,12.5076,55.8078,16.9931
CXCL10,2.29941,12.7818,8.52238,5.26548,48.9679,39.3975,7.04369,24.6676,14.2373,10.818,88.0438
CXCL11,0.642556,1.42336,0.0,1.43686,3.51615,14.1107,0.0,2.20598,0.0,2.1760200000000003,5.25959
CXCL13,0.0413495,12.3406,0.0,2.66206,64.2703,52.2161,37.576,7.550910000000001,5.16943,16.0517,4.22829
CYP4F8,0.048019099999999995,0.0,0.0,17.0825,0.150132,0.010545,0.0,0.0,2.12906,93.9124,0.0
DBI,412.371,19.3784,61.6366,156.991,139.847,105.985,154.939,185.61,191.773,180.87,202.238
DEFB1,3.16262,1.33079,3.2168400000000004,2.59282,0.9545950000000001,6.56505,1.60599,3.46823,0.0,0.8506879999999999,0.128772
DHCR24,38.1374,65.7614,9.57038,33.11,20.656,52.1513,0.731201,21.093000000000004,10.783,41.4729,30.7697
DUSP5,2.6614299999999997,3.4757800000000003,3.33009,16.320999999999998,7.489269999999999,12.2249,0.046718300000000004,5.77455,4.1079300000000005,2.6576400000000002,1.16378
FABP7,2.25652,0.0,7.262560000000001,0.903434,0.0867112,0.166318,23.0699,4.77493,3.7808900000000003,159.575,3.73264
FASN,124.609,97.7484,4.8363,21.7879,2.98044,11.447000000000001,2.66772,33.5896,12.8,309.301,15.2351
FGFR4,2.32432,3.56694,0.0,0.7061729999999999,0.253247,0.0,0.198193,2.3529,0.136404,7.30337,0.43591199999999997
FGL2,2.48121,3.0994599999999997,13.4369,7.72553,5.9402099999999995,11.6829,2.3628299999999998,3.95632,8.078710000000001,6.500380000000001,2.55079
