gene_short_name,V515-06187-A1,TNT-275,TNT-76,TNT-3,TNT-289,TNT-81,TNT-58,17-00270-5_S14Aligned_cufflinks,17-00258-5_S5Aligned_cufflinks,TNT-133,TNT-41
ABCA8,1.07397,4.6609,1.7120799999999998,10.6347,7.5326,1.02282,0.0,2.10963,6.53624,75.7969,13.0061
ADRA2A,0.196819,0.629714,0.216004,0.0,0.0190859,0.0734277,0.0,0.785147,0.656837,0.598187,1.04865
AKAP12,3.7524300000000004,4.96091,4.07696,4.93901,16.4518,3.7395099999999997,6.38661,3.9364199999999996,3.78971,6.895230000000001,7.11901
ALDH3B2,34.613,4.76105,1.20211,0.0,0.340181,3.9866300000000003,3.93287,173.954,0.884181,15.4526,1.4853
APOD,101.54799999999999,27.9631,226.99099999999999,4.43815,86.5343,14.2743,100.74600000000001,1702.36,70.1232,152.924,56.6557
ART3,19.2103,30.6309,61.9652,0.0,11.7816,495.44800000000004,0.0,0.0,93.7437,16.1857,59.7037
ASPN,31.1651,30.936,61.5295,66.6747,99.79700000000001,10.681,46.5225,97.1702,3.7960000000000003,99.3177,247.642
AZGP1,64.9749,0.675944,279.97,0.147179,22.8969,482.125,3.7303599999999997,433.668,121.947,81.6664,16.7207
BLVRB,6.57613,0.581462,2.58846,4.02661,1.2233100000000001,1.83979,0.152304,17.5144,2.68466,3.9630300000000003,12.3493
C7,0.29143,4.90062,0.703238,0.153097,2.7102,0.195679,0.0578067,0.913499,10.2181,10.3059,0.657578
CCL5,1.03708,15.9024,10.1325,2.4428900000000002,1.12449,8.62397,0.08316989999999999,0.0,0.0,11.4843,16.4867
CD36,36.5005,28.1601,9.871830000000001,530.381,18.9896,13.4593,8.52927,5.78937,28.5228,123.501,79.5482
CD52,5.15236,41.958,16.4339,73.6417,1.74964,16.5691,0.0,25.8947,18.8695,56.1498,49.562
CDC20,19.1111,12.0694,20.9927,14.1118,40.1167,22.4607,10.7521,2.98538,23.2123,9.27248,9.8534
CHI3L1,52.4824,67.2472,11.3194,0.522526,14.14,147.222,0.872301,16.8958,33.0192,0.874603,62.4796
COL2A1,124.822,0.23309499999999997,8.18038,9.40723,47.6574,0.299693,2.1362,0.0,1.45759,0.0,31.3989
COL5A1,145.37,48.0836,128.055,158.422,387.034,24.3791,9.41421,159.398,34.1131,68.0468,194.514
COL5A2,202.313,82.2014,199.463,712.612,272.664,58.7019,34.2399,332.476,47.3189,83.052,290.284
CRAT,3.09639,2.18717,7.599480000000001,6.43808,4.72182,2.0533799999999998,0.44309,35.1876,7.21592,2.03308,10.8437
CROT,17.2031,6.23139,11.5114,11.175,11.3478,4.48754,13.287,61.1756,10.1169,6.0225,4.9685
CXCL10,2.29941,69.4529,59.3069,7.66528,5.7301400000000005,121.374,0.0,47.1377,16.6569,6.53556,100.35799999999999
CXCL11,0.642556,15.7259,14.2748,0.457688,0.569746,8.79376,0.0,17.4057,7.99702,0.0,17.9766
CXCL13,0.0413495,95.0912,23.8366,3.77996,1.2081899999999999,9.30649,0.583879,13.6215,2.88489,4.97297,9.70889
CYP4F8,0.048019099999999995,0.043461400000000004,0.0,0.0,0.773279,0.0,0.0,2.87166,0.0,0.0,0.33720500000000003
DBI,412.371,83.2867,80.9435,204.278,82.4001,212.48,221.39700000000002,458.19199999999995,166.079,172.40099999999998,121.199
DEFB1,3.16262,0.0,0.967678,0.0,1.06093,0.684066,0.0,2.34702,1.93523,0.41695600000000005,1.04105
DHCR24,38.1374,3.7026199999999996,38.0718,14.8069,17.0317,34.6919,8.594660000000001,130.19799999999998,27.1696,64.1324,16.0402
DUSP5,2.6614299999999997,3.8547300000000004,3.34565,3.8180300000000003,3.5225400000000002,2.93328,0.667679,3.94306,2.8326,0.0,6.1327300000000005
FABP7,2.25652,2.26773,0.09458,0.0,13.5345,0.310352,5.85369,202.65,2.60242,0.0,2.74168
FASN,124.609,2.4485200000000003,28.3466,17.1223,7.68728,33.2144,12.6822,778.4830000000001,68.8053,36.0783,9.581660000000001
FGFR4,2.32432,0.464383,3.80263,0.7483029999999999,5.34385,2.7362900000000003,2.1019400000000004,0.55462,0.316761,0.416916,2.54454
FGL2,2.48121,6.60571,6.1744900000000005,7.6752199999999995,3.17752,4.93832,5.94705,10.955,6.2340599999999995,10.1991,5.03298
FOXA1,1.38574,2.06513,3.33958,0.45874799999999993,0.742095,0.618512,0.0,98.2355,5.23722,101.26700000000001,0.137919
FOXC1,9.10755,35.8189,12.8646,14.4609,60.9547,40.556999999999995,5.94384,1.00065,38.8687,0.0,29.7138
GABRP,8.66089,2.98012,1458.83,0.10636400000000001,23.4685,181.197,153.08700000000002,1.14783,475.426,0.0,693.341
