gene_short_name,V515-06187-A1,TNT-54,TNT-158,17-00174-6_S15Aligned_cufflinks,TNT-217,17-00163-6_S7Aligned_cufflinks,TNT-310,TNT-328,TNT-56,TNT-240,TNT-318
ABCA8,1.07397,58.0877,8.55308,1.7572400000000001,13.4229,0.7701479999999999,1.50603,9.23817,53.5647,4.2240400000000005,1.6026799999999999
ADRA2A,0.196819,0.409427,0.0,0.124234,1.51081,0.0657186,0.0916352,0.0,0.818513,0.0,0.37137
AKAP12,3.7524300000000004,14.9386,1.99925,3.4236699999999995,11.1246,1.2357,5.4899,9.39584,7.0299,4.96255,7.96738
ALDH3B2,34.613,9.506730000000001,0.0,14.6796,0.0,2.97506,18.7299,14.562000000000001,2.74039,0.0,1.0129299999999999
APOD,101.54799999999999,745.2,46.1631,20.8128,29.5742,57.5143,9.0727,32.4682,3331.85,0.97078,29.2845
ART3,19.2103,3.22085,7.3933800000000005,9.87219,9.09987,80.791,0.270129,13.5651,4.69583,267.907,123.448
ASPN,31.1651,17.7205,132.45600000000002,4.02062,13.1715,20.2771,70.5823,15.9623,27.5234,11.6138,98.3062
AZGP1,64.9749,84.4769,26.0583,130.35299999999998,0.26194,59.9678,4.2314300000000005,39.4368,112.811,1.1711799999999999,1.34766
BLVRB,6.57613,1.03403,8.05673,6.01812,0.6578510000000001,8.241610000000001,1.0593700000000001,1.26662,1.36521,1.01991,2.3151200000000003
C7,0.29143,70.8319,5.04266,4.77522,94.6797,1.01661,2.8178799999999997,0.0,9.02806,0.303186,0.16028199999999998
CCL5,1.03708,27.218000000000004,14.6772,3.0319599999999998,21.6272,0.0,16.908,1.60917,15.388,56.2359,17.1213
CD36,36.5005,53.4162,24.866,93.6689,26.1072,19.9552,12.1829,18.5983,1102.89,0.331216,44.9068
CD52,5.15236,206.158,56.19,12.6645,592.516,4.53303,40.1669,0.0,120.281,225.58700000000002,94.2685
CDC20,19.1111,3.85495,21.2697,11.3567,11.5408,33.2568,24.5544,10.2348,15.8234,1.93134,13.9145
CHI3L1,52.4824,7.7664,37.3911,205.727,1.3713799999999998,183.889,23.7297,30.5357,2.97668,12.467,68.8217
COL2A1,124.822,0.348718,69.285,0.0402543,1.01694,8.5081,0.467588,147.203,0.0649235,12.0136,3.97345
COL5A1,145.37,20.0147,62.7231,116.103,14.6414,40.8437,116.302,38.532,56.8638,6.52259,137.63
