gene_short_name,V515-06187-A1,17-00109-8_S14Aligned_cufflinks,TNT-271,TNT-192,TNT-272,TNT-3,TNT-41,TNT-326,17-00107-9_S10Aligned_cufflinks,TNT-299,TNT-234
ABCA8,1.07397,94.4592,19.3019,119.155,4.83654,10.6347,13.0061,0.03846,54.7654,8.87917,4.492780000000001
ADRA2A,0.196819,1.63707,0.10425,0.8013359999999999,0.0985654,0.0,1.04865,0.917432,2.2659,0.321954,0.631742
AKAP12,3.7524300000000004,66.8964,9.75869,35.9662,5.09248,4.93901,7.11901,7.45648,17.232,8.3169,13.1758
ALDH3B2,34.613,1.05881,0.048503899999999996,68.1928,9.05696,0.0,1.4853,4.993580000000001,1.86159,2.22473,1.06207
APOD,101.54799999999999,86.1078,18.8019,11869.7,49.2309,4.43815,56.6557,12.6566,39.7176,26.3483,158.972
ART3,19.2103,0.0,8.40444,0.0,2.09522,0.0,59.7037,12.2091,0.0,47.8547,45.8656
ASPN,31.1651,162.196,13.9833,142.614,20.8546,66.6747,247.642,15.8107,238.97400000000002,14.6382,10.3409
AZGP1,64.9749,24.7804,22.8252,771.028,12.4713,0.147179,16.7207,30.6143,22.0611,144.884,199.49200000000002
BLVRB,6.57613,8.9017,2.31812,5.36615,2.17826,4.02661,12.3493,0.0,3.8647,1.49672,5.22607
C7,0.29143,5.02005,16.2719,4.10235,4.18377,0.153097,0.657578,6.06215,2.4199599999999997,4.52315,8.1721
CCL5,1.03708,22.5121,5.6622,18.4049,2.47439,2.4428900000000002,16.4867,15.9662,0.0,6.02102,20.0857
CD36,36.5005,142.11700000000002,17.8922,134.586,32.304,530.381,79.5482,9.50935,34.8926,80.6752,6.57482
CD52,5.15236,25.0099,56.5306,123.244,23.3953,73.6417,49.562,164.90900000000002,30.9282,14.2911,203.87400000000002
CDC20,19.1111,0.0,15.4698,4.20426,9.27132,14.1118,9.8534,6.93203,5.44464,4.88095,15.2527
CHI3L1,52.4824,0.551848,2.46457,0.0,32.4326,0.522526,62.4796,1.96055,9.49815,21.8619,6.94574
COL2A1,124.822,0.0370783,2.82534,0.0,0.0828534,9.40723,31.3989,5.7244,0.12629100000000001,8.712819999999999,14.9827
COL5A1,145.37,246.791,17.2159,49.6839,51.0628,158.422,194.514,27.0058,413.834,36.7694,85.51700000000001
COL5A2,202.313,326.53,18.8124,216.858,69.0274,712.612,290.284,23.1253,461.219,49.6448,97.4348
CRAT,3.09639,11.3141,3.4731,12.229000000000001,1.55397,6.43808,10.8437,0.143253,25.2676,4.597519999999999,3.60935
CROT,17.2031,48.7835,12.1045,70.1636,7.78673,11.175,4.9685,2.16177,6.63046,13.238,12.6402
CXCL10,2.29941,1.17114,37.9725,10.1642,24.671999999999997,7.66528,100.35799999999999,56.2198,2.41063,37.0993,33.8412
CXCL11,0.642556,5.74158,13.7021,25.8333,3.9501199999999996,0.457688,17.9766,13.0665,0.0,5.7525699999999995,17.1314
CXCL13,0.0413495,0.0,40.998000000000005,10.7731,5.80509,3.77996,9.70889,85.4836,10.4913,4.014880000000001,25.2858
CYP4F8,0.048019099999999995,8.00879,3.5366800000000005,0.0,0.0274281,0.0,0.33720500000000003,0.0,0.0,2.01316,1.63133
DBI,412.371,42.2468,128.253,542.624,138.503,204.278,121.199,65.8549,99.9534,210.795,124.31700000000001
DEFB1,3.16262,0.0,3.92841,3.86087,15.2837,0.0,1.04105,0.0,0.0,1.58477,0.591504
DHCR24,38.1374,2.16125,7.864560000000001,49.4777,24.5306,14.8069,16.0402,11.0616,10.5088,7.01083,24.5526
DUSP5,2.6614299999999997,21.4802,3.62355,10.3889,3.1821200000000003,3.8180300000000003,6.1327300000000005,1.6522400000000002,14.5782,4.161490000000001,3.12875
FABP7,2.25652,2.38455,5.5578199999999995,13.1366,7.265910000000001,0.0,2.74168,13.8638,0.0,8.852910000000001,0.0
FASN,124.609,7.55502,6.34887,26.719,8.138639999999999,17.1223,9.581660000000001,7.60798,45.8677,2.40165,35.273
FGFR4,2.32432,0.0,2.49633,1.14408,0.174625,0.7483029999999999,2.54454,0.0,1.6992900000000002,2.10462,0.773005
FGL2,2.48121,7.85378,6.751810000000001,8.68063,3.3796800000000005,7.6752199999999995,5.03298,5.61145,12.1398,4.40214,6.32909
FOXA1,1.38574,12.0454,4.95611,55.0153,1.46699,0.45874799999999993,0.137919,9.37556,22.1995,1.74342,5.27579
FOXC1,9.10755,4.88963,67.9424,3.6437199999999996,33.4799,14.4609,29.7138,19.3417,9.456539999999999,41.9665,14.6341
GABRP,8.66089,47.4048,86.5647,53.2833,664.5930000000001,0.10636400000000001,693.341,493.65,16.6435,3.8757300000000003,1028.27
GALNT7,12.4003,7.85692,16.9407,58.9319,16.4421,30.9222,14.8009,18.1204,30.8292,14.0614,18.4391
GBP1,41.394,226.628,131.35,185.85299999999998,155.75799999999998,25.9257,198.987,518.4630000000001,81.1056,101.95700000000001,225.238
GCHFR,0.42253100000000005,0.0,0.113979,0.9483219999999999,0.377754,0.0,1.48478,0.0,0.0,0.0,0.27570500000000003
GPR87,0.9514879999999999,0.0,3.4406199999999996,0.0,2.1381900000000003,0.823973,1.2325700000000002,0.820931,0.0,3.18233,2.69066
GZMB,1.4986,8.07085,7.384860000000001,2.56301,2.63024,0.08602,2.83215,4.26578,1.17603,1.1810200000000002,11.2726
HGD,4.21735,0.0,29.4843,25.9325,0.707048,2.09291,2.83641,0.946356,0.0,5.35348,1.4209200000000002
HTRA1,91.2943,154.797,12.6539,118.212,34.512,135.755,105.02,7.8475600000000005,226.924,29.4327,33.9002
IDO1,0.29142399999999996,0.0,23.1689,3.9493,4.83116,0.955533,11.853,17.2985,0.0,5.30639,12.2501
IGFBP4,13.3498,20.7561,0.158976,3.45961,1.16592,1.3785,6.11079,1.0725,63.5614,0.510139,6.813
IGHM,55.218999999999994,0.0,56.023,67.8109,17.8612,2.2694099999999997,119.191,250.338,119.759,3.53685,185.139
