gene_short_name,V515-06187-A1,TNT-187,TNT-271,17-00118-2_S5Aligned_cufflinks,17-00271-8_S16Aligned_cufflinks,17-00258-5_S5Aligned_cufflinks,TNT-166,17-00283-0_S6Aligned_cufflinks,17-00105-7_S10_cufflinks,TNT-296,17-00112-1_S7_cufflinks
ABCA8,1.07397,12.5347,19.3019,24.4092,43.1719,6.53624,8.041939999999999,13.7512,15.2433,12.0717,0.0
ADRA2A,0.196819,0.06890460000000001,0.10425,3.19406,3.57135,0.656837,0.17244400000000001,0.8419840000000001,1.61281,0.51861,0.40375500000000003
AKAP12,3.7524300000000004,10.9667,9.75869,14.0568,19.8129,3.78971,11.4176,12.1297,20.4997,3.8555,1.65867
ALDH3B2,34.613,7.429460000000001,0.048503899999999996,3.2972599999999996,111.376,0.884181,11.936,1.86877,2.3132599999999996,2.50943,5.14396
APOD,101.54799999999999,32.7622,18.8019,185.233,1551.18,70.1232,59.2515,91.0254,82.3389,16.3223,1.08372
ART3,19.2103,3.3322,8.40444,0.0,1.09477,93.7437,20.1966,8.68211,0.37242600000000003,4.89082,24.2354
ASPN,31.1651,55.6868,13.9833,16.7672,74.2365,3.7960000000000003,58.4273,364.705,41.4929,13.9013,10.7154
AZGP1,64.9749,85.9447,22.8252,72.8132,545.611,121.947,279.16200000000003,14.9506,5.05436,0.852334,4.528980000000001
BLVRB,6.57613,2.38092,2.31812,1.8396400000000002,20.7679,2.68466,3.27208,9.71763,2.24939,0.378983,5.08205
C7,0.29143,4.16421,16.2719,24.8705,53.4988,10.2181,1.81001,13.6514,18.676,12.4669,0.24694699999999997
CCL5,1.03708,2.9988599999999996,5.6622,3.56215,8.84458,0.0,2.824,12.2628,5.25453,2.0144,5.41056
CD36,36.5005,36.7609,17.8922,119.60700000000001,333.499,28.5228,87.4212,257.01,26.3072,18.1203,4.14895
CD52,5.15236,9.19472,56.5306,2.24641,25.8897,18.8695,16.3847,72.2506,2.1478599999999997,23.3851,9.67866
CDC20,19.1111,15.332,15.4698,0.0,2.3126700000000002,23.2123,15.1124,5.4295,2.38084,21.6756,28.2348
CHI3L1,52.4824,9.607999999999999,2.46457,12.7697,15.912,33.0192,33.8687,65.1865,4.30004,10.3386,38.8357
COL2A1,124.822,0.771233,2.82534,0.0,2.00287,1.45759,26.8688,0.056947300000000006,0.613052,0.27657800000000005,6.8563600000000005
COL5A1,145.37,147.105,17.2159,52.95,124.007,34.1131,226.456,210.984,145.623,16.8683,33.8627
COL5A2,202.313,314.26599999999996,18.8124,24.6562,327.722,47.3189,340.56199999999995,460.01300000000003,236.74099999999999,13.0316,43.6341
CRAT,3.09639,6.443,3.4731,10.0312,17.4382,7.21592,7.4177800000000005,5.89197,10.8298,1.49166,6.986669999999999
CROT,17.2031,5.30959,12.1045,11.6213,30.4582,10.1169,5.9184,10.4782,13.6305,21.9133,2.18058
CXCL10,2.29941,79.7082,37.9725,3.6803,25.2463,16.6569,11.8491,25.8238,3.5350699999999997,12.8441,6.5941399999999994
CXCL11,0.642556,15.2041,13.7021,0.0,9.27016,7.99702,4.78148,9.316130000000001,1.68925,2.58412,2.5440099999999997
CXCL13,0.0413495,8.6131,40.998000000000005,0.0,14.9373,2.88489,2.4597900000000004,19.3527,1.16042,12.7154,2.94027
CYP4F8,0.048019099999999995,0.301548,3.5366800000000005,0.0,1.0552,0.0,0.0,0.0,0.0,0.800571,0.0
DBI,412.371,147.524,128.253,19.5872,474.352,166.079,270.719,251.488,24.5286,92.3906,126.042
DEFB1,3.16262,0.744099,3.92841,0.0,3.06845,1.93523,0.57757,1.62226,0.0,0.186356,0.655946
DHCR24,38.1374,19.7136,7.864560000000001,14.4419,118.10799999999999,27.1696,90.6298,20.2387,10.2971,7.1537,17.7634
DUSP5,2.6614299999999997,6.913710000000001,3.62355,11.1119,8.58584,2.8326,7.79961,6.05483,7.9805600000000005,7.56295,2.17358
FABP7,2.25652,0.23061199999999998,5.5578199999999995,0.428058,220.93,2.60242,4.6843,2.42951,0.132922,41.4076,1.26749
