gene_short_name,V515-06187-A1,17-00103-7_S3Aligned_cufflinks,17-00283-0_S6Aligned_cufflinks,TNT-83,TNT-270,17-00157-0_S11Aligned_cufflinks,TNT-79,TNT-234,TNT-92,TNT-56,TNT-94
ABCA8,1.07397,17.5334,13.7512,5.2367099999999995,7.25541,14.9899,1.8716599999999999,4.492780000000001,32.1067,53.5647,2.8494900000000003
ADRA2A,0.196819,1.10499,0.8419840000000001,0.048419699999999996,0.416253,0.9286280000000001,0.0,0.631742,0.187864,0.818513,0.0
AKAP12,3.7524300000000004,7.264939999999999,12.1297,10.1537,6.02093,11.8446,1.6442400000000001,13.1758,5.51587,7.0299,20.2867
ALDH3B2,34.613,4.13598,1.86877,11.9552,97.5075,2.39375,41.6244,1.06207,8.09628,2.74039,22.8759
APOD,101.54799999999999,23.9471,91.0254,45.576,7752.41,50.4508,9.53523,158.972,227.12400000000002,3331.85,147.095
ART3,19.2103,8.81953,8.68211,1.52685,0.27854,0.291602,2.56881,45.8656,1.03436,4.69583,22.2765
ASPN,31.1651,75.8475,364.705,19.273,10.0964,27.6337,18.7191,10.3409,108.54700000000001,27.5234,57.3841
AZGP1,64.9749,2.74417,14.9506,89.7751,693.581,3.87216,9.81098,199.49200000000002,23.496,112.811,70.096
BLVRB,6.57613,4.59856,9.71763,6.63001,2.58756,4.4324900000000005,1.2176799999999999,5.22607,2.3271,1.36521,1.2002899999999999
C7,0.29143,3.04093,13.6514,1.0988,8.16232,5.99394,0.483138,8.1721,5.15895,9.02806,0.887843
CCL5,1.03708,0.0,12.2628,8.35195,1.34774,0.0,2.0161,20.0857,5.3861,15.388,4.1359900000000005
CD36,36.5005,25.8122,257.01,764.051,26.5814,149.636,15.2303,6.57482,13.668,1102.89,22.7489
CD52,5.15236,22.1463,72.2506,28.8448,16.3111,2.70915,15.6613,203.87400000000002,51.077,120.281,0.0
CDC20,19.1111,10.9556,5.4295,6.66027,4.4109300000000005,14.3517,16.0607,15.2527,2.62069,15.8234,6.503340000000001
CHI3L1,52.4824,49.4244,65.1865,3.39355,1.0985,45.5875,9.110610000000001,6.94574,93.8031,2.97668,2.53769
COL2A1,124.822,0.114516,0.056947300000000006,0.13314700000000002,0.101651,114.78299999999999,0.270489,14.9827,0.14571900000000002,0.0649235,6.00303
COL5A1,145.37,134.716,210.984,51.9884,51.6893,174.977,15.6803,85.51700000000001,32.6411,56.8638,28.5161
COL5A2,202.313,139.918,460.01300000000003,109.75200000000001,47.358999999999995,163.721,28.0294,97.4348,57.8362,67.1142,26.9307
CRAT,3.09639,7.029260000000001,5.89197,9.24005,11.3929,4.3305,3.8841099999999997,3.60935,5.01356,1.48946,8.31426
CROT,17.2031,9.5261,10.4782,16.4538,103.521,4.56994,16.9931,12.6402,13.2484,24.9742,7.724880000000001
CXCL10,2.29941,34.2045,25.8238,54.7547,2.65309,2.0649,88.0438,33.8412,60.784,383.87300000000005,20.6893
CXCL11,0.642556,3.2623,9.316130000000001,29.7078,1.01607,0.506209,5.25959,17.1314,3.28281,91.8946,4.12924
CXCL13,0.0413495,18.8237,19.3527,20.3493,36.615,4.07947,4.22829,25.2858,10.8363,24.9641,0.0
CYP4F8,0.048019099999999995,0.0,0.0,9.35929,3.49045,0.0,0.0,1.63133,0.0470314,0.0,0.0
DBI,412.371,71.6972,251.488,121.336,770.5239999999999,133.718,202.238,124.31700000000001,62.0434,601.0269999999999,186.812
DEFB1,3.16262,0.0,1.62226,0.0,2.29778,1.31565,0.128772,0.591504,6.211,7.80312,0.0
DHCR24,38.1374,43.1474,20.2387,75.9645,58.1848,36.7396,30.7697,24.5526,18.6696,14.4239,5.51588
DUSP5,2.6614299999999997,3.9232099999999996,6.05483,14.2512,9.28277,7.80812,1.16378,3.12875,7.785639999999999,8.5035,11.9441
FABP7,2.25652,0.0,2.42951,0.405342,61.6315,19.8938,3.73264,0.0,15.3098,0.131606,234.22099999999998
FASN,124.609,48.321000000000005,53.9528,155.987,24.5049,77.9457,15.2351,35.273,3.44193,1.08924,12.7001
FGFR4,2.32432,1.37858,0.225221,16.3501,0.399559,0.9193459999999999,0.43591199999999997,0.773005,0.5438390000000001,0.0,0.0
FGL2,2.48121,12.1423,18.1999,5.12706,3.01475,4.94528,2.55079,6.32909,13.8813,10.4282,4.0132900000000005
FOXA1,1.38574,4.26885,0.742325,121.24600000000001,166.612,2.59678,0.497145,5.27579,4.61343,94.0994,52.9129
FOXC1,9.10755,16.9357,11.5344,0.746015,1.0739,22.169,17.57,14.6341,15.6674,3.08754,8.84632
