gene_short_name,V515-06187-A1,TNT-14,TNT-8,TNT-141,TNT-20,TNT-304,TNT-132,17-00100-2_S17Aligned_cufflinks,TNT-62,17-00280-7_S4Aligned_cufflinks,TNT-177
ABCA8,1.07397,1.6867900000000002,21.1353,68.4435,5.37171,3.65161,13.1009,2.66909,6.7904800000000005,1.9610400000000001,9.29659
ADRA2A,0.196819,0.10451700000000001,0.39815700000000004,1.30754,0.689524,0.0,0.0,0.798061,0.33839400000000003,0.330945,0.268389
AKAP12,3.7524300000000004,2.1604400000000004,2.99765,7.146210000000001,7.3684899999999995,1.8245099999999999,10.4829,2.76503,11.6889,1.98968,2.95332
ALDH3B2,34.613,5.56607,2.43056,2.52334,119.29899999999999,1.69334,14.3204,8.7501,0.22072399999999998,75.8959,8.06703
APOD,101.54799999999999,10.9277,223.767,265.92900000000003,62.0416,171.87900000000002,905.295,62.3337,305.796,25.2137,139.493
ART3,19.2103,31.6725,117.309,0.0,3.30585,181.128,0.0,1.8053599999999999,30.5461,0.025776499999999997,4.00471
ASPN,31.1651,9.50099,38.9421,101.719,256.86400000000003,54.125,168.678,28.774,53.1139,12.2085,37.577
AZGP1,64.9749,31.8473,95.0087,113.574,356.51599999999996,300.948,66.7659,6.16124,169.28900000000002,140.03,95.197
BLVRB,6.57613,7.24225,1.6915200000000001,1.96374,3.05144,4.18302,5.60583,1.9429400000000001,2.32839,4.51035,3.74146
C7,0.29143,0.419171,0.131227,3.17775,3.58075,1.8841599999999998,39.2885,1.22548,0.517314,1.8111099999999998,0.643378
CCL5,1.03708,6.555389999999999,55.7447,13.5378,2.0571,9.38296,37.3394,10.7786,6.883839999999999,0.0,7.50898
CD36,36.5005,19.3488,30.3092,83.8034,45.423,40.2595,220.64,9.62158,14.0796,13.3628,57.821000000000005
CD52,5.15236,20.7734,50.9935,19.6056,11.4556,85.9483,145.50799999999998,8.39226,22.6616,23.5318,35.5903
CDC20,19.1111,23.4345,8.34843,0.047745800000000005,6.79373,16.8101,1.11341,16.0755,14.1862,8.15715,29.8034
CHI3L1,52.4824,14.9398,265.642,0.177651,7.92085,5.51471,0.735538,6.07407,18.4108,3.3229800000000003,11.0398
COL2A1,124.822,0.8622049999999999,82.9299,0.0,0.442754,219.15099999999998,0.0,1.0013,68.7017,0.019504300000000002,246.99099999999999
COL5A1,145.37,30.3356,39.1658,76.7943,220.455,19.8955,86.3879,75.7083,60.9466,44.028,179.114
COL5A2,202.313,32.3981,37.0824,68.5018,493.81699999999995,47.714,115.257,115.303,69.9364,82.8314,152.07399999999998
CRAT,3.09639,12.9929,6.769639999999999,17.8855,3.8049199999999996,1.28039,49.512,1.6138700000000001,2.38769,24.1691,0.280142
CROT,17.2031,3.9923599999999997,4.73515,5.49525,42.461000000000006,4.937469999999999,76.9528,12.8803,6.43286,15.8075,10.992
CXCL10,2.29941,29.3048,179.872,28.4844,7.829039999999999,191.918,60.3684,33.681,48.9493,50.6872,36.2774
CXCL11,0.642556,6.51251,6.863389999999999,17.67,3.5510699999999997,27.7435,0.8091119999999999,13.7347,6.47729,10.4707,1.8448200000000001
CXCL13,0.0413495,7.50828,9.364989999999999,0.0,35.8027,38.1041,55.4755,12.9616,19.8752,11.7207,0.0
CYP4F8,0.048019099999999995,0.0,1.05944,0.0,14.2902,0.0,6.695710000000001,0.0,0.46795200000000003,0.562419,2.7660400000000003
DBI,412.371,145.792,205.30599999999998,89.2729,327.348,151.89700000000002,281.14,82.3534,120.785,128.964,138.371
DEFB1,3.16262,2.8024400000000003,0.372892,0.0,10.0555,3.25182,5.28935,2.1062,0.0,1.20338,0.0
DHCR24,38.1374,86.3851,13.1796,49.9297,97.5112,9.19186,36.6759,60.8572,18.6129,57.3044,18.1352
DUSP5,2.6614299999999997,6.16071,6.2158,20.0687,14.6225,0.5457,10.068,2.8738,3.2934900000000003,1.67691,9.42159
FABP7,2.25652,1.2532,10.3147,0.0,1157.06,18.7847,0.260094,10.515999999999998,49.2833,2.61417,9.038260000000001
FASN,124.609,69.7638,14.5119,74.7024,21.9527,2.77579,209.081,77.1645,9.07795,284.185,22.3397
FGFR4,2.32432,0.547024,2.5085599999999997,0.0,0.45645600000000003,0.0,12.2067,1.22252,1.12382,7.213310000000001,4.81442
FGL2,2.48121,3.2164200000000003,6.19449,5.29114,2.6246,4.1749,8.49231,8.12208,6.69295,9.03129,3.7914
FOXA1,1.38574,0.205656,0.161866,208.476,30.6374,2.8839599999999996,88.9966,0.46939899999999996,5.66134,166.25599999999997,7.3197
FOXC1,9.10755,32.1182,26.6282,0.0,3.6198699999999997,23.4572,2.14003,88.3177,32.0002,1.5149299999999999,108.721
GABRP,8.66089,841.158,672.327,29.198,1.24448,963.3739999999999,21.6841,227.37099999999998,410.733,5.342890000000001,602.953
GALNT7,12.4003,7.97859,18.8899,26.2825,64.223,22.0505,29.4882,18.5846,12.125,58.7644,5.39991
GBP1,41.394,144.463,109.555,80.0908,59.1961,130.41299999999998,119.359,194.71900000000002,540.702,101.148,153.465
GCHFR,0.42253100000000005,0.0,0.0,0.0,0.276117,0.0,0.27118200000000003,0.19724,0.08474169999999999,0.7385430000000001,0.0
GPR87,0.9514879999999999,0.9581959999999999,0.0,1.5469700000000002,11.7334,11.4268,7.79938,0.9885799999999999,1.6389799999999999,0.14515,8.35425
GZMB,1.4986,2.58473,4.6982,0.8169270000000001,0.237031,2.90341,31.8713,8.62832,6.41301,3.9882400000000002,1.7166
HGD,4.21735,0.5958399999999999,0.0,28.3891,7.81192,0.424599,10.573,0.449058,3.7083,83.8595,0.0
HTRA1,91.2943,16.6235,19.4989,57.1879,226.52900000000002,30.6134,81.7669,55.8889,37.4484,47.9654,78.6975
IDO1,0.29142399999999996,5.88304,56.6511,0.0,1.62899,6.730410000000001,25.0906,48.9137,33.6168,4.65914,10.2732
IGFBP4,13.3498,2.86242,3.1655900000000003,2.98923,2.1182,0.532935,7.65827,18.1202,0.729982,6.40402,9.74421
IGHM,55.218999999999994,144.626,109.855,32.3916,3.8992699999999996,58.2375,172.449,0.0,1047.04,125.662,14.0452
IGJ,20.0186,39.4167,60.6776,151.69299999999998,3.56719,358.417,370.1,238.87599999999998,377.01599999999996,139.326,44.6267
IGKC,182.34599999999998,9184.18,695.666,368.829,48.9523,2858.74,1759.1,6672.11,9856.55,1796.2,102.77600000000001
IL23A,0.049007300000000004,0.0,0.0,0.0,0.09868489999999999,0.20618899999999998,0.0,0.209331,0.264702,0.158848,0.0
IL33,0.8833290000000001,0.45888599999999996,0.914559,2.97647,10.6749,0.159485,7.50391,0.665625,0.178782,0.668787,0.0
INPP4B,37.1722,12.2175,4.79361,49.4555,100.885,7.3277,53.3265,10.2353,13.0048,28.0165,1.63841
ITM2A,5.13433,4.7240400000000005,2.28009,0.0,9.31718,14.73,144.04399999999998,8.71832,10.9137,17.5325,0.0
JAM2,11.2143,2.3709700000000002,7.85367,2.19326,7.333810000000001,3.37066,10.4549,8.92198,5.82519,25.3646,0.0
KCNK5,7.320460000000001,1.8995,1.41812,0.0817072,0.0980816,0.620442,0.0,0.700376,1.83848,0.34133600000000003,9.51881
KIAA1324,6.46799,0.938493,21.9507,24.0352,31.418000000000003,17.9592,26.2765,8.7735,10.6981,106.109,52.1132
KMO,1.44589,10.7046,14.9334,13.9778,14.145999999999999,5.78913,42.1064,6.65857,4.93658,17.2094,1.26288
KRT14,118.37100000000001,2.10125,1.8267400000000003,19.0054,210.06099999999998,8.99563,18.8049,1582.72,234.524,20.0869,321.084
KRT16,91.0343,24.2042,38.1514,0.0,1116.79,29.6355,2.54488,577.869,51.2569,0.9753379999999999,110.288
KRT17,105.34700000000001,48.217,13.2012,3.52294,49.2694,10.112,15.6965,905.3480000000001,248.891,40.3273,538.0169999999999
KRT6A,54.2242,10.655999999999999,16.528,20.8774,2374.3,1.43897,0.053393600000000006,1570.27,39.3992,2.1787400000000003,53.19
KRT6B,86.6584,4.38034,5.9322099999999995,0.022899700000000002,288.19599999999997,9.099089999999999,0.8383780000000001,239.09799999999998,14.9447,5.99876,256.01599999999996
KYNU,14.7879,2.87511,16.8208,11.4561,106.76100000000001,4.4863,145.011,26.6823,6.555810000000001,40.2252,14.4053
LBP,0.573258,9.36242,1.17723,0.40336900000000003,0.341148,0.307366,5.49965,0.8672129999999999,0.18548199999999998,0.0778297,4.68855
LHFP,2.0952,0.44400600000000007,0.13617100000000001,0.261223,1.57651,0.0947361,3.7053300000000005,1.0104,0.220629,1.07837,0.100909
MFAP4,1.60954,0.611251,6.52457,16.8245,4.79959,0.0,19.215,1.15642,1.2682799999999999,2.88714,2.17422
MIA,21.0747,13.5693,34.1576,0.0,0.284109,13.4175,0.0,2.57247,35.4567,0.8504440000000001,138.006
MID1,36.2366,27.3804,24.2185,5.32941,14.5635,11.3562,22.0039,19.8566,39.6211,1.8419299999999998,14.6245
MYBL1,4.603619999999999,161.042,376.286,1.07033,2.23413,64.9785,9.64146,7.9371100000000006,33.6012,3.99811,10.595999999999998
NEK2,17.1321,22.8411,14.7718,12.3271,14.7128,21.4632,3.18495,13.3532,25.2029,16.8509,77.8594
NTN3,0.023557599999999998,0.184201,0.217783,0.0,0.0,0.0,0.0,0.0,0.0,0.0959572,0.0
