gene_short_name,V515-06187-A1,TNT-115,TNT-204,TNT-69,TNT-139,TNT-219,TNT-211,17-00160-1_S2Aligned_cufflinks,TNT-24,TNT-218,17-00143-5_S2Aligned_cufflinks
ABCA8,1.07397,1.17188,22.5552,6.334280000000001,4.2190199999999995,11.2782,61.2901,0.7198220000000001,4.7176,0.23111700000000002,0.809124
ADRA2A,0.196819,0.172526,0.51488,0.150311,0.358636,0.24939099999999997,0.395498,0.203424,0.167515,1.2081600000000001,0.07267710000000001
AKAP12,3.7524300000000004,2.9281200000000003,5.24104,8.43398,4.57451,10.7207,10.4024,1.14141,3.76727,2.32421,0.951425
ALDH3B2,34.613,7.47531,10.6186,2.33555,4.68061,6.22725,1.13534,5.40626,0.891775,16.6609,19.1452
APOD,101.54799999999999,39.9082,431.157,334.26099999999997,1392.61,53.501000000000005,44.836000000000006,10.1478,95.7435,3.9072,10.9531
ART3,19.2103,121.99700000000001,0.0,11.878,83.5008,1.06999,8.18542,5.258319999999999,20.4122,42.4891,0.422378
ASPN,31.1651,9.31432,25.8341,32.2778,37.7036,27.237,6.6100699999999994,21.9529,29.0862,8.27807,3.69349
AZGP1,64.9749,239.31900000000002,91.8052,41.8629,111.613,100.25399999999999,115.596,45.7678,54.919,17.1262,85.8713
BLVRB,6.57613,3.141,5.31772,0.226859,1.9139400000000002,4.64941,2.0169,3.17095,5.6340699999999995,1.33646,3.8142199999999997
C7,0.29143,1.27179,1.40697,2.44299,5.49728,122.073,68.3765,0.7452850000000001,3.5287800000000002,14.321,0.026338599999999997
CCL5,1.03708,11.9906,10.1049,2.95312,4.08448,18.7046,5.11297,0.0,34.721,2.72617,1.59721
CD36,36.5005,12.2627,78.1711,24.2,19.0127,16.0908,9.93661,5.95287,13.4455,5.77646,30.0312
CD52,5.15236,76.2585,132.064,15.9388,12.3884,123.57799999999999,147.344,12.1882,55.9095,124.915,2.29825
CDC20,19.1111,14.9562,2.72803,31.1055,39.6781,3.64656,1.34979,12.6869,27.8803,6.84373,48.5456
CHI3L1,52.4824,32.3937,0.9157209999999999,13.2155,11.9292,0.043036000000000005,1.69353,40.6979,31.8305,50.4066,0.326855
COL2A1,124.822,0.0,0.014582499999999998,143.94299999999998,14.4149,4.67146,0.726554,0.0209768,111.17399999999999,0.31563800000000003,0.014987299999999999
COL5A1,145.37,23.0038,23.136,40.5398,75.3596,47.8762,11.6013,51.4022,80.0339,11.295,70.9135
