gene_short_name,V515-06187-A1,TNT-56,TNT-259,TNT-44,TNT-283,TNT-167,TNT-18,TNT-318,TNT-231,17-00105-7_S10_cufflinks,TNT-57
ABCA8,1.07397,53.5647,7.3788,57.5774,5.2258,2.02615,10.5629,1.6026799999999999,3.8827800000000003,15.2433,6.46901
ADRA2A,0.196819,0.818513,0.062241399999999995,0.6270140000000001,0.0,0.0,0.337047,0.37137,1.04498,1.61281,0.408656
AKAP12,3.7524300000000004,7.0299,10.4078,29.6051,3.43169,7.73556,10.1055,7.96738,8.51694,20.4997,6.26016
ALDH3B2,34.613,2.74039,2.39888,0.0,2.4243200000000003,172.847,1.5908799999999998,1.0129299999999999,10.2769,2.3132599999999996,0.10081699999999999
APOD,101.54799999999999,3331.85,16.1725,551.695,134.119,7071.89,126.366,29.2845,279.533,82.3389,51.8919
ART3,19.2103,4.69583,2.83927,17.6012,1.3833,0.0,3.08163,123.448,0.0,0.37242600000000003,29.1496
ASPN,31.1651,27.5234,59.7246,37.2942,148.766,45.1213,127.87700000000001,98.3062,29.2722,41.4929,78.5235
AZGP1,64.9749,112.811,0.0,63.9359,6.21353,166.08900000000003,0.397821,1.34766,316.875,5.05436,118.51799999999999
BLVRB,6.57613,1.36521,1.7791299999999999,2.47625,3.29221,25.1259,0.272242,2.3151200000000003,2.59229,2.24939,4.3314699999999995
C7,0.29143,9.02806,1.07913,15.2903,1.21194,0.157557,11.972999999999999,0.16028199999999998,3.3833699999999998,18.676,2.87842
CCL5,1.03708,15.388,24.4902,6.20512,13.0437,1.86065,84.2759,17.1213,4.01815,5.25453,3.70974
CD36,36.5005,1102.89,36.2403,161.29,37.5269,25.8007,68.0838,44.9068,21.4639,26.3072,21.4543
CD52,5.15236,120.281,178.9,76.5111,9.26877,26.8185,238.27900000000002,94.2685,72.6561,2.1478599999999997,16.7951
CDC20,19.1111,15.8234,10.0606,6.29946,9.884360000000001,4.66745,11.1176,13.9145,24.5621,2.38084,26.4927
CHI3L1,52.4824,2.97668,17.9288,19.8265,1.1316899999999999,1.77787,18.0344,68.8217,0.0151373,4.30004,15.99
COL2A1,124.822,0.0649235,0.0,0.369471,1.11024,1.9458900000000001,0.0,3.97345,0.111929,0.613052,0.548056
COL5A1,145.37,56.8638,40.4405,75.9328,30.5437,147.642,103.64200000000001,137.63,87.8761,145.623,87.4963
COL5A2,202.313,67.1142,44.153999999999996,135.933,90.4159,115.101,167.425,225.74099999999999,82.9914,236.74099999999999,121.088
CRAT,3.09639,1.48946,4.1209,7.360689999999999,1.0920100000000001,22.9121,4.5315900000000005,4.9586,4.96534,10.8298,8.625630000000001
CROT,17.2031,24.9742,13.6541,5.748069999999999,7.69125,39.1676,3.8836800000000005,14.1979,10.7887,13.6305,4.78488
CXCL10,2.29941,383.87300000000005,384.48400000000004,56.0996,57.2712,8.31703,196.435,130.123,39.3975,3.5350699999999997,4.72286
CXCL11,0.642556,91.8946,110.538,1.58942,9.65099,0.0,15.9079,13.0947,14.1107,1.68925,0.9768040000000001
CXCL13,0.0413495,24.9641,627.493,4.795640000000001,30.5927,1116.82,26.3849,28.7339,52.2161,1.16042,2.6762200000000003
CYP4F8,0.048019099999999995,0.0,0.18496500000000002,3.5069199999999996,0.368212,12.9503,0.0623461,0.0,0.010545,0.0,0.859841
DBI,412.371,601.0269999999999,102.259,108.177,168.356,722.9010000000001,120.508,116.994,105.985,24.5286,123.693
DEFB1,3.16262,7.80312,1.4857,0.977303,0.8576389999999999,0.0,0.0,0.610028,6.56505,0.0,0.23947399999999996
DHCR24,38.1374,14.4239,27.5106,7.285489999999999,46.4939,193.393,13.6373,11.4754,52.1513,10.2971,26.688000000000002
DUSP5,2.6614299999999997,8.5035,0.760338,6.42948,2.6326099999999997,5.81495,3.3018699999999996,3.1831,12.2249,7.9805600000000005,2.64648
FABP7,2.25652,0.131606,9.448089999999999,1.8110099999999998,0.521183,4.80272,14.5807,0.788269,0.166318,0.132922,33.7576
FASN,124.609,1.08924,1.18795,6.2038400000000005,22.4823,2436.27,13.9948,9.75475,11.447000000000001,33.3583,20.7734
FGFR4,2.32432,0.0,0.335385,0.634329,0.42262,10.5636,0.0,0.0277075,0.0,6.27721,0.19916
FGL2,2.48121,10.4282,6.70472,7.86297,4.1031699999999995,3.72151,9.61383,7.74637,11.6829,1.65977,3.20866
FOXA1,1.38574,94.0994,0.319283,4.48069,135.889,343.30400000000003,0.0,0.7537020000000001,107.32,2.09953,1.82645
FOXC1,9.10755,3.08754,3.57756,20.1979,3.01998,0.867287,7.67033,32.566,5.24262,8.20116,53.8272
GABRP,8.66089,24.0058,740.4110000000001,162.789,1.8258599999999998,0.0719074,218.567,262.378,40.2214,25.1786,573.122
GALNT7,12.4003,16.1462,9.15928,8.8823,80.39,21.0465,10.3138,19.94,45.0253,11.0325,11.9499
GBP1,41.394,172.96099999999998,218.737,181.968,95.4322,54.6539,228.894,656.55,82.1542,291.445,99.51100000000001
GCHFR,0.42253100000000005,0.0,0.0,0.0,0.0,0.0,0.0,0.2555,0.0,0.0,0.167516
GPR87,0.9514879999999999,1.19563,7.69994,3.86145,1.1195700000000002,0.0,0.8862110000000001,0.37691199999999997,0.0,0.160558,1.00728
GZMB,1.4986,8.3297,32.7245,1.57691,0.77617,0.0,12.0025,8.29775,4.58215,1.21038,1.4836799999999999
HGD,4.21735,6.980580000000001,5.68914,2.59817,6.59139,59.5357,0.25535599999999997,2.33301,6.21582,10.300999999999998,13.2817
HTRA1,91.2943,45.2441,40.9797,135.477,30.5015,34.9726,77.4917,120.001,30.4542,146.35299999999998,72.1096
IDO1,0.29142399999999996,22.2742,56.6019,11.717,3.09202,4.5545800000000005,23.029,31.5634,86.3031,1.67701,1.98322
IGFBP4,13.3498,0.331702,0.43888299999999997,6.0380400000000005,0.49661000000000005,7.20852,3.41105,3.6292400000000002,2.0754799999999998,52.3011,4.93166
IGHM,55.218999999999994,81.8868,136.843,50.9729,5.19747,10.0345,607.3240000000001,50.3045,483.259,0.0,31.8551
IGJ,20.0186,668.235,120.395,252.016,27.8626,113.28,234.80900000000003,30.7047,690.221,234.137,40.1732
IGKC,182.34599999999998,2605.97,1516.83,928.331,801.068,481.564,1594.26,1016.39,7960.46,3004.06,1984.64
IL23A,0.049007300000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.153345,0.0,0.0,0.0454602
IL33,0.8833290000000001,2.91535,0.602038,10.2893,0.5539649999999999,0.0,6.744910000000001,0.29642399999999997,10.9333,2.46716,0.692623
INPP4B,37.1722,14.4201,13.6166,35.38,12.8883,46.8411,19.7162,18.8154,81.5535,30.0611,6.03674
ITM2A,5.13433,46.8189,18.4724,43.8775,9.52588,25.8363,45.3222,26.9578,66.1656,19.0463,23.561
JAM2,11.2143,19.8815,2.31682,28.1835,0.335613,1.4835,11.1208,9.582139999999999,1.47935,18.7018,6.3534
KCNK5,7.320460000000001,0.0,0.44924899999999995,1.2931700000000002,0.207736,0.153623,0.0901098,0.68934,0.587631,2.18497,1.77673
KIAA1324,6.46799,7.8991,1.3498299999999999,12.3385,38.4246,10.2064,8.63215,3.4933099999999997,8.24147,1.93052,2.57743
KMO,1.44589,50.1273,8.82002,3.68019,6.845339999999999,14.1394,13.1194,4.860580000000001,10.9062,0.752159,1.47099
KRT14,118.37100000000001,7.29144,0.5958289999999999,92.8815,0.7119479999999999,0.150555,94.5936,5.38805,2.55607,75.4352,1136.84
KRT16,91.0343,36.1925,32.6636,149.575,2.65956,0.526784,18.4317,77.0578,1.0494700000000001,52.2307,139.312
KRT17,105.34700000000001,8.14297,23.5076,173.196,8.14209,7.348389999999999,40.1927,62.6391,55.7271,336.69300000000004,701.9860000000001
KRT6A,54.2242,11.6377,132.032,57.7713,13.9138,41.3597,41.4118,98.0292,386.17800000000005,27.6181,57.0774
KRT6B,86.6584,0.743279,152.121,33.1355,0.5083479999999999,0.0895952,18.6307,85.4541,18.7064,8.2555,140.572
KYNU,14.7879,60.5616,28.7073,9.041360000000001,4.35554,68.2565,6.18662,6.834810000000001,78.1365,3.0838200000000002,10.002
LBP,0.573258,3.02324,0.126927,0.73285,0.041098,9.54014,4.28908,0.759896,6.1504199999999996,0.0,0.338633
LHFP,2.0952,1.4274799999999999,0.675045,5.4203,1.06431,2.91939,0.921726,0.526876,1.3373899999999999,7.958480000000001,1.29417
MFAP4,1.60954,8.58787,1.72318,8.7876,0.188581,0.285096,1.8374,1.666,1.5140799999999999,23.1121,5.1227599999999995
MIA,21.0747,0.0,8.68449,13.4092,1.9076,0.0,14.3171,17.5343,0.0,1.86336,0.850025
MID1,36.2366,17.1153,14.7907,18.9785,134.299,0.998935,8.872539999999999,25.3114,82.5869,11.2098,33.3046
MYBL1,4.603619999999999,15.0244,15.8264,42.4586,5.02566,18.9003,13.5046,57.4527,2.33652,2.16644,10.4917
NEK2,17.1321,25.9521,7.067419999999999,15.4104,32.5632,34.501999999999995,7.857410000000001,38.9334,9.82627,3.87849,35.0042
NTN3,0.023557599999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0638543,0.0
OGN,1.27872,48.4188,15.1809,26.9847,17.6911,10.6749,42.3317,7.740810000000001,9.15397,25.744,16.0085
PI3,0.0,0.792696,84.1807,0.0,0.836548,0.0,0.105544,0.47272,119.469,1.07606,0.744111
PLEKHB1,14.583,0.0,4.05949,4.90876,1.33354,2.0671,3.08625,1.25835,0.013343100000000002,0.8474889999999999,5.52137
PMAIP1,1.6239299999999999,0.0,3.9463199999999996,1.00094,1.46853,0.0,2.0914,5.0343800000000005,9.53519,0.531778,3.21203
PSMB9,0.0,5.67696,29.5826,8.41277,33.3966,4.53273,12.9038,28.5825,24.8823,0.0,3.9861800000000005
PTGDS,1.49063,3.40536,4.47236,4.868469999999999,0.60063,0.0,1.8083599999999997,0.44939399999999996,1.5664799999999999,11.2347,0.8711840000000001
RARRES3,10.7933,35.2318,27.7703,29.4438,64.8345,13.385,22.4368,33.635,119.425,14.9961,4.60827
RTP4,0.772275,0.165472,6.60475,0.707379,2.64071,0.0,0.788525,8.07012,0.123359,1.2501200000000001,3.89184
S100A1,196.638,0.0,2.36985,16.0569,2.17375,10.9158,2.43927,45.1651,0.0,0.517951,39.311
S100A7,6.579160000000001,11.3459,0.0,5.847,0.0,0.0,0.0,1.41924,376.721,0.777217,1.0745200000000001
S100A8,3.4999599999999997,30.4107,14.6467,5.58615,1.97965,40.9234,2.46168,2.3352,372.79,0.306788,0.912848
SCRG1,23.221999999999998,0.0,12.0923,8.82788,0.09951310000000001,0.0,3.5533,2.32151,0.0,0.0,51.566
SEMA3C,89.189,104.979,46.0447,55.7138,4.05474,29.3804,31.6493,33.6265,97.5067,36.7929,14.4221
SERHL2,5.02658,12.1442,0.0,0.26898299999999997,18.7518,475.086,0.0,1.62353,3.99712,2.4453,2.41741
SFRP1,35.3095,4.7891900000000005,0.399455,12.8129,0.0,4.29796,3.7535,62.9304,2.70922,3.78211,41.9017
SIDT1,0.9090090000000001,24.3258,18.1512,13.0942,23.4269,43.6153,4.20869,6.2171400000000006,8.15287,2.94982,1.0019
SOX10,3.84721,0.0,0.0,1.10416,0.0,2.04258,0.339244,2.23541,0.0,1.75675,4.406619999999999
SPDEF,0.141878,1.59912,0.0,0.8678819999999999,7.9692,18.284000000000002,0.0,0.0,3.1351400000000003,0.0,0.026727499999999998
SPRR1B,0.09447810000000001,0.0,0.0,0.0,0.0,0.0,0.19237200000000002,0.0,0.0,0.0,0.42824700000000004
SPTLC2,28.7351,52.2154,51.5029,29.1229,46.537,100.115,16.2373,41.8028,25.4481,15.1177,51.2638
SRPX,12.4869,5.61139,6.798030000000001,14.3073,2.36183,3.0497400000000003,2.9196299999999997,4.89765,2.24238,10.6326,7.25335
TCF7L1,11.751,5.5587599999999995,2.74681,8.50101,0.731486,7.44906,13.6733,28.1337,5.53084,13.3002,51.5262
TFAP2B,1.18026,34.3267,0.0328593,2.00691,0.851188,88.6032,0.026442700000000003,0.236125,1.15365,1.07282,0.631304
THBS4,8.67223,23.8532,13.4075,63.4373,4.76762,13.5348,24.2912,6.8529,10.1966,4.27227,6.38016
TNFAIP8,5.97248,38.1764,33.4226,29.6814,12.5094,26.9164,30.5044,23.671,21.7562,6.5877,12.7164
TNFSF10,24.8142,102.78,54.1136,31.8392,30.3826,7.97765,65.3121,15.4007,21.3015,8.1043,14.0494
