gene_short_name,V515-06187-A1,TNT-157,17-00104-2_S7Aligned_cufflinks,17-00143-5_S2Aligned_cufflinks,TNT-227,17-00127-8_S3Aligned_cufflinks,TNT-270,17-00125-8_S13Aligned_cufflinks,TNT-111,TNT-182,TNT-238
ABCA8,1.07397,16.5316,7.99826,0.809124,0.8764959999999999,5.2732,7.25541,55.5194,14.8562,5.738980000000001,3.0725
ADRA2A,0.196819,0.053574699999999996,0.145057,0.07267710000000001,0.949996,0.0,0.416253,4.317880000000001,1.0391700000000001,0.0891861,1.4667
AKAP12,3.7524300000000004,5.01157,0.6447689999999999,0.951425,4.588480000000001,1.2662,6.02093,25.364,15.7074,13.2235,3.91094
ALDH3B2,34.613,44.3463,28.0666,19.1452,0.0,3.25937,97.5075,14.4216,575.453,0.223333,3.84186
APOD,101.54799999999999,388.876,6.770160000000001,10.9531,13.7345,81.4037,7752.41,136.705,10225.5,108.309,8.408
ART3,19.2103,11.9946,6.09762,0.422378,53.495,34.0727,0.27854,0.0,0.17538499999999999,39.255,3.04012
ASPN,31.1651,10.4886,3.6449199999999995,3.69349,14.4329,0.0,10.0964,44.1739,130.499,102.374,7.42943
AZGP1,64.9749,13.2232,56.5053,85.8713,9.19289,195.738,693.581,178.998,1218.82,87.2981,15.3658
BLVRB,6.57613,1.7414,1.03463,3.8142199999999997,3.1071,0.0,2.58756,5.03918,7.4401,1.3189899999999999,0.465605
C7,0.29143,12.9084,0.923272,0.026338599999999997,4.99071,0.0,8.16232,19.783,2.59044,4.2449,22.8424
CCL5,1.03708,14.6772,0.26264,1.59721,26.5416,0.0,1.34774,2.22877,1.97053,9.13623,17.8954
CD36,36.5005,33.1401,96.9286,30.0312,17.3573,0.0,26.5814,182.748,94.8575,31.6866,17.0593
CD52,5.15236,93.59899999999999,0.315542,2.29825,480.968,0.0,16.3111,0.0,24.4018,63.4951,394.82099999999997
CDC20,19.1111,21.6145,15.73,48.5456,10.3227,19.4809,4.4109300000000005,0.0,3.7378199999999997,8.12888,3.99635
CHI3L1,52.4824,42.6231,3.18682,0.326855,7.42916,3.8606199999999995,1.0985,5.63374,7.57694,54.8576,0.843568
COL2A1,124.822,0.165699,0.0598273,0.014987299999999999,0.609106,9.34079,0.101651,0.0,0.0,7.765639999999999,0.0
COL5A1,145.37,18.2057,12.4204,70.9135,27.5166,74.985,51.6893,160.153,219.15400000000002,91.7031,5.3667300000000004
COL5A2,202.313,26.7943,14.4705,19.6112,44.3055,26.139,47.358999999999995,136.536,458.394,167.34400000000002,8.552589999999999
