gene_short_name,V515-06187-A1,TNT-300,TNT-4,TNT-57,TNT-48,TNT-219,TNT-245,TNT-204,TNT-141,TNT-92,17-00099-0_S15_cufflinks
ABCA8,1.07397,2.02342,37.7185,6.46901,251.734,11.2782,8.9799,22.5552,68.4435,32.1067,2.37642
ADRA2A,0.196819,0.019426099999999998,4.021059999999999,0.408656,1.7314599999999998,0.24939099999999997,0.139203,0.51488,1.30754,0.187864,1.0959999999999999
AKAP12,3.7524300000000004,1.30359,17.7207,6.26016,12.1732,10.7207,5.12106,5.24104,7.146210000000001,5.51587,3.23311
ALDH3B2,34.613,11.2568,42.5699,0.10081699999999999,10.1174,6.22725,4.80485,10.6186,2.52334,8.09628,15.2987
APOD,101.54799999999999,4.160830000000001,2583.61,51.8919,578.9540000000001,53.501000000000005,6.02412,431.157,265.92900000000003,227.12400000000002,3.69936
ART3,19.2103,547.518,0.0,29.1496,31.8858,1.06999,5.12479,0.0,0.0,1.03436,1.1729100000000001
ASPN,31.1651,11.5862,315.638,78.5235,90.9032,27.237,12.6273,25.8341,101.719,108.54700000000001,2.13178
AZGP1,64.9749,175.447,298.58,118.51799999999999,83.2889,100.25399999999999,0.815736,91.8052,113.574,23.496,223.53
BLVRB,6.57613,0.0,7.36637,4.3314699999999995,2.19929,4.64941,2.28742,5.31772,1.96374,2.3271,8.86817
C7,0.29143,0.34566199999999997,8.536660000000001,2.87842,34.6236,122.073,11.4507,1.40697,3.17775,5.15895,51.6333
CCL5,1.03708,3.9392199999999997,13.302999999999999,3.70974,21.9388,18.7046,4.07395,10.1049,13.5378,5.3861,9.70031
CD36,36.5005,11.0441,100.477,21.4543,251.09099999999998,16.0908,9.4337,78.1711,83.8034,13.668,54.5393
CD52,5.15236,21.7633,48.9762,16.7951,52.2935,123.57799999999999,207.293,132.064,19.6056,51.077,125.986
CDC20,19.1111,26.3353,2.9675599999999998,26.4927,2.9954,3.64656,4.63374,2.72803,0.047745800000000005,2.62069,33.8445
CHI3L1,52.4824,65.2282,5.7134,15.99,7.455139999999999,0.043036000000000005,1.14299,0.9157209999999999,0.177651,93.8031,17.7339
COL2A1,124.822,0.035179699999999994,0.149369,0.548056,9.20578,4.67146,0.0,0.014582499999999998,0.0,0.14571900000000002,0.06181469999999999
COL5A1,145.37,35.0878,225.483,87.4963,75.0766,47.8762,19.2176,23.136,76.7943,32.6411,26.4936
COL5A2,202.313,51.2796,308.353,121.088,77.8726,49.8738,12.1055,44.7471,68.5018,57.8362,15.8177
CRAT,3.09639,1.56885,14.7289,8.625630000000001,4.91709,3.7134699999999996,6.39344,8.49002,17.8855,5.01356,64.8689
CROT,17.2031,8.746210000000001,47.6286,4.78488,12.5076,18.417,14.0462,12.995999999999999,5.49525,13.2484,4.6178300000000005
CXCL10,2.29941,153.815,39.4233,4.72286,14.2373,25.0919,69.0365,65.778,28.4844,60.784,11.4388
CXCL11,0.642556,16.6523,8.87846,0.9768040000000001,0.0,4.67742,12.5715,12.7703,17.67,3.28281,2.75201
CXCL13,0.0413495,23.0488,46.0943,2.6762200000000003,5.16943,13.2194,43.5915,12.2053,0.0,10.8363,28.2446
