gene_short_name,V515-06187-A1,17-00269-8_S12Aligned_cufflinks,TNT-104,17-00131-5_S8Aligned_cufflinks,TNT-56,TNT-177,TNT-192,17-00270-5_S14Aligned_cufflinks,17-00157-0_S11Aligned_cufflinks,TNT-225,TNT-35
ABCA8,1.07397,10.5754,45.0011,3.02603,53.5647,9.29659,119.155,2.10963,14.9899,19.7157,16.6291
ADRA2A,0.196819,0.23155900000000001,0.0269278,0.42561099999999996,0.818513,0.268389,0.8013359999999999,0.785147,0.9286280000000001,0.313514,0.9818889999999999
AKAP12,3.7524300000000004,3.77041,14.8787,0.384289,7.0299,2.95332,35.9662,3.9364199999999996,11.8446,11.700999999999999,12.7669
ALDH3B2,34.613,3.69538,134.5,15.5005,2.74039,8.06703,68.1928,173.954,2.39375,0.0,73.376
APOD,101.54799999999999,55.1521,16699.3,1.2395399999999999,3331.85,139.493,11869.7,1702.36,50.4508,86.1188,4574.95
ART3,19.2103,42.777,0.0,0.635686,4.69583,4.00471,0.0,0.0,0.291602,44.2138,0.887626
ASPN,31.1651,28.712,93.4608,2.46604,27.5234,37.577,142.614,97.1702,27.6337,112.76799999999999,16.949
AZGP1,64.9749,109.38799999999999,438.903,5.0511099999999995,112.811,95.197,771.028,433.668,3.87216,68.2212,367.6
BLVRB,6.57613,3.27189,5.2299,2.44601,1.36521,3.74146,5.36615,17.5144,4.4324900000000005,0.9385680000000001,4.5501
C7,0.29143,9.23125,28.9865,0.593221,9.02806,0.643378,4.10235,0.913499,5.99394,7.47819,24.8307
CCL5,1.03708,16.1353,10.9451,5.70474,15.388,7.50898,18.4049,0.0,0.0,2.44293,20.5653
CD36,36.5005,88.0077,126.93700000000001,9.64332,1102.89,57.821000000000005,134.586,5.78937,149.636,47.8398,17.7795
CD52,5.15236,16.4224,29.5778,3.68263,120.281,35.5903,123.244,25.8947,2.70915,54.5642,127.084
CDC20,19.1111,24.4458,0.06501280000000001,8.15222,15.8234,29.8034,4.20426,2.98538,14.3517,16.8549,6.233619999999999
CHI3L1,52.4824,49.4362,1.02785,168.771,2.97668,11.0398,0.0,16.8958,45.5875,13.4776,8.07722
COL2A1,124.822,0.383356,0.22212300000000001,0.035063699999999996,0.0649235,246.99099999999999,0.0,0.0,114.78299999999999,2.20486,0.182251
COL5A1,145.37,46.8246,47.013000000000005,11.9765,56.8638,179.114,49.6839,159.398,174.977,113.037,63.0796
COL5A2,202.313,95.8911,87.7715,14.2269,67.1142,152.07399999999998,216.858,332.476,163.721,173.274,92.2053
CRAT,3.09639,5.729019999999999,22.0853,1.26799,1.48946,0.280142,12.229000000000001,35.1876,4.3305,1.33989,21.7538
CROT,17.2031,5.47545,53.6453,5.52752,24.9742,10.992,70.1636,61.1756,4.56994,8.52486,11.1741
CXCL10,2.29941,109.851,10.2874,58.1687,383.87300000000005,36.2774,10.1642,47.1377,2.0649,8.15851,75.8828
CXCL11,0.642556,38.6206,3.13731,8.21909,91.8946,1.8448200000000001,25.8333,17.4057,0.506209,0.637592,14.3433
CXCL13,0.0413495,10.1775,1.0281799999999999,9.9852,24.9641,0.0,10.7731,13.6215,4.07947,6.32163,54.2101
CYP4F8,0.048019099999999995,0.0,1.2353399999999999,0.0,0.0,2.7660400000000003,0.0,2.87166,0.0,0.16966900000000001,21.2027
DBI,412.371,139.231,300.908,19.1439,601.0269999999999,138.371,542.624,458.19199999999995,133.718,130.439,176.50900000000001
DEFB1,3.16262,1.1212799999999998,0.0,2.9607,7.80312,0.0,3.86087,2.34702,1.31565,0.09093530000000001,0.42481199999999997
DHCR24,38.1374,35.2547,43.5835,7.69733,14.4239,18.1352,49.4777,130.19799999999998,36.7396,9.11603,166.30900000000003
DUSP5,2.6614299999999997,2.6019,1.31806,1.1767,8.5035,9.42159,10.3889,3.94306,7.80812,4.35424,12.0404
FABP7,2.25652,711.5219999999999,1.60248,0.609712,0.131606,9.038260000000001,13.1366,202.65,19.8938,54.5626,18.504
FASN,124.609,37.527,68.8874,141.922,1.08924,22.3397,26.719,778.4830000000001,77.9457,1.28864,149.665
FGFR4,2.32432,0.468103,9.378739999999999,0.555021,0.0,4.81442,1.14408,0.55462,0.9193459999999999,0.044059,7.897930000000001
FGL2,2.48121,7.09258,9.87236,9.03785,10.4282,3.7914,8.68063,10.955,4.94528,7.08488,12.85
FOXA1,1.38574,5.58076,106.805,0.399233,94.0994,7.3197,55.0153,98.2355,2.59678,1.9514099999999999,67.0924
FOXC1,9.10755,15.7271,1.76016,71.1802,3.08754,108.721,3.6437199999999996,1.00065,22.169,23.0437,3.63065
GABRP,8.66089,110.37299999999999,7.01519,192.75900000000001,24.0058,602.953,53.2833,1.14783,12.7787,369.529,16.394000000000002
GALNT7,12.4003,33.2821,359.37,13.0624,16.1462,5.39991,58.9319,43.2333,16.9598,29.7218,35.5447
GBP1,41.394,132.468,36.3345,226.399,172.96099999999998,153.465,185.85299999999998,151.737,33.4805,106.125,150.278
GCHFR,0.42253100000000005,0.294779,0.200914,0.589551,0.0,0.0,0.9483219999999999,2.0417099999999997,0.333965,0.166209,0.266475
GPR87,0.9514879999999999,0.632517,0.679588,1.2016200000000001,1.19563,8.35425,0.0,1.74747,0.58282,5.90917,0.895159
GZMB,1.4986,3.9503199999999996,4.66964,5.461040000000001,8.3297,1.7166,2.56301,6.61711,4.43361,1.69408,24.6299
HGD,4.21735,0.353446,0.0,0.948775,6.980580000000001,0.0,25.9325,27.7762,5.07111,3.4355800000000003,65.5599
HTRA1,91.2943,40.5043,55.0878,5.30595,45.2441,78.6975,118.212,156.50799999999998,120.1,176.986,92.7031
IDO1,0.29142399999999996,30.934,6.65627,17.0065,22.2742,10.2732,3.9493,19.0683,0.7165699999999999,3.65246,32.8161
IGFBP4,13.3498,8.82504,1.3245,2.89407,0.331702,9.74421,3.45961,22.6642,25.3081,0.5581729999999999,4.31
IGHM,55.218999999999994,0.0,62.7591,145.031,81.8868,14.0452,67.8109,377.42400000000004,37.0321,6.72957,1198.52
IGJ,20.0186,113.14200000000001,363.991,34.6306,668.235,44.6267,845.132,149.07399999999998,39.9957,36.8565,1876.16
IGKC,182.34599999999998,1150.07,1291.64,2381.84,2605.97,102.77600000000001,2130.1,8345.27,412.756,343.62300000000005,9549.54
IL23A,0.049007300000000004,6.55169,0.0,0.157318,0.0,0.0,0.0,0.0,0.059104899999999995,0.0341362,1.05001
IL33,0.8833290000000001,2.2137700000000002,9.4019,1.05634,2.91535,0.0,13.1507,1.6797900000000001,3.79564,1.94563,5.4115400000000005
INPP4B,37.1722,6.02461,22.5329,6.39065,14.4201,1.63841,27.5809,53.968999999999994,15.8445,14.5634,51.7312
ITM2A,5.13433,9.43338,22.7929,12.5426,46.8189,0.0,22.2147,6.668019999999999,12.4601,33.9687,65.8933
JAM2,11.2143,5.72804,17.7037,1.4881,19.8815,0.0,26.995,14.5784,11.2515,14.1057,10.3561
KCNK5,7.320460000000001,0.511742,0.138828,3.6835400000000003,0.0,9.51881,0.0,0.164958,3.94905,0.9614219999999999,0.263253
KIAA1324,6.46799,5.38614,94.4477,2.73313,7.8991,52.1132,53.7366,57.3075,4.44704,2.77433,43.7592
KMO,1.44589,4.13572,84.6825,9.83803,50.1273,1.26288,12.6476,9.86449,3.9550199999999998,7.30783,32.8196
KRT14,118.37100000000001,166.331,7.579289999999999,4.12401,7.29144,321.084,19.1258,3.26517,246.15,125.86,41.4358
KRT16,91.0343,73.708,2.51083,0.898924,36.1925,110.288,1.12426,1.7767,473.333,16.3566,4.00903
KRT17,105.34700000000001,231.475,5.32091,55.7211,8.14297,538.0169999999999,17.1917,11.1817,1234.96,84.9056,68.6014
KRT6A,54.2242,150.395,1.85392,81.4641,11.6377,53.19,34.9008,10.0987,316.262,39.4656,27.403000000000002
KRT6B,86.6584,137.776,1.5265799999999998,22.3315,0.743279,256.01599999999996,3.91155,0.778724,231.8,137.366,9.36462
KYNU,14.7879,142.601,4.028980000000001,7.79387,60.5616,14.4053,80.8272,173.37,21.980999999999998,19.8934,55.9354
LBP,0.573258,2.92004,0.0,23.1821,3.02324,4.68855,93.4457,45.7908,2.2198900000000004,0.033786500000000004,83.8717
LHFP,2.0952,1.19223,1.52339,0.8258409999999999,1.4274799999999999,0.100909,2.074,1.6577,1.74013,0.92133,2.93139
MFAP4,1.60954,5.30635,5.7849699999999995,4.31629,8.58787,2.17422,3.8254900000000003,3.46351,7.002680000000001,2.7118700000000002,12.7635
MIA,21.0747,9.32885,0.0,1.9577200000000001,0.0,138.006,0.0,0.9026719999999999,91.9118,3.69805,0.979784
MID1,36.2366,28.897,11.3684,43.2326,17.1153,14.6245,8.78539,8.682839999999999,38.3648,31.1013,15.4661
MYBL1,4.603619999999999,8.092939999999999,3.33825,1.9727299999999999,15.0244,10.595999999999998,12.0674,2.82383,14.6385,11.1978,5.6302900000000005
NEK2,17.1321,20.5924,5.31843,10.8881,25.9521,77.8594,1.18318,4.76394,9.50352,16.6841,8.08047
NTN3,0.023557599999999998,0.0,0.0,0.025902299999999996,0.0,0.0,0.0,0.0590009,0.0290064,0.0,0.0
OGN,1.27872,7.567989999999999,75.4417,0.273895,48.4188,16.3848,69.8515,4.2767599999999995,8.20645,18.6864,18.1458
PI3,0.0,20.4042,0.0,18.6768,0.792696,0.0,0.0,0.256457,1.08444,0.351765,5.2829999999999995
PLEKHB1,14.583,4.024380000000001,0.0,2.0364299999999997,0.0,3.74115,0.0,0.641142,5.81267,0.585629,0.63253
PMAIP1,1.6239299999999999,12.7009,0.0,2.45003,0.0,0.0,0.0,1.25437,1.60111,4.02694,0.874236
PSMB9,0.0,20.1497,1.0381799999999999,0.0,5.67696,5.711130000000001,9.184460000000001,0.0,9.59711,6.16222,26.5213
PTGDS,1.49063,2.2471799999999997,3.24923,0.348463,3.40536,2.28153,5.05302,5.13184,8.94655,1.7367599999999999,12.152999999999999
RARRES3,10.7933,24.9939,0.484158,51.4591,35.2318,0.518451,28.6045,44.979,5.33786,10.7116,98.7372
RTP4,0.772275,2.2332,0.141051,3.6730699999999996,0.165472,0.0,2.39055,0.695095,0.359175,1.9361599999999999,1.96157
S100A1,196.638,4.69899,0.42918,4.78204,0.0,36.82,0.0,0.862762,43.4994,16.3815,1.32554
S100A7,6.579160000000001,0.41959399999999997,1.5830600000000001,1.1964,11.3459,0.0,48.571999999999996,27.158,1.15754,0.36267,248.222
S100A8,3.4999599999999997,10.9431,0.543271,1.6705,30.4107,0.0,11.6298,34.8612,2.80385,1.96069,63.2431
SCRG1,23.221999999999998,0.20717199999999997,0.06643660000000001,0.0,0.0,6.31794,0.0,0.0,5.63649,19.2951,0.523831
SEMA3C,89.189,30.6454,302.366,24.4515,104.979,38.0269,76.66199999999999,57.9119,113.926,29.3055,67.2934
SERHL2,5.02658,1.56572,185.863,3.3933,12.1442,11.314,195.24099999999999,544.137,3.74914,1.0714700000000001,293.1
SFRP1,35.3095,2.3822,1.4594,5.26698,4.7891900000000005,4.2594,23.7525,0.39879000000000003,15.0663,11.2392,5.3329699999999995
SIDT1,0.9090090000000001,1.9539900000000001,37.3052,6.67357,24.3258,0.0,5.42047,15.0462,1.31951,2.56792,22.7414
SOX10,3.84721,0.878964,0.0,0.0,0.0,1.8337,0.141943,0.075293,6.6931199999999995,1.3665100000000001,0.107528
SPDEF,0.141878,0.10571300000000002,4.93238,0.05445850000000001,1.59912,0.0,2.99063,7.91627,0.09151419999999999,0.060040699999999995,5.95793
SPRR1B,0.09447810000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35722600000000004,0.0,0.15053
SPTLC2,28.7351,24.273000000000003,128.374,20.6005,52.2154,17.4346,92.5973,85.9094,40.6082,50.3319,103.125
SRPX,12.4869,4.76311,8.902000000000001,0.210772,5.61139,8.21848,12.4008,4.128819999999999,11.5373,5.6770000000000005,4.10102
TCF7L1,11.751,13.2797,4.8579099999999995,38.0919,5.5587599999999995,12.356,4.49596,1.68946,9.27533,4.43431,4.14047
TFAP2B,1.18026,21.965999999999998,92.3299,0.0,34.3267,0.0,30.4718,18.7696,0.435733,0.551706,54.4317
THBS4,8.67223,6.7119,219.377,0.5885859999999999,23.8532,22.2968,94.5627,25.4608,12.4065,57.9839,12.3296
TNFAIP8,5.97248,8.86002,15.4619,18.0039,38.1764,10.7572,26.2559,23.6526,8.940669999999999,17.7713,48.9079
TNFSF10,24.8142,42.7859,138.21200000000002,282.779,102.78,37.211,58.4692,29.2146,11.2988,15.0652,58.3945
TRIM68,7.67148,2.03574,0.8044979999999999,5.80985,0.825205,5.86097,6.42502,12.3542,3.88962,2.18322,5.67323
TSC22D3,7.24202,21.2128,20.2465,4.80127,28.3239,8.69121,3.23766,18.2165,47.9913,21.8741,97.5977
UBD,0.0,0.0,5.86496,36.2625,13.7983,26.4524,6.694189999999999,0.0,0.0,3.05274,68.3502
UGT2B28,0.0,0.447108,2.69945,0.103177,4.225169999999999,0.0,118.359,1018.86,0.0,1.0251,29.6108
XBP1,26.3139,25.9862,740.561,41.0862,65.331,11.0742,91.6678,143.30200000000002,32.6882,46.1754,194.516
ZCCHC24,0.75321,0.0829296,0.0629094,0.8660549999999999,0.152013,0.08366749999999999,0.06784739999999999,1.29529,1.4920799999999999,0.562095,1.9920400000000003
