gene_short_name,V515-06187-A1,TNT-139,TNT-167,TNT-234,TNT-133,TNT-289,17-00097-1_S9_cufflinks,TNT-225,TNT-115,TNT-318,TNT-192
ABCA8,1.07397,4.2190199999999995,2.02615,4.492780000000001,75.7969,7.5326,2.1075,19.7157,1.17188,1.6026799999999999,119.155
ADRA2A,0.196819,0.358636,0.0,0.631742,0.598187,0.0190859,0.13051500000000002,0.313514,0.172526,0.37137,0.8013359999999999
AKAP12,3.7524300000000004,4.57451,7.73556,13.1758,6.895230000000001,16.4518,1.87044,11.700999999999999,2.9281200000000003,7.96738,35.9662
ALDH3B2,34.613,4.68061,172.847,1.06207,15.4526,0.340181,8.43554,0.0,7.47531,1.0129299999999999,68.1928
APOD,101.54799999999999,1392.61,7071.89,158.972,152.924,86.5343,0.669381,86.1188,39.9082,29.2845,11869.7
ART3,19.2103,83.5008,0.0,45.8656,16.1857,11.7816,4.5019599999999995,44.2138,121.99700000000001,123.448,0.0
ASPN,31.1651,37.7036,45.1213,10.3409,99.3177,99.79700000000001,10.6442,112.76799999999999,9.31432,98.3062,142.614
AZGP1,64.9749,111.613,166.08900000000003,199.49200000000002,81.6664,22.8969,33.7457,68.2212,239.31900000000002,1.34766,771.028
BLVRB,6.57613,1.9139400000000002,25.1259,5.22607,3.9630300000000003,1.2233100000000001,3.99175,0.9385680000000001,3.141,2.3151200000000003,5.36615
C7,0.29143,5.49728,0.157557,8.1721,10.3059,2.7102,2.0205599999999997,7.47819,1.27179,0.16028199999999998,4.10235
CCL5,1.03708,4.08448,1.86065,20.0857,11.4843,1.12449,0.0,2.44293,11.9906,17.1213,18.4049
CD36,36.5005,19.0127,25.8007,6.57482,123.501,18.9896,29.5541,47.8398,12.2627,44.9068,134.586
CD52,5.15236,12.3884,26.8185,203.87400000000002,56.1498,1.74964,10.8883,54.5642,76.2585,94.2685,123.244
CDC20,19.1111,39.6781,4.66745,15.2527,9.27248,40.1167,35.847,16.8549,14.9562,13.9145,4.20426
CHI3L1,52.4824,11.9292,1.77787,6.94574,0.874603,14.14,14.2367,13.4776,32.3937,68.8217,0.0
COL2A1,124.822,14.4149,1.9458900000000001,14.9827,0.0,47.6574,0.21441,2.20486,0.0,3.97345,0.0
COL5A1,145.37,75.3596,147.642,85.51700000000001,68.0468,387.034,99.7165,113.037,23.0038,137.63,49.6839
COL5A2,202.313,97.3976,115.101,97.4348,83.052,272.664,49.6067,173.274,62.6035,225.74099999999999,216.858
CRAT,3.09639,2.73225,22.9121,3.60935,2.03308,4.72182,8.16269,1.33989,2.79293,4.9586,12.229000000000001
CROT,17.2031,11.9831,39.1676,12.6402,6.0225,11.3478,4.92995,8.52486,9.149460000000001,14.1979,70.1636
CXCL10,2.29941,66.1195,8.31703,33.8412,6.53556,5.7301400000000005,14.6049,8.15851,324.884,130.123,10.1642
CXCL11,0.642556,28.2921,0.0,17.1314,0.0,0.569746,2.5685700000000002,0.637592,47.492,13.0947,25.8333
CXCL13,0.0413495,4.47169,1116.82,25.2858,4.97297,1.2081899999999999,3.01473,6.32163,92.5893,28.7339,10.7731
CYP4F8,0.048019099999999995,0.0,12.9503,1.63133,0.0,0.773279,0.234377,0.16966900000000001,0.980398,0.0,0.0
DBI,412.371,272.91700000000003,722.9010000000001,124.31700000000001,172.40099999999998,82.4001,170.882,130.439,264.715,116.994,542.624
