gene_short_name,V515-06187-A1,TNT-53,TNT-313,TNT-85,TNT-283,TNT-50,17-00243-6_S9Aligned_cufflinks,TNT-138,17-00270-5_S14Aligned_cufflinks,17-00212-8_S3Aligned_cufflinks,TNT-121
ABCA8,1.07397,12.7482,11.8392,13.9148,5.2258,6.27059,39.5772,12.6791,2.10963,10.9008,3.9618800000000003
ADRA2A,0.196819,0.09945930000000001,0.166689,0.126968,0.0,0.613286,2.18221,1.91297,0.785147,0.804,0.0
AKAP12,3.7524300000000004,2.72579,5.92393,9.65515,3.43169,15.7193,18.6305,7.20418,3.9364199999999996,6.45585,11.4793
ALDH3B2,34.613,0.586071,0.129083,3.0914200000000003,2.4243200000000003,19.4221,6.116709999999999,12.4995,173.954,54.5406,2.11688
APOD,101.54799999999999,108.63600000000001,68.6262,880.669,134.119,34.8661,222.14700000000002,27.4739,1702.36,1024.91,39.2727
ART3,19.2103,384.85,5.75635,23.9716,1.3833,0.6718649999999999,0.6155229999999999,0.47330600000000006,0.0,0.0878982,10.847999999999999
ASPN,31.1651,30.5316,30.4671,34.7116,148.766,72.6274,114.85700000000001,46.9364,97.1702,191.273,56.5755
AZGP1,64.9749,239.112,86.0315,35.7304,6.21353,94.0011,63.7556,30.0339,433.668,257.36400000000003,13.4647
BLVRB,6.57613,2.26478,2.56904,1.67536,3.29221,4.2330000000000005,4.7669999999999995,9.23049,17.5144,80.8059,1.03409
C7,0.29143,2.08852,2.9121599999999996,2.5042,1.21194,5.63905,24.3373,0.29318,0.913499,4.5721099999999995,0.278673
CCL5,1.03708,29.3619,6.95546,8.38996,13.0437,2.46692,11.5664,5.65268,0.0,5.79704,6.49841
CD36,36.5005,35.2486,7.603460000000001,17.1364,37.5269,17.4704,228.418,30.2316,5.78937,59.1195,39.211999999999996
CD52,5.15236,13.2733,146.87,20.4057,9.26877,26.2153,53.8862,35.721,25.8947,31.8435,0.0
CDC20,19.1111,16.9774,4.3525599999999995,9.41933,9.884360000000001,6.633089999999999,0.705943,7.318789999999999,2.98538,3.74191,15.5014
CHI3L1,52.4824,47.8151,122.696,13.6008,1.1316899999999999,23.1543,20.1565,4.73091,16.8958,3.5127800000000002,13.9052
COL2A1,124.822,31.4125,0.48526499999999995,98.027,1.11024,0.7584,0.413376,28.685,0.0,0.029408999999999998,20.653000000000002
COL5A1,145.37,57.393,57.3617,45.6382,30.5437,129.285,204.403,104.083,159.398,109.637,112.066
COL5A2,202.313,62.0196,79.4514,129.77,90.4159,232.429,352.65,180.77900000000002,332.476,225.09400000000002,133.695
CRAT,3.09639,4.58664,0.906711,2.57163,1.0920100000000001,9.18802,9.947460000000001,21.3933,35.1876,37.2093,5.6090800000000005
CROT,17.2031,3.7599699999999996,9.1463,12.7296,7.69125,5.88813,15.6503,25.7858,61.1756,55.8078,9.7
CXCL10,2.29941,1027.76,48.9679,11.7658,57.2712,15.6837,15.3334,27.7287,47.1377,10.818,25.2886
CXCL11,0.642556,117.484,3.51615,2.7381599999999997,9.65099,1.4391100000000001,8.71699,11.7097,17.4057,2.1760200000000003,0.0
CXCL13,0.0413495,13.8145,64.2703,4.71574,30.5927,5.55664,5.5519099999999995,47.9078,13.6215,16.0517,0.0
CYP4F8,0.048019099999999995,0.446875,0.150132,0.0,0.368212,0.31056500000000004,4.40353,0.0,2.87166,93.9124,0.464837
DBI,412.371,341.228,139.847,133.489,168.356,139.829,68.6185,140.30200000000002,458.19199999999995,180.87,121.927
DEFB1,3.16262,1.69422,0.9545950000000001,0.38140999999999997,0.8576389999999999,10.9841,0.460946,0.0,2.34702,0.8506879999999999,0.0
DHCR24,38.1374,20.8399,20.656,4.28671,46.4939,61.7799,27.6291,10.8436,130.19799999999998,41.4729,7.18474
DUSP5,2.6614299999999997,4.52794,7.489269999999999,2.37387,2.6326099999999997,4.47715,12.0934,12.0054,3.94306,2.6576400000000002,0.0
FABP7,2.25652,0.566084,0.0867112,6.33376,0.521183,0.0,1.58738,3.49154,202.65,159.575,6.4989
FASN,124.609,10.4043,2.98044,4.8539699999999995,22.4823,57.4616,68.9283,84.7906,778.4830000000001,309.301,4.28607
FGFR4,2.32432,0.23045100000000002,0.253247,0.210286,0.42262,1.32382,0.41132799999999997,0.23881999999999998,0.55462,7.30337,0.156723
FGL2,2.48121,5.875319999999999,5.9402099999999995,2.7094,4.1031699999999995,5.51389,8.60775,8.125810000000001,10.955,6.500380000000001,4.5936699999999995
FOXA1,1.38574,0.2382,1.1556,0.0,135.889,1.90232,36.4209,0.9089700000000001,98.2355,46.262,0.0
FOXC1,9.10755,34.1132,47.1304,79.8081,3.01998,39.9886,10.9936,22.5072,1.00065,2.49251,31.2379
GABRP,8.66089,837.778,236.085,1053.74,1.8258599999999998,23.6083,12.1721,866.449,1.14783,1.9642700000000002,14.2934
GALNT7,12.4003,12.0992,16.6628,38.9402,80.39,11.5386,25.96,6.7878,43.2333,92.9805,5.890619999999999
GBP1,41.394,169.81099999999998,222.533,94.8531,95.4322,71.5431,243.862,235.575,151.737,60.6462,175.52900000000002
GCHFR,0.42253100000000005,0.0,0.0,0.0,0.0,0.20549,0.737737,0.11525099999999999,2.0417099999999997,1.17435,0.0
GPR87,0.9514879999999999,0.6578970000000001,0.22916999999999998,0.274371,1.1195700000000002,4.06842,0.46162299999999995,0.255178,1.74747,0.16636800000000002,2.2259
GZMB,1.4986,5.61985,3.70516,0.156752,0.77617,2.96307,5.20754,1.4718200000000001,6.61711,2.31003,0.0918933
HGD,4.21735,0.533701,0.12058599999999998,0.344177,6.59139,2.01073,3.72477,1.58196,27.7762,26.6912,2.93827
HTRA1,91.2943,18.0935,49.7,26.8807,30.5015,121.51299999999999,381.336,69.6612,156.50799999999998,212.05599999999998,51.2061
IDO1,0.29142399999999996,14.6102,7.03383,1.2597200000000002,3.09202,8.63063,3.1867799999999997,5.92848,19.0683,2.55753,1.0248899999999999
IGFBP4,13.3498,2.04998,1.0656,1.20676,0.49661000000000005,3.0842400000000003,42.5683,3.7754300000000005,22.6642,19.16,13.2206
IGHM,55.218999999999994,45.6794,804.47,15.7823,5.19747,119.376,0.0,2048.59,377.42400000000004,103.525,5.04659
IGJ,20.0186,140.38299999999998,696.573,28.9327,27.8626,101.14,501.588,667.293,149.07399999999998,50.9066,0.10924600000000001
IGKC,182.34599999999998,503.449,16377.5,544.65,801.068,1160.89,8367.3,12117.4,8345.27,3990.24,29.2
IL23A,0.049007300000000004,0.253118,0.246941,0.0,0.0,0.391571,0.17344400000000001,0.0,0.0,0.649216,0.0
IL33,0.8833290000000001,0.556894,0.673393,2.95705,0.5539649999999999,0.9289459999999999,5.03543,0.0,1.6797900000000001,1.8899599999999999,0.120374
INPP4B,37.1722,7.195010000000001,7.730180000000001,12.045,12.8883,17.8934,31.7449,16.7371,53.968999999999994,32.4049,2.65465
ITM2A,5.13433,12.1728,27.5243,13.6575,9.52588,4.171819999999999,51.0475,42.6476,6.668019999999999,13.1332,6.715789999999999
JAM2,11.2143,4.91331,5.56231,16.8022,0.335613,6.59347,29.0208,0.342646,14.5784,12.1372,8.22005
KCNK5,7.320460000000001,0.602485,1.89058,1.42137,0.207736,0.660506,0.144255,1.8769900000000002,0.164958,0.226162,0.9709770000000001
