gene_short_name,V515-06187-A1,TNT-30,TNT-76,TNT-202,TNT-73,TNT-26,17-00118-2_S5Aligned_cufflinks,TNT-234,TNT-54,TNT-100,17-00125-8_S13Aligned_cufflinks
ABCA8,1.07397,3.5160400000000003,1.7120799999999998,0.419579,7.7854600000000005,4.23117,24.4092,4.492780000000001,58.0877,10.2128,55.5194
ADRA2A,0.196819,0.202828,0.216004,0.10423800000000001,0.224004,0.999606,3.19406,0.631742,0.409427,0.218344,4.317880000000001
AKAP12,3.7524300000000004,9.44357,4.07696,2.88543,6.59172,16.1452,14.0568,13.1758,14.9386,6.21779,25.364
ALDH3B2,34.613,10.5998,1.20211,9.39125,8.950569999999999,2.6644200000000002,3.2972599999999996,1.06207,9.506730000000001,3.95048,14.4216
APOD,101.54799999999999,78.6344,226.99099999999999,11.7008,2468.97,23.2556,185.233,158.972,745.2,169.25099999999998,136.705
ART3,19.2103,2.3747,61.9652,33.6664,37.2875,11.4363,0.0,45.8656,3.22085,165.481,0.0
ASPN,31.1651,73.809,61.5295,19.8095,20.8746,99.8197,16.7672,10.3409,17.7205,26.1134,44.1739
AZGP1,64.9749,43.5564,279.97,174.74099999999999,4.87138,8.42855,72.8132,199.49200000000002,84.4769,6.8005,178.998
BLVRB,6.57613,4.9334,2.58846,0.838176,0.22738899999999998,1.8821400000000001,1.8396400000000002,5.22607,1.03403,1.16798,5.03918
C7,0.29143,0.511494,0.703238,0.491271,3.75633,1.5576299999999998,24.8705,8.1721,70.8319,3.11435,19.783
CCL5,1.03708,4.70011,10.1325,2.81882,5.166919999999999,0.328596,3.56215,20.0857,27.218000000000004,19.74,2.22877
CD36,36.5005,15.5684,9.871830000000001,18.456,29.3908,27.8522,119.60700000000001,6.57482,53.4162,37.6889,182.748
CD52,5.15236,11.0281,16.4339,22.4442,22.8146,2.72588,2.24641,203.87400000000002,206.158,134.336,0.0
CDC20,19.1111,5.88238,20.9927,43.36600000000001,6.30304,14.2065,0.0,15.2527,3.85495,8.904589999999999,0.0
CHI3L1,52.4824,52.7601,11.3194,23.2638,17.4637,20.8098,12.7697,6.94574,7.7664,24.0775,5.63374
COL2A1,124.822,0.0929615,8.18038,0.0214933,0.257811,105.473,0.0,14.9827,0.348718,0.112568,0.0
COL5A1,145.37,179.37900000000002,128.055,31.7171,28.7026,269.70099999999996,52.95,85.51700000000001,20.0147,29.7421,160.153
COL5A2,202.313,246.265,199.463,55.4751,55.1583,409.89,24.6562,97.4348,24.5429,89.4079,136.536
CRAT,3.09639,4.45403,7.599480000000001,0.301212,7.99856,3.7270300000000005,10.0312,3.60935,8.035219999999999,2.41362,20.776999999999997
CROT,17.2031,9.49973,11.5114,4.69295,8.95417,5.29179,11.6213,12.6402,7.78597,6.30357,4.49909
CXCL10,2.29941,24.6676,59.3069,80.0122,79.1191,4.175669999999999,3.6803,33.8412,37.7643,240.75900000000001,0.0
CXCL11,0.642556,2.20598,14.2748,5.16683,17.9889,0.0,0.0,17.1314,14.0366,44.6731,0.0
CXCL13,0.0413495,7.550910000000001,23.8366,16.756,25.8386,1.4694,0.0,25.2858,33.4686,63.115,0.0
CYP4F8,0.048019099999999995,0.0,0.0,1.23981,0.11675799999999999,0.0,0.0,1.63133,0.990511,0.0,5.58269
DBI,412.371,185.61,80.9435,81.6514,191.018,99.8671,19.5872,124.31700000000001,101.01,96.7272,14.5811
DEFB1,3.16262,3.46823,0.967678,3.2412400000000003,82.74600000000001,0.0,0.0,0.591504,0.0,3.17559,0.0
DHCR24,38.1374,21.093000000000004,38.0718,22.1326,24.2594,15.2315,14.4419,24.5526,8.20185,11.8349,26.3007
DUSP5,2.6614299999999997,5.77455,3.34565,6.07051,2.62585,4.38127,11.1119,3.12875,6.61308,5.35534,17.2635
FABP7,2.25652,4.77493,0.09458,90.0951,0.24545100000000003,1.1090200000000001,0.428058,0.0,5.1336699999999995,0.5850310000000001,1.4797200000000001
FASN,124.609,33.5896,28.3466,6.0106,2.2914,5.82045,23.8917,35.273,14.5167,11.798,188.59599999999998
FGFR4,2.32432,2.3529,3.80263,0.572056,0.103253,0.560783,1.08178,0.773005,0.111696,0.757059,0.0
FGL2,2.48121,3.95632,6.1744900000000005,3.41656,5.2011400000000005,1.5139799999999999,3.5442400000000003,6.32909,14.4419,11.0687,5.21316
FOXA1,1.38574,0.279061,3.33958,0.420079,0.840333,0.36304200000000003,90.0389,5.27579,14.8548,1.26925,70.9237
FOXC1,9.10755,28.9814,12.8646,61.0001,39.4518,62.2426,15.4442,14.6341,10.7698,41.8014,12.1608
GABRP,8.66089,193.312,1458.83,392.1,788.549,138.871,123.86,1028.27,10.0879,358.421,79.957
GALNT7,12.4003,6.88271,15.4459,29.0905,32.0451,19.6479,17.0883,18.4391,29.2673,29.8137,20.9316
GBP1,41.394,178.53099999999998,210.72400000000002,350.463,162.27200000000002,54.4518,50.1795,225.238,112.329,388.829,93.6234
GCHFR,0.42253100000000005,0.153757,0.0,0.699921,0.0,0.1355,0.0,0.27570500000000003,0.0,0.31399699999999997,8.82467
GPR87,0.9514879999999999,0.514935,2.75671,0.157315,5.26291,0.8265629999999999,1.69062,2.69066,0.13426400000000002,1.30861,0.0
GZMB,1.4986,1.30313,6.6532,4.89034,3.86003,0.11918800000000002,0.0,11.2726,22.9207,8.787889999999999,6.68157
HGD,4.21735,0.539208,0.21181,6.727239999999999,0.0,0.244245,0.460552,1.4209200000000002,9.23906,0.6387010000000001,0.0
HTRA1,91.2943,72.8846,69.2555,12.8885,18.7356,169.942,47.1622,33.9002,64.1031,46.1997,84.7862
IDO1,0.29142399999999996,6.2950099999999996,18.8168,7.40508,9.27438,0.879626,0.0,12.2501,22.9377,26.7969,0.0
IGFBP4,13.3498,6.21226,3.32934,0.876592,1.43517,1.3705399999999999,70.1925,6.813,2.86017,1.63244,60.3488
IGHM,55.218999999999994,25.1123,245.813,110.23,92.9612,3.04095,86.3239,185.139,126.71,2633.01,31.0737
IGJ,20.0186,71.54,103.539,146.929,384.288,21.932,279.78700000000003,72.7743,802.568,1101.02,110.391
IGKC,182.34599999999998,887.2189999999999,3662.27,1651.13,2785.71,127.93,1148.8,2509.63,3790.35,13908.6,689.578
IL23A,0.049007300000000004,0.0,0.232573,0.0,0.40242,0.083901,0.0,0.0,0.360752,0.11145799999999999,0.0
IL33,0.8833290000000001,0.679134,0.642472,21.1157,4.19605,1.17252,13.1878,2.8446700000000003,13.8928,4.16297,3.16025
INPP4B,37.1722,14.2863,26.9969,4.15032,9.91178,13.2894,50.4525,34.7775,70.1898,16.4583,22.2753
ITM2A,5.13433,3.2629,7.44424,12.912,7.0714,6.31847,22.506,15.4977,48.3458,43.1574,8.81775
JAM2,11.2143,6.0877,5.43176,2.0304599999999997,7.17962,10.5988,36.0985,2.30841,25.4863,8.00646,19.4021
KCNK5,7.320460000000001,3.3582400000000003,1.52393,1.84855,0.0679313,8.64592,1.64673,1.12907,0.293658,0.647269,1.11295
KIAA1324,6.46799,9.0147,0.643353,30.8297,3.7088400000000004,31.4718,18.2397,1.58518,125.743,22.5117,28.0925
KMO,1.44589,1.48064,4.02581,4.14027,8.273719999999999,0.646642,3.6864800000000004,4.34515,17.2072,4.03722,10.8902
KRT14,118.37100000000001,129.012,96.6137,5.13657,13.3212,491.849,394.19,73.9875,10.1796,17.7406,151.061
KRT16,91.0343,121.75,90.57600000000001,16.1524,6.70262,147.095,67.3251,71.7901,0.225316,26.5273,34.7157
KRT17,105.34700000000001,731.945,166.12,9.91089,48.2962,165.31099999999998,1029.97,266.007,15.9813,32.7619,587.053
KRT6A,54.2242,165.653,134.951,86.5851,77.6605,1080.32,42.1492,76.4429,3.2096400000000003,46.8005,103.81
KRT6B,86.6584,213.36599999999999,530.7869999999999,77.1575,63.2006,476.639,58.21,479.9,3.3842800000000004,77.5874,47.9742
KYNU,14.7879,5.5113900000000005,9.09878,4.772880000000001,9.55879,4.17852,4.379630000000001,8.79221,14.6996,8.12335,3.69438
LBP,0.573258,0.5997180000000001,0.510202,0.29684099999999997,0.0,0.12506099999999998,0.6302840000000001,0.257459,0.036197599999999996,0.0556399,0.0
LHFP,2.0952,2.68666,1.54434,0.392373,0.260677,3.19932,6.1212800000000005,0.714479,1.9761799999999998,1.13224,13.5338
MFAP4,1.60954,2.07128,2.12753,0.311481,2.133,6.91442,30.8398,3.14142,15.402000000000001,4.33022,19.9395
MIA,21.0747,31.8349,6.86349,2.7299999999999985e-291,3.3616900000000003,40.5309,10.3012,5.76936,10.6721,1.9664400000000002,4.536519999999999
MID1,36.2366,18.5919,43.0015,20.6841,24.2977,18.2572,13.2023,26.9271,9.3377,10.3217,11.1666
MYBL1,4.603619999999999,11.4295,16.8039,230.329,8.25261,5.37248,1.04872,22.7219,17.2978,28.7094,0.8439909999999999
NEK2,17.1321,14.0968,29.3384,47.6521,54.6188,6.4980400000000005,0.0,28.8537,3.0213,17.3282,0.0
NTN3,0.023557599999999998,0.0227539,0.0,0.0,0.0,0.0,0.10363599999999999,0.0,0.0,0.0,0.72148
OGN,1.27872,5.48295,11.7997,12.3851,28.6293,41.2163,18.294,10.9256,47.7903,16.1288,24.712
PI3,0.0,0.47946400000000006,74.0994,17.4779,15.2543,3.94404,12.3687,0.809754,0.144572,4.06093,0.0
PLEKHB1,14.583,3.95367,3.5639,1.01767,0.340161,1.0292700000000001,2.82605,1.4164299999999999,3.18058,0.902408,0.0
PMAIP1,1.6239299999999999,0.607298,0.9790120000000001,6.59513,2.3414599999999997,5.10806,1.26956,0.687533,3.87836,2.55461,15.6384
PSMB9,0.0,14.799000000000001,14.6465,17.354,5.68435,3.9728199999999996,7.70055,26.4592,21.6541,17.9413,0.0
PTGDS,1.49063,0.47635900000000003,1.42082,1.9078,3.77751,0.7358520000000001,15.6347,7.37632,13.7563,2.2711799999999998,12.2808
RARRES3,10.7933,12.062000000000001,13.0092,7.53713,10.8694,3.30263,1.02773,10.8688,34.8722,34.1245,24.4087
RTP4,0.772275,2.34622,1.6689,0.217629,4.22076,0.268113,0.0,3.08606,0.464337,4.4314599999999995,0.9377049999999999
S100A1,196.638,64.0962,2.02478,16.643,0.156149,4.30791,3.69956,3.24423,3.7649800000000004,17.2424,11.2292
S100A7,6.579160000000001,2.47008,1.7490299999999999,10.9899,9.12628,4.4318800000000005,37.0075,0.49355299999999996,0.0,90.8251,0.0
S100A8,3.4999599999999997,1.9656200000000001,8.5793,2.47669,5.5385599999999995,4.205,37.781,1.2311299999999998,0.8787149999999999,24.8285,17.6617
SCRG1,23.221999999999998,10.3783,0.15075,15.2656,2.2307,28.1591,0.0,0.0346114,1.55734,0.134701,0.0
SEMA3C,89.189,72.1543,31.7132,32.5006,15.7635,41.0773,46.8309,23.6758,21.6573,25.4714,33.3766
SERHL2,5.02658,2.18186,2.36334,0.991125,1.2349,3.6196599999999997,9.31367,3.8201099999999997,1.8330400000000002,1.91457,44.4878
SFRP1,35.3095,17.7648,10.8045,4.3348,0.100459,4.2071,13.2394,15.3514,14.4536,18.3509,9.57648
SIDT1,0.9090090000000001,1.8574400000000002,2.9025,2.41152,3.01369,1.23219,21.2172,6.04401,21.7554,6.621589999999999,10.0237
