gene_short_name,V515-06187-A1,17-00100-2_S17Aligned_cufflinks,17-00283-0_S6Aligned_cufflinks,17-00141-7_S14Aligned_cufflinks,TNT-45,TNT-14,TNT-328,TNT-195,TNT-282,TNT-94,17-00109-8_S14Aligned_cufflinks
ABCA8,1.07397,2.66909,13.7512,10.5345,69.6238,1.6867900000000002,9.23817,30.7235,4.67702,2.8494900000000003,94.4592
ADRA2A,0.196819,0.798061,0.8419840000000001,1.99187,0.0861151,0.10451700000000001,0.0,0.22465,0.0181278,0.0,1.63707
AKAP12,3.7524300000000004,2.76503,12.1297,12.7907,3.04989,2.1604400000000004,9.39584,21.7435,3.3799099999999997,20.2867,66.8964
ALDH3B2,34.613,8.7501,1.86877,3.54849,0.95725,5.56607,14.562000000000001,1.14113,14.2492,22.8759,1.05881
APOD,101.54799999999999,62.3337,91.0254,24.0673,41.6221,10.9277,32.4682,604.388,1.37445,147.095,86.1078
ART3,19.2103,1.8053599999999999,8.68211,0.899191,13.519,31.6725,13.5651,9.550980000000001,1.17116,22.2765,0.0
ASPN,31.1651,28.774,364.705,73.3324,28.9929,9.50099,15.9623,55.6316,10.9442,57.3841,162.196
AZGP1,64.9749,6.16124,14.9506,44.7696,34.8083,31.8473,39.4368,268.497,58.3199,70.096,24.7804
BLVRB,6.57613,1.9429400000000001,9.71763,3.11342,0.760424,7.24225,1.26662,4.4294,2.42049,1.2002899999999999,8.9017
C7,0.29143,1.22548,13.6514,5.79552,0.936934,0.419171,0.0,32.9843,0.311238,0.887843,5.02005
CCL5,1.03708,10.7786,12.2628,2.20958,1.6864,6.555389999999999,1.60917,35.4418,7.18878,4.1359900000000005,22.5121
CD36,36.5005,9.62158,257.01,8.51482,35.4874,19.3488,18.5983,82.4024,31.9388,22.7489,142.11700000000002
CD52,5.15236,8.39226,72.2506,3.2807800000000005,10.8174,20.7734,0.0,161.817,28.9883,0.0,25.0099
CDC20,19.1111,16.0755,5.4295,3.57694,8.45575,23.4345,10.2348,6.47849,16.4631,6.503340000000001,0.0
CHI3L1,52.4824,6.07407,65.1865,49.6044,22.6098,14.9398,30.5357,23.4869,10.2047,2.53769,0.551848
COL2A1,124.822,1.0013,0.056947300000000006,6.22864,42.1761,0.8622049999999999,147.203,2.00073,0.205631,6.00303,0.0370783
COL5A1,145.37,75.7083,210.984,179.457,30.6618,30.3356,38.532,144.053,8.00722,28.5161,246.791
COL5A2,202.313,115.303,460.01300000000003,139.583,58.7905,32.3981,25.6229,131.694,9.29631,26.9307,326.53
CRAT,3.09639,1.6138700000000001,5.89197,13.306,1.07721,12.9929,3.56428,8.42276,1.76532,8.31426,11.3141
CROT,17.2031,12.8803,10.4782,11.8014,5.64661,3.9923599999999997,8.11488,21.0095,17.5883,7.724880000000001,48.7835
CXCL10,2.29941,33.681,25.8238,1.77745,43.0563,29.3048,8.52238,96.1112,44.8489,20.6893,1.17114
CXCL11,0.642556,13.7347,9.316130000000001,0.511637,13.4844,6.51251,0.0,15.4312,6.8698,4.12924,5.74158
CXCL13,0.0413495,12.9616,19.3527,0.10165,1.8025200000000001,7.50828,0.0,37.6107,41.0339,0.0,0.0
CYP4F8,0.048019099999999995,0.0,0.0,0.0,0.113976,0.0,0.0,0.439154,8.548969999999999,0.0,8.00879
DBI,412.371,82.3534,251.488,41.5496,61.8241,145.792,61.6366,141.929,94.6861,186.812,42.2468
DEFB1,3.16262,2.1062,1.62226,0.9289649999999999,0.17210999999999999,2.8024400000000003,3.2168400000000004,2.00535,39.0385,0.0,0.0
DHCR24,38.1374,60.8572,20.2387,8.791030000000001,6.56267,86.3851,9.57038,15.8205,103.38,5.51588,2.16125
DUSP5,2.6614299999999997,2.8738,6.05483,9.1031,2.98412,6.16071,3.33009,4.06994,1.47901,11.9441,21.4802
FABP7,2.25652,10.515999999999998,2.42951,0.729541,19.2089,1.2532,7.262560000000001,3.66641,254.77900000000002,234.22099999999998,2.38455
FASN,124.609,77.1645,53.9528,110.82600000000001,7.909510000000001,69.7638,4.8363,3.79399,13.0917,12.7001,7.55502
FGFR4,2.32432,1.22252,0.225221,1.23672,0.676813,0.547024,0.0,1.3025,0.356516,0.0,0.0
FGL2,2.48121,8.12208,18.1999,2.91686,2.29528,3.2164200000000003,13.4369,13.2934,10.6796,4.0132900000000005,7.85378
FOXA1,1.38574,0.46939899999999996,0.742325,22.9237,4.18446,0.205656,3.16782,11.4149,6.46327,52.9129,12.0454
FOXC1,9.10755,88.3177,11.5344,18.3546,82.3449,32.1182,11.1992,27.8721,17.1276,8.84632,4.88963
GABRP,8.66089,227.37099999999998,61.8084,145.533,429.95300000000003,841.158,13.0795,255.80599999999998,471.699,392.793,47.4048
GALNT7,12.4003,18.5846,18.4078,17.1514,34.2443,7.97859,0.875309,18.406,26.6716,59.2443,7.85692
GBP1,41.394,194.71900000000002,162.069,92.1187,124.809,144.463,22.651999999999997,180.14700000000002,203.558,17.1528,226.628
GCHFR,0.42253100000000005,0.19724,2.50636,0.0,0.34274099999999996,0.0,0.0,0.0,0.0,0.0,0.0
GPR87,0.9514879999999999,0.9885799999999999,0.176977,0.0,3.55765,0.9581959999999999,0.0,0.499684,2.89692,3.5010000000000003,0.0
GZMB,1.4986,8.62832,7.94791,0.5579069999999999,3.96746,2.58473,0.0,14.8104,3.2459599999999997,0.0,8.07085
HGD,4.21735,0.449058,1.72268,3.6716699999999998,0.9261360000000001,0.5958399999999999,9.049489999999999,0.884692,10.2078,0.0,0.0
HTRA1,91.2943,55.8889,267.781,106.556,23.6414,16.6235,22.5486,145.91299999999998,4.14392,4.2443800000000005,154.797
IDO1,0.29142399999999996,48.9137,8.13453,0.683896,4.55117,5.88304,4.34852,28.6191,39.4807,0.0,0.0
IGFBP4,13.3498,18.1202,19.7173,37.1521,0.6104310000000001,2.86242,1.2525899999999999,7.54149,0.515297,1.46345,20.7561
IGHM,55.218999999999994,0.0,419.759,0.0,60.1804,144.626,18.2147,1091.9,466.11400000000003,5.60384,0.0
IGJ,20.0186,238.87599999999998,267.344,196.38099999999997,113.147,39.4167,28.6686,373.709,419.336,0.571862,275.119
IGKC,182.34599999999998,6672.11,3901.46,2241.32,5655.79,9184.18,73.3224,10105.0,4173.32,84.4972,1201.25
IL23A,0.049007300000000004,0.209331,0.0,0.239204,0.226546,0.0,0.0,0.0,0.0,0.0,2.6804900000000003
IL33,0.8833290000000001,0.665625,4.89805,1.8586,0.455691,0.45888599999999996,0.0,7.684819999999999,7.39602,0.0,2.62703
INPP4B,37.1722,10.2353,8.444239999999999,25.1375,10.6943,12.2175,2.22397,45.4741,3.2087,29.8417,23.4842
ITM2A,5.13433,8.71832,34.0268,6.32241,7.110339999999999,4.7240400000000005,2.31869,29.3389,28.7268,0.0,21.3658
JAM2,11.2143,8.92198,15.3358,10.662,6.618289999999999,2.3709700000000002,0.0612626,18.4024,1.8003799999999999,0.0,29.9117
KCNK5,7.320460000000001,0.700376,0.569483,1.93303,2.44618,1.8995,4.4551099999999995,0.025733199999999998,1.10293,0.327907,0.0
KIAA1324,6.46799,8.7735,2.97874,4.3116699999999994,47.721000000000004,0.938493,14.6388,8.69715,28.5795,18.6514,0.46175200000000005
KMO,1.44589,6.65857,12.5123,3.5943099999999997,5.06744,10.7046,1.46333,17.7686,2.02878,31.2493,2.81473
KRT14,118.37100000000001,1582.72,160.041,36.7775,3.86085,2.10125,230.732,11.6825,4.47365,2.19612,32.5228
KRT16,91.0343,577.869,13.312000000000001,53.5803,16.9141,24.2042,56.5354,5.14653,85.9574,4.77604,113.62200000000001
KRT17,105.34700000000001,905.3480000000001,30.8677,207.128,73.8602,48.217,3.7010099999999997,44.1026,109.236,0.815724,109.838
KRT6A,54.2242,1570.27,27.616999999999997,95.3601,8.03037,10.655999999999999,54.6293,7.37833,81.6097,7.5121899999999995,176.732
KRT6B,86.6584,239.09799999999998,4.54214,46.9562,63.3655,4.38034,3.74309,22.689,27.4725,2.87622,27.5727
KYNU,14.7879,26.6823,30.2071,4.16904,11.9074,2.87511,2.66025,7.339639999999999,6.11862,0.0,11.2024
LBP,0.573258,0.8672129999999999,0.08534299999999999,0.05971219999999999,0.49678100000000003,9.36242,0.20719,0.0,50.1772,4.36765,0.33400100000000005
LHFP,2.0952,1.0104,2.39066,3.25874,0.711071,0.44400600000000007,0.23956799999999998,0.234188,0.27428600000000003,0.0018709,5.09697
MFAP4,1.60954,1.15642,34.1461,13.5576,1.58376,0.611251,2.3709,10.6199,3.4615699999999996,0.0,33.1626
MIA,21.0747,2.57247,3.07223,9.901530000000001,18.2909,13.5693,32.4655,0.558431,22.4521,10.5257,0.0
MID1,36.2366,19.8566,8.45507,32.269,26.6167,27.3804,3.49747,16.7236,27.0078,8.964210000000001,24.305
MYBL1,4.603619999999999,7.9371100000000006,2.64126,16.2934,2.2844,161.042,11.888,57.5484,1.09933,26.6594,9.16538
NEK2,17.1321,13.3532,4.28059,11.1588,13.142000000000001,22.8411,4.76664,22.1877,11.9491,67.4823,0.0
NTN3,0.023557599999999998,0.0,0.0,0.294553,0.0,0.184201,0.0,0.0,0.0,0.0,0.16475499999999998
OGN,1.27872,1.71931,70.0729,18.2678,6.62343,6.075080000000001,26.9071,40.6724,5.10016,14.1949,69.1051
PI3,0.0,35.6836,0.12346900000000001,0.24203400000000003,39.2395,0.327406,0.0,0.19831500000000002,111.991,0.0,42.1368
PLEKHB1,14.583,0.354532,0.5123949999999999,9.12156,2.29668,5.895,0.613881,0.389207,1.6425599999999998,2.4264900000000003,0.0
PMAIP1,1.6239299999999999,5.2159,1.4941799999999998,0.24055700000000002,1.8095400000000001,3.0045,0.0,2.54785,1.82572,14.323,0.0
PSMB9,0.0,0.0,0.0,0.0,12.4823,20.2724,0.301134,22.4078,29.4268,0.784733,0.0
