gene_short_name,V515-06187-A1,TNT-4,TNT-1,TNT-223,17-00280-7_S4Aligned_cufflinks,TNT-105,17-00163-6_S7Aligned_cufflinks,TNT-65,TNT-8,17-00111-2_S4_cufflinks,TNT-282
ABCA8,1.07397,37.7185,47.3435,11.3176,1.9610400000000001,31.9528,0.7701479999999999,9.975389999999999,21.1353,3.13612,4.67702
ADRA2A,0.196819,4.021059999999999,0.120636,0.0,0.330945,0.0701431,0.0657186,0.0,0.39815700000000004,1.38168,0.0181278
AKAP12,3.7524300000000004,17.7207,4.00906,2.91052,1.98968,9.491489999999999,1.2357,3.85601,2.99765,6.91818,3.3799099999999997
ALDH3B2,34.613,42.5699,8.46557,8.826939999999999,75.8959,0.0,2.97506,1.98891,2.43056,7.41563,14.2492
APOD,101.54799999999999,2583.61,6.4374,634.054,25.2137,114.32,57.5143,88.1029,223.767,53.9198,1.37445
ART3,19.2103,0.0,0.194101,0.0,0.025776499999999997,17.1801,80.791,4.04652,117.309,0.0,1.17116
ASPN,31.1651,315.638,38.4711,25.1588,12.2085,168.207,20.2771,110.46799999999999,38.9421,172.13400000000001,10.9442
AZGP1,64.9749,298.58,13.4994,189.675,140.03,9.073,59.9678,93.0043,95.0087,35.5573,58.3199
BLVRB,6.57613,7.36637,23.8841,2.24178,4.51035,0.431008,8.241610000000001,5.949330000000001,1.6915200000000001,5.90259,2.42049
C7,0.29143,8.536660000000001,0.277686,21.6657,1.8111099999999998,5.95524,1.01661,2.48137,0.131227,2.30553,0.311238
CCL5,1.03708,13.302999999999999,5.85725,2.0409900000000003,0.0,6.4528300000000005,0.0,4.2336800000000006,55.7447,20.6348,7.18878
CD36,36.5005,100.477,12.6625,2.84832,13.3628,49.5897,19.9552,140.793,30.3092,34.8274,31.9388
CD52,5.15236,48.9762,28.6878,36.0713,23.5318,19.3671,4.53303,17.9,50.9935,43.6633,28.9883
CDC20,19.1111,2.9675599999999998,10.419,1.58792,8.15715,3.94257,33.2568,10.3176,8.34843,1.21622,16.4631
CHI3L1,52.4824,5.7134,5.10433,1.17865,3.3229800000000003,5.77056,183.889,0.527097,265.642,13.5814,10.2047
COL2A1,124.822,0.149369,0.0,0.0,0.019504300000000002,4.955830000000001,8.5081,0.146536,82.9299,0.361854,0.205631
COL5A1,145.37,225.483,136.494,43.7951,44.028,51.5344,40.8437,87.8912,39.1658,238.76,8.00722
COL5A2,202.313,308.353,181.264,33.5457,82.8314,93.8971,41.0361,111.348,37.0824,418.121,9.29631
CRAT,3.09639,14.7289,8.602030000000001,26.14,24.1691,3.66532,9.7429,0.619898,6.769639999999999,7.61619,1.76532
CROT,17.2031,47.6286,8.033710000000001,24.6569,15.8075,11.0311,5.1833,9.344610000000001,4.73515,9.11234,17.5883
CXCL10,2.29941,39.4233,18.7691,1.15513,50.6872,20.2306,24.1237,35.4013,179.872,26.4698,44.8489
CXCL11,0.642556,8.87846,4.29667,2.02828,10.4707,4.0881099999999995,1.88411,3.02595,6.863389999999999,9.11358,6.8698
CXCL13,0.0413495,46.0943,16.4184,0.10202699999999999,11.7207,5.1081900000000005,1.7244700000000002,0.0,9.364989999999999,10.9874,41.0339
CYP4F8,0.048019099999999995,27.8697,0.0,12.2088,0.562419,1.98386,0.0,0.00128774,1.05944,0.0,8.548969999999999
DBI,412.371,273.298,88.0907,128.19,128.964,33.3223,307.908,415.849,205.30599999999998,129.475,94.6861
DEFB1,3.16262,1.9527599999999998,0.0,0.7604770000000001,1.20338,1.66839,0.14658,0.0,0.372892,2.63568,39.0385
DHCR24,38.1374,25.3035,85.4416,62.6917,57.3044,4.70632,62.1057,52.2747,13.1796,18.9708,103.38
DUSP5,2.6614299999999997,9.615960000000001,4.9567,13.9662,1.67691,2.66086,0.552712,2.33399,6.2158,4.24291,1.47901
FABP7,2.25652,1.97922,0.0,0.776385,2.61417,5.16667,5.85038,2.0540000000000003,10.3147,0.111069,254.77900000000002
FASN,124.609,69.4728,71.0935,15.5662,284.185,0.486821,95.661,10.7493,14.5119,49.9008,13.0917
FGFR4,2.32432,1.93565,2.2993900000000003,5.66742,7.213310000000001,0.5812229999999999,4.11049,0.0,2.5085599999999997,0.265341,0.356516
FGL2,2.48121,18.1586,4.36658,4.23182,9.03129,3.3641199999999998,1.78384,6.2819400000000005,6.19449,9.96545,10.6796
FOXA1,1.38574,44.0487,61.0078,79.9745,166.25599999999997,6.09365,0.108081,37.9063,0.161866,5.35827,6.46327
FOXC1,9.10755,6.6412,0.48579700000000003,0.369856,1.5149299999999999,61.004,78.4953,1.83015,26.6282,15.3442,17.1276
GABRP,8.66089,3.7613199999999996,0.056124400000000005,0.0315845,5.342890000000001,176.33599999999998,542.8330000000001,0.0,672.327,0.995849,471.699
GALNT7,12.4003,29.7102,42.6968,515.1030000000001,58.7644,29.8458,33.3183,28.8918,18.8899,22.0053,26.6716
GBP1,41.394,117.684,324.355,33.577,101.148,96.5449,46.4511,22.5078,109.555,191.718,203.558
GCHFR,0.42253100000000005,0.344589,0.707112,0.0,0.7385430000000001,0.0,0.465567,0.0,0.0,1.08635,0.0
GPR87,0.9514879999999999,0.0,7.8752,2.6789,0.14515,4.51039,0.133773,1.341,0.0,0.635927,2.89692
GZMB,1.4986,1.33328,15.83,0.0,3.9882400000000002,10.8126,1.03451,0.0,4.6982,11.3656,3.2459599999999997
HGD,4.21735,6.88391,15.9397,98.4728,83.8595,17.1976,24.1865,34.0338,0.0,2.98406,10.2078
HTRA1,91.2943,291.691,36.8865,36.1322,47.9654,22.7408,14.6065,51.2842,19.4989,194.174,4.14392
IDO1,0.29142399999999996,1.58873,6.85727,0.0,4.65914,21.6275,1.14673,4.34486,56.6511,9.7812,39.4807
IGFBP4,13.3498,7.64763,16.5499,0.03453219999999999,6.40402,2.6949799999999997,4.64398,1.04424,3.1655900000000003,48.2344,0.515297
IGHM,55.218999999999994,43.9422,62.2751,22.3816,125.662,7.7482,18.7739,8.82801,109.855,511.35900000000004,466.11400000000003
IGJ,20.0186,218.31,22.5761,49.1445,139.326,30.9685,13.3345,44.1014,60.6776,628.3290000000001,419.336
IGKC,182.34599999999998,980.865,396.902,291.998,1796.2,125.6,961.8710000000001,138.829,695.666,11731.0,4173.32
IL23A,0.049007300000000004,0.0,0.07124019999999999,0.241058,0.158848,0.0,0.054583400000000004,0.0,0.0,0.273034,0.0
IL33,0.8833290000000001,5.825130000000001,0.8787709999999999,0.690947,0.668787,4.22781,0.150471,0.0,0.914559,2.74182,7.39602
INPP4B,37.1722,26.069000000000003,63.8126,33.6431,28.0165,15.5322,6.14113,7.392710000000001,4.79361,24.0991,3.2087
ITM2A,5.13433,15.3956,5.07621,1.07971,17.5325,6.29941,2.36489,1.16608,2.28009,19.0709,28.7268
JAM2,11.2143,17.8065,2.3389599999999997,4.30702,25.3646,8.829460000000001,1.9744700000000002,3.3337,7.85367,11.2274,1.8003799999999999
KCNK5,7.320460000000001,0.166799,0.08886010000000001,0.00994656,0.34133600000000003,0.482227,3.80893,0.0,1.41812,0.610668,1.10293
KIAA1324,6.46799,15.1323,1.43479,101.822,106.109,7.3353399999999995,29.0089,26.6,21.9507,14.3826,28.5795
KMO,1.44589,7.90998,0.897208,124.265,17.2094,8.78243,3.8963099999999997,34.8601,14.9334,6.17594,2.02878
KRT14,118.37100000000001,3.8259,1.22776,0.0,20.0869,49.623000000000005,12.3077,0.0395644,1.8267400000000003,414.95300000000003,4.47365
KRT16,91.0343,9.11002,14.0226,4.82541,0.9753379999999999,14.972999999999999,331.452,0.052877,38.1514,256.994,85.9574
KRT17,105.34700000000001,15.2766,25.951999999999998,4.72114,40.3273,73.9639,128.648,4.63325,13.2012,173.845,109.236
