gene_short_name,V515-06187-A1,TNT-71,17-00143-5_S2Aligned_cufflinks,17-00127-8_S3Aligned_cufflinks,TNT-224,TNT-76,TNT-133,TNT-69,TNT-41,17-00165-0_S10Aligned_cufflinks,TNT-300
ABCA8,1.07397,12.9025,0.809124,5.2732,11.0932,1.7120799999999998,75.7969,6.334280000000001,13.0061,16.9844,2.02342
ADRA2A,0.196819,0.12659700000000002,0.07267710000000001,0.0,0.5215270000000001,0.216004,0.598187,0.150311,1.04865,0.861454,0.019426099999999998
AKAP12,3.7524300000000004,3.09258,0.951425,1.2662,12.9614,4.07696,6.895230000000001,8.43398,7.11901,6.211130000000001,1.30359
ALDH3B2,34.613,24.6302,19.1452,3.25937,4.94473,1.20211,15.4526,2.33555,1.4853,1.1644700000000001,11.2568
APOD,101.54799999999999,769.0139999999999,10.9531,81.4037,72.6231,226.99099999999999,152.924,334.26099999999997,56.6557,126.973,4.160830000000001
ART3,19.2103,47.9684,0.422378,34.0727,2.7877400000000003,61.9652,16.1857,11.878,59.7037,44.8952,547.518
ASPN,31.1651,21.4233,3.69349,0.0,241.52200000000002,61.5295,99.3177,32.2778,247.642,13.6802,11.5862
AZGP1,64.9749,39.1429,85.8713,195.738,3.9754199999999997,279.97,81.6664,41.8629,16.7207,200.774,175.447
BLVRB,6.57613,2.8226,3.8142199999999997,0.0,3.5285300000000004,2.58846,3.9630300000000003,0.226859,12.3493,4.50545,0.0
C7,0.29143,0.8062819999999999,0.026338599999999997,0.0,1.91188,0.703238,10.3059,2.44299,0.657578,14.7516,0.34566199999999997
CCL5,1.03708,7.98503,1.59721,0.0,3.2060000000000004,10.1325,11.4843,2.95312,16.4867,12.1232,3.9392199999999997
CD36,36.5005,18.241,30.0312,0.0,20.0619,9.871830000000001,123.501,24.2,79.5482,83.1513,11.0441
CD52,5.15236,27.5781,2.29825,0.0,21.1463,16.4339,56.1498,15.9388,49.562,40.0504,21.7633
CDC20,19.1111,7.511880000000001,48.5456,19.4809,10.5139,20.9927,9.27248,31.1055,9.8534,9.73773,26.3353
CHI3L1,52.4824,304.561,0.326855,3.8606199999999995,3.66954,11.3194,0.874603,13.2155,62.4796,37.6528,65.2282
COL2A1,124.822,0.165655,0.014987299999999999,9.34079,0.014313,8.18038,0.0,143.94299999999998,31.3989,1.3761700000000001,0.035179699999999994
COL5A1,145.37,30.2796,70.9135,74.985,156.747,128.055,68.0468,40.5398,194.514,43.5904,35.0878
COL5A2,202.313,70.6025,19.6112,26.139,292.85200000000003,199.463,83.052,54.6831,290.284,65.8261,51.2796
CRAT,3.09639,6.561939999999999,16.3546,0.737631,4.7487900000000005,7.599480000000001,2.03308,5.31904,10.8437,5.4019,1.56885
CROT,17.2031,5.04884,21.1097,21.1361,20.3725,11.5114,6.0225,4.64999,4.9685,8.936739999999999,8.746210000000001
CXCL10,2.29941,219.018,5.9346,14.1618,35.6,59.3069,6.53556,83.8667,100.35799999999999,19.6909,153.815
CXCL11,0.642556,11.3213,1.10673,0.0,6.50349,14.2748,0.0,1.3225,17.9766,7.802810000000001,16.6523
CXCL13,0.0413495,29.1612,4.2982,0.0,3.2785800000000003,23.8366,4.97297,5.602609999999999,9.70889,17.615,23.0488
CYP4F8,0.048019099999999995,0.0,3.67657,0.0,0.064249,0.0,0.0,0.54584,0.33720500000000003,0.362664,0.119626
DBI,412.371,162.036,114.67399999999999,94.0731,71.4454,80.9435,172.40099999999998,110.56,121.199,113.507,118.947
DEFB1,3.16262,34.9808,12.7599,0.0,75.0567,0.967678,0.41695600000000005,0.0,1.04105,0.49630100000000005,17.0221
DHCR24,38.1374,41.8574,140.125,9.27006,35.0216,38.0718,64.1324,10.5851,16.0402,28.1741,98.1209
DUSP5,2.6614299999999997,3.61122,5.98185,2.0363,13.804,3.34565,0.0,1.8848200000000002,6.1327300000000005,3.21569,4.9109
FABP7,2.25652,0.7407279999999999,0.0,4.2431,0.0,0.09458,0.0,31.3579,2.74168,1.89392,0.577967
FASN,124.609,7.28892,264.185,36.2518,2.27257,28.3466,36.0783,5.368180000000001,9.581660000000001,103.23200000000001,30.4868
FGFR4,2.32432,0.162787,37.3663,0.755862,1.20116,3.80263,0.416916,3.41509,2.54454,2.18025,2.06335
FGL2,2.48121,4.60607,0.907804,0.059887300000000004,5.29089,6.1744900000000005,10.1991,2.2448200000000003,5.03298,11.3333,5.92215
FOXA1,1.38574,5.15771,143.36,5.49379,35.7877,3.33958,101.26700000000001,0.252733,0.137919,2.3287299999999997,3.2480700000000002
FOXC1,9.10755,27.0297,3.12932,26.7646,9.267430000000001,12.8646,0.0,33.4287,29.7138,49.3215,25.3759
GABRP,8.66089,664.1030000000001,22.4545,223.362,0.360717,1458.83,0.0,723.575,693.341,213.666,1312.73
GALNT7,12.4003,30.12,59.9791,27.8541,97.6033,15.4459,89.2718,15.0502,14.8009,30.3282,28.9779
GBP1,41.394,69.4365,23.1936,162.607,95.76700000000001,210.72400000000002,79.0541,128.634,198.987,174.017,381.344
GCHFR,0.42253100000000005,0.0,0.606169,0.857477,0.12175799999999999,0.0,0.8878870000000001,0.0870739,1.48478,0.13203900000000002,0.0
GPR87,0.9514879999999999,1.21789,0.0,3.83835,5.18365,2.75671,0.0,2.20498,1.2325700000000002,0.09515549999999999,1.8344
GZMB,1.4986,4.58183,2.22425,0.0,3.7382199999999997,6.6532,0.114792,2.27449,2.83215,23.5314,2.3361099999999997
HGD,4.21735,4.08314,12.1696,27.7859,6.23131,0.21181,0.0,0.0599395,2.83641,1.4383299999999999,2.68364
HTRA1,91.2943,21.8461,10.2802,2.7259,140.532,69.2555,57.5539,27.0333,105.02,52.5467,15.2161
IDO1,0.29142399999999996,4.2683,2.11836,0.0,23.0307,18.8168,0.0,2.31777,11.853,16.5229,58.7348
IGFBP4,13.3498,2.86954,2.56719,8.38525,1.9677200000000001,3.32934,10.6492,0.690966,6.11079,20.4877,0.976242
IGHM,55.218999999999994,232.99900000000002,19.4641,117.986,13.8008,245.813,144.781,26.5525,119.191,0.0,81.722
IGJ,20.0186,506.164,4.32342,38.8323,39.1471,103.539,651.057,138.64600000000002,43.2346,254.797,477.129
IGKC,182.34599999999998,2492.68,62.7069,1588.56,711.2360000000001,3662.27,3728.87,701.15,735.3989999999999,9760.16,3901.31
IL23A,0.049007300000000004,0.520363,0.0,0.0,0.06553610000000001,0.232573,0.243693,1.17162,0.0998765,0.15506,0.0811747
IL33,0.8833290000000001,3.52311,0.40103,0.0,0.255235,0.642472,3.54569,0.41164700000000004,1.35198,5.68884,0.46980500000000003
INPP4B,37.1722,8.29696,21.6831,4.561730000000001,29.1727,26.9969,9.4802,4.95234,9.88193,32.4208,13.55
ITM2A,5.13433,17.6113,2.56933,0.0,7.06133,7.44424,5.674119999999999,6.33672,5.75863,23.9956,11.405999999999999
JAM2,11.2143,6.04114,0.444035,17.1649,12.0033,5.43176,8.22675,5.17669,6.846610000000001,11.0835,1.8518599999999998
KCNK5,7.320460000000001,0.887702,0.149882,1.9099400000000002,0.0814902,1.52393,0.0,1.7049400000000001,1.98658,3.1827099999999997,0.741297
KIAA1324,6.46799,5.69649,89.5923,40.0776,42.5417,0.643353,116.535,19.3855,15.395,26.1019,3.78249
KMO,1.44589,7.643680000000001,33.754,9.27281,6.46681,4.02581,5.83209,4.3813699999999995,2.2197299999999998,3.64952,2.60659
KRT14,118.37100000000001,6.66913,0.980966,0.0,2.2672,96.6137,0.109117,60.1135,514.252,120.57,1.1598
KRT16,91.0343,17.0193,9.40847,38.5884,74.8609,90.57600000000001,3.40006,49.5287,95.7477,40.376,18.1238
KRT17,105.34700000000001,51.9748,60.619,84.8248,93.2654,166.12,3.03741,14.8796,410.975,147.688,14.628
KRT6A,54.2242,27.6608,2.72352,13.9847,408.949,134.951,20.4893,58.98,262.42,13.0532,56.762
KRT6B,86.6584,9.681510000000001,1.0345600000000001,0.40174499999999996,24.2595,530.7869999999999,0.0,7.0408100000000005,98.6809,102.079,75.3859
KYNU,14.7879,87.4812,71.5981,1.47338,20.3852,9.09878,6.90752,3.73245,5.3043,11.1346,25.2282
LBP,0.573258,0.103459,0.830781,0.0,3.627,0.510202,0.0,0.49103500000000005,1.2441,0.460236,12.2516
LHFP,2.0952,0.813163,0.411592,0.0,1.07754,1.54434,1.2399200000000001,0.5959979999999999,1.33469,1.9569299999999998,0.553075
MFAP4,1.60954,5.00249,0.410963,0.0,1.8773799999999998,2.12753,20.6094,0.351571,6.62759,6.5050300000000005,0.09322489999999999
MIA,21.0747,14.7819,0.0,19.563,0.9400120000000001,6.86349,0.0,34.2175,43.488,26.5327,0.23780500000000002
MID1,36.2366,11.2812,24.8579,6.68681,19.0041,43.0015,23.5989,20.8948,22.2624,10.6828,20.0863
MYBL1,4.603619999999999,191.485,1.8149,2.20285,3.09212,16.8039,3.46601,59.0741,19.1092,27.0975,8.29579
NEK2,17.1321,51.1749,27.4882,43.548,11.4109,29.3384,10.8658,36.3432,16.5811,16.908,38.2809
NTN3,0.023557599999999998,0.0,0.0585428,0.0,0.0,0.0,0.0,0.0,0.098189,0.09080039999999999,0.0
OGN,1.27872,12.4251,0.0757681,0.0,45.6164,11.7997,87.2186,15.7295,17.5867,8.876610000000001,9.317730000000001
PI3,0.0,5.31341,0.0,0.0,1.89675,74.0994,0.0,0.0,0.405905,4.34973,0.0
PLEKHB1,14.583,6.5829,0.903185,5.012630000000001,0.140173,3.5639,0.0,0.47036400000000006,3.4508900000000002,8.26421,1.02945
PMAIP1,1.6239299999999999,12.9616,0.161,0.0,13.1738,0.9790120000000001,0.0,2.0832599999999997,3.41365,0.650526,3.43615
PSMB9,0.0,5.38454,0.0,0.0,10.1559,14.6465,8.88371,5.87836,19.2126,0.0,13.1326
PTGDS,1.49063,1.4413,0.64403,0.0,0.288846,1.42082,2.50168,0.59451,1.31059,14.0798,0.60036
RARRES3,10.7933,12.5633,49.0465,0.0,18.9184,13.0092,1.1592799999999999,4.410819999999999,9.089089999999999,23.4369,45.0648
RTP4,0.772275,4.32465,0.152572,5.36867,2.87871,1.6689,0.8344229999999999,0.7497020000000001,6.97178,1.85726,16.0639
S100A1,196.638,0.8991629999999999,0.9346110000000001,0.0,38.8232,2.02478,2.52791,23.4472,15.2162,103.93,18.1472
S100A7,6.579160000000001,330.407,2.94811,0.0,80.8664,1.7490299999999999,0.0,1.43858,0.0,17.0718,6.39159
S100A8,3.4999599999999997,34.2738,9.1996,0.0,275.425,8.5793,0.0,0.300674,2.234,20.8239,12.3968
SCRG1,23.221999999999998,0.787397,0.0,0.0,1.7016200000000001,0.15075,0.08771330000000001,12.8088,5.2875,5.4534199999999995,0.527354
SEMA3C,89.189,32.5338,17.3161,11.4171,45.6935,31.7132,120.15799999999999,61.7731,23.3876,24.186999999999998,6.19792
SERHL2,5.02658,2.12248,16.2918,0.0,1.8443200000000002,2.36334,15.5356,1.4883600000000001,3.43356,11.0512,2.8854900000000003
SFRP1,35.3095,5.5372900000000005,0.5283640000000001,2.21414,0.31843499999999997,10.8045,8.57477,59.0984,38.3568,14.3896,7.01728
SIDT1,0.9090090000000001,2.0698,14.89,0.0,13.8929,2.9025,19.9844,1.39344,1.50153,4.71277,4.66646
SOX10,3.84721,0.10395599999999999,0.0,7.96475,0.0,4.684069999999999,0.0,1.60505,1.1078299999999999,6.15337,1.22571
SPDEF,0.141878,0.214666,15.935,0.0,2.45309,0.0,3.02298,0.25425,0.0,2.14608,0.378686
SPRR1B,0.09447810000000001,4.1324,0.0,0.0,19.5733,0.0,0.0,0.0,0.0,0.669671,0.0
SPTLC2,28.7351,41.79600000000001,94.7651,75.7357,52.7982,40.9352,69.4324,27.3687,40.6695,36.9972,104.515
SRPX,12.4869,1.4254,0.776788,0.0,5.92513,8.16291,4.51251,3.8546400000000003,9.47686,7.7255,1.1670399999999999
TCF7L1,11.751,9.74195,14.8675,18.2386,3.49831,26.0239,1.12875,21.0061,44.3834,12.2126,16.0625
TFAP2B,1.18026,4.96422,34.9977,1.05255,18.2922,0.0480311,19.6431,1.01875,0.41227600000000003,1.31903,0.0
THBS4,8.67223,5.57063,0.592485,0.0,43.7954,26.1723,129.305,18.6862,16.1641,9.05913,0.41319300000000003
TNFAIP8,5.97248,19.1099,7.87435,30.9,26.8295,13.5345,6.36265,11.3972,13.7256,19.7065,18.8236
TNFSF10,24.8142,73.0496,18.7849,12.2587,27.5024,11.8922,49.6478,9.12321,115.984,15.2118,48.8902
TRIM68,7.67148,0.502216,6.18412,0.0,1.52447,1.4648700000000001,5.30821,1.05924,4.9053,4.55783,1.68145
TSC22D3,7.24202,2.8311599999999997,43.2554,0.0,21.898000000000003,27.685,33.7243,2.52544,15.5388,47.9444,12.245
