gene_short_name,V515-06187-A1,TNT-73,TNT-54,TNT-4,17-00258-5_S5Aligned_cufflinks,TNT-219,TNT-239,TNT-275,17-00132-8_S16Aligned_cufflinks,TNT-313,TNT-318
ABCA8,1.07397,7.7854600000000005,58.0877,37.7185,6.53624,11.2782,6.3693599999999995,4.6609,19.4248,11.8392,1.6026799999999999
ADRA2A,0.196819,0.224004,0.409427,4.021059999999999,0.656837,0.24939099999999997,0.621933,0.629714,3.61611,0.166689,0.37137
AKAP12,3.7524300000000004,6.59172,14.9386,17.7207,3.78971,10.7207,7.243539999999999,4.96091,5.52166,5.92393,7.96738
ALDH3B2,34.613,8.950569999999999,9.506730000000001,42.5699,0.884181,6.22725,6.832489999999999,4.76105,6.775060000000001,0.129083,1.0129299999999999
APOD,101.54799999999999,2468.97,745.2,2583.61,70.1232,53.501000000000005,13.232000000000001,27.9631,40.374,68.6262,29.2845
ART3,19.2103,37.2875,3.22085,0.0,93.7437,1.06999,0.155376,30.6309,0.0,5.75635,123.448
ASPN,31.1651,20.8746,17.7205,315.638,3.7960000000000003,27.237,7.229310000000001,30.936,33.8587,30.4671,98.3062
AZGP1,64.9749,4.87138,84.4769,298.58,121.947,100.25399999999999,20.3111,0.675944,12.8789,86.0315,1.34766
BLVRB,6.57613,0.22738899999999998,1.03403,7.36637,2.68466,4.64941,1.9114400000000002,0.581462,10.2189,2.56904,2.3151200000000003
C7,0.29143,3.75633,70.8319,8.536660000000001,10.2181,122.073,63.4141,4.90062,12.4255,2.9121599999999996,0.16028199999999998
CCL5,1.03708,5.166919999999999,27.218000000000004,13.302999999999999,0.0,18.7046,6.15495,15.9024,0.0,6.95546,17.1213
CD36,36.5005,29.3908,53.4162,100.477,28.5228,16.0908,25.2455,28.1601,32.1853,7.603460000000001,44.9068
CD52,5.15236,22.8146,206.158,48.9762,18.8695,123.57799999999999,884.803,41.958,20.3585,146.87,94.2685
CDC20,19.1111,6.30304,3.85495,2.9675599999999998,23.2123,3.64656,8.33313,12.0694,0.805591,4.3525599999999995,13.9145
CHI3L1,52.4824,17.4637,7.7664,5.7134,33.0192,0.043036000000000005,5.80837,67.2472,4.97049,122.696,68.8217
COL2A1,124.822,0.257811,0.348718,0.149369,1.45759,4.67146,0.441904,0.23309499999999997,0.0,0.48526499999999995,3.97345
COL5A1,145.37,28.7026,20.0147,225.483,34.1131,47.8762,4.27042,48.0836,187.40400000000002,57.3617,137.63
COL5A2,202.313,55.1583,24.5429,308.353,47.3189,49.8738,7.0651600000000006,82.2014,187.753,79.4514,225.74099999999999
CRAT,3.09639,7.99856,8.035219999999999,14.7289,7.21592,3.7134699999999996,1.24437,2.18717,27.5127,0.906711,4.9586
CROT,17.2031,8.95417,7.78597,47.6286,10.1169,18.417,13.1914,6.23139,9.844560000000001,9.1463,14.1979
CXCL10,2.29941,79.1191,37.7643,39.4233,16.6569,25.0919,30.7011,69.4529,5.4040300000000006,48.9679,130.123
CXCL11,0.642556,17.9889,14.0366,8.87846,7.99702,4.67742,4.0889999999999995,15.7259,0.0,3.51615,13.0947
CXCL13,0.0413495,25.8386,33.4686,46.0943,2.88489,13.2194,181.287,95.0912,3.3446800000000003,64.2703,28.7339
CYP4F8,0.048019099999999995,0.11675799999999999,0.990511,27.8697,0.0,0.0,0.0,0.043461400000000004,16.5797,0.150132,0.0
DBI,412.371,191.018,101.01,273.298,166.079,76.507,81.9375,83.2867,22.3556,139.847,116.994
DEFB1,3.16262,82.74600000000001,0.0,1.9527599999999998,1.93523,0.0,5.28242,0.0,0.0,0.9545950000000001,0.610028
DHCR24,38.1374,24.2594,8.20185,25.3035,27.1696,68.512,9.51047,3.7026199999999996,1.5266,20.656,11.4754
DUSP5,2.6614299999999997,2.62585,6.61308,9.615960000000001,2.8326,6.56814,2.56,3.8547300000000004,8.864889999999999,7.489269999999999,3.1831
FABP7,2.25652,0.24545100000000003,5.1336699999999995,1.97922,2.60242,0.0,4.89626,2.26773,0.569974,0.0867112,0.788269
FASN,124.609,2.2914,14.5167,69.4728,68.8053,53.3196,4.16085,2.4485200000000003,129.708,2.98044,9.75475
FGFR4,2.32432,0.103253,0.111696,1.93565,0.316761,0.0,0.31004699999999996,0.464383,0.0,0.253247,0.0277075
FGL2,2.48121,5.2011400000000005,14.4419,18.1586,6.2340599999999995,6.8079600000000005,12.4948,6.60571,3.5266599999999997,5.9402099999999995,7.74637
FOXA1,1.38574,0.840333,14.8548,44.0487,5.23722,91.4593,0.0622759,2.06513,6.5881,1.1556,0.7537020000000001
FOXC1,9.10755,39.4518,10.7698,6.6412,38.8687,0.735023,21.1296,35.8189,4.69982,47.1304,32.566
GABRP,8.66089,788.549,10.0879,3.7613199999999996,475.426,0.0,204.747,2.98012,12.2303,236.085,262.378
GALNT7,12.4003,32.0451,29.2673,29.7102,23.3908,42.2046,36.8265,25.0354,14.665999999999999,16.6628,19.94
GBP1,41.394,162.27200000000002,112.329,117.684,98.34700000000001,95.0405,123.15799999999999,129.284,191.46099999999998,222.533,656.55
GCHFR,0.42253100000000005,0.0,0.0,0.344589,0.326596,0.0,0.276966,0.0,0.0,0.0,0.2555
GPR87,0.9514879999999999,5.26291,0.13426400000000002,0.0,0.07417230000000001,0.96726,2.76913,1.75632,0.0,0.22916999999999998,0.37691199999999997
GZMB,1.4986,3.86003,22.9207,1.33328,9.66196,4.365419999999999,17.8403,23.4412,8.95933,3.70516,8.29775
