gene_short_name,V515-06187-A1,TNT-208,TNT-204,TNT-49,17-00156-7_S13Aligned_cufflinks,TNT-223,17-00243-6_S9Aligned_cufflinks,TNT-299,TNT-265,TNT-134,TNT-44
ABCA8,1.07397,16.3134,22.5552,46.919,0.0,11.3176,39.5772,8.87917,2.63255,17.1376,57.5774
ADRA2A,0.196819,0.492345,0.51488,0.128019,0.0,0.0,2.18221,0.321954,0.8604940000000001,0.053118399999999996,0.6270140000000001
AKAP12,3.7524300000000004,22.9325,5.24104,3.20903,1.81444,2.91052,18.6305,8.3169,4.09434,10.3489,29.6051
ALDH3B2,34.613,7.122139999999999,10.6186,9.3486,0.0,8.826939999999999,6.116709999999999,2.22473,7.944780000000001,3.8153599999999996,0.0
APOD,101.54799999999999,55.8797,431.157,473.105,147.881,634.054,222.14700000000002,26.3483,3.24389,108.917,551.695
ART3,19.2103,0.39968000000000004,0.0,31.5205,0.0,0.0,0.6155229999999999,47.8547,29.0535,35.8609,17.6012
ASPN,31.1651,21.4995,25.8341,46.012,0.943362,25.1588,114.85700000000001,14.6382,6.48189,54.5702,37.2942
AZGP1,64.9749,170.612,91.8052,53.7874,99.7284,189.675,63.7556,144.884,109.885,113.833,63.9359
BLVRB,6.57613,2.03717,5.31772,0.257732,0.0,2.24178,4.7669999999999995,1.49672,2.82875,0.356298,2.47625
C7,0.29143,35.7726,1.40697,3.14767,0.0,21.6657,24.3373,4.52315,16.1298,0.40929,15.2903
CCL5,1.03708,3.7465599999999997,10.1049,50.3871,0.0,2.0409900000000003,11.5664,6.02102,6.73407,5.13551,6.20512
CD36,36.5005,21.7614,78.1711,71.9816,0.0,2.84832,228.418,80.6752,69.7685,14.3846,161.29
CD52,5.15236,78.3063,132.064,92.3369,0.0,36.0713,53.8862,14.2911,370.82300000000004,13.0453,76.5111
CDC20,19.1111,5.1962,2.72803,4.09511,0.0,1.58792,0.705943,4.88095,22.7002,15.5522,6.29946
CHI3L1,52.4824,22.6745,0.9157209999999999,14.0802,0.0,1.17865,20.1565,21.8619,22.1167,37.3706,19.8265
COL2A1,124.822,0.281686,0.014582499999999998,26.9015,19.4398,0.0,0.413376,8.712819999999999,0.12088499999999999,74.0814,0.369471
COL5A1,145.37,161.51,23.136,37.8918,17.3758,43.7951,204.403,36.7694,6.09765,94.0041,75.9328
COL5A2,202.313,119.762,44.7471,53.004,4.19188,33.5457,352.65,49.6448,8.16721,148.505,135.933
CRAT,3.09639,5.62084,8.49002,1.2801200000000001,0.0,26.14,9.947460000000001,4.597519999999999,2.73679,13.9288,7.360689999999999
CROT,17.2031,21.1445,12.995999999999999,0.6217159999999999,0.0,24.6569,15.6503,13.238,5.86815,20.8546,5.748069999999999
CXCL10,2.29941,21.9312,65.778,73.1395,0.0,1.15513,15.3334,37.0993,56.437,28.1758,56.0996
CXCL11,0.642556,2.78925,12.7703,12.7646,0.0,2.02828,8.71699,5.7525699999999995,20.7628,4.69776,1.58942
CXCL13,0.0413495,13.4793,12.2053,61.183,0.0,0.10202699999999999,5.5519099999999995,4.014880000000001,79.1886,5.0147699999999995,4.795640000000001
CYP4F8,0.048019099999999995,11.5078,0.254896,0.0,0.0,12.2088,4.40353,2.01316,0.134844,0.0,3.5069199999999996
DBI,412.371,363.298,305.276,51.5853,289.493,128.19,68.6185,210.795,206.40099999999998,162.915,108.177
DEFB1,3.16262,1.37071,2.1574400000000002,0.0,0.0,0.7604770000000001,0.460946,1.58477,5.6752,0.0,0.977303
DHCR24,38.1374,112.684,9.13265,31.3659,54.2997,62.6917,27.6291,7.01083,38.6224,25.671,7.285489999999999
DUSP5,2.6614299999999997,13.306,3.80245,5.478680000000001,0.0,13.9662,12.0934,4.161490000000001,3.7219599999999997,3.62035,6.42948
FABP7,2.25652,0.301185,0.529954,0.829984,0.0,0.776385,1.58738,8.852910000000001,0.0,18.6299,1.8110099999999998
FASN,124.609,9.89772,27.5321,37.1964,38.7403,15.5662,68.9283,2.40165,22.6256,21.6596,6.2038400000000005
FGFR4,2.32432,0.446859,7.755260000000001,0.0,21.8094,5.66742,0.41132799999999997,2.10462,0.794633,1.26755,0.634329
FGL2,2.48121,6.86792,7.284560000000001,7.103689999999999,5.3298,4.23182,8.60775,4.40214,6.590339999999999,5.45068,7.86297
FOXA1,1.38574,139.02,121.10799999999999,23.1953,0.0,79.9745,36.4209,1.74342,3.09199,1.2293,4.48069
FOXC1,9.10755,2.76586,5.1843699999999995,14.3622,41.8526,0.369856,10.9936,41.9665,34.8431,35.6002,20.1979
GABRP,8.66089,2.12072,11.243,498.221,467.371,0.0315845,12.1721,3.8757300000000003,447.85699999999997,1009.38,162.789
GALNT7,12.4003,67.8158,31.3368,21.4797,0.0,515.1030000000001,25.96,14.0614,11.2769,12.1341,8.8823
GBP1,41.394,105.891,194.60299999999998,257.26599999999996,0.0,33.577,243.862,101.95700000000001,268.497,193.236,181.968
GCHFR,0.42253100000000005,0.30635500000000004,0.235974,0.118621,0.0,0.0,0.737737,0.0,0.19162,0.0,0.0
GPR87,0.9514879999999999,0.183902,5.54019,0.0,0.0,2.6789,0.46162299999999995,3.18233,0.251076,1.02462,3.86145
