gene_short_name,V515-06187-A1,17-00270-5_S14Aligned_cufflinks,TNT-76,TNT-62,17-00125-8_S13Aligned_cufflinks,17-00156-7_S13Aligned_cufflinks,TNT-321,TNT-154,TNT-157,TNT-71,TNT-224
ABCA8,1.07397,2.10963,1.7120799999999998,6.7904800000000005,55.5194,0.0,1.1144,0.0856442,16.5316,12.9025,11.0932
ADRA2A,0.196819,0.785147,0.216004,0.33839400000000003,4.317880000000001,0.0,0.0,0.0192695,0.053574699999999996,0.12659700000000002,0.5215270000000001
AKAP12,3.7524300000000004,3.9364199999999996,4.07696,11.6889,25.364,1.81444,4.92338,2.75083,5.01157,3.09258,12.9614
ALDH3B2,34.613,173.954,1.20211,0.22072399999999998,14.4216,0.0,0.0,2.17118,44.3463,24.6302,4.94473
APOD,101.54799999999999,1702.36,226.99099999999999,305.796,136.705,147.881,23.309,28.4883,388.876,769.0139999999999,72.6231
ART3,19.2103,0.0,61.9652,30.5461,0.0,0.0,13.6808,83.5134,11.9946,47.9684,2.7877400000000003
ASPN,31.1651,97.1702,61.5295,53.1139,44.1739,0.943362,16.2505,41.7317,10.4886,21.4233,241.52200000000002
AZGP1,64.9749,433.668,279.97,169.28900000000002,178.998,99.7284,0.95899,496.663,13.2232,39.1429,3.9754199999999997
BLVRB,6.57613,17.5144,2.58846,2.32839,5.03918,0.0,0.204078,4.764390000000001,1.7414,2.8226,3.5285300000000004
C7,0.29143,0.913499,0.703238,0.517314,19.783,0.0,0.683814,0.06028340000000001,12.9084,0.8062819999999999,1.91188
CCL5,1.03708,0.0,10.1325,6.883839999999999,2.22877,0.0,11.290999999999999,28.65,14.6772,7.98503,3.2060000000000004
CD36,36.5005,5.78937,9.871830000000001,14.0796,182.748,0.0,20.8781,27.1698,33.1401,18.241,20.0619
CD52,5.15236,25.8947,16.4339,22.6616,0.0,0.0,130.963,2.16431,93.59899999999999,27.5781,21.1463
CDC20,19.1111,2.98538,20.9927,14.1862,0.0,0.0,21.4337,5.5199300000000004,21.6145,7.511880000000001,10.5139
CHI3L1,52.4824,16.8958,11.3194,18.4108,5.63374,0.0,1.82655,10.7803,42.6231,304.561,3.66954
COL2A1,124.822,0.0,8.18038,68.7017,0.0,19.4398,0.701661,0.08732410000000002,0.165699,0.165655,0.014313
COL5A1,145.37,159.398,128.055,60.9466,160.153,17.3758,9.650889999999999,42.7856,18.2057,30.2796,156.747
COL5A2,202.313,332.476,199.463,69.9364,136.536,4.19188,16.1351,47.9239,26.7943,70.6025,292.85200000000003
CRAT,3.09639,35.1876,7.599480000000001,2.38769,20.776999999999997,0.0,1.25434,2.39557,1.38838,6.561939999999999,4.7487900000000005
CROT,17.2031,61.1756,11.5114,6.43286,4.49909,0.0,5.05084,14.3596,8.916360000000001,5.04884,20.3725
CXCL10,2.29941,47.1377,59.3069,48.9493,0.0,0.0,166.33700000000002,33.6507,91.8598,219.018,35.6
CXCL11,0.642556,17.4057,14.2748,6.47729,0.0,0.0,8.00378,4.87385,8.917819999999999,11.3213,6.50349
CXCL13,0.0413495,13.6215,23.8366,19.8752,0.0,0.0,31.7095,0.332221,46.1831,29.1612,3.2785800000000003
CYP4F8,0.048019099999999995,2.87166,0.0,0.46795200000000003,5.58269,0.0,0.45900799999999997,0.0,0.0,0.0,0.064249
DBI,412.371,458.19199999999995,80.9435,120.785,14.5811,289.493,37.7055,147.326,134.685,162.036,71.4454
DEFB1,3.16262,2.34702,0.967678,0.0,0.0,0.0,0.0,0.0,0.135413,34.9808,75.0567
DHCR24,38.1374,130.19799999999998,38.0718,18.6129,26.3007,54.2997,2.13481,11.695,74.3837,41.8574,35.0216
DUSP5,2.6614299999999997,3.94306,3.34565,3.2934900000000003,17.2635,0.0,0.626178,2.10403,6.9571,3.61122,13.804
FABP7,2.25652,202.65,0.09458,49.2833,1.4797200000000001,0.0,0.5947180000000001,0.357028,0.054773199999999994,0.7407279999999999,0.0
FASN,124.609,778.4830000000001,28.3466,9.07795,188.59599999999998,38.7403,2.64205,52.6081,41.2107,7.28892,2.27257
FGFR4,2.32432,0.55462,3.80263,1.12382,0.0,21.8094,1.1440700000000001,0.327716,4.540719999999999,0.162787,1.20116
FGL2,2.48121,10.955,6.1744900000000005,6.69295,5.21316,5.3298,7.86768,4.60628,10.3349,4.60607,5.29089
FOXA1,1.38574,98.2355,3.33958,5.66134,70.9237,0.0,1.4144299999999999,0.0,1.01931,5.15771,35.7877
FOXC1,9.10755,1.00065,12.8646,32.0002,12.1608,41.8526,1.81013,26.0512,28.4132,27.0297,9.267430000000001
GABRP,8.66089,1.14783,1458.83,410.733,79.957,467.371,36.8389,827.9060000000001,503.14,664.1030000000001,0.360717
GALNT7,12.4003,43.2333,15.4459,12.125,20.9316,0.0,20.0622,27.9426,12.2184,30.12,97.6033
