gene_short_name,V515-06187-A1,TNT-325,TNT-218,17-00174-6_S15Aligned_cufflinks,17-00159-1_S1Aligned_cufflinks,17-00097-1_S9_cufflinks,TNT-18,17-00143-5_S2Aligned_cufflinks,17-00157-0_S11Aligned_cufflinks,TNT-133,TNT-328
ABCA8,1.07397,1.18126,0.23111700000000002,1.7572400000000001,1.78272,2.1075,10.5629,0.809124,14.9899,75.7969,9.23817
ADRA2A,0.196819,0.271846,1.2081600000000001,0.124234,0.424612,0.13051500000000002,0.337047,0.07267710000000001,0.9286280000000001,0.598187,0.0
AKAP12,3.7524300000000004,2.1819599999999997,2.32421,3.4236699999999995,1.9295900000000001,1.87044,10.1055,0.951425,11.8446,6.895230000000001,9.39584
ALDH3B2,34.613,34.041,16.6609,14.6796,6.39422,8.43554,1.5908799999999998,19.1452,2.39375,15.4526,14.562000000000001
APOD,101.54799999999999,61.196999999999996,3.9072,20.8128,18.7033,0.669381,126.366,10.9531,50.4508,152.924,32.4682
ART3,19.2103,0.0,42.4891,9.87219,4.7039800000000005,4.5019599999999995,3.08163,0.422378,0.291602,16.1857,13.5651
ASPN,31.1651,42.7013,8.27807,4.02062,19.8562,10.6442,127.87700000000001,3.69349,27.6337,99.3177,15.9623
AZGP1,64.9749,1.1505,17.1262,130.35299999999998,48.381,33.7457,0.397821,85.8713,3.87216,81.6664,39.4368
BLVRB,6.57613,1.8893099999999998,1.33646,6.01812,2.25105,3.99175,0.272242,3.8142199999999997,4.4324900000000005,3.9630300000000003,1.26662
C7,0.29143,0.823103,14.321,4.77522,1.47221,2.0205599999999997,11.972999999999999,0.026338599999999997,5.99394,10.3059,0.0
CCL5,1.03708,47.0465,2.72617,3.0319599999999998,6.76955,0.0,84.2759,1.59721,0.0,11.4843,1.60917
CD36,36.5005,13.2001,5.77646,93.6689,5.67052,29.5541,68.0838,30.0312,149.636,123.501,18.5983
CD52,5.15236,320.42400000000004,124.915,12.6645,14.8266,10.8883,238.27900000000002,2.29825,2.70915,56.1498,0.0
CDC20,19.1111,10.4861,6.84373,11.3567,11.107999999999999,35.847,11.1176,48.5456,14.3517,9.27248,10.2348
CHI3L1,52.4824,9.58912,50.4066,205.727,50.8293,14.2367,18.0344,0.326855,45.5875,0.874603,30.5357
COL2A1,124.822,0.0,0.31563800000000003,0.0402543,0.035312300000000005,0.21441,0.0,0.014987299999999999,114.78299999999999,0.0,147.203
COL5A1,145.37,32.1635,11.295,116.103,52.708999999999996,99.7165,103.64200000000001,70.9135,174.977,68.0468,38.532
COL5A2,202.313,39.9525,6.21086,95.3652,119.37100000000001,49.6067,167.425,19.6112,163.721,83.052,25.6229
CRAT,3.09639,9.221860000000001,0.5931930000000001,5.54589,18.9193,8.16269,4.5315900000000005,16.3546,4.3305,2.03308,3.56428
CROT,17.2031,7.78834,12.5985,18.127,9.75512,4.92995,3.8836800000000005,21.1097,4.56994,6.0225,8.11488
CXCL10,2.29941,85.8427,39.2311,3.53341,25.0864,14.6049,196.435,5.9346,2.0649,6.53556,8.52238
CXCL11,0.642556,3.5587400000000002,3.00026,0.9549559999999999,19.2674,2.5685700000000002,15.9079,1.10673,0.506209,0.0,0.0
CXCL13,0.0413495,47.4504,63.1377,1.16539,8.60834,3.01473,26.3849,4.2982,4.07947,4.97297,0.0
CYP4F8,0.048019099999999995,0.0,2.6428700000000003,1.4973,0.0,0.234377,0.0623461,3.67657,0.0,0.0,0.0
DBI,412.371,21.2225,52.9657,69.2038,107.402,170.882,120.508,114.67399999999999,133.718,172.40099999999998,61.6366
DEFB1,3.16262,50.9421,0.263783,7.12312,3.3835800000000003,0.0,0.0,12.7599,1.31565,0.41695600000000005,3.2168400000000004
DHCR24,38.1374,62.9418,24.8616,82.1604,27.97,44.06100000000001,13.6373,140.125,36.7396,64.1324,9.57038
DUSP5,2.6614299999999997,4.8256,2.54009,2.09469,2.6006400000000003,3.6152800000000003,3.3018699999999996,5.98185,7.80812,0.0,3.33009
FABP7,2.25652,0.0,0.101355,0.0,3.4121699999999997,0.060764,14.5807,0.0,19.8938,0.0,7.262560000000001
FASN,124.609,10.8743,3.9148099999999997,92.0659,88.7778,57.3003,13.9948,264.185,77.9457,36.0783,4.8363
FGFR4,2.32432,6.602360000000001,1.14783,0.5663100000000001,0.47645200000000004,2.04738,0.0,37.3663,0.9193459999999999,0.416916,0.0
FGL2,2.48121,7.19821,6.97558,2.7137700000000002,6.804760000000001,2.54605,9.61383,0.907804,4.94528,10.1991,13.4369
FOXA1,1.38574,23.6446,0.06618439999999999,3.41172,1.33065,0.09799169999999999,0.0,143.36,2.59678,101.26700000000001,3.16782
FOXC1,9.10755,13.7862,33.0458,29.4622,35.2897,65.4708,7.67033,3.12932,22.169,0.0,11.1992
GABRP,8.66089,271.08299999999997,1786.59,1.23011,225.11,7.864789999999999,218.567,22.4545,12.7787,0.0,13.0795
GALNT7,12.4003,22.686,15.9673,11.8491,24.6473,7.85755,10.3138,59.9791,16.9598,89.2718,0.875309
GBP1,41.394,194.968,121.512,135.247,275.592,84.0119,228.894,23.1936,33.4805,79.0541,22.651999999999997
GCHFR,0.42253100000000005,0.0,0.0,1.3619,0.160495,0.42294,0.0,0.606169,0.333965,0.8878870000000001,0.0
GPR87,0.9514879999999999,42.6912,1.34816,4.33496,0.10430199999999999,0.0,0.8862110000000001,0.0,0.58282,0.0,0.0
GZMB,1.4986,14.0912,6.5088,1.8939700000000002,4.56122,1.86027,12.0025,2.22425,4.43361,0.114792,0.0
HGD,4.21735,0.0,0.947161,9.092410000000001,0.833944,0.17512,0.25535599999999997,12.1696,5.07111,0.0,9.049489999999999
HTRA1,91.2943,11.640999999999998,6.942660000000001,38.6136,47.9099,44.1674,77.4917,10.2802,120.1,57.5539,22.5486
IDO1,0.29142399999999996,166.96,7.720560000000001,21.1778,19.2801,4.31044,23.029,2.11836,0.7165699999999999,0.0,4.34852
IGFBP4,13.3498,4.30028,0.257484,18.0548,7.13662,7.9226399999999995,3.41105,2.56719,25.3081,10.6492,1.2525899999999999
IGHM,55.218999999999994,148.997,115.053,13.6533,0.0,0.0,607.3240000000001,19.4641,37.0321,144.781,18.2147
IGJ,20.0186,45.9523,103.21799999999999,20.4514,77.3318,23.1658,234.80900000000003,4.32342,39.9957,651.057,28.6686
IGKC,182.34599999999998,1067.08,1657.02,533.576,14095.2,5865.29,1594.26,62.7069,412.756,3728.87,73.3224
IL23A,0.049007300000000004,0.0,0.9967530000000001,0.29478899999999997,0.0,0.0,0.0,0.0,0.059104899999999995,0.243693,0.0
IL33,0.8833290000000001,0.101108,3.07428,2.28455,0.859708,0.470318,6.744910000000001,0.40103,3.79564,3.54569,0.0
INPP4B,37.1722,48.1165,6.77033,19.0709,11.3144,25.3966,19.7162,21.6831,15.8445,9.4802,2.22397
ITM2A,5.13433,3.7050300000000003,21.6812,5.51003,8.41499,5.86859,45.3222,2.56933,12.4601,5.674119999999999,2.31869
JAM2,11.2143,12.4208,1.74953,5.43396,2.70201,2.99247,11.1208,0.444035,11.2515,8.22675,0.0612626
KCNK5,7.320460000000001,1.05113,0.897033,3.3860300000000003,3.4465,2.19827,0.0901098,0.149882,3.94905,0.0,4.4551099999999995
KIAA1324,6.46799,8.68953,23.9853,7.0919300000000005,0.7918149999999999,0.46954799999999997,8.63215,89.5923,4.44704,116.535,14.6388
KMO,1.44589,0.0,13.1631,1.93187,4.766380000000001,5.2506,13.1194,33.754,3.9550199999999998,5.83209,1.46333
KRT14,118.37100000000001,3.03677,3.41339,708.6610000000001,10.2547,62.9592,94.5936,0.980966,246.15,0.109117,230.732
KRT16,91.0343,3.34785,24.6943,2146.49,27.660999999999998,26.2046,18.4317,9.40847,473.333,3.40006,56.5354
KRT17,105.34700000000001,0.47600699999999996,84.8878,1735.05,192.048,9.91211,40.1927,60.619,1234.96,3.03741,3.7010099999999997
KRT6A,54.2242,34.6454,136.69799999999998,3704.04,30.5498,5.23452,41.4118,2.72352,316.262,20.4893,54.6293
